start	end	text
0	21720	So Leute, ich habe doch den Tag mir diesen Friark Huysken reingezogen und irgendwie einen
21720	28160	drei Stunden Reakt daraus gemacht, was ich an seinem Vortrag alles bescheuert finde und die
28160	32640	Background Story dazu ist, ich habe das Video von einem anderen Dude, René, der hat auch einen
32640	40840	kleinen YouTube Kanal und ich dachte mir, weil ich das Video von ihm habe und er, weil wir da
40840	44720	unterschiedlicher Meinung sind, quatschen wir mal ein bisschen drüber und dann dachte ich mir, wenn
44720	47320	man darüber quatschen, dann kann ich es auch gleich aufnehmen und dann kann ich auch ein Video
47320	56000	daraus machen. Das ist jetzt das Video, viel Spaß. So René, jetzt erzähl doch erstmal, was machst du,
56000	63440	wo kommst du her? In welcher Reihenfolge? Ich fange mit dem Letzten an. Ein richtiger Rossi,
63440	72520	komme aus Gromogstadt. Oh, aus Chemnitz? Ja, Gromogstadt. Cool. Ich habe lange in Berlin gelebt durch
72520	79720	die Schule und so, habe dort Schauspiel studiert, war dann auch mal im Mansfelder Land bei dir
79720	84320	vielleicht um die Ecke in Eisleben. Ja, das ist da, wo die so cool reden, Junge.
84320	90040	Ich weiß jetzt nicht mehr genau, der Dialekt, aber du erinnerst mich manchmal ein bisschen
90040	97320	dran. Und ja, bin dann zurück nach Berlin, hatte da mal eine Stelle als Dozent an der
97320	104400	privaten Schauspielschule, habe mal ein kleines Theaterchen geleitet und war dann wieder Schauspieler,
104400	109880	also bin ein bisschen rumgekommen, war zuletzt am Deutsch-Sorbischen und habe mich entschlossen,
109880	117480	mit Ende 30 diesen Beruf aufzugeben, weil von den vielen vielen Schauspielern, die es gibt,
117480	122280	gerade in Deutschland, gibt es nur ganz wenige, die gut davon leben können, die auch nicht so viel
122280	127320	Stress haben, die mindestens einen Fuß im Filmgeschäft haben. Und da ich das nun mal zu den
127320	131000	vielen gehörte, die das nicht geschafft haben, habe ich mich entschlossen, nach Dresden zu gehen,
131000	138280	habe hier einen recht lässigen Job, in dem ich Trauerreden halte, habe viel Zeit und die nutze
138280	145080	ich, um zu lesen, nachzudenken, zu schreiben, um meinen eigenen YouTube-Kanal vielleicht mal ein
145080	149840	bisschen besser zu pflegen, so ungefähr. Jetzt mal auf die Schnelle einfach. Okay,
149840	157560	und dein YouTube-Kanal ist schon auch eher links, ne? Ja, was heißt links, was heißt links? Klassisch
157560	167800	antikapitalistische Richtung. Naja, ich sag mal so, den Kapitalismus zu untersuchen ist eine sehr
167800	175880	spannende Aufgabe und ich komme immer weniger dazu, das zu verurteilen, sondern einfach,
175880	180720	ich versuche zu beschreiben, was passiert in dieser Gesellschaft, was bringt die Freiheit des
180720	188320	Eigentums den meisten Leuten und wie das von anderen gewertet wird, das ist ihre Sache. Also
188320	193360	ich bin auch nicht links sozusagen, weil heute sind ja Wahlen, ich gehe auch nicht wählen,
193360	201520	übrigens. Links ist eine Art Regierungsbeteiligung, wie man ja an der Linken auch sieht. Da würde
201520	204280	ich mich auch nicht als links bezeichnen. Ich würde auch sagen, Marx war gar nicht links,
204280	210560	der hat einfach die Ökonomie beschrieben, was der Einzelne daraus zieht. Brecht hat mal gesagt,
210560	217160	wer seine Lage erkannt hat, wie soll der aufzuhalten sein? Würdest du mich als links bezeichnen? Ich mich
217160	223880	oder ich dich? Du dich selbst. Ja, also einfach vom Bauchgefühl her, ich bin so aufgewachsen,
223880	229040	so sozialisiert worden, dass ich das schon so immer gefühlt habe, dass das so ist und ich
229040	231760	habe natürlich auch immer jetzt noch mein Bauchgefühl, aber über das Bauchgefühl bin
231760	236200	ich mittlerweile, versuche ich zu erhaben zu sein. Aber am Ende sozusagen bediene ich klassisch
236200	242600	linke Talking Coins, also da brauche ich gar nicht länger darüber nachdenken. Für mich ist
242600	247760	sozusagen die individuelle Freiheit gegenüber Faschismus sozusagen, das ist eine Links-Rechts-Skala für
247760	253040	mich. Und ja, also generell so Autoritäten, Hierarchien, das ist eine Links-Rechts-Skala.
253040	256840	Und in diesen ganzen Skalen, die man so kennt, wo man sagen würde, das ist typisch links,
256840	262320	das ist typisch rechts, ordne ich mich eigentlich immer links ein. Und wenn ich jetzt sagen würde,
262320	268760	Marx war gar nicht links, würdest du dem widersprechen? Also ich glaube auch, der hat
268880	275000	erstmal Philosophie betrieben und wollte sozusagen mal eine wissenschaftliche Betrachtung
275000	282440	unseres Systems. Also da gab es wahrscheinlich dann auch moralistische Tendenzen. Er hat ja dann
282440	287040	sozusagen das kommunistische Manifest gesagt und hier Arbeiter und so und Politarier und
287040	290520	vereinigt euch mal. Da würde man doch heute eigentlich zu sagen, das sind typisch linke
290520	298040	Talking Coins, oder? Das weiß ich gar nicht. Das weiß ich nicht. Ich weiß nur, dass der Marx
298040	302440	von der Philosophie sehr stark abgerückt ist. Da gibt es sogar ein Marx-Zitat dazu. Der sagt,
