start	end	text
0	4000	Offensichtlich war, es war auch so getitelt, dass man offensichtlich wusste, es war Tiere.
4000	10000	So, ich hab auch viele rechte Fans auf meiner Seite, die kommen, weil sie vielleicht etwas verwechseln,
10000	12000	vielleicht aber auch nicht, ich weiß es selber nicht.
12000	18000	Die sind da. Da sind Rechte, Linke, Atheisten, Gläubige, Mitte, Deutsche, Nichtdeutsche.
18000	22000	Und da gab es ganz viele Leute, die richtig Frust geschoben haben.
22000	24000	Also, was macht denn die Bundesregierung schon wieder?
24000	26000	Ich lerne, ich entdecke, ich kreiere.
26000	33000	Das war wirklich euphorisch und das war wirklich, glaube ich, extrem demokratisch, extrem fortschrittlich.
33000	38000	Und dann ist halt was passiert. Dann wurden diese Technologien gekapert, optimiert.
38000	44000	Die Nischen wurden ausradiert, die Sicherheit wurde erhöht.
44000	49000	Das Feeling, was du hast, war uniformer. Jeder soll ein ähnliches Erlebnis haben.
49000	53000	Und da sind wir jetzt. Aber zu deinem Punkt mit der Goldgräber-Stimmung,
53000	59000	in zehn Jahren werden wir an diese Zeit zurückdenken und sagen, weißt du noch, Alter, was man da auf Facebook machen konnte?
59000	63000	Weißt du noch, YouTube war noch umsonst auch tatsächlich größere Sachen.
63000	68000	Ich war im Fernsehen. Ich hatte mehrere Fernsehshows.
68000	75000	Die Leute sind größtenteils auf mich aufmerksam geworden, weil ihr Sohn, ihre Tochter, ihre Tante den allen einen Link geschickt hat.
75000	78000	Guck mal, was der Typ macht. Und die haben gesagt, warum ist der Typ nicht im Fernsehen?
78000	82000	Das war für mich so. Als 13-Jähriger dachte ich, ey, da hast du es geschafft.
82000	91000	Als 30-Jähriger, der ich jetzt bin, sehe ich natürlich, natürlich wollen die mich haben.
91000	94000	Ich mache ja auch geiles Zeug. Ich will jetzt hier nicht full Kanye gehen.
94000	98000	Aber ist doch klar, dass früher oder später jemand kommt und was von deiner Seele abhaben will.
98000	101000	Und das mache ich auch gern, solange es im Rahmen ist.
101000	105000	Ich habe denen dann auch ganz klar gesagt, ich mache das. Aber das hier ist nicht das Internet.
105000	108000	Und ich komme nicht klar mit Regulierungen und Zensur.
108000	113000	In Deutschland lebend auf einer amerikanischen Schule von der ersten Klasse an, konnte auch früh Englisch,
113000	118000	sodass ich die popkulturellen Sachen ganz anders aufnehmen konnte als andere, weil ich es wirklich verstanden habe,
118000	124000	sowjetische Eltern und dann der jüdische Glaube, der mich sozusagen nochmal eine andere Perspektive gebracht hat.
124000	128000	Wobei ich da nie wirklich, wie soll ich sagen, das hat mich nie komplett definiert.
128000	131000	Aber es war natürlich immer auch ein anderer Blickwinkel.
131000	135000	Und dann habe ich das alles, ich habe das dann mehreren Verlagen zugeschickt, die meinten,
135000	140000	du irgendwie, wie das halt so ist, auf einem Haufen von Manuskripten.
140000	143000	Ich habe schnell gemerkt, ich werde es da nicht schaffen. Ich muss das alleine machen.
143000	148000	Und dann wurde ich Kunstunternehmer. Ich habe dann Lesereisen organisiert, Geschäfte gesucht,
148000	152000	die für Provision meine Bücher irgendwie irgendwo hinstellen auf einen kleinen Platz.
162000	166000	So, Willi. Hi.
166000	172000	Du bist einer von den beiden Willis, die mir in der Postmoderne richtig gut gefallen.
172000	175000	Und zwar Willi Nachdenklich, der mit den Kalendersprüchen.
175000	180000	Und du, ihr seid mir beide irgendwann im Facebook aufgefallen, als ich das noch so aktiv genutzt habe.
180000	186000	Und ich fand deinen Witz wirklich und auch jetzt noch, wenn ich mir irgendwas angucke, du überraschst mich immer noch.
186000	188000	Du bist richtig kreativ und da stehe ich richtig drauf.
188000	194000	Und du bist mir damals aufgefallen, weil du in der größten linken Blase, in der ich drin war,
194000	198000	du ständig die Wokis geträgert hast. Und damals gab es den Begriff Wokis noch gar nicht.
198000	202000	Das muss so 2016 oder so gewesen sein.
202000	208000	Und dann habe ich gedacht, das ist ja witzig. Was macht der denn? Was ist das da?
208000	211000	Und was soll das? Und Snickers und so? Und ich habe es überhaupt nicht gecheckt und so.
211000	215000	Und dann habe ich es mir ein bisschen reingezogen, weil du immer so lustige Bilder machst und so.
215000	218000	Und scheinbar gibt es dich immer noch und du machst das auch immer noch.
218000	221000	Irgendwie, weiß ich noch, du hast irgendwann mal einen Beitrag geteilt,
221000	224000	in dem du dich darüber aufregst, dass deine Beiträge nicht mehr ankommen bei den Nutzern.
