start	end	text
0	9000	Alles, was links ist, war zuerst mal linksliberal und jetzt ist es aber mittlerweile linksneo-liberal.
9000	18000	Also die Leute, die sich nicht impfen haben lassen, haben unmittelbare und direkte staatliche Repressionen erfahren.
18000	26000	Dieser ganze War on Terror, der dann gefolgt ist, lässt sich durchaus ableiten von dieser Erzählung,
26000	33000	die nach zwei Minuten, nachdem das Flugzeug drinnen war, im World Trade Center quasi begonnen hat.
33000	41000	Diese Gleichstellung von Gender Race Class und damit auch die Linke nicht nur neoliberalisiert hat,
41000	48000	sondern tatsächlich auch dem Neoliberalismus einen gewissen neuen ideologischen Überbau gegeben hat.
49000	58000	Diese ganzen politischen Kategorien sind heute so etwas von entleert, dass es extrem schwer ist.
58000	63000	Du kannst heute alles sein, solange du nicht gegen die herrschende Meinung bist.
63000	71000	Ich bin halt erstaunt, wie sehr man im Namen der Klimaretterung über die Natur und über die Umwelt drüber fährt.
78000	86000	Guten Abend Thomas.
86000	90000	Hallo Morf, freut mich.
90000	95000	Erste Frage, was bist du für einer und was machst du?
95000	104000	Ich bin Journalist seit vier Jahren und seit, lass mich nachdenken,
105000	111000	eineinhalb Jahren bin ich freier Journalist. Davor war ich in einer Redaktion angestellt,
111000	119000	in so einem sich selbst verstehenden linken Boulevard-Magazin.
119000	132000	Aber die Wege dort haben sich getrennt im Zuge von Meinungsverschiedenheiten innerhalb der Redaktion,
132000	141000	die sie vor allem bei Corona massiv zugespitzt haben, bei der Superkrippe, wie man sie besser bezeichnet.
141000	146000	Okay, also das ist ja tatsächlich so ein super tolles Reizthema.
146000	152000	Ich weiß auch, zu dem Zeitpunkt, als das losging, Corona und Lockdowns und so,
152000	157000	da habe ich eh gerade an meiner Doktorarbeit geschrieben und bin nicht rausgegangen und war auch mit niemanden vernetzt.
157000	164000	Aber als ich jetzt angefangen habe, mich so mal wieder rauszugeben und mir so ein bisschen mal was reinzuziehen,
164000	170000	was so Linke machen, da habe ich auch festgestellt, dass es irgendwie Teile der Antifa komplett zertrummert hat.
170000	174000	Also weil es einfach Leute gab, die irgendwie komplett auf dem staatlichen Tenor drauf waren
174000	178000	und anderen Leuten dann vorgeworfen haben, sie sind irgendwie Menschenfeinde und so,
178000	185000	nur weil sie, was weiß ich, also das volle Programm, was weiß ich, Lockdowns kritisieren oder so.
186000	192000	Und ja, das heißt, okay, das heißt, du bist ein wirklich anstrengender Mensch?
194000	198000	Würden die meinen nächsten Bekannten sicher nicht sagen.
198000	205000	Aber in der Öffentlichkeit gelte die wahrscheinlich halt sehr anstrengend.
205000	214000	Also wenn ich schaue, wie viel Hass ich zum Beispiel auf Twitter abbekomme, da wo ich das regelmäßig bespiele,
214000	217000	also da finde ich schon einige sehr anstrengend.
217000	221000	Aber du hast einen wichtigen Punkt angesprochen, das ist halt schon,
221000	226000	und das ist tatsächlich in der öffentlichen Debatte überhaupt nicht rausgekommen,
226000	231000	also das musste man schon in irgendwelchen Linkensuppforen oder so suchen,
231000	240000	dass die Brüche innerhalb dieser Linken, ich meine, wir werden ja dann darüber reden, was man da mit meinen überhaupt links,
240000	248000	also das ist ja sehr wichtig, würde ich sagen, oder auch nicht, aber da waren die Brüche überall zu erkennen.
248000	254000	Ich kann mich erinnern, ich habe irgendwann im Jahr 2021 einen Text gelesen von Hausbesetzern,
254000	261000	ich glaube in Berlin oder in Hamburg, wo es darum geht, dass da plötzlich Schwurbler im Haus sind.
261000	272000	Also das war die gleiche Gruppe wie 2020, aber plötzlich sind da irgendwie sogenannte Supergrippeleugner oder was auch immer.
272000	278000	Und das ist nicht ein riesiges Problem natürlich, was machen wir mit denen jetzt?
278000	283000	Also ich weiß aus meinem eigenen persönlichen Bekanntenkreis, kenne ich auch genug Leute,
283000	287000	die weiß ich nicht, bei anderen Leuten irgendwie überhaupt nicht gut ankommen,
287000	289000	einfach weil sie sich nicht impfen lassen oder so.
289000	296000	Und ich zum Beispiel, ich bin ja sogar vierfach geimpft, aber ich bin trotzdem immer ganz cool gewesen mit den ganzen Leuten,
296000	304000	weil es gibt halt irgendwie so Narrative, wo man wirklich irgendwie rausgehört hat,
304000	310000	dass Leute sich doch irgendwie einen starken Start wünschen und sie wünschen sich irgendwie,
310000	318000	ich weiß auch nicht, sie wünschen sich einfach, dass das erzählte Narrativ auch das richtige Narrativ ist, das hat man gespürt.
318000	326000	Ich habe zum Beispiel auf meinem Kanal Videos gemacht, wo ich die Erkenntnisse zu den aktuellen Lockdowns
326000	333000	und auch das, was das Jahr davor passiert ist, aufgearbeitet habe, dass man im Prinzip nicht messen konnte, dass die Lockdowns was gebracht haben.
333000	340000	Und für sowas kriegt man natürlich auch flack, wobei es bei mir ging, weil ich grundsätzlich immer Abos verliere, wenn ich irgendwie Videos mache oder so.
340000	344000	Aber auch da habe ich das gemerkt, dass Leute wirklich davon ziemlich offendet sind,
344000	348000	wenn man das einfach nur sagt, wenn man sagt, ja, hier, okay.
348000	352000	Und ich zum Beispiel jetzt, ich bin nicht auf irgendwelche Demos gegangen, also da habe ich gar keinen Bock drauf und so.
352000	355000	Und wie gesagt, ich lasse mich auch impfen, weil ich auch ziemlich robust bin.
355000	361000	Ich hatte noch nie Probleme mit Impfungen und so. Aber ich kenne Leute persönlich, die haben gute Gründe, sich nicht impfen zu lassen.
361000	371000	Andere Gründe sozusagen, nicht weil sie irgendwie sagen, ich glaube an das, was weiß ich, an Homöopathie oder so.
371000	375000	Das ist halt schon mittlerweile ein sehr leidiges Thema.
375000	380000	Ich habe natürlich auch Freunde, die geimpft sind und die ungeimpft sind.
380000	385000	Und mir ist es prinzipiell auch auch auch auch wurscht, was der Impfstatus des anderen ist.
385000	393000	Also das ist ein Kern der Kritik gewesen. Medizinische Entscheidungen sollen individuell bleiben.
393000	403000	Und da eben nicht so irgendwie ein Ideal eines gesunden Volkskörpers übergelegt werden.
403000	410000	Und damit alle möglichen Grundrechtseinschränkungen legitimiert werden können.
411000	421000	Was eben der Kernpunkt ist vielleicht, ist natürlich, dass gerade die Leute, die sich nicht impfen haben lassen,
