start	end	text
0	2000	Du prokrastinierst auch gern.
2000	5000	Ja voll, klar. Ich lese mir die ganze Zeit Geschichten von
5000	7000	Rennburschmann durch und so.
7000	8000	Ja, natürlich.
8000	9000	Alles Ausbeute.
9000	11000	Ich arbeite auch nicht gern.
12000	15000	Was machst du eigentlich sonst so im echten Leben?
15000	20000	Bist du so ein normaler Spießer, so abends 20.15. Film gucken?
20000	25000	Denkst du, der jetzt sozusagen aus dem reichen Bayern kommt,
25000	27000	auch manchmal über Klassenkampf nach?
30000	44000	Willi.
44000	45000	Hallo hier.
45000	48000	Du bist der zweite Willi im Internet, den ich besonders witzig finde.
48000	52000	Genau, jeden anderen Willi kenne ich auch ganz gut, das Nickers Willi.
52000	53000	Genau, das Nickers Willi.
53000	58000	Und ich weiß gar nicht, wann du angefangen hast mit deinem Kram wahrscheinlich
58000	61000	so vor acht Jahren oder so?
61000	66000	In etwa 2000, Ende 2015 war es, als ich die Seite eröffnet habe,
66000	71000	oder vielleicht schon Anfang 2015, aber Ende 2015 wurde es dann größer.
71000	74000	Mich hat es besonders getriggert, weil ich hatte Leute in meinem Bekanntenkreis,
74000	77000	die wirklich so Kalendersprüche teilen, weißt du?
77000	78000	Ja.
78000	81000	Und ich dachte mir, es hat mich richtig offendet.
81000	83000	Der Kram, der da drauf stand, hat mich offendet.
83000	85000	Auch so wie die Seiten hießen und so.
85000	87000	Und du weißt schon, dieses Ganze, wie das aufgemacht war.
87000	91000	Und irgendwann wurde mir dein Scheiß in meine Timeline reingespült.
91000	93000	Und ich dachte so, das ist ja krass.
93000	96000	Und dann habe ich es natürlich gecheckt, dass du witzig bist und so.
96000	101000	Und was mir besonders gefallen hat, ist mir dann auch gefallen,
101000	103000	sind nicht die Bilder selber, sondern die Texte.
103000	106000	Geschichten, die du dazuschreibst.
106000	108000	Genau, das haben viele gesagt.
108000	112000	Mich hat es ja am Anfang auch wahnsinnig getriggert,
112000	115000	diese Spruchbilder, wie du sie beschrieben hast schon.
115000	118000	Und ja, mit der Zeit hat es immer mehr Spaß gemacht,
118000	121000	oben so die ganzen Bilder zuumschreiben.
121000	124000	Und ja, also ich habe oft die Nachricht bekommen,
124000	128000	dass eigentlich die Texte drüber fast doch wichtiger sind als die Bilder selbst.
128000	129000	Genau, genau.
129000	132000	Also jetzt, ich würde auch sagen, mittlerweile sind die Texte da drüber,
132000	134000	die sind eigentlich das Beste so.
134000	136000	Und dann habe ich mir ja auch, als ich dich gesehen habe,
136000	139000	Leib, als du dann vorgelesen hast, im originalen Stil,
139000	141000	was wahrscheinlich auch gar nicht so einfach ist,
141000	143000	muss man sich das mal aneignen.
143000	144000	Ja, das ging.
144000	147000	Also ich habe bei den ersten zwei, drei Lesungen ging es schon.
147000	151000	Also ein bisschen weniger auf die Rechtscheibschwäche gedrückt,
151000	154000	aber irgendwie dann doch eher punktuell.
154000	157000	Und ja, hat sich dann irgendwie so verinnerlicht.
157000	160000	Ja, ich habe mir dann das Buch reingezogen und so.
160000	162000	Und da habe ich mich auch richtig weggeschissen.
162000	163000	Ich fand es richtig geil.
163000	165000	Ich stehe auf jeden Fall richtig drauf.
165000	168000	Und dann ist mir aufgefallen, okay, du bist wahrscheinlich,
168000	171000	das nehme ich jetzt mal an, ein großer Heilgeschneider-Fan, oder?
171000	172000	Ja, unwahrscheinlich.
172000	177000	Ich glaube, mein ganzer Humor basiert, glaube ich, auf Helge Schneider.
177000	181000	Ich habe mit acht Jahren angefangen aus unserer Stadtbibliothek.
181000	183000	Da konnte man sich so Ideen ausleihen.
183000	188000	Und da haben wir auch schon das erste Helge Schneider Live-Album
188000	191000	ziemlich zehnmal ausgeliehen und drauf und runtergehört.
191000	193000	Natürlich, das alte Reinhard Helgespiel.
193000	194000	Genau.
194000	197000	Was supernimmt sind die alten Hörspiele.
197000	201000	Auf YouTube gibt es die teilweise, wo er praktisch so drei Spuren aufnimmt
201000	204000	und mit einem anderen Charakter spricht.
204000	207000	Das ist megagut so im Sandkasten wie zwei älteren Herren.
207000	209000	Und es gibt ganz viel.
209000	210000	Ja, ja, ja, ja.
210000	212000	Das hat mich auf jeden Fall voll daran erinnert.
212000	216000	Der ganze Humor ist ja mehr so, ich weiß auch nicht, das nennt man wahrscheinlich,
216000	219000	also im Film nennt man das Slapstick oder so, oder?
219000	221000	Kann sein, ja, irgendwie.
221000	223000	Vielleicht ist es so doof, dass schon wieder ...
223000	228000	Genau, also so doof, dass man nicht drauf kommt und dann überrascht sein und dann, ja, genau.
228000	230000	Es gibt aber auch so zwei Typen Menschen.
230000	233000	Ich kenne ganz viele, die können mit Helge Schneider überhaupt nichts anfangen.
233000	234000	Ja.
234000	236000	Und andere, die lieben ihn einfach.
236000	238000	Also so ein Mittelding gibt es da, glaube ich, nicht.
