start	end	text
0	5480	Und das hat mich schon völlig verwirrt, dass im Fernsehen irgendwie so eine Parallelgesellschaft
5480	9120	gezeichnet wird, die überhaupt nichts mit meiner Gesellschaft zu tun hat.
9120	15360	Trotzdem hat man angefangen, die Kultur, die da abgebildet wird, irgendwie zu übernehmen
15360	16360	und nachzuspielen.
16360	40520	So Leute, ich habe immer mal in der letzten Zeit, weil ich ja ein Kita-Kind habe, beobachtet,
40520	48000	dass in der Kita Jungs draußen rumlaufen und so Szenen nachspielen, die sie im Fernsehen
48000	49000	sehen.
49000	50000	Von irgendwelchen Cartoons.
50000	51720	Das sind dann meistens irgendwelche Kampfszenen.
51720	58560	Ich erinnere mich dann quasi an Dragon Ball Z oder so, aber die haben halt irgendwie irgendwelche
58560	60000	anderen Power Rangers oder so.
60000	65000	Ich habe keine Ahnung, was heutzutage da im Kinderfernsehen drin ist, aber sie spielen
65000	69240	irgendwelche Szenen nach, wo sie irgendwie gegeneinander kämpfen auf die eine oder andere
69240	70240	Weise.
70640	72200	Und das ist nichts Neues.
72200	73200	Das gab es schon immer.
73200	77160	Ich weiß nicht, ob es das schon im Kinderwarten gab, da kann ich mich selber gar nicht mehr
77160	78160	dran erinnern.
78160	80800	Ich weiß aber garantiert, dass sowas bei uns in der Grundschule so Standard war.
80800	88640	Und es ist so, ich habe in der letzten Zeit mal ein paar Kinderfilme gesehen.
88640	96320	Und mit Kinderfilme meine ich jetzt, die Zielgruppe ist so offiziell sowas wie abkognitionsfähig
96320	99920	bis acht Jahre oder so oder vielleicht sechs oder sieben oder so.
99920	107080	Also so ein vierjähriges Kind kann so eine Film gucken, versteht ungefähr vielleicht
107080	109120	die Hälfte oder so.
109120	117200	Und dabei habe ich mir irgendwie so ein paar Gedanken gemacht, die mich daran stören.
117200	123240	Also erstmal denke ich, dass Vierjährige zum Beispiel nicht dazu wirklich gemacht sind,
123240	131840	einen langen Film am Stück zu gucken und vollständig die ganze Handlung in ihren Arbeitsspeicher
131840	135880	reinzunehmen, um noch zu wissen, was war eigentlich am Anfang der Quest oder so.
