start	end	text
0	24840	Ich habe jetzt in letzter Zeit immer mal über Kunst nachgedacht und ich hatte gerade als
24840	34120	ich aufgewachsen bin so auch so mit 14 16 und so immer meine Probleme mit Kunst beziehungsweise
34120	39960	eigentlich nicht mit Kunst sondern wie andere sich verhalten bezüglich Kunst oder wie sie damit
39960	45320	umgehen oder wie sie in Wechselwirkungen mit mir treten wenn es um Kunst geht das geht so ein
45320	49960	bisschen auch in die Richtung wie mein Problem mit den Laberfächern was ich damals hatte auch
49960	56040	schon in der Schule und mittlerweile bin ich natürlich sozusagen auch jetzt irgendwie 20
56040	61480	Jahre älter und kann viel besser über solche Sachen nachdenken und ich würde es jetzt so
61480	67480	formulieren dass Kunst meiner Meinung nach eine gesellschaftliche Methode ist mit weltschmerz
67480	73240	klarzukommen also wenn man jetzt nicht aufgelöste Konflikte hat oder Konflikte die nicht auflösbar
73240	80160	sind selbst so Banalitäten wie ich will gern rumficken ich möchte aber auch einen festen
80160	86880	treuen Partner haben solche Konflikte das kann man super da kann man sich super artikulieren wenn
86880	93360	man Kunst darüber betreibt und wenn man jetzt zum Beispiel sich gerne artikulieren möchte über
93360	97640	irgendwas schwieriges was man selber nicht gelöst hat aber man möchte sich einfach artikulieren
97640	101320	ohne sich dann mal auf eine Lösung festzulegen für ein Problem oder so dann ist Kunst auch
101320	106560	richtig gut geeignet also einfach das Bedürfnis zu stillen Gedanken auszuformulieren die dann
106560	112280	aber nirgendwo hinziehen oder die noch gar nicht fertig sind oder die man so nicht in ein
112280	116680	wissenschaftliches Paper reinschreiben kann weil es keine Schlussfolgerung gibt insbesondere
116680	122520	immer dann wenn man gar keine Antwort hat dann ist Kunst eigentlich ein richtig adäquates Mittel
122520	129280	irgendwie Seelenfrieden ein bisschen zu finden mit dem mit dem Konflikt den man hat und viel finde
129280	137680	ich von Kunst lebt in der mehrdeutigkeit also besteht irgendwie allgemein immer da wo unsere
137680	144080	Sprache jetzt zum Beispiel mehrdeutig wird das heißt da wo sie Interpretations Spielraum besitzt
144080	148800	je mehr desto besser und für mich sah es deswegen auch schon immer so aus als würden Künstler
148800	155160	gerade eben ziemlich unabsichtlich auch handeln wenn sie ihre Werke machen das sah für mich immer
155160	159520	so oft so aus also sagen wir mal sie schreiben erst mal so hin was sie so denken benutzen am
159520	164040	besten möglichst viele lustige Worte in Kombinationen und hinterher betreiben sie
164040	168040	dann Overfitting und gucken ob sie da noch was reindeuten können behaupten das wäre dann
168040	172400	Absicht gewesen oder tauschen Worte dann hinterher noch so aus damit es irgendwie toll wird und so
172400	177320	und das machen nicht nur die Künstler sondern das machen vor allem auch die Fans von den Künstlern
177320	182320	und damals wie gesagt Lehrer im Unterricht in den entsprechenden Fächern haben das auch so gehandhabt
182320	186760	und das fand ich immer schon lächerlich weil ich habe das in meiner Jugend auch an mir selber
186760	190840	beobachtet ich habe random irgendwas gemacht irgendwas gezeichnet oder so und hinterher mir
190840	195640	gedacht ach das könnte man aber auch so interpretieren das ist ja voll die Kunst diese
195640	201400	Sache macht für mich auch richtig einfach Schlussmusik immer für meine Videos zu finden
201400	209320	weil die kann man so und so interpretieren also normale Menschen würden halt irgendwie eine
209320	214600	Fantasy Geschichte da rein interpretieren überhaupt weiß ich keine Ahnung und ich
214600	226480	interpretiere dann halt da Kritik über Hierarchien rein oder so klar das ist halt es ist so das liegt
226480	230840	einfach daran dass wir eine Mustererkennung im Kopf haben wir sehen in Wolken Dinge wenn wir
230840	235400	sie sehen wollen das heißt wir sehen auch in randomen Wortgestammel Kunst wenn wir das wollen
235400	244040	ganz einfach und für mich hat sich das halt auch schon immer so angefühlt also wir sehen
244040	248480	vor allem immer dann viele Muster und viele Dinge in Wolken und auch in Wortgestammel wenn
248480	253440	wir schon einen großen Wortstammel haben und wenn wir einen wenn wir schon viele Dinge gesehen
253440	258040	haben und viel erlebt haben und sozusagen einen großen Intellekt gebildet haben über über das
258040	262640	worum es da bei der Kunst gerade geht immer dann neigen wir dazu noch mehr da rein interpretieren
262640	267680	zu können das heißt jemand der mit RTL aufgewachsen ist und 30 jahre lang Nobelzeitung
267680	272480	gelesen hat der neigt eher nicht dazu da noch was drin zu erkennen wenn aber jemand schon so
272480	277160	aufgewachsen ist wie das ist was ganz tolles und diese Kunst knall ich mir voll drauf dann
277160	282920	neigt er auch dazu immer weiter sich sozusagen in diesen Bestätigungs in dieser Bestätigung
282920	287480	spirale zu befinden dass Kunst irgendwie was geiles ist das macht dann hat dann auch so
287480	293760	einen gewissen elitären Charakter finde ich aber ja so und für mich hat sich das irgendwie schon
293760	299000	immer so angefühlt dass es eigentlich viel schwieriger ist Dinge mal exakt zu artikulieren
299000	303840	also irgendwas zu beobachten und es auf das Wesentliche mit Worten runterbrechen zu können
303840	308320	überhaupt sind Worte dafür überhaupt geeignet diese Frage die habe ich mir als Kind und als
308320	316520	Jugendlicher oft gestellt weil das war für mich die viel schwierigere Herausforderung und ich
316520	322000	habe auch dann wenn jemand das geschafft hat in meiner Umgebung diesen Skillcheck einfach bewundert
322000	327040	Leute die das schaffen irgendwas exakt zu artikulieren und Sachverhalte unmissverständlich
327040	333200	auszuformulieren das fand ich immer großartig so dass man sozusagen hinterher die Aussagen die
333200	336880	da genommen sind runter schreiben kann und 100 Jahre später dass die immer noch gültig sind
336880	341200	beziehungsweise dass man die mit anderen Aussagen die so ähnlich formuliert wurden zusammenstecken
341200	344880	kann um neue Erkenntnisse zu produzieren das kann man mit Kunst in der Regel nicht weil Kunst
344920	352120	total schwammig und Fassi logic ist und halt wirklich einfach nur so kurzweilig finde ich auch
352120	357640	irgendwie das wirkt zumindest auf mich so also es gibt sozusagen keine Konsistenzbedingungen bei
357640	361560	Kunst weil wie gesagt Kunst soll das gar nicht machen die soll das gar nicht leisten das ist
361560	367040	eine Methode um mit weltschmerz umzugehen kulturell und darauf basiert halt auch meine ursprüngliche
367040	371240	Abneigung gegenüber Laborfächern weil da habe ich das halt wirklich beobachtet dieses Overfitting
371240	376360	das ist ja auch genau das was zum beispiel jetzt das würde das ist auch in Chemie sozusagen
376360	382480	passiert zumindest die klassische Chemie die in einer normalen Schule gelehrt wird da hat man
382480	386480	ein naives Modell mit irgendwelchen Schalen das geht nicht auf also muss man neue Sonderfälle
386480	391880	dazu definieren und dann Overfitting machen hinterher und sagen guck mal diesen ein chemischen
391880	398080	Prozess können wir jetzt sehr gut mit dieser Formel hier beschreiben sowas und so ist das bei
