start	end	text
0	22460	So Leute, ich wollte es schon lange machen, aber wie immer, der Boy muss halt auch in
22460	30700	der Stimmung sein dazu. Und heute habe ich Bock, mal über das gute alte Thema Verschwörungstheorien
30700	38300	mich mit euch zu unterhalten. Und was meine ich damit? Naja, ich gebe jetzt erstmal ein richtig
38300	45260	blödes Beispiel für euch, was erstmal nichts mit Verschwörungstheorien zu tun hat, nur damit ihr
45260	51180	mal einfach mal so wieder ein bisschen Teil meines Lebens werdet. Ich hatte, als wir hier in Sachsen
51180	59820	anhalt die Außengastro aufgemacht haben, da ging das so. Man brauchte einen negativen Corona-Attest
59820	66180	und dann konnte man zum Griechen gehen und dort wie damals Fleischplatte mit Bier sich holen mit den
66180	73540	Jungs und dann am Tisch sitzen und quatschen, so wie früher. Und der Witz ist jetzt folgender. Es
73540	77740	gibt unendlich viele Variationen von Zetteln, die man da mitbringen kann, auf denen draufsteht,
77740	82940	dass man Corona negativ getestet ist. Und noch witziger ist die Tatsache, dass ich zum Beispiel
82940	87820	zu so einer Teststation hingegangen bin, habe das gemacht, habe dann einen Zettel bekommen und auf
87820	95740	dem steht original nur das Datum, mein Name und das war's. Der Stempel ist da drauf gedruckt,
95740	100620	gefotoshopped, relativ schlecht auch, dann gibt es eine Unterschrift von einem Typen, völlig egal,
100620	104820	spielt keine Rolle und oben so ein bisschen Briefheller und das ganze Dokument sieht schon
104900	109860	total Banane aus eigentlich. Mit diesem Zettel bin ich aber dann zu dem Griechen gegangen und
109860	115900	habe gesagt hier und das war natürlich okay und natürlich ist so ein Gastro-Mensch überhaupt
115900	123300	gar nicht daran interessiert, das zu evaluieren oder zu validieren, wie krass jetzt die Zettel
123300	127740	sind, ob man den jetzt verarscht oder nicht, weil der will ja Umsatz machen. Aber das ist eine echte
127740	131700	Zettel-Logik, weil der natürlich nachweisen muss, dass er das gemacht hat. Darum geht's
131700	135260	wahrscheinlich, man muss sagen, ja technisch gesehen haben wir alle einen Zettel. Der Witz
135260	139180	ist jetzt aber, dieses Ding kann man, dieses Dokument, so wie ich es da hatte, kann man
