start	end	text
0	21760	Ich bin heute aufgewacht und habe festgestellt, es ist ja der 1. Mai, Tag der Arbeit und was
21760	24680	viele nicht wissen und ich wusste das auch ewig nicht, ich habe das erst vor ein paar
24680	34760	Jahren mir mal drauf geschafft, es gab den sogenannten Haymarket Riot 1886 und der gilt
34760	41440	im Prinzip als Ursprung für die Proteste am 1. Mai und es ist ein zutiefst anarchistischer Feiertag,
41440	48280	wissen auch viele nicht, denn da war es so, geplant war, dass die Arbeiterklasse sich
48280	53240	zusammen tut zu einem Streik und die acht Stunden, den acht Stunden Arbeitstag erstreikt,
53240	59680	weil vorher waren halt zwölf Stunden Standard und es war geplant, ab 1. Mai zu streiken und am
59680	66320	4. Mai war es so, da wurden die Streiks aufgelöst und zwar durch eine Forzfleckaktion,
66320	71320	da wurde eine Bombe von den Streikenden auf die Polizisten geschmissen, danach gab es ein paar
71320	78840	Tote durch Gewehrschüsse und es wurden dann sehr schnell acht Schuldige gefunden, es waren
78840	85000	Anarchisten, die wurden quasi mehr oder weniger an die Wand gestellt, also zum Tote verurteilt und
85000	90960	danach haben sich auch noch die Knights of Labor aufgelöst, erinnert euch mal, das war eine von
90960	96760	diesen wichtigen Gruppen, von denen ich in meinem Anarchismus Teil 3 Video als Beispiel gesprochen
96760	103600	habe, also generell, dass es sozusagen in den Staaten am Anfang viele, ich sag mal,
103600	108280	Worker-Unions oder andere Gruppierungen gab, die im Prinzip auf Selbstverwaltung aus waren.
108680	115200	Und jetzt ist es so, es ging im Wesentlichen darum, diesen Streit niederzumachen, klar,
115200	120600	und Selbstverwaltung klein zu machen und es ist irgendwie erstaunlicherweise immer so, dass die
120600	125120	Anarchisten die sind, die von allen am meisten gehasst werden, ist ja klar, das war auch sozusagen
125120	129400	nach der Russischen Revolution auch so, die Anarchisten waren die ersten, die quasi
129400	139640	vom neuen Sowjetregime direkt ins Gulag geschickt worden. Ich wollte nochmal, weil ich jetzt hier
139640	144760	gerade so aufgewacht bin und an den 1. Mai gedacht habe, ich hatte noch so einen kleinen Gedanken,
144760	149800	das Video soll echt nicht lang werden, für euch zum darüber nachdenken, warum Anarchismus jetzt
149800	156760	wirklich alternativlos ist. Und zwar, kleine, kleine Geschichte, ich hole kurz aus, ihr kennt
156760	165160	alle dieses Rätsel mit den drei Türen. Ihr seid in einer Gameshow und es gibt den Zonk hinter einer
165160	169360	von dieser Tür, hinter der anderen Tür ist ein Gewinn und hinter der dritten Tür ist gar nichts.
169360	174120	Und die sind natürlich randommäßig durchgemischt, der Game Master weiß, wo der Zonk ist und wo der
174120	180560	Gewinn ist. Und ihr habt jetzt sozusagen, ihr müsst einfach raten und jetzt ratet ihr einfach
180560	188360	eine von diesen drei Türen. Und der Game Master macht folgendes, er öffnet eine Tür und zeigt
188360	195240	euch, da ist nichts drin. Nee, ich glaube, es war so, es gibt gar keinen Zonk, es gibt nur einen Gewinn.
195240	199400	Genau, es gibt nur, also es gibt drei Türen und da gibt es einen Gewinn und hinter den anderen beiden
199400	204280	ist nichts so. Und ihr wählt eine Tür, random. Jetzt macht der Game Master, gibt euch eine Chance
204280	209560	und zwar er öffnet eine andere Tür, die ihr nicht ausgewählt habt, hinter der der Gewinn nicht ist.
209560	214800	Das geht ja immer, weil es ja genau zwei gibt. Und fragt euch danach, wollt ihr euch noch mal
214800	219720	umentscheiden? Und das ist im Prinzip ein Stochastik-Rätsel, weil man ausrechnen kann,
219720	224040	dass die Wahrscheinlichkeit auf jeden Fall erhöht. Man muss auf jeden Fall danach die Tür wechseln.
224040	228640	Aber warum? Warum? Gibt es da vielleicht eine intuitive Herangehensweise, woran der man sofort
228640	232280	erkennt, abgesehen davon, dass man es ausrechnen kann, warum ist die Wahrscheinlichkeit erhöht,
232280	237760	zu gewinnen? Die Intuition ist nämlich folgendes, der Game Master hat ja die komplette
237760	242200	Information da, das geht da irgendwie mit rein, wenn er die Tür öffnet. Aber wieso erhöht es die
242200	245760	Wahrscheinlichkeit? Und ich weiß noch, als ich das Rätsel das erste Mal gehört habe, da war ich
245760	250840	glaube ich im zweiten Semester oder so, und mein Kumpel, wir saßen da zusammen da und haben über
250840	255600	dieses Rätsel nachgedacht und er meinte relativ schnell, okay, es ist doch ganz einfach. Er macht
255600	259080	jetzt, er macht, was er gemacht hat, um die Intuition für dieses Rätsel zu verstehen. Er hat
259080	263280	diesen typischen Physikostyle gemacht, nämlich Grenzwerte von Parametern oder so angucken. Er
263280	268000	hat einfach gesagt, naja, wir stellen uns mal vor, wir haben 1000 Türen, wir haben 1000 Türen und es
268000	272680	gibt nur eine mit dem Gewinn und man pickt jetzt zufälligerweise eine random raus, dann ist die
272680	277720	Wahrscheinlichkeit quasi Null, dass man die Richtige findet. Jetzt kommt der Game Master und macht N
277720	287040	minus zwei Türen auf. Also er macht sozusagen richtig viele auf, bis auf die eine, die wir
287040	292560	gewählt haben, und die andere hinter der der Gewinn ist. Alle anderen sind leer, man sieht das
292560	296520	und dann stellt er einem die Frage und gibt einem die Wahl, möchtest du dich nochmal umentscheiden.
296520	300400	Natürlich entscheidet man sich um, weil der Game Master, weil es so unwahrscheinlich ist,
300400	305920	dass man vorher richtig gelegen hat, dass man danach richtig liegt. Und bei Dreien ist das
305920	309840	Verhältnis das gleiche. Man macht diese eine Tür auf zusätzlich, kriegt Informationen über das
309840	313800	Gesamtsystem und weil vorher die Wahrscheinlichkeit ein Drittel war, dass man richtig gelegen hat,
313800	316840	erhöht sich sozusagen, dann muss man jetzt sozusagen ausrechnen, um wie viel die sich erhöht,
316840	321520	aber sie erhöht sich. Und das ist sozusagen der Trick, den man sozusagen, ich weiß auch nicht,
321600	325280	woher das kommt, aber das macht man in der Physik ständig und das kriegt man auch so rein. Man
325280	328720	denkt dann sozusagen nur noch in solchen Skalen und überlegt sich so ganz einfache Sachen immer,
328720	332480	indem man irgendwas auf Null gehen lässt oder auf unendlich und guckt erstmal, wie sich das im
332480	336240	Niemens sozusagen für große und kleine Zahlen verändert. Zum Beispiel, wenn man Parameter
336240	341400	ändert, die Masse von einem System oder so. Und so löst man so ein Rätsel. Und warum erzähle ich
341400	346920	euch das jetzt? Naja, die alternative Formulierung, warum Anarchismus alternativlos ist, stellt euch
346920	355960	doch mal die Frage, was braucht man, um die Welt zu zerstören? Was bräuchten wir sozusagen? Was
355960	360040	ist ganz zwingend notwendig, wenn ihr jetzt sozusagen unbedingt das wollt, wenn ihr jetzt
360040	366240	die Welt zerstören wollt? Was braucht ihr dann? Also klar, sagen wir mal, wenn ihr die Menschen
366240	370120	alle vernichten wollt, dann reicht wahrscheinlich so ein richtig krasser Biokampfstoff, also so ein
370120	374520	Virus, was man wirklich richtig reinkickt. Aber die Frage ist, ob man damit auch alle Menschen
374520	378480	vernichtet? Wahrscheinlich nicht. Aber das wäre wahrscheinlich etwas, was man bräuchte,
378480	383000	wenn man richtig viel Schaden anrichtet. Aber trotzdem, wenn man jetzt irgendwie mit Atomwaffen
383000	387320	oder mit Krieg die Welt zerstören will, weil was anderes fällt mir jetzt nicht ein, wo man so richtig
387320	391120	viel Schaden anrichtet. Man will jetzt wirklich einen richtigen kataklystischen Event, so die
391120	395840	Welt richtig kaputt machen, alle Menschen töten und so. Das schafft man überhaupt nur mit
395840	402040	Machtherarchien. Das geht gar nicht anders. Und jetzt stellt euch mal die Frage, wozu man diese
402040	408080	Machtherarchien eigentlich noch braucht. Wozu braucht man sie noch? Und je länger ich darüber
408080	414560	nachdenke, desto klarer wird mir, dass es eigentlich gar keinen anderen Verwendungszweck für
414560	421920	Machtherarchien gibt. Für alles andere kann man immer auf Netzwerke und demokratische Prozesse
421920	428080	abzielen. Das ist doch eigentlich ein interessanter Gedanke, oder? Den hatte ich halt heute gerade,
428080	436120	als ich aufgewacht bin. Und ich weiß auch nicht, also denkt nochmal an mein Video Anarchismus Teil
436120	443360	2 und Kontrolle. Da sage ich ja auch, wie bekommt man irgendwie viele Menschen, also ihr müsst euch
443360	447240	nochmal diese Frage stellen. Wenn ihr jetzt die Welt kaputt machen wollt, dann müsst ihr ja viele
447240	452560	Menschen davon überzeugen, etwas zu tun, was sie gar nicht machen wollen. Das geht nur,
452560	456840	also selbst wenn sie wissen, dass das instinktiv falsch ist, das geht nur mit Entfremdung,
456840	462640	das geht nur mit Teile und Herrsche. Vornehmend gesagt geht das nur mit Marketing, also mit
462640	468480	Propaganda geht das. Das geht vor allem dann nur, wenn ein einzelnes Kontrollorgan genug
468480	475400	Entscheidungsgewalt hat, bzw. alle Entscheidungsgewalt. Das geht nur in Hierarchien. Das geht nicht,
475400	480640	das geht einfach nicht, wenn die Hierarchie, der man beiwohnt, nicht groß genug ist. Dann geht
480640	489520	das nicht. Und ich sage es ja auch in meinem Anarchismus Teil 2 Video über Kontrolle. Das
489520	495040	sicherste Verschlüsselungsverfahren der Welt muss eins sein, das öffentlich bekannt ist. Dieses
495040	500440	sozusagen, dieses unintuitive, fast schon diese paradoxe Formulierung, die aber ziemlich klar ist,
500440	506080	wenn man mal drüber nachdenkt, das erkläre ich auch in dem Video, die ist so ähnlich. Ihr müsst
506080	510240	sozusagen diesen Grenzwert euch einfach mal stellen. Und aus dieser Schlussfolgerung finde
510240	515120	ich, weil für alles andere, Handelsnetzwerke, Logistik, wie lösen wir unsere, was auch immer
515120	519680	für Verteilungsprobleme. Für all diese Sachen gibt es emergenten Lösungen. Zum Beispiel der
519680	523520	freie Markt, selbst der, der zwar nicht optimal, aber selbst der ist sozusagen ein gutes Beispiel
523520	529920	dafür, dass man sozusagen weltweite Netzwerke bauen kann von Dingen, die was lösen. Und je
529920	535480	mehr Teilhabe einzelne Knoten in den Netzwerken haben, desto unwahrscheinlicher wird es, dass man
535480	541640	diese Netzwerke sehr einfach dazu verwenden kann, um die Welt zu zerstören. Das ist doch irgendwie,
541640	547400	das ist doch irgendwie krass, oder? Diese Vorstellung. Ja, also klar, wenn man sozusagen auf diese
547400	553440	internen Widersprüche, die sozusagen in der Marktdynamik inhärent sind, wenn man da weiter
553440	559120	sozusagen verfährt und sozusagen da die destruktiven Aspekte mit betrachtet, die ich auch auf meinem
559120	563760	Kanal immer bespreche. Klar, auch da ist es sozusagen, das ist nicht optimal, aber richtig
563760	568680	zerstören kann man die Welt damit auch nicht. Wenn dann überhaupt ist es sozusagen nur ein kleiner
568680	577080	Aspekt, den man braucht, um sozusagen die Welt kaputt zu kriegen. Aber also irgendwie, das ist
577080	583920	so eine Idee. Und eine analoge Aussage für diese Sache mit dem Verschlüsselungsverfahren ist halt
583920	589800	wirklich, das Einzige, was Vertrauen schafft in so einer Gesellschaft, ist Transparenz. Und aus
589800	595320	Transparenz folgt ganz automatisch das Verlangen von Mitbestimmungen und demokratischen Prozessen.
595320	602720	Und das ist halt genau das Gegenteil von Machthierarchien. Ja, also das wollte ich
602720	609360	nur noch mal in ein kurzes Video packen. Vielleicht ist dieser Denkanstoß, vielleicht bringt euch
609360	615760	der Denkanstoß was, ne? Frohen Tag der Arbeit übrigens. Ich mache heute einfach nur ein
615760	619360	Grillerchen bei meinen Großeltern und mit meinen Mädchen zusammen und wir machen ein
619360	625440	kleines Chillerchen. Das heißt, ich zünde heute keine Autos an. Aber ja, viel Spaß euch allen, ciao.
625440	632280	Ich habe schon ewig diesen Track von Deeds of Flesh, den ich immer mal verwenden wollte für das
632280	637240	Outro, aber jetzt passt er wirklich richtig gut, weil es geht darum of what's to come. Und sie haben
637240	642640	halt irgendwie vor ein paar, keine Ahnung, vor ein paar Jahren das Album, ich glaube 2006 oder so, da
642640	646240	beschreiben sie genau die Situation vor der wir jetzt stehen, nämlich vor dem Dritten Weltkrieg
646240	651680	und Atomara-Scheiß und so. Und ja, Machthierarchien sind der Shit. Viel Spaß mit dem Song.
883640	892000	Übrigens, der Kanal ist wie eine schöne Vorlesung aufgebaut. Wenn ich unten Videos verlinke, dann
