start	end	text
0	8000	Das einzige, was man mit einem Kampf um Begriffe und mit diesem ganzen Kampf um die Deutungshoheit beeinflussen kann,
8000	12000	ist die Hyperrealität, in der man sich befindet. Sprich, irgendwas im Internet kann man da vielleicht ändern.
12000	19000	Aber ich sage ja, wenn man vom Internet ins Internet reinzieht, dann ist es eigentlich immer verschwendete Lebenszeit.
19000	22000	Weil das bringt nichts, im Internet irgendwas zu ändern.
22000	27000	Das ändert nichts daran, dass es hier irgendwie Kinderarmut gibt und Altersarmut und dass es einen Riesenarmut gibt.
27000	29000	Daran ändert das überhaupt nichts.
30000	47000	So Leute, ich habe ja jetzt quasi zwei Wochen nichts mehr gemacht online und so.
47000	55000	Ich habe aber mitbekommen, dass in Niedersachsen alle aus dem Häuschen sind, weil die AfD richtig viele Wählerstimmen dazu bekommen hat.
55000	59000	Und mich überrascht das natürlich gar nicht.
59000	67000	Und ich habe ja auf meinem Kanal im Prinzip den kompletten Prozess schon vollständig beschrieben, was man dazu braucht.
67000	72000	Also keine Ahnung, man muss die Sache mit dem Cashflow verstehen, dass wir alle in einem Pyramidensystem leben,
72000	78000	dass irgendwie der Schaden immer nach unten durchgereicht wird und die Profite quasi nach oben.
78000	82000	Aufgrund von Wettbewerb kann man das mit den Medien super erklären.
82000	86000	Wegen der ganzen Kasualisierung, das führt automatisch zu BildTV und so.
86000	90000	BildTV wäscht der Arbeiterklasse das Gehirn.
90000	94000	Die kommen dann alle voll ins Stockholm-Syndrom und feiern den Kapitalismus ab.
94000	97000	Und erinnert euch mal Axel Springer.
97000	101000	Axel Springer-Verlag war schon immer der Feind der Arbeiterklasse.
101000	104000	Das ist bekannt, das ist wie Tucker Carlson in den USA.
104000	111000	Und das populärste und wichtigste Beispiel ist natürlich damals, als die CIA den Schaf von Persien hochgeputscht hat.
111000	117000	Den demokratisch gewählten Präsidenten im Iran abgesägt hat.
117000	124000	Und weil, was wollte der, der wollte natürlich die Ölvorkommen sozusagen für das eigene Volk benutzen
124000	127000	und Profite sozusagen ins eigene Volk rumbringen.
127000	133000	Und jetzt ist es so, der Schaf von Persien kam dann nach Deutschland.
