start	end	text
0	18280	so boys ich habe jetzt hier noch mal ein ganz kleines symptom für euch das ist mir gerade in
18280	22780	meiner timeline geschissen worden einer der größten und aktivsten linken blasen die ich so
22780	30820	habe und stellt euch mal vor dieses bild also erstmal da sieht ihr jetzt das auto von hinten
30820	34940	und im wesentlichen ist das relevante da der böse onkels aufkleber denn ihr müsst wissen
34940	42260	in solchen linken lifestyle blasen ist es vor allem so böse onkels freiwillt rammstein das
42260	47260	ist für die gleich nazi das ist völlig klar und wenn jemand aus dem osten kommt ist er sowieso
47260	52460	so noch noch ist das alles noch viel mehr aufgeladen damit und einer der ein so ein
52460	57580	typischer kommentar unter so einem bild ist dann typischerweise naja ist doch klar typische
57580	67140	rammstein böse onkels fans scheiß nazis das steht dann da und natürlich ist es so böse
67140	72620	onkels ist keine naziband sie haben nazivergangenheit aber die gehen damit ganz klar um und du kannst
72620	80300	natürlich nicht verhindern dass nazis deine bände gut finden und so aber das ist echt also das
80300	85780	ist jetzt keine echte naziband so was wie die unicorverschwörung oder so das ist es halt nicht
85780	92620	und insbesondere also die arbeiten ja sogar aktiv dagegen und selbst freiwillt hat glaube ich als
92620	99020	pegida damals losging sich aktiv davon distanziert und mit regenbogenflaggen und so ein post gemacht
99020	103820	und wahrscheinlich auch viele von ihren fans vergrault also das ist so und bei rammstein
103820	108940	brauchen wir gar nicht überreden rammstein sind dediziert links das heißt dieses cliché das ist
108940	114620	einfach nur wird von diesen lifestyle linken halt wirklich super gerne genutzt damit sie einfach also
114620	119420	man sieht schon so das ist wirklich das objekt ihres hasses am besten leute die vielleicht noch
119420	123980	so bauer weiter sind und einfach mal böse onkels führen das ist perfekt für die da können sie sich
123980	129300	richtig darüber auslassen die hassen die also fußball zum fußball gehen böse onkels hören
129300	132780	dann dann ist bis sie bei denen sozusagen unten durch da haben die gar keinen bock drauf und sie
132780	138820	wollen gerne leute verachten auf die runterschauen und das sehe ich also dieses bild hat in meiner
138820	145220	gruppe hier 150 kommentare und davon sind sagen wir mal 90 prozent extrem herablassend und da
145220	149700	steht dann halt so was wie typisch eigentlich müsste sachsen anhalte ja thüringen heißen
149700	155700	oder so und solche sachen und das ist halt alles völlig licherlich weil und jetzt kommt der
155700	160500	allergrößte witz an diesem bild erkennt man folgendes diese ganzen aufkleber die da unten
160500	165460	stehen diese also diese klassischen cliché haften nazi aufkleber die aus dem nazi autos
165460	171540	typischerweise draufstehen klagt nicht kämpft stoppt hier versuche nimmt kinderschänder ostdeutschland
171540	176940	härter als der rest solche sachen ne kraft durch feinstaub und hier ein anti greta auf aufkleber
176940	184540	und so und dann noch diese nazi runen da unten das ist photoshop das sieht man auch wenn man
184540	190060	dahin guckt dass das photoshop ist und trotzdem lassen sich alle drauf ein also es ist wirklich
190060	195540	so es ist ein gefundenes fressen und die leute haben so eine so eine so eine ja so ein verlangen
195540	200380	so ein tiefes verlangen auf jemanden runter zu scheißen dass sie sich wirklich auf einem auf
200380	206700	einem simulacra einem runterholen genauso ist das in dieser also wirklich die kommentare sind alle
206700	211740	so dass sie sich richtig einen drauf abwachsen und übrigens es heißt wirklich machte burcht
211740	217780	dufore heißt wirklich so und da ist natürlich der lokal patriot in mir rausgekommen wenn ich so
217780	222300	was sehe kotze ich ab und ich finde diese elendige diskussion mit rammstein auch immer
222300	226500	übelst lächerlich weil bei rammstein ist am offensichtlichsten und ja klar ich meine freiwill
226500	230900	die machen halt im wesentlichen schlager für für leute die irgendwie patriotische gefühle
230900	236620	haben und natürlich findet man da auch nach auf ein rechtes rechtes gedanken gut in den in der
236620	244220	fanbase aber ja das ist halt das ist ein anderes problem dass das hat erst mal nichts damit zu tun
244220	248100	dass man jetzt sozusagen die bent dafür verachten müsste oder alle fans dieser bent verachten
248100	251740	müsste die leute können das wirklich nicht differenzieren das ist für die so ein richtig
251740	256780	rotes tug da haben die machen die extremes overcompensating und ich wollte mich nur mal
256780	260740	ein bisschen aushöhlen weil das hat wirklich so ein krasses beispiel ist es offensichtlich dass
260740	267220	es photoshop ist und trotzdem rand und rand und rand und machen sich halt auch wirklich inhaltlich
267220	271620	darüber lustig so von wegen ha guck mal dieser aufkleber mit dem zusammen und dann ist das ja
271620	277420	auch noch ein koreanisches auto und ha was für ein toller patriot und so also das ist halt
277420	281900	lächerlich das ist wirklich lächerlich also ich meine ich höre mir böse unkels auch nicht an aber
281900	287660	die machen eigentlich ziemlich solide rockmusik und mein lieblingslied ist übrigens das geheimnis
287660	293500	meiner kraft aber sonst habe ich mit unkels eigentlich nichts am hut aber so pauschal so
293500	299940	leute völlig zu verachten nur weil sie zum beispiel zum fußball gehen das ist sozusagen ich als ich
299940	305660	16 war das heißt die sind mental im prinzip immer noch 16 und da sind tatsächlich auch
305660	310500	gebildete leute bei die unter sonn kommen also unter sonn bild einfach nur weil es sich gut
310500	313940	anfühlt sie so ein bisschen druck abzulassen einfach mal so einen schwachsinnigen kommentar
313940	318100	zu schreiben weil es ist halt wirklich lächerlich erstens photoshop zweitens bringt es überhaupt
318100	322820	nichts weil der typ da der wird nie was von dieser kritik mitbekommen abgesehen davon dass
322820	332900	es fake ist und es ist halt also wirklich ja das ist sozusagen in zeit auf so consumer lifestyle
332900	338900	left ist filter bubble ich wollte euch das nun mal zeigen das war es auch schon wieder von heute
338900	347060	ich wollte nun mal dieses kurze video machen schau youtube das muss ich noch mal hinten
347060	351620	ran schieben also was mich besonders immer stört an solchen sachen ist ja also ich meine ich kann
351620	357700	natürlich verstehen dass das sozusagen leichter dopamine schuld ist für leute sich über so was
357700	365220	auszulassen aber das sind ja wie gesagt relativ privilegierte gebildete leute und da sieht man
365220	371500	genau was das problem ist die großen probleme die großen denkaufgaben das ist denen auch zu
371500	378300	schwierig deswegen lassen sie sich sozusagen fallen in in diesem lifestyle scheiß wo man in
378300	381500	solchen gruppen sich nur noch gegenseitig beweihräuchert wie geil man ist und dass man
381500	386900	ein opfer hat über das man sich lustig machen kann anstatt wirklich mal jetzt weiter zu denken
386900	392940	und mal also zum beispiel könnte man ja auch mal sich überlegen warum es das überhaupt gibt also
392940	399540	warum gibt es nazis warum gibt es leute die sich mit nazis anfreunden obwohl sie gar kein nazis
399540	405300	sind warum leute irgendwie patriotische gedanken haben über all das könnte man sicher über mal
405300	410700	gedanken machen wahrscheinlich passiert das auch in irgendwelchen geisteswissenschaften aber da
410700	417220	definitiv passiert das nicht unter so eine unter so einem bild in den kommentaren und ja das ist
417220	421980	meiner meinung nach wirklich genau das was bei diesem lifestyle mit dabei rauskommt das ist eine
421980	427940	ablenkung die leute lassen sich auch selber davon ablenken es kann ja sein dass sie irgendwann sich
427940	432420	mal überlegt haben sie wollen jetzt mal wirklich progressive menschen werden aber das ist ein
432420	438420	rückschritt du bist ja auch nicht besser dadurch dass du genau dieselben sich genauso verhältst wie
438420	445580	alle anderen lappen auf dieser welt auch also das ist wirklich richtig lappen lappenhaft diese
445580	452300	einstellung wie gesagt die hatte ich mit 16 als ich ein kleiner scheißlappen war und ja ich
452300	457620	finde es wirklich richtig lächerlich und das ist das was man sieht also das ist das was man da oft
457620	465900	sieht und das ist wirklich also ein flächendeckendes ding das hast du da ganz oft und so ein kindergehabe
465900	471940	das kotzt mich halt richtig an insbesondere weil ich halt auch genug leute kenne im osten die was
471940	475780	was ich zum beispiel fußballfans sind und abgesehen davon finde ich ramstein auch zum
475780	479740	beispiel ziemlich geil die machen eine geile show die musik selbst ist jetzt nicht unbedingt so
479740	484700	der kracher für mich persönlich aber wenn man sich auf die lyrics einlassen will sind die eigentlich
484700	492060	ziemlich großartig und ja die shows natürlich bomba besorgen jetzt wie gesagt die haben eigentlich
492060	496780	nur do-botschaften und machen ganz einfache sachen die finden die sind zu langweilig und
496780	500900	freiwillig gar nicht überreden da komme ich gar nicht ran das ist mir zu doof aber ja also
500900	505020	löte deswegen fertig zu machen weil sie irgendwie simple menschen sind und vielleicht auf simple
505020	511660	sachen stehen und irgendwie ihren frieden damit machen sie deswegen zu verurteilen ist halt wirklich
511660	517780	bananen also wenn man überall legen ist dann dann muss man doch nicht noch auf löte die unterlegen
517780	522220	sind so der aber runter scheißen die ganze zeit und das ist halt wirklich die farben wirklich nur
522220	526420	dieses gefühl und irgendwie ich bin so lächerlich ich muss jetzt dieses video deswegen machen naja
526420	532420	egal das ist wieder morf der man ein bisschen über die linke so ein bisschen radet die linke ist
532420	538820	eine extrem heterogene gruppe aber das sieht man da auch jetzt mal noch werbung in eigener sache ich
538820	542660	hatte gestern in der nacht ein übelst flitze kriegt und meinte ich muss jetzt unbedingt mal
542660	550060	ein artikel bei bei freitag in der community schreiben und das hat mich mindestens eine stunde
550060	553740	gedauert weil ich ja kein schreiberling bin und meine rechtschreibung ist furchtbar das heißt
553740	559500	meine frau hat hinterher noch mal geprofriedet ich verlinke den unten ihr könnt euch den mal
559500	564740	durchlesen und mir mal feedback geben wie ihr das findet am krassesten wäre natürlich wenn ihr das
564740	569020	feedback da unten reinschreibt aber da müsst ihr euch wahrscheinlich einen account machen das würde
569020	573740	wahrscheinlich dazu führen dass dieser beitrag hochgerenkt wird oder so keine ahnung ich kenne
573740	577940	mich damit gar nicht aus wie das da intern läuft ich wollte es mal probieren und gucken ob ich so
577940	585780	ein bisschen mehr in dieser völlig abgehobenen intellektuellen blase reichweite erzeugen kann
585780	592620	von leuten die sonst gar kein youtube konsumieren also freitag ist ja sozusagen in intellektuellen
592620	598340	linken seite so ähnlich wie jacobin oder so da sitzen leute die da ich meine das sind leute die lesen
598340	602420	eine zeitung das macht ja von uns normal normal sterblicher liest ja keine zeitung das sind ja
602420	608420	alles irgendwelche keine ahnung krassen typen wahrscheinlich aber ich verlinke euch den mal
608420	617340	unten und ihr lest euch den mal durch thema ist klar wettbewerb und jetzt erst mal ich habe ein
617340	623900	schönes stück rausgesucht panko mucke die irgendwie ziemlich treffend ist zum thema dieser ich hasse
623900	629060	ich gehe voll ab auf diese scheiß lifestyle linken die kein bock haben mal über linke
629060	631980	themen sich wirklich gedanken zu machen viel spaß
653900	655000	was
683900	690900	Kein Super-Fuck, wir brauchen die Sorgen, mach jetzt dein Leben schön, komm, lass ihn!
690900	695900	Kein Super-Fuck, wir brauchen die Sorgen, mach jetzt dein Leben schön, komm, lass ihn!
706900	711900	Glaub mir, wir sind sogar blindend, lass ihn jetzt sehen, wo das mal endet
711900	718900	Hardcore-Funk, das Kopf der Beton, kein Bruderlich, und gegen den Storch
721900	723900	Sie sammeln uns!
733900	738900	Wir werden nicht so sehen, wie alles so fällt, unsere Welt haben wir selbst gewählt
738900	743900	Für unser Leben gehen wir bis zum Schluss, aufgeben euch, wenn es sein muss
768900	771900	Es abbildet die Reihenfolge, in denen ich die Videos hier hochlade
