start	end	text
0	4000	Warum blockieren Sie da die Wahlversprechen Ihrer eigenen Partei?
4000	9000	Ich habe das Wahlprogramm der SPD mit beschlossen.
9000	13000	Das ist die Faktenlage, nicht Ihre Frage. Meine Antwort.
13000	20000	Das heißt also, die SPD hat dann etwas versprochen, was ursprünglich gar nicht beabsichtigbar umzusetzen?
20000	27000	Es gilt das Programm, das wir beschlossen haben, und das haben wir beschlossen, weil wir das richtig finden.
27000	30000	Ich glaube, damit ist alles beantwortet, was Sie wissen wollen.
34000	41000	Wie kann das überhaupt sein, dass so ein Boy jetzt Kanzler ist? Die Frage, die muss man sich stellen.
41000	51000	Und generell muss man sich eine Menge Fragen stellen, wie überhaupt irgendwelche Dinge überhaupt so passieren können, nachdem offenkundige Informationen in der Gesellschaft schon drin sind.
51000	65000	Bei dem Clip da ist es so, der ist von 2019, da ging es darum, dass Scholz damals in seiner Funktion als Finanzminister in der EU verhindert hat, ganz alleine, dass Steuertransparenz durchgewunken wird.
65000	75000	Und habt mal im Hinterkopf, Scholz, das war doch der, der wahrscheinlich irgendwie mittendrin in diesem Cum-Ex-Skandal und Wirecard und so ein Scheiß rumhängt.
75000	86000	Und ja, die Erklärung, wie sowas sein kann, ich versuche das jetzt in diesem Video mit dem Konzept der Hyperrealität euch ein bisschen näher zu bringen.
86000	97000	Und kurz gesagt kann man irgendwie sagen, naja, so eine Sache wie das mit dem Scholz, da muss man ja einfach nur erklären, die Aufmerksamkeit der Leute oder der Gesellschaft als emergente Struktur, die ist gehackt.
97000	107000	Also die Gesellschaft ist eine emergente Struktur, die hat auch ein Bewusstsein und die hat sozusagen die Aufmerksamkeitsspanne und das Gedächtnis von einem Goldfisch.
107000	112000	Und so ungefähr würde ich sagen, das ist das, was wir sehen, das ist das, was wir beobachten.
112000	117000	Ich habe mir hier ein richtig leckeres Bier besorgt, übrigens 5.0.
117000	122000	Ist nicht so, dass ich von denen Sponsoring habe oder so, aber die haben mir halt mein Marketing geklaut.
123000	128000	Die sind im Prinzip so wie ich, zumindest schreiben sie es hier drauf und das fand ich schon immer geil, deswegen trinke ich das auch so gern.
128000	131000	Ja, viel Spaß mit dem Video.
131000	140000	Leute, sorry, ich habe das Video gestern aufgenommen am Stück, so wie immer und habe direkt, bin direkt los gestartet, ohne erstmal irgendwie eine Art Intro zu machen, wie ich es eigentlich sonst tue.
140000	144000	Deswegen, das gefällt mir nicht im Nachhinein, deswegen mache ich jetzt noch mal so ein Intro.
