start	end	text
0	5000	Ich habe jetzt ein bisschen darüber nachgedacht und ich denke, es ist immer dann sinnvoll aufzuhören,
5000	10000	inhaltlich zu argumentieren, immer dann, wenn man sich in einem System befindet,
10000	12000	dass die eigenen Widersprüche nicht mehr auflösen kann.
12000	17000	Wenn es so voller Widersprüche ist, dass das inhaltliche Argumentieren nur dazu führt,
17000	19000	dass man sich im Kreis dreht oder so.
19000	23000	Und das merkt man ja relativ schnell, wenn man anfängt inhaltlich zu argumentieren und nicht weiterkommt.
30000	44000	Ich habe einen Kumpel, der hat einen Herzinfarkt gehabt, so mit, weiß ich gar nicht, 44 oder so.
44000	53000	Und danach hat er einen Defibrillator eingebaut bekommen und war auch noch in einer Reha.
53000	59000	Und ich habe ihn in der Reha einmal besucht und da hat er mir Folgendes erzählt.
59000	68000	Er ist ein relativ großer, schlagsiger Typ und hat auch damals viel Sport gemacht,
68000	73000	hat eigentlich nur Fahrrad gefahren, hat gar kein Auto, war auch ein Schwimmer und so.
73000	78000	Und hatte den Herzinfarkt, weil er halt ein Nerd ist, der wenig geschlafen hat, viel geraucht hat
78000	80000	und sich im Wesentlichen von Scheiße ernährt hat.
80000	85000	Wie dem auch sei, er hatte diesen Herzinfarkt und hatte deswegen auch ein geschwächtes Herz danach.
86000	93000	Und in dieser Reha war es so, dass er immer mal getestet wurde.
93000	98000	Von wegen setze ich mal hier aufs Fahrrad, auf so ein Testfahrrad und mache mal so und so viel Frequenz,
98000	100000	wie lange hält er das durch und so.
100000	107000	Und da wurden halt sozusagen die Standardmaßnahmen, die halt im Protokoll stehen, abgefahren.
107000	112000	Das, was sozusagen die Krankenkasse abrechnet, das wurde da gemacht in der Reha.
112000	120000	Und mein Freund war sehr unzufrieden und er hat oft versucht, auf den Chefarzt zum Beispiel
120000	126000	oder auf die Leute, die die Tests durchführen, mit denen zu reden und irgendwie, was weiß ich,
126000	129000	irgendwas zu verbessern, irgendwie zu sagen, ja, aber das ist doch jetzt bei mir gar nicht das Problem,
129000	130000	wir könnten doch schon das machen.
130000	133000	Ich könnte doch schon schwimmen gehen zu denen da runter und so.
133000	136000	Ich könnte doch schon viel mehr, weil ich bin ja eigentlich schon viel fitter.
136000	139000	Sagen sie ja auch selber, sie haben schon festgestellt, das ist für mich eigentlich hier gar nicht geeignet,
139000	142000	dieser Test, weil ich bin ja nicht auch noch übergewichtig, so wie alle anderen,
142000	144000	die hier einen Herzinfarkt hatten und so.
144000	150000	Und das hat aber nur zu Frustrationen für ihn geführt, weil er ist immer gegen die Wand gefahren.
150000	152000	Er konnte da nicht viel ausrichten.
152000	158000	Und er dachte halt auch immer, dass es irgendwie, also er hat auch immer so argumentiert von wegen,
158000	162000	es geht ja darum, dass er in dieser Reha wieder gesund wird und dass er sozusagen lernt,
162000	166000	was er später dann noch kann mit seinem Herzen, wozu sein Körper noch fähig ist,
166000	170000	kann er wie schnell, kann er noch Fahrrad fahren, darf er sozusagen diesen Schwierigkeitsgrad,
170000	173000	den nächsten Schwierigkeitsgrad noch testen und so, da durfte er halt nicht und so.
173000	177000	Also irgendwie schneller fahren, schwerer mit Gewichten oder was auch immer.
177000	181000	Und davon hat er mir erzählt, als ich ihn besucht habe.
181000	186000	Und dann habe ich irgendwann zu ihm gesagt, ey, pass mal auf, Kollege,
186000	189000	du scheinst hier eine Sache nicht zu verstehen.
189000	192000	Du argumentierst hier inhaltlich.
192000	200000	Dabei spielt dieser Inhalt überhaupt keine Rolle für die Situation, in der du dich befindest.
200000	207000	Worum es hier geht, ist, dass diese Reha, diese Klinik dort ein Business daraus macht,
207000	211000	wie Massentierhaltung auch oder so.
211000	215000	Mein Kollege, der zu der Reha musste, mein Kumpel,
215000	221000	der ist sozusagen ein potenzieller Geldtopf und der wird abgeschöpft.
221000	227000	In dem Fall, die Krankenkasse bezahlt eine Reha nach den und den Maßnahmen und genauso wird es gemacht.
227000	232000	Es geht nicht darum, dass er da hinterher irgendwie besser leben kann oder so.
232000	235000	Nein, nein, das ist ein reines Zettellogik-Artifakt.
235000	241000	Er ist da, weil das System sagt, er soll dahingehen, die Krankenkasse zahlt dafür Geld
241000	246000	und die Reha-Klinik, die nimmt dieses Geld und macht genau das, was auf dem Zettel steht.
246000	251000	Der Arzt, der da ist, der ist nicht daran interessiert irgendwie Arzt zu sein
251000	254000	und irgendwie ihm das Leben besser zu machen, sondern das ist ein Business-Mann,
254000	258000	der ist der Chef von dieser Klinik und der verdient damit Geld.
258000	267000	Er ist sozusagen ein Zahnrad in diesem System und nicht der Kunde, sondern er ist so eine Art Produkt.
267000	272000	Er wird verkauft an die Reha-Klinik, es könnte nämlich auch eine andere Reha-Klinik machen, diesen Job,
272000	278000	aber diese Reha-Klinik hat den Job bekommen und kriegt deswegen sozusagen den Cashflow von den Krankenkassen.
278000	285000	Und ich habe ihm das sozusagen so erklärt und das hat ihn, glaube ich, natürlich erstmal völlig demotiviert,
285000	293000	diese Perspektive auf die Tatsache, dass er ja gar nicht, dass er sich völlig falsch eingebildet hat,
