start	end	text
0	8000	Was hältst du von Leuten, die preppen? Kennst du Guy McPherson per Crowdfounding überall
8000	11920	Spiegel auf die ganzen Weltblechhütten drauf zu packen? Und das ist halt messbar. Wirklich.
11920	16240	Sie kühlen damit effektiv das Gebäude runter. Und das ist eine passive Kühlung. Du musst
16240	21480	dafür nichts machen. Du legst nur ein Spiegel oben drauf. Das klingt doch jetzt aber wirklich nicht
21480	25880	falsch, oder? Die letzten beiden Unternehmen waren wieder Beratungsunternehmen und heute
25880	31320	bin ich in der Finanzindustrie tätig, bei dem tatsächlich mit größtem Finanziell für
31320	37160	erneuerbare Energien in Europa. So zwei Hände Erde aus dem Erdreich entnimmt. Dann steckt da
37160	43080	in der Regel mehr Leben drin, als auf dem ganzen Erd bei Menschen sind. Ich wohne irgendwo in
43080	47280	Nordafrika und denke mir so, fuck, das ist alles richtig. Und da hast du keine Zukunft. Was willst
47280	51880	du denn noch machen außer auszuwandern? Quasi ein Berührungsnarrativ an meinen Leser. Der kauft
51880	60320	dann auch morgen wieder, weil er nicht beunruhigt wird. Wettbewerb. Genau. Und das ist ganz schwierig.
60320	64360	Schröder hat damals doch gesagt, als er gefragt worden ist, Mensch, Herr Schröder, jetzt nach so
64360	67800	vielen Jahren wieder eine rote Regierung, wie haben Sie das denn geschafft? Sagen Sie mal,
67800	71240	liegt das an Ihrer Vision? Liegt das an der Strategie? Liegt das daran, dass Sie die Massen
71240	75480	so richtig sammeln können und so weiter? Was ist denn das Geheimnis Ihres Folges? Und er hat gesagt,
75480	98440	ich brauche nur Bild, Bums und Glotze. Jens, guten Tag. Ja, meine Güte, wir treffen uns hier in
98440	103480	unsicheren Zeiten. Ich habe drei Aussagen für dich, mit denen ich dich jetzt gleich konfrontiere und
103480	110080	dann kannst du dazu was sagen. Ich habe vor einer halben Ewigkeit gelesen, 50 Prozent des
110080	118000	Sauerstoffgehalts auf der Erde wird von Phytoplancton erzeugt im Ozean. Wir versauern die Ozeane und es
118000	122080	könnte zu einer Bifurkation kommen und es stirbt von jetzt auf gleich dieses Phytoplancton weg.
122080	129920	Zweite Aussage. Ich habe vorgestern die Art Doku zum Regenwurm gesehen und abgesehen davon,
130040	138160	dass der Regenwurm so wie alles andere wegen sechsten Massenaussterben weg verreckt. Die
138160	145080	Vereinten Nationen schätzen, dass wir in 30 Jahren 90 Prozent unseres Soils, also unseres
145080	151880	nutzbaren Bodens verlieren werden, weil es einfach wegschwimmt wegen Dürre und es wird einfach
151880	157760	abgetragen. Und die dritte Aussage habe ich jetzt vergessen. Was sagst du dazu? Ja, da hast du ja
157760	163680	direkt mal schon die komplette Apokalypse aufgemacht. Also mein ganzes Thema ist ja weniger
163680	170840	Klima, sondern Nachhaltigkeit. Das heißt, ich beschäftige mich viel mit diesen planetaren
170840	174600	Grenzen und das meint nicht, dass wir alles aufgefuttert haben, sondern dass wir so viele
174600	179520	Dinge eingetragen haben, dass sich Sachen verändern. Und diesen Eintrag, Geschichten gehört eben zum
179520	187520	Beispiel, dass durch mehr CO2 Emission halt eben auch mehr Hitze gespeichert wird. Es wird CO2
187520	193880	gelöst halt im Wasser und wir tragen halt eben auch eine ganze Menge neue Chemikalien und eben
193880	198080	auch neue Stoffe halt eben auch ein in die Meere und so weiter. Und das hat natürlich Einfluss auf
198080	203760	die Lebewesen, die dort sind. Und das bedeutet halt eben, dass bestimmte, also das dann, dass dann
203760	209040	diese Gleichgewichtzustände in Bewegung geraten, neue Gleichgewichtzustände übergehen und wir können
209040	214280	dann dieser Bewegung dann zuschauen, die normalerweise mehrere tausend, mehrere zehntausend Jahre
214280	219440	teilweise dauern. Und das bedeutet halt eben, dass es auch einen Effekt hat auf alles, was da drum
219440	224680	herum ist. Und klar ist, unser Sauerstoff wird eben erzeugt, der kommt nicht einfach so irgendwo her,
224680	229440	sondern der ist halt eben auch im Kreislauf ausgesetzt, der eben interagiert mit der Biosphäre.
229440	235080	Und die Biosphäre verändern wir gerade. Ob das jetzt dieser Plankton, habe ich auch mal gehört.
235080	241640	Und ich habe das aber auch schon mal über Bäume und auch über Gräser gehört und so weiter. Ich
241640	249560	glaube, es ist gar nicht mal so wichtig, sich jetzt nur an einem Szenario festzumachen. So oder so
249560	254880	sind wir gerade dabei, den Planeten so stark zu verändern, jetzt nicht nur von diesen physikalischen
254880	259920	Strömungsgegebenheiten, sondern auch mit allem, was darauf lebt und das hat einen direkten Einfluss auf
