start	end	text
0	2800	auch immer welchem alter eigentlich egal eigentlich wahrscheinlich machen die
2800	6880	das mit 14 nehme ich an kohle dafür kriegst dass du die prostituiert online
6880	12000	jungs im gegensatz werden mit genau diesem bild groß und da ist die einzige
12000	15440	möglichkeit du musst irgendwie ein giga chat sein damit du kohle hast damit du
15440	19320	dir dann die ohne fans tussis kaufen kannst wenn es nicht offensichtlich ist
19320	22560	vor andere leute dass es einen vorteil bringt was du da gerade tust wird deine
22560	27160	erfindung untergehen das ist gerade der vorteil oder da liegt im kapitalismus
27160	31200	gerade das ding du hast ein unglaublich hohes individual interesse dafür dass
31200	34080	aus deiner erfindung eine innovation wird also etwas dass du auch verkaufen
34080	37160	kannst und dass du vor allem fahrende irgendwie sinnvoll gestalten kannst und
37160	42320	das ist halt wichtig gerade für leute für dinge die nicht offensichtlich super
42320	45360	toll sind für dich zum beispiel smartphones zum beispiel dampfmaschine
45360	49560	nicht das war nicht klar also ganz am anfang hat man vielleicht gesagt ja
49560	54360	brauche ich nicht hab ja sklaven nicht es war nicht offensichtlich ja und da
54360	59160	ist es ein ist einer einer wichtiger ein wichtiger mich hin zu vor mich sagt
59160	64800	war halt einfach günstiger als sklaven ja kontroversen noch einen haufen kohle
64800	68720	wahrscheinlich aber du brauchst nicht mehr stelle wurde die sklaven schlafen
68720	75640	du musst keine nahrung für die besorgen und so aber das ist viel effizienter weil
75640	78440	du sozusagen die sklaven auf einmal die freiheit geschickt hast und dann
78440	83160	kannst du sie bezahlen hinterher für wie viel weniger geld und dann haben sie
83160	87640	trotzdem in einer fabrik gearbeitet und dann muss ich auch um den restlichen
87640	90600	overhead nämlich wo schlafen die wie in ernähren die sich da mussten sie sich
90600	93120	auf einmal selber darum kümmern das ist eigentlich viel geiler für dich gewesen
93120	100240	jetzt ist so wir können aber auch mal jetzt mal uns über was anderes
100240	102840	unterhalten was ist denn jetzt mal aber wirklich mit den merken so du hast
102840	106680	gesagt das ist dein ding oder ich wollte gerade die überleitung machen wie
106680	110400	sagste wie es ist die kosten für die für die für die für die bürosen also nicht
110400	117480	ja ja und personalkosten mit 20.000 den chauffeur und so und den dienstwagen und
117480	131160	ist schon klar und die pension nicht zu vergessen natürlich im dienste des volkes
131160	136680	die haben es sich redlich verdient die leute durch sozusagen den filterprozess
136680	141800	durch eine emergente struktur das kannst du unmöglich befehlen bei irgendwelche
141800	145080	akademiker sich denken das höre ja gar nicht so schlecht ich habe eh nichts
