start	end	text
0	2940	habe ich mich nicht gekümmert, weil ich habe das einmal verstanden gehabt und ich
2940	6600	hatte keinen Bock dann mir irgendwie noch mal mit größeren Zahlen zu hantieren.
6600	9380	Da habe ich lieber über Gott, über die Ordnung der Welt und so weiter
9380	12700	nachgedacht, ägyptische Mythologien und so weiter.
12700	16380	Okay, also ein Steckenpferd. Hast du mal so ein bisschen ägyptische
16380	20180	Mythologie dir reingegönnt? Ja, richtig, richtig. Aber je weiter es, sage ich schon, vom
20180	25660	Niveau, je abstrakter es wird, desto interessanter wird es für mich irgendwie.
25660	29660	Ist wahrscheinlich familiäres Ding irgendwo. Also in der Formele waren
29660	33460	immer schon Gesellschaftsformen, Gesellschaftsdebatten und so weiter
33460	38780	immer schon Thema. Okay. Quasi auf diese ganze Competitive Scheiße stehen
38780	41760	letzten Endes. Und was ist so nachteilig, finde ich, bei diesen ganzen
41760	47380	Competitive Games mit Helden und so weiter und sich messen mit anderen, dass
47380	51180	eben dieses Kompetitive im Vordergrund steht, aber wenn es darum geht eine geile
51180	54100	Story zu haben und vielleicht was über die Welt zu lernen, durch diese
54100	57700	Story in einem Roman letztes Jahr, was du jetzt bei Mass Effect, Dragon Age und so
57700	64860	weiter hast, dass das nicht so wirklich zutage tritt und ich finde,
64860	68460	solche Spiele haben mich definitiv geprägt in meinem Weltbild. Also wenn du
68460	72900	diese Stories hast vom Bösen. Andere ist ja Anti-Marketing. Die Leute klicken bei mir
72900	76020	auf ein Video und fühlen sich verarscht. Die denken, was ist das? Das ist doch kein...
76020	80620	Ich finde, deine Videos haben vom Thumbnail her immer so eine Art und dem
80620	85100	Inhalt, wie es dann am Ende auf einen wirkt, eine extreme Antiproportionalität
85100	89260	aufzuweisen. Also man könnte meinen, deine Videos sind sau langweilig, weil du
89260	93060	nicht so viel... Hattest du mal die Diskussion mit Impen und Proletopier darum,
93060	97220	dass du nicht so viele Gadgets drum herum hast, mit denen du unsere
97220	101980	Aufmerksamkeit lenkst. Aber wenn man erstmal in deinem Video ist, dann hast du so einen
101980	107220	Gesprächsfluss drin, dass man einfach aufmerksam zuhört. Man bekommt vielleicht
107380	112460	nicht alle Themen 100 Prozent mit, aber man ist fokussiert darauf und ohne irgendwie
112460	116820	ständig abgelenkt zu sein, mit irgendwelchen Gadgets drumherum. Das ist
116820	125500	irgendwie die Robespierartigkeit des Kapitalismus. Der Kapitalismus oder jedes
125500	131980	System enthält eben Individuen oder schafft vielleicht Potentialitäten zu
131980	136140	neuen Systemen, die eben diesem einen System widersprechen. Also da
136140	142820	vergrößern sich immer mehr Widersprüche. Und ich denke, dass vielleicht das
142820	147060	Universum eben genau so entstanden ist, aus einem riesigen Kauderwelsch von
147060	153100	Widersprüchen, weil eben in diesem Widerspruch ein Potential zur
153100	159180	Existenz vorliegt. Individuen entstehen halt dort, wo man sich Fragen stellt über
159180	162660	Dinge, für die es, glaube ich, noch gar keine wissenschaftlichen Paradigmen gibt.
162660	165940	Also du hast noch gar kein Messinstrument, um da reinzuschauen.
165940	171980	Ja, also Mystizismus auf jeden Fall entsteht immer da, wo du sozusagen eine
171980	177340	schöne Vermutung hast, wie irgendwas zu sein hat, aber du nicht wissen kannst,
177340	181740	wie es wirklich ist. Ich meine, da ist ein Gedankenschmaus, ganz klar. Schmeckt
181740	185580	gut im Kopf. Aber ich würde auch sagen, wenn du dann diese Mystifikation hast
185580	189420	auf dieser Ebene, die vielleicht für den determinierenden Physiker nicht
189460	193860	interessant ist, dann hättest du, glaube ich, den musst du ja dann überall
193860	197940	vermuten. Und dann hast du eine Verbindung von allem mit diesem eigenen Körper.
197940	204460	Ich fand es super interessant. Ich habe mir mal so einen Mikrocontroller gekauft
204460	208660	gehabt und habe da ein bisschen hantiert mit dem Schieberegister.
220020	228940	Okay. So, Kollege, wer bist du? Was machst du? Okay, ich bin der Mumtaz, wie man
228940	232580	hier unschwer erkennen kann. Ich bin noch in meinen 20ern, studiere
232580	235860	Informatik und Philosophie, interessiere mich für die verschiedensten politischen
235860	241780	Themen von Kommunismus, Kapitalismus bis hin zu, was überhaupt dieser gesamte
241780	248420	Scheiß namens Universum zu tun hat mit der Politik. Und darüber hinaus, ja, bin ich
248420	253260	auch, sage ich mal, ein recht kreativer Dude. Also ich programmiere sehr gerne
253260	259700	und schreibe auch meine eigenen Werke. Ja, überlege auch, welche neuen Ideen kann
259700	266380	es in der Welt geben und so weiter und so fort. Philosophie und Informatik. Bedeutet
266380	270900	das jetzt zwei Studiengänge gleichzeitig oder einfach nur
270900	273660	Philosophie mit noch so einem Nebenfach oder so?
273660	280340	Nee, nee, also das ist tatsächlich nicht unbedingt eine Art von Zweifach-Bachelor,
280340	284660	aber eine Art von, also der Abschluss am Ende nennt sich Joint Bachelor of Arts.
284660	291020	Den kann man dann in der Universität in Hessen erwärmen und da hast du
291020	295820	natürlich nicht 180 CP plus 180 CP. Das wäre, glaube ich, nicht möglich in
295820	300420	Deutschland, sondern du hast einfach 75 CP plus 75 CP jeweils Informatik und
300420	304700	Philosophie und dann noch im Optionalbereich, wo du dich anderweitig orientieren kannst.
304700	310780	Das ist eine interessante Mischung. Da muss ich jetzt erst mal drüber nachdenken. Das ist eine
310780	317580	interessante Mischung. Das heißt, Informatik schon jetzt aber auch so, also wie viel
317580	321660	Modulfreiheit hast du da? Ist da so theoretische Informatik drin bei dir?
321660	328780	Ja, die ist auch drin. Tatsächlich deckst du halt nicht die gesamte Kanonik der
328780	332260	Informatik ab. Geht ja gar nicht, ja klar. Funktioniert nicht auf 75 CP.
332260	336100	Aber das ist eigentlich cool. Das ist eigentlich cool, weil dann kann man sich den Scheiß sparen,
336100	339380	den ich zum Beispiel lähmfinden würde, so Datenbanken und...
339380	344140	Ja, das ist nicht der Scheiß, aber der, der wirklich unsere Studenten Schwierigkeiten
344140	346940	bereitet an Scheiß ist Mathematik 1, Mathematik 2.
346940	351820	Das ist doch klar, aber da hätte ich ja Bock drauf. Also wenn ich jetzt sozusagen, für mich klingt das
351820	354580	gerade nach einem richtig attraktiven Studiengangsmodell, weil ich nämlich
354580	358500	Informatik deswegen nicht genommen habe, weil da zu viel Scheiß dabei war, der mich nicht interessiert.
359460	363300	Ich wollte einfach nur coden und dann ist wahrscheinlich eigentlich besser ein Fach Informatiker
363300	367700	Ausbildung zu machen und nicht Informatik an der Uni zu haben.
367700	372820	Aber das wäre natürlich cool, weil mit Philosophie, könnte ich mir vorstellen, gibt es natürlich
372820	377900	interessante Aspekte, weil ja, wie du schon sagst, da kommt man natürlich sofort ins Denken.
377900	380580	Da kann man ja gleich mal sich mal was richtiges überlegen.
380580	384140	Da kannst du halt den Master in Philosophie noch mal ranhängen oder die IT-Sicherheit und so weiter.
384140	386940	Es kann sein, dass man da noch im Nachhinein Satzung erfüllen muss,
386980	391500	Module noch mal nachholen muss, die man für dann den Master in Informatik braucht.
391500	394940	Aber das ist dann immer die Geschichte mit dem Studienbüro letzten Endes.
394940	400540	Ja. Und in wievielten Semester bist du jetzt?
400540	402980	Ich bin jetzt im achten Semester.
402980	405660	Und du hast aber nicht abgekackt wegen Mathe 1, 2, 3?
405660	407780	Nee, nee, ich bin deswegen nicht abgekackt.
407780	408980	Okay.
408980	411780	Ich bin da weitergekommen auf jeden Fall.
411780	416380	Ich habe für eine Zeit lang, sag ich mal, mich nicht so mehr auf die Uni konzentriert,
416380	423020	sondern ich habe Ghost-Writing betrieben und das wird der Uni ein bisschen zurückgestellt.
423020	428620	Das heißt, ich habe ja auch noch so ein Side-Projekt,
428620	431500	was ich aber jetzt seit einem halben Jahr gar nicht mehr verfolgt habe,
431500	437940	nämlich das Handbuch zum Survival-Kampf gegen die Rechten in Debatten,
437940	441780	wo ich sozusagen die klassischen Talking Points alle abklatsche.
441780	444540	Und da braucht man natürlich hinterher jemanden, der texten kann
444540	448300	und sich gut auskennt mit Sprache und da drüber leben muss.
448300	451980	Wie viel nimmst du da so?
451980	456220	Das regle ich eigentlich immer pauschal, aber ungefähr so 20 Euro pro Seite.
456220	463100	Und dann je nachdem nach Qualität und Themen, Themengebiet kann das auch mal 50 Euro pro Seite sein.
463100	467540	Wenn du Philosophie, da hat man ja dann, also da gibt es ja tatsächlich zur Informatik
467540	472180	wahrscheinlich sogar ein bisschen Überlap, so formale Logik könnte ich mir vorstellen.
472220	479620	Wie heißen denn diese Morschen, diese Algebra, diese Buhlsche Algebra, die hat doch einen Namen.
479620	484980	Diese Morschen, sind das die Morschen Gesetze, die sozusagen mit diesen Und-Quantoren
484980	489020	und den Odern und den Klammern und die Morgensche,
489020	492620	wo man dann sozusagen wie mit mathematischen Gleichungen so hin und her stecken kann
492620	496740	und dann im Prinzip die Algebra benutzt.
496740	497700	Das ist alles uralt.
497700	498820	Ja, uralt, aber super geil.
498820	501740	Also das ist ja cool, weil dann gibt es natürlich wirklich einen Überlap,
501740	504780	wenn du das in der Philosophie quasi, da hast du das ja eh.
504780	508020	Da hat man auch einen Vorteil, dann gibt es halt Kommilitonen, Kommilitoninnen,
508020	512300	die dann überhaupt nichts anfangen konnten mit der Logik und Argumentation.
