start	end	text
0	4520	Das Jobcenter, das sind Steuergelder und Agentur für Arbeit.
4520	12600	Wie finanziert sich die? Die finanziert sich durch Beiträge von deiner Lohnarbeit und von deiner Arbeitgeberin.
12600	23440	Das heißt, da wird dann entweder weniger Geld zur Verfügung stehen oder das wird sich in Zukunft mit Sicherheit auch wahrscheinlich 0,5 Punkte bei uns erhöhen, die wir einzahlen werden.
23440	27200	Das ist auch so eine Umverteilung, von der irgendwie wenig die Rede ist.
27200	33600	Ich habe mit Leuten zu tun, die haben einen Antrag schon vor weit über einem Jahr gestellt, der noch nicht bearbeitet wurde.
33600	34600	Ja.
37160	51400	Es gab zum Anfang dieses Jahres eine Wohngeldreform, die von der Bundespolitik durchgesetzt wurde, wo viele Leute mehr Zugang zu Wohngeld bekommen sollen.
51400	55840	Aber real bekommen den halt viele einfach nicht, weil die Behörde nicht hinterherkommt.
55880	59280	Weißt du, was grün bei uns in Baden-Lüttenberg bedeutet?
59280	60680	Naja, Autos wahrscheinlich.
62440	63440	Ja.
75160	80480	So, jetzt Gaja, das ist aber mal ein toller Name.
81480	84200	Was machst du denn?
84200	90200	Ich weiß nur Sozialarbeiter aus Baden-Württemberg, da wo die reichen Leute wohnen.
92440	97600	Ja, genau, ich bin Sozialarbeiter, da bist du schon mal ganz gut informiert.
97600	104560	Und da wo die reichen Leute wohnen, das ist wahrscheinlich gar nicht mal so ganz verkehrt.
104560	109560	Ich selber habe aber wenig mit der Arbeit mit Reichen zu tun, im direkten Arbeit.
109640	115320	Ich arbeite ja tendenziell mit armen Leuten, mit Leuten, die auch geflüchtet sind.
115320	119800	Also ich bin Sozialarbeiter und bin in der Beratung für Geflüchtete tätig.
119800	132080	Und da werden zwar die Leute auch regelmäßig vom Jobcenter oder von anderen Behörden nach größeren Geldsummen gefragt, ob diese auf dem Konto oder auf anderen Konten im Ausland liegen.
132080	137960	Aber diese Auslandskonten, ich glaube, die in Lichtenstein und Schweiz ist dann doch nicht die Angelegenheit, mit denen ich zu tun habe.
137960	138960	Ja.
139960	142280	Und Flüchtlinge, wie lange machst du das schon?
143480	146160	Also ich habe jetzt noch nicht sonderlich viel Erfahrung, wenn ich ehrlich bin.
146160	151200	Also ich habe jetzt vor jetzt knapp drei Jahren mein Studium beendet, dreieinhalb Jahren.
151680	154720	Und seitdem bin ich ungefähr auch tätig, seit drei Jahren ungefähr.
155720	157080	Wobei, da muss man da studieren.
157080	160360	Moment, Moment, Moment einmal, ich bin seit zwei Jahren tätig.
160960	162920	Ja, Mathe ist nicht meine Stärke, offensichtlich.
162920	166640	Ja, aber Moment mal, ich wusste gar nicht, ist das ein Studiengang?
166640	169360	Ja, ja, tatsächlich, das ist ein Studium.
169640	171320	Studium der sozialen Arbeit.
173440	174520	Das studieren wir.
174520	179600	Das ist aber tatsächlich, mit Sicherheit wirst du auch andere Schulen finden.
179600	185040	Aber soweit ich weiß, ist das ausschließlich an Hochschulen auch gelehrt, also in Baden-Württemberg an Hochschulen.
185560	192920	Und jetzt haben wir auch die Situation, bei uns in Baden-Württemberg ist ja auch die Situation, nicht nur, dass da Geld liegt,
192920	197120	sondern das Geld ist auch unter anderem in Kirchen gar nicht mal schlecht verankert.
197520	202400	Und alle Sozialarbeiterinnen, fast alle Sozialarbeiterinnen gehen zu einer kirchlichen Hochschule,
202400	206720	also entweder zur katholischen Hochschule oder zur evangelischen Hochschule.
206720	209360	Es gibt auch andere, ich möchte gar nicht die meisten sagen,
209360	214400	aber die sind wahnsinnig präsent auf jeden Fall in Baden-Württemberg oder im Süden generell.
214400	219360	So wie das generell, das konservative Christliche sehr präsent ist, auch in der sozialen Arbeit.
219840	224640	Also sowohl auch die Arbeitgeberinnen von den meisten oder von vielen Sozialarbeiterinnen
224640	232160	sind auch dann Caritas am Ende oder Diakonie zum Beispiel, so ist es aber auch im Studium und das ist, genau.
232560	235760	Hat das negative Auswirkungen, dass das Christen sind?
240480	243360	Also ich würde jetzt nicht so diesen kausalen Zusammenhang so direkt herstellen,
243360	247840	nur weil Personen Christen sind, das ist eine negative Auswirkung.
247840	249520	Also wenn sozusagen...
249520	251520	Genau, aber letzten Endes merkst du natürlich.
252480	263280	Also quasi eine ganze Struktur sozusagen mehr oder weniger Einfluss hat auf so eine Berufsgruppe,
263280	268080	weil irgendwie den Großteil des Studiums dann irgendwie damit zu tun haben.
268080	274000	Das klingt für mich erstmal so, als hätte das Potenzial irgendwie negative Aspekte aufzuwirbeln,
274000	277600	die man nicht haben müsste, wenn der Staat sich darum kümmern würde zum Beispiel.
277600	284400	Ja, auf jeden Fall.
284400	290160	Ich habe so eine tendenzielle Vorab, so einen Hass auf, du weißt schon.
290160	296000	Ja, ja, auf die Kirche, auf die Religion, auf die organisierte Religion, mutig mal.
296000	299840	Verständlich, ich muss sagen, ich habe ein bisschen Schwierigkeiten,
299840	305360	gerade wenn es um diese sozialen Fragen geht, den Staat von der Religion so per se einfach so zu trennen, ehrlich gesagt.
305520	309360	Zu sagen, dass das eine unabhängig vom anderen wäre, sehe ich nicht.
309360	316080	Die kommen ja aus Ostdeutschland und da hat man ja, das ist ja der gottloseste Platz auf der Erde.
316080	319360	Ist das denn tatsächlich so?
319360	321360	Ja.
321360	323360	Also ich kann mir das nicht vorspringen.
323360	326880	Ich weiß jetzt nicht, welches Bundesland, aber ich würde sagen, das trifft eigentlich auf ganz Ostdeutschland zu.
328880	332880	Ja, okay, das waren die Kirchen jetzt einfach nicht präsent in den letzten Jahren?
332880	334880	Oder ist das immer noch so?
334880	342880	Es ist immer noch so, dass die Menschen dort am ehesten sich als konfessionslos, als religionslos, als sowas bezeichnen.
342880	344880	Du hast da einfach die meisten.
346880	348880	Weltweit.
348880	350880	Weltweit, also tatsächlich weltweit?
350880	352880	Ja.
352880	354880	Das ist unfassbar, also hier ist es auf jeden Fall ganz anders.
354880	360880	Nur, dass du es weißt, ich bin jetzt hier gerade auf der Suche noch nach einem Buch, das ich eigentlich hier liegen habe,
360880	368880	weil da ist mir jetzt gerade etwas dazu eingefallen, wo wir es von der Verwobenheit von dem Christentum und auch der sozialen Arbeit letzten Endes haben,
368880	374880	weil das Christentum einfach noch eine sehr wichtige Bedeutung hat auch in der sozialen Arbeit, auch in der Entstehungsgeschichte.
374880	382880	Also diese klassische Armenfürsorge und solche Sachen, die sind ja häufig aus der Kirche heraus entstanden.
382880	389880	Und da gibt es, also ich sage das jetzt mal alles ganz, ganz, ganz verkürzt, um es jetzt auch so direkt auf den Punkt zu bringen.
389880	391880	Ich würde nur kurz einmal die Seite aufschlagen.
391880	392880	Ja.
392880	397880	Und zwar kommt es aus dem Buch Sozialarbeit unter kapitalistischen Produktionsbedingungen.
397880	400880	Das ist ein Klassiker der sozialen Arbeit.
400880	404880	An alle Sozialarbeitenden hier schaut euch mal da rein.
404880	406880	Das ist einer der wichtigen Werke.
406880	415880	Und da geht es auch ein bisschen darum, wie Sozialarbeit entstanden ist oder unter was für moralischen Vorstellungen auch.
415880	419880	Und dabei geht es unter anderem auf Johann Hinrich von Wichern ein.
419880	425880	Das ist eine Person, die auch die Diakonie mitgegründet hatte im Jahre 1848.
425880	432880	Zufälligerweise auch das gleiche Jahr wie die Veröffentlichung des kommunistischen Manifests, wenn ich mich nicht täusche.
432880	444880	Und das Manifest, da ging es ja um eine Veränderung in der Gesellschaft und in der sozialen Arbeit auch um eine gewisse Stabilisierung.
444880	448880	Jetzt suche ich das kurz einen Moment, falls das in Ordnung ist.
448880	449880	Ja.
454880	458880	Es ist natürlich schade, dass ich das nicht direkt vorbereitet habe.
460880	463880	Ich glaube nicht, dass ich das so schnell finden werde tatsächlich.
464880	469880	Ansonsten versuche ich das einfach so ein bisschen aus dem Kopf heraus zu machen.
470880	474880	Aber letzten Endes geht es eigentlich nur darum, was ich sagen möchte.
474880	481880	Der Johann Hinrich von Wichern hatte zum Beispiel damals den armen Menschen geholfen und wollte das auch strukturierter machen.
481880	491880	Unter anderem und zwar explizit aus, um gegen die arbeitende Klasse zu kämpfen, um dass da keine Revolution ausbricht.
491880	500880	Da kommen wir auch ganz schnell in die Geschichte natürlich von dem deutschen Kaiserreich unter Bismarck und wie die Versicherungen, die ersten Versicherungen entstanden sind.
500880	512880	Das war ja genauso der Fall, dass dort, sagen wir mal verkürzt so, ich bin jetzt auch kein Experte für Geschichte, aber letzten Endes hatte Bismarck ja Angst gehabt davor, dass die arbeitende Klasse revolutioniert.
512880	515880	Ja, deswegen mussten die auf einmal Sozialversicherung und so.
516880	517880	Ganz genau.
518880	532880	Und Johann Hinrich von Wichern hatte auch mit der Zeit dann eine wichtigere Position in Preußen erhalten in dem preußischen Apparat und hatte auch diese ganze soziale Arbeit so gesehen, um die Leute dann auch in dem System einzuhalten.
532880	539880	Natürlich so dieser Klassiker gibt den Leuten ein bisschen Brot, halte sie im Überleben, aber halt nicht zu viel, damit es auch jetzt nicht viel daneben geht.
539880	541880	Ob das jetzt tatsächlich so ist, das ist natürlich schwierig.
541880	544880	Ich möchte natürlich nicht, dass es den Leuten schlecht geht, mit denen ich arbeite und so.
545880	549880	Also das Christentum hat einen sehr starken Einfluss auf jeden Fall und auch heute noch.
549880	555880	Die Diakonie und die Caritas, lass mich lügen, sind vielleicht zusammen die größte Arbeitgeberin Deutschlands.
555880	558880	Vielleicht aber auch nur einer der größten.
558880	559880	Kann sein.
