start	end	text
0	20600	So, ich habe ja schon auf meinem englischen Kanal einige Videos zum Thema Influencer
20600	26400	als solchen gemacht, weil ich bin der Meinung, das ist ein extrem interessantes Beispiel
26400	33000	für wie Entfremdung funktioniert und wie Leute sozusagen auf den Trick reinfallen,
33000	39400	auf den Trick von Erfolg und oberflächlichen Metriken, die ihnen Dinge suggerieren, die
39400	43520	gar nicht da sind, weil es sich im Wesentlichen um Entfremdung höherer Ordnung handelt.
43520	50880	Und ich wollte das mal in einem deutschen Video machen, weil ich mich eigentlich mal
50960	56000	über ein Lieblingsbeispiel von mir ein bisschen auskutzen wollte, und zwar den
56000	62600	dunklen Parabelritter, aber dazu mehr später. Erstmal das erste allgemeine Problem ist die
62600	74240	Entfremdung und wenn man einen Influencer-Status hat und viele einen großen Verteiler darstellt,
74240	82480	dann hat man natürlich eine große Meinungsmacht und das Problem, was man dann bekommt, ist,
82480	88080	man macht sich ja ein bisschen abhängig von YouTube zum Beispiel oder von den Sponsoren,
88080	94400	weil man typischerweise, wenn man so groß wird, sehr professionell wird und viel Zeit und Arbeit
94400	99280	in die Videos reinsteckt. Man kann sozusagen keinen normalen Job mehr haben oder man kann
99280	102920	das schon, aber darunter leidet halt die Qualität und man will ja auch sozusagen,
103080	106880	man ist dann irgendwann in diesem Work-Fetisch drin und in diesem Hamsterrad, aus dem man nicht
106880	113840	mehr rauskommt. Und wenn man sozusagen nicht mehr unabhängig ist, ist das immer ein Problem,
113840	118400	weil darunter leidet sozusagen der Content. Meine allgemeine Tendenz ist eigentlich immer,
118400	123040	wenn man etwas nur noch für Geld macht, dann ist das, was man da macht, schwachsinnig und je
123040	128600	weniger man es für das Geld macht, desto besser. Und in dieser Skala sozusagen, da leben die
128640	135120	Influencer auch und das sieht man halt. Ich glaube, das erste oder zweite Video auf meinem Kanal ist
135120	140640	KenFM. Warum ich sage, dass mir das nicht mehr gefällt und im Wesentlichen werfe ich KenFM vor,
140640	148520	dass sie voll auf ihre Abhängigkeit gegangen sind, und zwar die Klicks und der Support von der Kraut.
148520	154360	Und sie haben scheinbar festgestellt, wenn sie viele Esoteriker reinlassen und vieles unkritisch,
