start	end	text
0	4000	Als ich mit meiner Frau damals zusammengezogen bin, haben wir uns irgendwann einen Geschirrspüler geholt.
5000	9000	Und auf einmal hatte ich viel mehr Zeit, weil ich habe mir vorher einen Podcast angemacht und dann abgewaschen.
9000	12000	Und auf einmal hatte ich ja viel mehr Zeit über.
12000	18000	Ich würde doch aber nie auf die Idee kommen, dadurch, dass ich jetzt mehr Zeit habe, mehr Geschirr zu spülen mit meinem Geschirrspüler.
18000	21000	Oder mehr dreckig zu machen und dann mehr Geschirr abzuwaschen.
22000	29000	Das ist aber genau die Logik, die der Kapitalist ansetzt, wenn er sagt, ich habe hier einen Prozess, ich habe ihn 50% besser gemacht.
29000	33000	Du kannst mit deiner Arbeitskraft dir doppelt so viel produzieren und das machst du bitte schön auch.
46000	55000	So Leute, ich habe irgendwie einen Flitz bekommen und einfach mal ein bisschen in meine Webcam reingequatscht, über Arbeit fetisch.
55000	58000	Und ich weiß nicht, ob das Video überhaupt irgendwie strukturiert ist.
58000	60000	Es ist eher so eine Art Brainstorming.
63000	65000	Für mich scheint es so, als wäre es ganz schön unstrukturiert.
65000	69000	Ich will euch nur darauf hinweisen, dass wenn ihr das jetzt guckt, erwartet nicht zu viel.
69000	77000	Das sind einfach nur so einen Haufen Stichpunkte, die ich im letzten Jahr so aufgesammelt habe, von denen ich noch nicht genau weiß, wie ich das verpacken.
77000	81000	Ich wollte aber mal dieses Video machen, weil ich das Wort Arbeitsfetisch ständig verwende.
81000	86000	Und damit ihr wisst, was ich damit meine, mache ich jetzt dieses Video. Viel Spaß.
88000	91000	Beobachtung Leute, eine ganz einfache Beobachtung.
91000	105000	Oxfam sagt, während Corona sind die 10 reichsten Menschen unserer Welt um eine halbe Billion Dollar reicher geworden.
105000	113000	Eine halbe Billion. Das ist also eine 5 mit 11 Nullen hinten dran.
117000	119000	Das ist jetzt mal so eine Beobachtung.
120000	129000	Ihr müsst euch mal klar machen, dass wenn wir von Billionen reden, also 10 auf 12 ist eine Billion, Milliarden sind 10 auf Nullen.
130000	134000	Das ist genau die Größenordnung von Menschen, die wir auch haben.
134000	141000	Wir haben Milliarden Menschen auf der Welt und wir haben Billionen an Kohle.
142000	150000	Und wir kriegen es irgendwie nicht hin, diesen Überschuss, diese ganze Produktivität, die wir typischerweise in Dollar messen oder irgendwie in Kapital messen.
151000	159000	Dass daraus sozusagen, dass wir das irgendwie einsetzen, um Fortschritt zu erzeugen.
160000	170000	Das ist, wenn überhaupt nur ein Nebenprodukt, aber das ist nicht das, was sozusagen passiert, was geplant ist sozusagen mit dem Kapital, es soll nach oben weiter durchgereicht werden.
171000	174000	Und das war's. Mehr können wir nicht beobachten.
175000	177000	Und was ist jetzt die Schlussfolgerung?
177000	184000	Die Schlussfolgerung ist, wir haben eine übelst krasse Produktivität und wir sind auch krass innovativ.
185000	191000	Und damit meine ich jetzt innovativ und nicht etwa fortschrittlich, sondern wir können Arbeitsprozesse weiter effizient machen.
192000	196000	Wir können irgendwelche Produkte effizienter herstellen, einfach nur, um mehr Profite zu erzeugen.
197000	204000	Das geht nie damit einher, dass wir jetzt gesellschaftlichen Fortschritt dadurch bekommen oder einen wissenschaftlichen Fortschritt oder so.
204000	207000	Die Leute vertauschen halt permanent Korrelationen mit Kausalität.
208000	216000	So und es ist halt so, dass offensichtlich de facto fast niemand was davon hat, außer wie gesagt die extremen superreichen Menschen.
217000	219000	Ich rede jetzt wirklich von richtig reichen Leuten.
220000	231000	Also wie gesagt, die zehn Reichsten haben halt nur die zehn Leute, das müsst ihr euch mal ausbezogen, zehn Menschen auf der ganzen Welt haben eine halbe Billion mehr Kohle durch Corona bekommen in dieser Zeit.
234000	242000	Diese Maßstäbe sind völlig krass und die zeigen das Ausmaß der Pyramidenhaftigkeit unseres Pyramidensystems, in dem wir leben.
243000	250000	Also die Pyramide ist schon so stumpf, dass wirklich oben nur noch ganz wenig reinpassen und der Bodensatz wirklich extrem krass unten ist.
251000	253000	So müsst ihr euch das vorstellen, der Winkel sozusagen.
255000	260000	Das Ponzi-Schema, in dem wir leben und das wir Wirtschaftssystem nennen, das kann ja gar nicht mehr lange so gut gehen.
260000	263000	So krass wie es sich so stumpf wie der Winkel schon ist.
264000	275000	Und ich finde es halt irgendwie witzig, weil was wir beobachten können ist, dass im Schnitt die Leute heute länger arbeiten und auch mehr Leute arbeiten.
276000	281000	Vor 100 Jahren war es üblich, dass sozusagen der Mann in der traditionellen Familie gearbeitet hat und die Frau hat sich um die Kinder gekümmert.
282000	285000	Das ist auch Arbeit, aber es ist sozusagen keine Lohnarbeit.
286000	294000	Und jetzt ist es so, um nach denselben Maßstäben heutzutage das normale Leben zu führen, müssen halt beide arbeiten.
296000	299000	Da muss einem doch schon klar werden, Moment mal, irgendwas stimmt doch nicht.
