start	end	text
0	29000	Ich hätte mal ein englisches Video gemacht, wo ich einfach nur so ein bisschen über Schneeballprinzip und Schneeballsysteme erzählen würde und irgendwann im Baller nach so 20 Minuten oder 10 Minuten quatschen ist mir aufgefallen, dass für mich eigentlich alles wie ein Schneeballsystem aussieht.
29000	55000	Und die Unterscheidungen die es da gibt eigentlich relativ lächerlich sind und weil ich ja als Physiker eher die Strukturen erkenne und sehe, dass es da vielleicht unterschiedliche Naturkonstanten oder Skalierungsfaktoren gibt, aber im Wesentlichen das Prinzip dasselbe ist, finde ich meist die Unterscheidungen zwischen normalen Wirtschaften und Schneeballsystemen eigentlich relativ unwichtig.
55000	75000	Und ich würde so weit gehen und sagen fast alles sieht für mich aus wie ein Schneeballsystem. Und um das mal völlig klar zu machen, weil ich seitdem rumrenne und alles als Schneeballsystem betitle, muss ich auch mal dieses Video machen und hier geht es jetzt heute um meine Einschätzung zum Thema Schneeballsystem.
75000	100000	Und damit jedem völlig klar ist wovon ich rede, sage ich erstmal warum es geht. Ihr könnt euch vorstellen, ich glaube das allererste Schneeballsystem historisch war irgend so ein Betrüger, der hatte einfach die tolle Idee, er macht einen Club auf und wenn man in dem Club mit sein will, dann muss man einen Mitgliedsbeitrag zahlen, wahrscheinlich einmalig wenn man teilnehmen will und dann vielleicht so monatlich nochmal ein paar Dollar oder so.
101000	114000	Und wenn man dann Clubmitglied ist, dann ist man super krass drauf, dann kriegt man Benefits auf irgendeine Art und Weise. Das ist eine Betrügermasche, man muss die Leute halt irgendwie einlöhnen und dazu bringen andere Leute und mehr einzuladen.
114000	124000	Also immer wenn ihr auf einer Internetseite seid und irgendwo die Mitgliedschaft was bringt und dann aber auch das Einlernen von mehr Leuten auch was bringt, dann wisst ihr schon das geht so in die Richtung exponentielles Wachstum.
124000	143000	Und da sind wir auch schon beim springenden Punkt. Das absolut unverzichtbare Merkmal von allen möglichen Schneeballsystemen ist, dass da eine Bodenschicht exponentiell nachwachsen muss an Leuten, die immer wieder was hineintun ins System, von dem dann das System profitiert.
143000	149000	Und es ist auch immer so, dass in allen Schneeballsystemen der Profit im Wesentlichen nach oben durchgereicht wird.
149000	162000	Also es gibt immer eine Umverteilung, es gibt so eine Art, meistens gibt es richtige Hierarchien und Level auf denen das stattfindet und jeder der über dir ist, kriegt was von dem ab, was du an Umsatz erzeugst oder was auch immer.
162000	174000	Und die modernen Fassungen davon, die so schön definiert sind, dass sie teilweise legal sind und teilweise nicht, heißen dann halt Multilevel Marketing, also MLM oder Network Marketing.
174000	185000	Und so ein paar Beispiele für Network Marketing sind bekannt, also legale Network Marketing, LR, Health and Beauty Systems, Tupperware oder auch die Deutsche Vermögensberatung.
185000	201000	Und das ist witzig, weil wie gesagt, für mich sieht auch alles andere irgendwie wie ein Schneeballsystem aus und um dann nochmal klar zu machen, was jetzt wirklich, was es auch noch gibt, ist das Ponzi Schema.
201000	212000	Und das Ponzi Schema ist ein bisschen witziger, da gibt es eigentlich nicht unbedingt eine Pyramiden Hierarchie, sondern es gibt eigentlich nur einen Chef und alle anderen sind irgendwie da drunter.
213000	221000	Und es wird ein bisschen verschleiert, wo jetzt eigentlich der Profit herkommt, das könnte zum Beispiel ein Hedgefonds sein oder so und alle zahlen einfach ein.
221000	235000	Und da niemand genau weiß, woher die Rendite kommt, sie kriegen halt eine ausgezahlt, denken dann alle okay, der Typ erzeugt hier Rendite, ich finde das gut und ich tue immer noch mehr rein.
235000	248000	Und darauf basiert das Ponzi Schema, dass man mehr Leute anwerben kann, die da auch reinstecken und wenn jemand mal ausgezahlt werden will, was hoffentlich nicht so oft passiert, dann zahlt man den halt mit den Beiträgen der Mitglieder aus.
248000	256000	Aber in Wahrheit wird kein Profit erwirtschaftet, sondern es wird halt einfach nur das Geld genommen und veruntreut, richtig geil und es wird halt eine Lüge erzählt.
256000	271000	Und einer der berühmtesten Ponzi Schema Menschen ist irgend so ein Banker, der dann irgendwie 2008 die scheiß Blase kollabiert ist, auch abgekackt ist, weil zu viele Leute sich auszahlen lassen wollten, weil sie auf einmal Geldprobleme hatten.
271000	277000	Aber da stecken eine ganze Menge Linder auch mit drin und alle haben ihn vertraut, weil er ein super Typ war.
277000	289000	Und wenn du einen Fond hast, einen Hedgefond oder so, dann kannst du sowas machen, weil Hedgefonds erstmal nicht verpflichtet sind, über ihre Trades irgendwas offen zu legen und dann kann man einfach sagen, das ist Betriebsgeheimnis.
289000	296000	Und natürlich, wenn du am Ende der Periode 15% Rendite ausgezahlt wirst, dann denkst du dir, oh geil, Profits.
296000	305000	Aber das ist eine Illusion gewesen, weil der überhaupt nicht erwirtschaftet wurde, sondern es hat nur darauf basiert, dass immer mehr Leute nachgewachsen sind, die mehr investieren in dieses Ding rein.
305000	309000	Und das war sozusagen ein Loch und Fass ohne Boden und das ist einfach super witzig.
309000	322000	Und diese Ponzi Schema zeichnen sich dadurch aus, dass sie kollabieren in dem Moment, wo zu viele Leute ausgezahlt werden wollen und meistens haut der Typ dann einfach ab.
322000	326000	Und ich weiß nicht genau, wie es bei Wirecard war, aber im Wesentlichen ist das ja auch sowas.
326000	334000	Der hat allen vorgegaukelt, dass das hammermäßig ist und dass das voll das Business ist und ein Haufen Leute sind voll darauf steil gegangen, weil klar, das ist der Witz.
334000	340000	Der Trigger ist die Gier des Konsumenten. Die wollen ja auch selber nicht arbeiten, sondern die wollen nur ihr Geld für sich arbeiten lassen.
340000	347000	Das heißt, sie finden jemanden, der ihnen Rendite verspricht und dann müssen sie auf diesen Keks drauf wichsen vor lauter Geilheit.
347000	355000	Und was auch interessant an dieser Thematik ist, dass Legalität eine Definitionssache ist, natürlich, so wie immer.
355000	359000	Es muss Daten geben und Rechtssysteme, die einfach mal Legalität definieren.
360000	366000	Und im Fall von Multilevel-Marketing ist das gar nicht so einfach, zumindest hier in Deutschland.
366000	375000	Und da gibt es ja einen Haufen solcher Sachen, die besonders auf junge Leute abzielen und denen ihre letzten tausend Euro, die sie irgendwo auf dem Sparbuch von einer Jugendfeier haben, noch abziehen wollen.
375000	386000	Und die machen natürlich das, was alle Influencer machen. Die machen Bilder, posen vor gelesenen Autos oder vor nicht mal ihren eigenen Autos auf der Straße und tun so, als hätten sie den übelsten Zweck.
386000	394000	Und ziehen sich halt mit WhatsApp-Gruppen und was weiß ich irgendwelchen lächerlichen Werbeträgern die Beus rein und ziehen sich deren Taschengel dran.
394000	403000	Und das ist einfach super geil und da stehe ich auch total darauf, dass es sowas gibt, weil meiner Meinung nach hält es den Leuten die grausame Fratze des Kapitalismus vor.
403000	409000	Denn für mich ist normales legales Wirtschaften eigentlich nichts anderes. Der einzige Unterschied ist die Skala.
409000	414000	Normales legales Wirtschaften kollabiert auch permanent, bloß auf einer anderen Skala.
414000	423000	Also Pyramidensysteme und Schneeballsysteme zeichnen sich dadurch aus, dass sie nach ein paar Monaten oder nach einem Jahr gefressen sind, weil sie exponentiell wachsen und es dann nicht mehr so schnell weitergeht.
423000	432000	Gute, gut gemachte Betrugsmaschen dauern halt ein bisschen länger und sind dadurch ein bisschen stabiler, aber kollabieren dann auch irgendwann, aber dann kann der Typ noch reinhauen vorher.
432000	442000	Und meiner Meinung nach sind Trends an der Börse und so Bitcoin-Blasen und solche Dinge auch alle Schneeballsysteme, weil sie zeichnen sich dadurch aus, dass exponentiell nachgewachsen werden muss.
442000	450000	Es gibt kein nichts Produkt. Es gibt nur dieses Vertrauen in irgendein Fake, in irgendein Klischee, in irgendeine Werbung oder so.
452000	456000	Die Leute sind völlig entfremdet, alles was sie wollen ist Rendite, es ist ihnen egal woher die Rendite kommt.
456000	462000	Das ist die perfekte Situation, um eine perfekte Ausgangssituation, um so ein Schneeballsystem zu bauen.
462000	471000	Und hier in Deutschland ist wie gesagt beim Multilevel Marketing nicht anders, da ist ja einfach ein Haufen Zettelogik, es sind alles freiberufliche Leute.
471000	481000	Übrigens, ich glaube die Ertragssteuer auf so Aktienrenditen sind 25%, das heißt es ist weit unter der Reichensteuer, aber das ist ein völlig anderes Thema.
481000	488000	Und meiner Meinung nach ist sozusagen Global Stock Exchange, also das was es schon immer war, das was ihr aus Wolf of Wall Street kennt, damals von früher noch,
