start	end	text
0	6480	Das heißt aber auch, dass es wahrscheinlich ist, dass Leute, die diese toxische Eigenschaft
6480	10280	schon haben, auch die sind, die nach oben in der Karriereleiter klettern, weil sie ja
10280	12040	einen Fick auf andere geben und Ellbogen machen.
12040	16820	Das Designproblem liegt jetzt daran, dass unser System aber so designt ist, dass das
16820	21320	auch dieselben sind, die später viel Einfluss auf unsere Gesellschaft haben.
21320	25200	Sie üben ja viel Einfluss aus, dadurch, dass sie dann in den oberen 1% landen und
25200	28400	natürlich mehr Einfluss haben als jemand, der solidarisch ist und was weiß ich, Krankenschwester
28400	29400	oder Pflegepersonal wird.
29400	32680	Seht ihr das Problem?
32680	37040	Kapitalistische Ideologie ist sozusagen eine sich selbst erfüllende Prophezeiung.
37040	58920	Ich habe vor einem Jahr oder so, in meinen englischen Bubbles, wurde mir diese This
58920	63920	Is Water Speech von David Foster Wallace angeboten und die ist übelst gehypt und ich verstehe
63920	68560	auch ein bisschen warum, weil die mit einer ziemlich coolen Analogie anfängt und ich
68560	70040	erkläre sie euch mal.
70040	74440	Der Typ steht in irgendeinem College und erzählt, er hat so eine Ansprache für die Boys, die
74440	77360	da gerade anfangen zu studieren und soll diese ein bisschen motivieren oder was auch immer.
77360	81320	Das ist scheinbar langer Brauch, dass berühmte Leute, die in der Universität da waren und
81320	85200	dann später berühmt geworden sind, dann eine Rede halten und seine Rede fängt an mit, sind
85200	89040	so zwei kleine Fische unterwegs zur Schule und treffen einen alten Fisch und der alte
89040	93080	Fisch sagt so, hey, good morning boys, how is the water today?
93280	94280	Also wie ist das Wasser heute?
94280	98560	Und geht dann einfach weiter und die Fische schwimmen weiter und irgendwann sagt der kleine
98560	101680	Fisch zum anderen, was ist eigentlich Wasser?
101680	107760	Und das soll einem so ein bisschen klar machen, dass sozusagen die offensichtlichsten Dinge,
107760	114160	manchmal die sind die am schwersten zu begreifen sind für unsere individuelle Perspektive,
114160	117520	die wir manchmal gar nicht wahrnehmen können, obwohl sie direkt vor uns liegt, ganz offensichtlich.
117520	122320	Und ich habe auch ein englisches Video dann dazu gemacht, warum ich diese Rede ziemlich
122320	126760	schwach finde und weil diese Analogie ist das einzig Gute daran und die Schlussfolgerung,
126760	130280	die David Foster Wallace dann in 20 Minuten Rede bringt, ist meiner Meinung nach total
130280	134480	scheiße und richtig, also der Typ ist, also diese Rede ist definitiv overrated.
134480	137800	Wenn ihr da Bock drauf habt, zieht euch ruhig das englische Video rein, ich verlinke euch
137800	143480	das, weil er geht da nicht weiter, er denkt diesen Gedanken nicht weiter und ich möchte
143480	146160	diesen Gedanken für euch jetzt hier in diesem Video weiter denken.
146160	150160	Ich habe ja schon mal gesagt, ich schreibe ja jetzt gerade an diesem Handbuch, wie man
150160	156000	Kapitalisten mal so richtig schön gegen die Wand klatschen kann argumentativ und eine
156000	161520	ganz wichtige Sache ist, finde ich, habe ich jetzt so herausgearbeitet, dass in kapitalistischer
161520	167880	Ideologie und in den Talking Points der Kapitalisten so ein paar wiederkehrende Muster sind und
167880	173080	auf die will ich eingehen, denn die basieren auf Widersprüchen, die im Prinzip mit diesem
173080	177320	This is water, mit dieser Idee zusammenhängen und ich erkläre euch, gebe euch mal noch
177360	181000	ein paar Beispiele, bevor ich dann so richtig in die Materie reingehe, ein Beispiel von
181000	185320	mir selbst ist, man weiß, wenn man jetzt auf Reisen geht in arme Länder, zum Beispiel
185320	189360	Vietnam oder so, man darf da auf keinen Fall das Leitungswasser trinken, da stirbt man
189360	192520	sofort quasi, weil da sind so eine Keime drin, die Einheimischen können das wahrscheinlich
192520	196240	gut ab, wenn sie da mit was machen und kochen und so, aber wir können das nicht, wir müssen
196240	199720	das abkochen, das bedeutet insbesondere, dass geschnittene Sachen, die irgendwie gewaschen
199720	204280	wurden, zum Beispiel Salate, für uns im Prinzip ungenießbar sind, weil wir sofort danach
204280	209880	auf Klo rennen und uns den Magen verderben, das ist bekannt und ich bin am letzten Tag,
209880	214240	als ich in Vietnam war, voll das Risiko gegangen und hab mich mit den normalen Vietnamesen
214240	219080	auf der Straße an irgendeine Ecke, mir irgendeine Fohre reingezogen, die die dann mit ihrem
219080	222520	eigenen Knoblauch gewürzt und so gewürzt haben, das im Prinzip aus Leitungswasser
222520	227640	bestand und ich bin das Risiko eingegangen und beim Rückflug hatte ich auch keine Probleme
227640	231840	mit meinem Bauch und das war alles okay, für mich sozusagen hat sich der Eindruck eingestellt,
232600	238480	ich kann das ab. Ich hab einen Kumpel, der hatte eine übelst negative Erfahrung in Ägypten
238480	243800	gemacht, der hat bei irgendeinem All-Inclusive-Hotel halt irgendwie den Salat gegessen und da ist
243800	246880	dasselbe Problem, der wurde gewaschen mit dem Leitungswasser, der Typ saß eine Woche
246880	250600	lang auf dem Klo und kam nicht mehr klar, der hatte nur Durchfall und der war komplett
250600	253800	der ganze Urlaub war im Arsch, das heißt, der ist für den Rest seines Lebens traumatisiert,
253800	256800	dass wenn er in solche Länder fährt, dass er irgendwie sagt, du kannst da nichts essen,
256800	260000	ich fahr gar nicht mehr in solche Länder und ich sag, man kann da in andere Länder
260000	264280	fahren und auch mal gerne die Küche ausprobieren, das sind sozusagen unsere persönlichen
264280	269240	Sichtweisen auf solche Sachverhalte und die entstehen durch unsere persönlichen Erfahrungen,
269240	274320	ist ja klar, das ist jetzt erstmal überhaupt keine krasse Erkenntnis, aber diese Erkenntnis
274320	277920	ist doch ein bisschen krass und das versuche ich euch jetzt hier sozusagen in diesem Video
277920	282680	zu erklären, weil es eigentlich was ziemlich einfaches darstellt, aber das hat interessante
282680	287320	Konsequenzen, die man erstmal weiter denken muss und ich gebe euch mal ein Beispiel von
287400	291880	einem nice Physikerboy, John Butterworth, der hat nämlich eine coole Geschichte, die geht
291880	297000	so ähnlich, der erzählt die Geschichte, er und zwei Physikerkumpels von ihm sind in Monacke
297000	301720	in irgendeinem Casino und sie haben alle so ein paar Chips und sie fangen um 10 Uhr abends
301720	306160	an zu zocken und mitten in der Nacht um 2 Uhr sitzen sie immer noch da und haben noch Chips
306160	311800	über und haben sogar Profite gemacht, das heißt, aus ihrer Perspektive, sie beobachten
311800	316720	seit um 10, das Casino läuft ohne Ende, da sitzen Leute und sie auch und sie spielen
316720	321480	und sie gewinnen dabei Geld, das heißt, sie denken sich, warte mal, wenn der Copier jetzt
321480	325920	hochgeht zu dem Manager und sagt, dass hier diese Physikerboys sitzen und die ganze Zeit
325920	329640	Profite machen, dann muss der Manager doch sozusagen die Panik kriegen von wegen, was
329640	332920	ist mit diesen Physiker Leuten los, haben die irgendeine Methode, verarschen die uns
332920	336440	irgendwie, schummeln die oder machen die irgendwas krasses, was ist deren Methode und da muss
336440	340600	der Copier sagen, naja, er konnte nichts besonderes beobachten, alle Physiker, die er an dem Abend
340600	346480	gesehen hat, haben die Strategie gefahren, dass sie gespielt haben und bis sie irgendwann,
346480	349360	also wenn sie gewonnen haben, spielen sie weiter und wenn sie Bankrott gehen, dann
349360	353760	gehen sie einfach aus dem Casino und gehen ins Hotel und dann sagt der Manager, ah,
353760	358040	ok, Moment, wie viele Physiker waren es denn ursprünglich und dann sagt der Copier, naja,
358040	361560	hier ist eine Konferenz nebenan im Konferenzhotel, das waren 1000 Physiker, die hier reingekommen
361560	366640	sind und jetzt sind noch 3 da und das sind halt die 2 Kumpels und John Butterworth selber,
366640	370400	das heißt, aus der Perspektive des Managers macht es jetzt total Sinn und das Casino geht
370400	374560	natürlich nicht pleite, aber aus der Perspektive von John Butterworth könnte es sein, dass
374560	378760	er diese naive Vorstellung hat, das ist ja gar kein Problem, man geht ins Casino, macht
378760	383200	Geld und das Casino muss einen auszahlen und eigentlich sollte das Casino Bankrott gehen,
383200	389720	auch das ist jetzt sozusagen keine Umwerfenerkenntnis, aber die Umwerfenerkenntnis aus dieser Idee,
389720	394680	die kommt jetzt, die fand ich zumindest damals, als ich das sozusagen das erste Mal gelesen
394680	402080	habe, fand ich das erstaunlich und zwar, wir sind ja kohlenstoffbasiertes Leben und
402080	406440	wenn man sich jetzt fragt, die Tatsache, dass wir wissen, dass wir kohlenstoffbasiertes
406440	413680	Leben sind und das Universum beobachten können, hat das, also diese persönliche Perspektive,
413680	420720	hat das eine Konsequenz für zum Beispiel das beobachtbare Universum, diese Frage könnte
