start	end	text
0	7280	Was jedenfalls auch gemessen wurde am Tiermodell, ist, dass die Sache mit dem Amygdala-Respons
7280	9840	und dem Stress in der Kindheit auch später zu Depressionen führt.
9840	12960	Und jetzt konkret, was haben sie gemacht?
12960	16160	Jetzt würde ich fragen, wie kann man messen, dass Tiere deprimiert sind?
16160	19600	Das ist ziemlich brutal und eklig eigentlich und ganz schön traurig.
19600	24600	Du nimmst das Tier, schmeißt es ins Wasser und wartest, misst einfach, wie lange der
24600	27600	Überlebenskampf dauert, bis das Tier aufgeht.
27600	30600	Und Tiere, die Depressionen haben, geben super schnell auf.
30600	54080	So Leute, ich hatte vor einem Jahr oder so mal einen Talk gesehen von Nim Töttenhemm
54080	63080	und die Frau ist ziemlich based, die erzählt über Kleinkinder und auch Teenager, wie die
63080	71600	sich entwickeln und wie die ihre Stresskontrolle erlernen, also allgemein wie Menschen erlernen,
71600	76320	wie sie mit schlechten oder stressigen Gefühlen umgehen können, ohne komplett auszurasten.
76320	83760	Und ich werde unten in dem Video jetzt hier auch wieder Paper und Talks und so verlinken.
83760	89920	Und es ist so, Nim Töttenhemm, die vorsteht einfach an Kindern und bei ihr, bei ihrem
89920	96640	Talk geht es vor allem um den sogenannten Amygdala-Respons, also um die Antwort eines,
96640	101640	der Amygdala ist ein kleiner Bereich im Kopf, ein ziemlich kleiner Bereich, der ist dafür
102640	109640	zuständig, ein Intention-Network zu haben, also eine Aufmerksamkeit zu bilden über unsere
109640	110640	Gefühle.
110640	115320	Also die beobachtet die eigenen Gefühle und bewertet die und die Amygdala beobachtet
115320	119320	auch die Gefühle von allen anderen, also zum Beispiel von den Eltern oder von anderen
119320	120320	Kindern.
120320	128640	Und die managt quasi das Gefühl, sicher zu sein, also die gibt so eine Art Bewertung
128640	129640	ab.
129640	133560	Das ist jetzt ja die Situation, wie entspannt kann man sein und so, und die schätzt halt
133560	139800	ab, wie das Risiko ist, das wird da sozusagen in der Amygdala trainiert und die Amygdala
139800	146200	ist wichtig, denn die ist total hardwired zum sogenannten medialen präfrontalen Cortex,
146200	153000	das ist so ein Bereich auf dem präfrontalen Cortex, der dazu da ist, unsere Gefühle
153000	157960	zu beherrschen, also zu beobachten dieses Gefühl, das nervt jetzt gerade, ich habe
158040	161280	eigentlich was anderes zu tun, ich muss das mal kurz unterdrücken oder so, ich muss das
161280	165560	mal ein bisschen deckeln, ich kann jetzt hier nicht komplett durch die Decke gehen oder
165560	169520	in total Angst ausbrechen, weil ich habe hier noch was zu tun, so nach dem Motto.
169520	174560	Und dieser Bereich ist aber der, der sich super spät erst im Menschen entwickelt, also
174560	178200	das ist ein Bereich, das fängt eigentlich erst in den Teenagerjahren an und hört nie
178200	182280	auf sich weiterzuentwickeln, also das ist ein Bereich, auch im hohen Alter kann der
182280	185200	sich noch weiterentwickeln, dieser Bereich.
185200	189320	Und ich fand diesen Talk super interessant und darüber will ich jetzt ein bisschen reden
189320	193280	und nachdem ich mir den reingezogen hatte, habe ich dann damals auch noch ein bisschen
193280	197360	mehr rumgeklickt und noch ein paar Paper rausgesucht und so, die habe ich in meinem
197360	201240	englischen Video damals auch alle zusammengefasst, die schreibe ich euch jetzt hier unten dann
201240	207760	auch einfach in die Kommentare rein und die wichtigste Message, die mit diesem Amygdala-Response
207760	213560	jetzt zusammen rumhängt, ist die Aussage, dass Eltern darüber entscheiden, wie sich
213680	220320	das Gehirn des Kindes entwickelt, indem sie anwesend sind oder nicht anwesend sind, also
220320	224840	zum Beispiel im selben Raum, sie müssen jetzt sozusagen nicht permanent helikoptern um die
224840	230840	Kinder oder so, sondern sie müssen einfach nur anwesend sein, denn Kinder gucken, was
230840	236600	ihre Eltern machen und wie die eine Situation bewerten und wenn die Eltern gechillt sind,
236600	241800	dann ist alles ok, dann wissen sie ok, hier ist keine Gefahr und das führt dazu, dass
241800	249920	Kinder dann eher ihrer Neugierde nachgehen können und auch sozusagen auch mal scheitern
249920	253440	können und das Risiko eingehen können, auch mal ein negatives Feedback zu bekommen durch
253440	257680	eine Erfahrung, zum Beispiel überrascht zu werden und irgendwas falsch zu machen und
257680	263000	so, das heißt Kinder lernen besser allgemein, wenn die Eltern einfach nur anwesend sind,
263000	269240	denn die Anwesenheit gechillter Eltern reguliert den Amygdala-Response und die Verbindung zum
269240	276000	medialen präfrontalen Cortex, also da muss man, also wenn die Eltern anwesend sind und
276000	286920	entspannt sind, dann kann sozusagen die Gefühlswelt sozusagen abgedämpft werden, wenn irgendwas
286920	291520	besonders aufregend ist oder so, dann ist, wenn die Eltern anwesend sind, dann kickt
291520	295060	das nicht so heftig rein, diese Gefühlswelt und das Kind kann sich besser konzentrieren
295060	299780	auf das, was da eigentlich passiert. Eine Sache noch insbesondere bedeutet, dass das die Amygdala
299780	306980	selbst dein Cortisol-Level sozusagen regulieren kann und Cortisol ist ja quasi das, was man,
306980	314060	was ausgeschüttet wird in Stresssituationen, wollte ich noch mal sagen und übrigens, wenn
314060	318380	ich Eltern sage, meine ich eigentlich primäre Bezugspersonen, das kann jeder sein, typischerweise
318380	322740	ist es die Mutter, weil die Mutter sozusagen meistens die ist, die das Baby stillt und deswegen
322740	328020	sich automatisch durch Bonding das herausstellt, dass die Betrieb primäre Bezugsperson ist,
328020	332580	das ist aber auch der Vater, der ist nicht ganz so krass, stark typischerweise, aber auch der,
332580	337340	der zählt auch, also wenn die Mutter nicht da ist und der Vater ist okay, gerade wenn am Anfang da
337340	341780	viel gekuschelt wird und so, dann ist das alles okay. Das kann aber auch jeder andere sein, das
341780	346140	heißt, wenn das Kind irgendwie gar keine Eltern hat und bei der Oma aufwächst, dann ist das auch
346140	351620	kein Problem oder zwei schwule Väter, die das Kind adoptieren, ist auch kein Problem, darum geht
351620	355980	es nicht. Das wird einfach durch Bonding im ersten Lebensjahr festgelegt, wer die primären
355980	363260	Bezugspersonen sind und ja, jetzt ist es aber so, wenn die Eltern selber gestresst sind, also
363260	370940	wenn die Eltern selber gestresst sind, dann können sie sozusagen den Trend des Stressgefühls sogar
370940	377020	noch verstärken und ich finde das krass, denn ich habe das mal beobachtet, als unsere Tochter fünf
377020	383540	Monate alt war, saßen wir irgendwie in einem Wohnwagen oder so und da hinten war irgendein
383540	388700	Insekt und meine Frau dachte, das ist eine Spinne oder so und hat sich übelst eingepisst und war so
388700	395180	richtig, hat sich richtig erschrocken und so und ich habe das genau beobachtet, ich war so ein paar
395180	400140	Meter davon entfernt, ich habe gesehen, meine Tochter hat sie angeguckt, hat gemerkt, jetzt ist hier
400140	405500	Polen offen, jetzt ist hier irgendwie übelst Stress und hat selber übelst Angst bekommen und das war
405500	409220	vorher noch nie der Fall, weil meine Tochter eigentlich so ein super entspanntes Kind war
409220	413660	immer und ich fand das heftig, das war sozusagen, da habe ich es gesehen, da habe ich gesehen, wie
413660	418940	dieser Einfluss ist. Wenn wir als primäre Bezugspersonen Stress vermitteln, dass das jetzt
418940	423820	eine angestresste Situation ist, dann kriegt das Kind auch richtig Stress und das macht ja auch total
423820	429540	Sinn, weil sozusagen in einer Gefahrensituation, das Kind kann ja nicht unbedingt bewerten, ob es
429540	434460	eine Gefahrensituation ist oder nicht, das heißt, es muss sich an dem Response der Eltern orientieren.
434460	441980	Klar und wenn Eltern jetzt also selbst Stress verursacht und selber übelste Stressbatzen sind,
441980	446300	dann geht das total runter aufs Kind und das macht alles noch viel schlimmer und ich habe
446300	451580	da eine Beobachtung, ich habe Bekannte, wo die Mutter so eine übelste Drama-Queen ist und alles
