start	end	text
0	4200	Damit kannst du sozusagen den Kfz-Mann und den Bäcker nicht überzeugen, glaube ich.
4200	8400	Weißt du, du musst wenigstens diesen Tempolvorteil den Leuten klauen und sagen, ja stimmt, die gibt es.
8400	15400	Und musst sozusagen auch auf die eingehen und sagen, ja okay, für die ist das wahrscheinlich ein wichtiger Talking Point, dass dieses Thema mal angesprochen wird.
15400	21200	Also was weiß ich, ich habe hier so einen Kumpel, der macht immer mal so eine Anime-Manga-Messe hier bei mir.
21200	26000	Und der hat das mal gemacht bei uns in einem Viertel, wo nebenan so Rumänen sind.
27000	33600	Und da gab es übelst Stress, weil halt die ganzen Anime- und Manga-Mädchen dann irgendwie dumm angemacht wurden von den Asis da.
33600	35600	Und da waren halt auch viele Rumänen dabei und so.
35600	40600	Und er weiß ja, dass ich sozusagen ein linker Typ bin und hat mit mir irgendwann mal zum Geburtstag, hat mir das so erzählt.
40600	45600	Und hat so gesagt, du weißt, ich will das ja gar nicht so sagen, ich bin ja kein Nazi, aber...
45600	47600	Und dann hat er mir so erzählt, wie die Situation da war.
47600	55600	Und er hat sozusagen von mir gedacht, ich bin der normale Bauchlinke, der ihn jetzt verurteilt, weil er diesen Talking Point anbricht.
55600	59200	Und genau das, das ist in allen Köpfen drin. Das darf nicht sein.
59200	65200	Die Linken müssen sozusagen für sowas ansprechbar sein, ohne dass da sich empört wird und eine riesen Welle geschoben wird.
65200	70200	Weißt du? Aber das ist auch so ein Talking Point von den anderen, der den Linken vorgeworfen wird. Und das ist ja auch so.
70200	77800	So Leute, ich habe ja schon mal ein Video jetzt gemacht zur Strategie der Linken und warum ich glaube, dass sie so failen.
77800	83800	Und ich war dann auch noch mal beim Radikalen Demokraten auf dem Twitch und habe da auch noch mal mit ihm darüber gesprochen.
83800	87800	Und so jetzt im Nachhinein ist mir klar geworden, was der absolut Allerwesen ist.
87800	89800	Und ich glaube, das ist jetzt auch so.
89800	91800	Und ich glaube, das ist jetzt auch so.
91800	93800	Und ich glaube, das ist jetzt auch so.
93800	95800	Und ich glaube, das ist jetzt auch so.
95800	97800	Und ich glaube, das ist jetzt auch so.
97800	99800	Und ich glaube, das ist jetzt auch so.
99800	101800	Und ich glaube, das ist jetzt auch so.
101800	103800	Und ich glaube, das ist jetzt auch so.
103800	105800	Und ich glaube, das ist jetzt auch so.
105800	107800	Und ich glaube, das ist jetzt auch so.
107800	109800	Und ich glaube, das ist jetzt auch so.
109800	111800	Und ich glaube, das ist jetzt auch so.
111800	113800	Und ich glaube, das ist jetzt auch so.
113800	115800	Und ich glaube, das ist jetzt auch so.
115800	117800	Und ich glaube, das ist jetzt auch so.
117800	119800	Und ich glaube, das ist jetzt auch so.
119800	121800	Und ich glaube, das ist jetzt auch so.
121800	123800	Und ich glaube, das ist jetzt auch so.
123800	125800	Und ich glaube, das ist jetzt auch so.
125800	127800	Und ich glaube, das ist jetzt auch so.
127800	129800	Und ich glaube, das ist jetzt auch so.
129800	131800	Und ich glaube, das ist jetzt auch so.
131800	133800	Und ich glaube, das ist jetzt auch so.
133800	135800	Und ich glaube, das ist jetzt auch so.
135800	137800	Und ich glaube, das ist jetzt auch so.
137800	139800	Und ich glaube, das ist jetzt auch so.
139800	141800	Und ich glaube, das ist jetzt auch so.
141800	143800	Und ich glaube, das ist jetzt auch so.
143800	145800	Und ich glaube, das ist jetzt auch so.
145800	147800	Also, wenn ihr jetzt jung seid, die hier zuschauen.
147800	149800	Also, wenn ihr jetzt jung seid, die hier zuschauen.
149800	151800	Ich weiß ja, die meisten meiner Zuschauer sind männlich.
151800	153800	Ich weiß ja, die meisten meiner Zuschauer sind männlich.
153800	155800	Damals war es so, als es losging mit dem Sexualtrieb und so,
155800	157800	Damals war es so, als es losging mit dem Sexualtrieb und so,
157800	159800	da wurde immer ein übelster Affentanz gemacht,
159800	161800	da wurde immer ein übelster Affentanz gemacht,
161800	163800	um die Aufmerksamkeit der Weiber zu kriegen.
163800	165800	um die Aufmerksamkeit der Weiber zu kriegen.
165800	167800	Und im Wesentlichen lautete die Strategie, um Weiber zu kriegen,
167800	169800	und im Wesentlichen lautete die Strategie, um Weiber zu kriegen,
169800	171800	natürlich so viel lügen wie geht, so viel manipulieren wie geht,
171800	173800	aber der normale Duktus, den man fahren muss,
173800	175800	aber der normale Duktus, den man fahren muss,
175800	177800	wenn man irgendwie erfolgreich zum Stich kommen will, klar.
177800	179800	wenn man irgendwie erfolgreich zum Stich kommen will, klar.
179800	181800	Und irgendwie führte dieser Machtkampf.
181800	183800	Und irgendwie führte dieser Machtkampf.
183800	185800	Also, das Schlimmste ist immer, wenn du sozusagen eine Traube von Boys hast,
185800	187800	Also, das Schlimmste ist immer, wenn du sozusagen eine Traube von Boys hast,
187800	189800	die eigentlich zum Beispiel so auch Kumpels sind oder so.
189800	191800	die eigentlich zum Beispiel so auch Kumpels sind oder so.
191800	193800	Und jetzt kloppen die sich, fangen die sich aber an,
193800	195800	um irgendwie eine Tussi zu streiten.
195800	197800	Und müssen dann wirklich das komplette Gehabe machen
197800	199800	Und müssen dann wirklich das komplette Gehabe machen
199800	201800	Die ganze schöne Freundschaft dabei auch noch irgendwie
201800	203800	Die ganze schöne Freundschaft dabei auch noch irgendwie
203800	205800	mal kurz vernachlässigen und das ist super toxisch gewesen.
205800	207800	mal kurz vernachlässigen und das ist super toxisch gewesen. Ich hab das immer beobachtet.
207800	209800	Und ja, da wurde dann übelst viel unecht argumentiert.
209800	211800	Und ja, da wurde dann übelst viel unecht argumentiert.
211800	213800	Die Leute haben sich von sich selber entfremdet.
213800	215800	Weil sie mussten ja permanent lügen, um irgendwie besser dazustehen.
215800	217800	Weil sie mussten ja permanent lügen, um irgendwie besser dazustehen.
217800	219800	Aus der Perspektive der Tussi halt.
223800	225800	Im Prinzip ging es um Kasualisierung, ist ja klar.
225800	227800	Im Prinzip ging es um Kasualisierung, ist ja klar.
227800	229800	Wegen Kasualisierung ist es so…
229800	231800	Wegen Kasualisierung ist es so…
231800	233800	Übrigens wichtiges Video, das solltet ihr euch angucken, ist auch nicht so lang...
233800	235800	Übrigens wichtiges Video, das solltet ihr euch angucken, ist auch nicht so lang…
235800	237800	Wegen Kasualisierung dürfen natürlich bestimmte Wahrheiten
237800	239800	Wegen Kasualisierung dürfen natürlich bestimmte Wahrheiten nicht mehr so richtig ausgesprochen werden.
239800	241800	Und es könnte ja sozusagen ein schlechtes Licht
241800	243800	Und es könnte ja sozusagen ein schlechtes Licht
243800	245800	auf den einzelnen Boy werfen, wenn er irgendwas ausspricht.
245800	247800	Deswegen hat es sozusagen…
247800	249800	Dieser ganze Wettbewerb um jetzt die eine Frau
