start	end	text
0	16280	Und auf der anderen Seite werden die ganze Zeit irgendwelche Verschwörungsmythen gedroppt
16280	21200	und geteilt und Zweifel gesät an der öffentlichen Mainstream Meinung.
21200	25600	Man hat sich da irgendwie so rein gesteigert in irgendwas und es ist ganz, ganz, ganz
25600	26760	wenig Substanz.
26760	32440	Es fällt mir persönlich schwer zu glauben, dass sie diesen Quatsch selber glaubt.
32440	35760	Vielleicht müssen wir aber auch einfach mal ganz krass über Schulreform reden.
35760	46840	So Leute, ich habe ja schon erzählt, für mich sind die sogenannten Reacting-YouTubers
46840	51240	ein Riesending und meine erste Beobachtung damals.
52240	58920	Und ich komme später auf den YouTube-Kanal Sinan's Woche zu sprechen, als gutes Beispiel
58920	64120	für wie der Mainstream sich selbst stabilisieren will und der Status Quo erhalten bleibt.
64120	69200	Aber das wird hier kein Randvideo wie das gegen den Entropie-Kanal, also falls ihr das
69200	71600	denkt, dann braucht ihr gar nicht weitermachen.
71600	74800	So ein Piesling bin ich nicht, das hat mich halt damals extrem getriggert, weil der Typ
74800	78160	über Mathematik redet und offensichtlich keine Ahnung hat.
78160	84000	Hier geht es jetzt aber um meine Beobachtung und meine Ausführung zu dem Thema Reacting-YouTuber,
84000	86920	weil ich glaube, das ist ein interessantes Phänomen, um darüber mal zu sprechen.
86920	89000	Es ist einfach ein sehr interessantes Symptom.
89000	96040	Angefangen bei mir hat das, dass ich, wenn ich YouTube angeklickt habe, dass irgendwie,
96040	101080	weil ich viele Metal-Videos und mehr Alben reinziehe und so auf YouTube, dass mir angeboten
101080	106640	wurde, hier ein Hip-Hop-Fan hört sich zum ersten Mal Candy Bill Corpse an und dann war
106640	111960	da halt irgendwie eine Fresse von ihm, wie er total überreagiert und naja, da war mir
111960	115840	irgendwie klar, okay, also irgendwie gibt es scheinbar wirklich diesen Need von Leuten
115840	121440	jemanden zu sehen, der voll, wer das zum ersten Mal sieht und echte Gefühle, so ein bisschen
121440	127760	wie das, worüber ich bei meinem Truman-Show ausrede im Trash-TV, in meinem Trash-TV-Video-Rede.
127760	133920	So, diese Richtung geht das und das meinte ich ursprünglich mit Reacting-YouTubers.
133920	138880	Jetzt ist mir aber aufgefallen, es gibt eine komplette Nische, die da voll reingeht in
138880	143080	dieses Konzept, einfach nur sich was anzugucken und dann was dazu zu sagen.
143080	150840	Und ich fange jetzt mal ganz unten an, damals, als es noch Foren gab und Leute, die sich
150840	156440	in Foren getümmelt haben, das ist die Zeit vor Facebook, da gab es schon Drama und da
156440	161040	gab es schon soziale Kontakte und da gab es schon immer mal so Sachen und heutzutage
161040	164120	wird sowas im Facebook natürlich ausgetragen von den Leuten, die noch einen Facebook-Kont
164120	168960	haben und auch in meinen linken Filterblasen sehe ich das oft, dass sich Leute wirklich,
168960	172160	weil sie ein Smartphone haben und den ganzen Tag da drin leben, irgendwann nach einem Jahr
172160	174080	so reinsteigern, dass für die das wichtig ist.
174080	180640	Sie wollen dann Moderator sein, sie haben ihre sozialen Dinge, sie haben ewig Gene-Konflikte,
180640	184080	sie haben eigene Memes, sie haben Insider-Witze, sie haben eine eigene Kultur innerhalb dieser
184080	186960	Blase und für die ist das wirklich so eine Art Leben.
186960	190640	Und jetzt gerade zu Corona, klar, wenn ein Lockdown ist, wird das immer heftiger, also
190640	194000	letztes Jahr war es so unerträglich, dass ich zwischenzeitlich auch aus dem Gruppen
194000	198040	rausgegangen bin, weil ich konnte mir das nicht antun, ich wollte aber sozusagen trotzdem
198040	204600	noch im Facebook bleiben, weil ich das als Messenger benutze und das ist sozusagen die
204600	208520	erste Beobachtung, dann natürlich mein Video zu Dreschtv, das müsst ihr euch auf jeden
208520	212280	Fall gönnen, ich glaube das ist auch gar nicht so schlecht geworden und die nächste
212280	219440	Beobachtung ist jetzt Gaming-Streamer, also Gamer-Streamer, so wie Krabi zum Beispiel,
219440	223440	die angefangen haben, damals als es losging, als die CPUs stark genug wurden, dass man
223440	227400	sozusagen den Bildschirm von einer Grafikkarte abgreifen kann, aufnehmen kann und in Internet
227400	232360	streamen kann, während man zockt und das den Ping und vor allem den eigenen Arbeitsspeicher
232360	236960	nicht komplett überlastet und vor allem die CPU-Auslastung und da ging das los, dass die
236960	241120	Leute, das war damals Warcraft 3, war sehr groß, Counter-Strike schätze ich mal, da
241120	244680	habe ich aber da schon kein Counter-Strike mehr gespielt, da ging das los, das muss so
245680	252480	2006 ungefähr losgegangen sein und da war es dann aber schon so, dass Leute, die einfach
252480	257520	ein interessanter Charakter waren, aber vielleicht nicht so gut spielen konnten, darauf aufmerksam
257520	263000	gemacht wurden, dass ihre Zuschauer eher sie labern hören wollen über bestimmte Themen
263000	266080	und dann haben sie ihnen Links geschickt, hier guck dir mal das an, guck dir mal dieses
266080	272920	Video an, was ist denn deine Meinung dazu und irgendwie wurden diese Typen dann dazu gebracht,
273000	276160	ich brauche das mit dem Gaming gar nicht machen, ich bin eh nicht so gut im Gaming, aber was
276160	281080	ich gut kann ist labern und die Leute wollen scheinbar meine Meinung zu irgendwas hören
281080	286800	und die wurden so eine Art Opinion-Lieder, Taste-Maker-Typen, also die wurden für ihre
286800	293880	Fanbase zu so einer Art Damocles-Schwert, ist das jetzt gut oder ist das schlecht, die
293880	300720	hatten eine Fanbase von Leuten und so ging das ab und das ist damals schon interessant
300720	305120	gewesen, dass es das schon gab in diesen einfachen, sag ich mal, Internetzeiten, wo
305120	311160	damals noch das alles noch easy war im Internet und da komme ich gleich später nochmal darauf
311160	316600	zurück, mein nächstes Schichtpunkt ist natürlich Influencer und nur um das nochmal klar zu
316600	324280	machen, im Englischen gibt es halt eine Menge YouTuber, also nicht nur YouTuber, aber auch
324280	329320	andere Influencer, die jetzt besonders ein besonderes Feindbild haben, also sie suchen
329320	334720	sich ein Feindbild raus, zum Beispiel Trump und sie rannten nur um Trump rum und rannten
334720	338480	natürlich vor allem über die Fanbase von Trump und sie machen Content sozusagen für
338480	343720	die Gegenseite und sie ernähren sich sozusagen von der Echo-Kamera, von den Leuten, die auch
343720	348040	nur auf Trump rum hätten und versteht mich nicht falsch, Trump kann man richtig gut
348040	352800	dumm machen, es ist halt bloß meiner Meinung nach führt das zu nichts und so ähnlich geht
352800	362320	mir das auch mit diesen ganzen anderen progressiven Denkrichtungen, ich bin da schon auch affirmativ
362320	369240	unterwegs, ich bin schon auf deren Seite, versteht mich da nicht falsch, ich habe bloß
369240	373240	den Eindruck, dass das zu nichts führt, ein anderes Beispiel wären zum Beispiel die Leute,
373240	377240	die jetzt massiv darauf rumhacken, dass es Leute gibt, die nicht an den Klimawandel glauben,
377440	383920	das kann man schon dagegen sein und man kann das auch artikulieren, aber diese ganzen Influencer,
383920	388120	die haben ein Businessmodell daraus gemacht und wiederholen die ganze Zeit immer nur denselben
388120	392960	Inhalt, nämlich da gibt es Leute, die sind Trump-Supporter und die finde ich scheiße und ein
392960	396480	anderes Ding wären zum Beispiel die ganzen Social Justice Warriors und da habe ich ja jetzt ein
396480	402760	langes Video über Political Correctness gemacht und diese ganze möchte gerne linke Sphäre,
402760	407520	die aber eigentlich nur Konsumopfer sind meiner Meinung nach, das Video müsst ihr euch auf jeden
407520	410160	Fall reinziehen, wahrscheinlich habt ihr es gesehen, es ist eines der meist geklicktesten
410160	416040	Videos auf meinem Kanal und ja, all diese Influencer, die haben auch hier im deutschen,
416040	420360	sozusagen im deutschsprachigen Raum ein Businessmodell daraus gemacht, einfach nur
420360	424760	immer wieder eine Echo-Kammer selbst zu bilden, also Sachen zu wiederholen, die sich in dieser
424760	430560	Kammer sowieso schon befinden und einfach nur Leuten eine Meinung zu erzählen, damit sie sich
430560	437480	angesprochen fühlen und bestätigt fühlen. Wieder, dasselbe Ding wie im letzten Video, die Leute
437480	442000	sagen was und das ist sozusagen das Produkt, was an die Konsumentenwerte gegeben wird. Viel
442000	448400	Good Vibes, da ist jemand, der ist auch meiner Meinung, das reicht den Konsumenten und das
448400	453160	Ding ist, dass viele von diesen Influencern und anderen Accounts auch, ja die ganzen YouTube
453160	458760	Accounts, die sowas machen, meiner Meinung nach sind die immer nur mit den Symptomen beschäftigt,
458760	464920	das ist ja eine meiner Kernaussagen. Dadurch, dass Oberflächlichkeit so krass ist, gibt es auch
464920	468560	überall nur oberflächliches Verständnis von Dingen und wenn man Dinge nicht richtig versteht,
468560	472000	kann man sie auch nicht ändern. Das heißt, der erste Schritt muss immer sein, erst mal die
472000	477000	Sachen zu verstehen, um dann Ursachenanalyse zu machen. Das passiert aber heutzutage nicht,
477000	480680	weil alles schnell gehen muss und auch schnell rübergebracht werden muss, am besten in einem
480680	486560	Pitch-Meeting von drei Minuten und da kann man natürlich nur über Symptome reden und genau das
486560	491240	machen die auch. Diese Influencer, die jetzt sagen wir mal nur auf Trump umraten oder nur darauf,
491240	498960	dass er ein Climate Denier ist oder die ganzen Schussle, die ganzen Beus, die sind alle verhaftet
498960	506280	in ihren speziellen Symptomen und eine ganz spezielle Nische von diesen Influencern sind
