start	end	text
0	20680	Die Linke hat meiner Meinung nach einige Probleme. Zum Beispiel ist sie sehr akademisch.
20680	27560	Die ist absolut hat sich selbst entfremdet vom Proletariat, weil das Proletariat das
27560	34520	geht zu Fußballspielen. Das Proletariat hört gern böse Onkels oder interessiert sich nicht
34520	43320	für die Rechte von LGBT, Q+, Spulen, was weiß ich Leuten und interessiert sich nicht für
43320	49480	Genderkram und das sind natürlich alles schöne Hilfen bei den artigen Themen, die sich die
49480	55320	Akademiker gerne gegenseitig in den Arsch reinschieben. Und ja, ich kann absolut verstehen,
55720	62640	dass die Linke nichts reißt sozusagen. Und wenn es dann mal ein paar linke Politiker gibt,
62640	69360	wie was weiß ich, Sarah Wagenknecht oder andere, die werden entweder ignoriert oder dumm gelabert.
69360	79080	Und was die Linke besonders schlecht kann ist, also die Linke natürlich klar. Die Linke ist
79080	84560	extrem inhomogene Gruppe. Da gibt es alle möglichen Sorten und zum Beispiel auch
84560	94080	Antideutsche. Sicherlich, da gibt es interne Diskussionen und all das. Aber was man sehr
94080	99800	oft beobachtet ist, was ich als Bauchlings identifizieren würde. Leute, die einfach
99800	108640	ihr Gefühl haben und ungerne davon abweichen, was weiß ich. Wenn es zum Beispiel interessante
108640	113160	wissenschaftliche Untersuchungen gibt oder interessante logische Fehlschlüsse,
113160	120080	die vielleicht innerhalb ihrer Ideologie sind, die sie ungerne antasten und einfach aus Bequemlichkeit
120080	124960	weiter in ihrer Bubble bleiben wollen, dann betreiben sie genau das gleiche, was alle
124960	135040	anderen Bubbles auch machen. Nämlich Isolation und Diskriminierung und einfach Intoleranz. Und
135040	138720	das ist ein bisschen schade, weil die Linke ja natürlich den Anspruch hat, an sich selbst
138720	146560	sehr konsistent zu sein und sehr tolerant und was auch immer. Und ja, die Linken haben
146560	152240	halt das Problem mit diesen einfachen, was weiß ich, zum Beispiel politiker-correkten
152240	164560	ist. Für mich gibt es einfach keinen Sinn, irgendjemanden eine ausgezeichnete Rolle zuzuweisen
164560	172320	und zu sagen, der hat jetzt mehr Rechte als andere oder so. Klar, jemanden einfach nur zu
172320	177360	diskriminieren um der Diskriminierung will, ist Schwachsinn. Aber solche Sachen wie zum
177360	187840	Beispiel Frauenquote ist meiner Meinung nach so ein Steckenpferd von so ein typisches SJW-Thema
187840	193000	und sie können das auch nicht weiter erklären. Meiner Meinung nach ist die Frauenquote absolut
193000	203920	kontraproduktiv. Die Frauen, die richtig Bock haben und gut in ihrem Job sind, sind wahrscheinlich
204000	214800	abklassifiziert als Quotenfrauen und irgendwie macht es halt auch keinen Sinn, wenn man zum
214800	219600	Beispiel Stipendien vergibt und man hat nur ein paar Kandidaten zur Auswahl, die gut sind,
219600	225040	und nur weil es dann Gleichstellungsbeauftragten gibt, muss man dann halt irgendwie noch Leute
225040	231600	einstellen, die einfach schlechter qualifiziert sind, nur für die Quote. Das ist einfach eine
231600	238880	völlig oberflächliche Lösung. Die Frauenquote ist eine oberflächliche Lösung für ein Symptom.
238880	247080	Das Problem was Leute beobachten ist, es ist keine 50-50-Verteilung und dann haben sie in
247080	253440	ihrer kleinen naiven Vorstellung sozusagen diese ideale Welt, dass es ja 50-50 sein sollte,
253440	258600	denn männlich und weiblich sind natürlich nur Konstrukte und es gibt keinen Unterschied. Was
258600	266360	natürlich Schwachsinn ist, es gibt offensichtlich Unterschiede und das führt natürlich dazu,
266360	270040	dass dann zwangsläufig Leute, die schlechter qualifiziert sind, für den Job irgendwo
270040	276000	eingestellt werden und das ist für niemanden gut, weil diejenigen, die dann falsch eingestellt
276000	280600	wurden und schlecht sind in ihrem Job, die sind dann auch frustriert, wenn sie bemerken, dass sie
280600	285240	irgendwie eigentlich gar nicht geeignet sind und den Job nur haben, weil sie irgendeine Quote erfüllen
285240	292920	müssen. Niemand tastet sie an, man darf es nicht kritisieren. Negatives Feedback ist nicht erwünscht
292920	298560	in der Gesellschaft heutzutage und deswegen wird es einfach so stilschweigend hingenommen oder
298560	310720	auch so unterm Ladentisch sich drüber lustig gemacht. Es ist sozusagen eine palliative Medizin,
310720	314720	weil man sieht das Symptom und versucht das Symptom zu bekämpfen, aber nicht die Ursache.
314720	324160	Und die Ursache für Gender Pay Gap kann man eigentlich relativ klar darstellen. Ich meine,
324160	330320	natürlich gibt es ungerechte Situationen, wo selbe Leistung ungleich bezahlt wird,
330320	337280	aber der Großteil von Gender Pay Gap hat einfach ganz schlicht andere Ursachen. Einfache Ursachen,
337280	341920	wie zum Beispiel, dass Frauen einfach eher auf Beruf und Karriere verzichten und dafür eher
341920	347840	die Sache mit den Kindern machen. Und daran ist nichts auszusetzen, insbesondere wenn sie sich
347840	353280	aus freien Stücken dazu entscheiden. Und am besten sieht man das natürlich in den skandinavischen
353280	363440	Ländern. Sie haben sozusagen die höchste Gleichstellung und siehe da, die Frauen werden
363440	368520	eher Kindergärtnerin, Lehrerin oder Hausfrau, weil sie Bock drauf haben und daran sehe ich
368520	384000	überhaupt nichts Falsches. Die Linken tun sich mit sowas immer schwer. Die Linken natürlich ist
384000	389360	eine grobe Pauschalisierung und kann man nicht viel machen, aber das ist das, was ich an der
389360	394760	Szene auszusetzen habe und ich hänge da viel rum und kenne mich da gut aus. Mein ganzes Leben lang
394760	403760	schon. Schaut immer unten in der Videobeschreibung nach, da werde ich meine ganzen Referenzen anbringen
403760	410360	und insbesondere verweise auf meinen englischen Kanal, wo dann sozusagen in Detail die meisten
410360	411320	Sachen besprochen sind.
