start	end	text
0	20600	Eine Sache, die mich schon immer total gestört hat, in der ganze Debatte um den Kapitalismus und um die
20600	27840	sogenannte Ungerechtigkeit, ist so ein offenkundiger Makel, der irgendwie nie mal wirklich angesprochen
27840	32000	wird, außer vielleicht von irgendwelchen unqualifizierten Bauchlinken, die dann sowas sagen
32000	38840	wie ja, aber die Kolonialisierung, die ist total unfair, weil darunter leidet Afrika jetzt immer
38840	44160	noch. Sie können es aber nicht so richtig weiter erklären oder sie wollen es nicht oder die
44160	49200	Diskussion schlaut dann ab oder irgendjemand ignoriert das dann und so. Der Begriff, der
49200	56640	hier relevant ist, ist der sogenannte Landraub bzw. Landgribbing auf Englisch und ihr müsst euch mal
56640	65280	klar machen, alle fetten Unternehmen profitieren mehr oder weniger davon, dass irgendwann mal
65280	74240	irgendwas völlig ungerecht verteilt werden musste durch einen Gewaltakt. Zum Beispiel der Genozid in
74240	79560	den Vereinigten Staaten, das ist klar, dem muss es gegeben haben. Es muss sozusagen den Dreieckshandel
79560	85960	gegeben haben, mit Sklavenarbeit, wo menschliche Arbeitskraft voll laut ausgebeutet wurde, damit
85960	90600	dann anschließend jemand anderes profit davon hat und fett werden kann und wenn er dann einmal
90600	96280	fett ist, dann ist das ein Schneeballeffekt. Der kann dann sozusagen die anderen weg kaufen, der kann
96280	101280	zum Beispiel das machen, was Amazon macht. Amazon benutzt zum Beispiel die Monopolstellung, die sie
101280	106600	hat und vor allem das Kapital, um einfach Verlustgeschäfte in Kauf zu nehmen und andere aus dem
106600	110720	Wettbewerb tot zu drängen, bis sie dann anschließend weg sind und dann können sie die Preise wieder
110720	116120	hochfahren. Sie sind inzwischen so fett, dass sie ihre Marktmacht gebrauchen können, um negative
116120	122120	Trats zu machen und trotzdem in den Long Run nach einem Jahr mehr Gewinne daraus ziehen können. So
122120	127680	fett sind die schon. Das muss man sich klar machen. Also die Sache mit den Monopolen, das ist sowieso
127680	132400	eine naive Vorstellung, warum ich auch immer sage, das ist absolut lächerlich. Das ist von Anfang an
132400	136360	eine schwachsinnige Sache. Es gibt zum Beispiel diese Kartellämter, es gibt diese Ämter, die
136360	142080	irgendwie in den USA in der Wall Street rumhängen und einfach nur versuchen, Insiderhandel zu
142080	147760	vermeiden. Aber was ist das für eine naive Vorstellung? Wie will man das vermeiden? Da
147760	152520	treffen sich zwei Boys, unterhalten sich, sagen übrigens morgen mache ich das und das, das ist
152520	156520	gut, dann shorte ich jetzt schon mal das und das. Da kann man nichts gegen machen. Das ist eine völlig
156520	161280	naive Vorstellung. Das könnte immer Zufall sein, das kann dir niemand nachweisen. Absolut lächerlicher
161280	166800	Schwachsinn. Und genauso ist es mit den Kartellen und mit den Monopolen. Wie will man das verhindern?
166800	170040	Wie will man das ernst, das kann man doch nicht ernsthaft sich überlegen, dass das irgendwie
170040	177360	verhinderbar ist. Wenn jemand einmal fett ist und nicht komplett plemplem ist, dann kann man
177360	182160	diese Fette-Stellung immer weiter ausbauen. Man kann innerhalb des Kapitalismus nur noch fetter
182160	187560	werden, wenn man das ordentlich macht. Wenn man nicht gerade AOL ist und komplett sich vertut,
187760	193560	dann wird man dann immer fetter und dann kommen halt andere und werden halt googelt. Ganz normal.
193560	206280	Das ist sozusagen eine völlig naive Vorstellung und genauso ist es wie die ganzen fetten Unternehmen,
206280	212240	die zu den Nazi-Zeiten die KZ-Arbeitskräfte einfach benutzen können und dadurch auch super
212240	217440	fett geworden sind. Die haben einfach was abbekommen vom Kuchen, von der Ausbeutung und konnten sich
217440	223360	deswegen einen fetten Namen machen. Oder ja, der ganze Dreieckshandel. Selbst wenn man jetzt sagt,
223360	229040	naja, aber da hat ja die Bevölkerung in Europa nichts davon, dass da irgendwelche großindustriellen
229040	234480	Wehen ausgebeutet haben und so. Das würde ich nicht sagen. Erstmal klar, irgendwann gab es eine
234480	240440	Revolution und dann wurde aus dem Föderalismus halt das, was wir jetzt Corporatismus nennen würden,
240440	246480	Corporatismus oder so. Aber ja, natürlich gibt es da auch Trickle-Down-Effekte, weil diese fetten
246480	250480	Bunsen, die dann daraus so fett wurden, die mussten sozusagen, die waren zwangsläufig daran gebunden,
250480	255680	auch mal was mit ihrem Geld zu machen und irgendwie mal sich private Straßen zu bauen oder Infrastruktur
255680	260800	zu investieren oder andere zu irgendwie, also irgendwie dafür zu sorgen, dass das besser wird hier.
260800	265760	Sie mussten irgendwie automatisch, sie waren ein bisschen gezwungen, alles besser zu machen für
265760	273040	so ein paar Leute. Ja, und klar, zum Beispiel macht es einfach Sinn, wenn man ein Factory-Typ ist
273040	278080	und einen Haufen Mitarbeiter hat, dass man dann irgendwie sagt, okay, hier, pass auf, ich stelle
278080	281600	euch jetzt mal hier direkt meine Factory, weil ich habe die ganz fett außen gebaut, ich stelle euch
281600	286600	jetzt hier mal so ein paar Butzen hin. Da könnt ihr drin wohnen und einfach eure Familien haben und so.
286600	292320	Dann braucht ihr nicht mehr so weit fahren. Das ist keine, das ist keine Gutmenschen-Attitüde dahinter
292320	298000	oder so. Das ist Logistik. Das darf man nicht verwechseln. Da ist sozusagen kein Goodwill dahinter.
298000	305440	Das ist, wenn überhaupt, dann ist das PR. Aber klar gibt es solche Effekte und das ist der einzige Grund,
305440	312200	warum wir sozusagen hier jetzt in diesem Luxus schwellen, dass wir uns einen Haufen Sesselpupser
312200	317720	und Bürokraten leisten können. Wir können uns das leisten, dass wir eine relativ kostenlose Bildung
317720	323320	haben. Wir haben das alles. Da am Ende kommt ein Zettel raus, da steht drauf, hier, Lisa Mayer-Schulze
323320	328280	kann jetzt Bürokratfrau und deswegen kann sie den Rest ihres Lebens völlig nutzlose Tätigkeiten
328280	335560	ausführen, davon leben und eine Familie ernähren und dann völlig nutzlos sterben. Klar, diesen Luxus
335560	342480	können wir uns hier leisten. Das kann man, wenn man in Kenia geboren ist, eher nicht. Und ja, natürlich
342520	348360	diese Sache mit dem Landgrabbing, das ist sozusagen ein alter Hut. Das Problem hat man allgemein immer,
348360	352720	wenn man auf abstrakter Ebene irgendwie sagt, da gibt es einen Markt, dann gewinnt natürlich immer
352720	357800	der Stärkste zuerst. Der Stärkste, der am schnellsten ist, der am schnellsten reagiert und das sind
357800	362280	typischerweise heutzutage die, die sowieso schon die meisten Finanzen haben. Die können sich am
362280	366360	besten in neue Märkte einkaufen. Wenn jetzt zum Beispiel irgendwann das losgeht mit dem Trinkwasser,
366360	369680	da habe ich schon ein gutes Video darüber gemacht, auf Englisch, wenn das mit dem Trinkwasser
369680	373920	irgendwann losgeht und es wird irgendwann passieren. Ja, dann gewinnen natürlich die
373920	377680	fetten Finanzmärkte mit ihren ganzen Fiatmoney, die sowieso schon die Kredite für lau kriegen,
377680	382680	die gewinnen dann da. Die können am schnellsten am meisten investieren und diesen Effekt hat man
382680	388360	überall. Der sozusagen, der, der als erstes die Nische ausfüllt, der ist später der, der sich am
388360	393200	etabliertesten hat. Es gibt sozusagen immer ein paar große Namen in irgendeiner Nische und die haben
393200	399040	sich dann stabilisiert. Das hat man in der Kunst, das hat man überall, das hat man bei
399040	405640	irgendwelchen Marketingketten, das hat man bei irgendwelchen Industrien. Und wenn die dann nicht
405640	411760	allzu blöd sind und was weiß ich, immer weiter auf ihren fossilen Ideen rumhängen, dann sterben die
411760	416720	auch nicht aus. Die müssten sozusagen nur mal ihr Money reinvestieren. Wenn Saudi-Arabien sich jetzt
416720	420160	überlegt, was machen sie mit ihrem ganzen Geld, wir machen einfach weiter mit Öl, ok, dann sind sie
420160	425560	in 100 Jahren weg. Das kann man ausrechnen. Wenn sie aber ihre Kohle mal nehmen und nicht in
425560	429760	Schneehallen investieren, die sie in die Wüste packen, sondern einfach mal in der Welt irgendwo
