start	end	text
0	6680	Das Gehirn erzählt sich ja selber eine Geschichte darüber, wie es wäre, wenn es eine Person gäbe,
6680	12880	von die so ist wie wir und die in einer Situation ist, die wir Gegenwart nennen.
12880	18120	Und wir konstruieren, während wir den sensorischen Input über die Gegenwart bekommen,
18120	22720	diese Person und stellen uns vor, wie es wäre, so eine Person zu sein.
22720	25120	Wir simulieren das.
25120	26760	Das ist das, was das Gehirn macht.
26760	30920	Deswegen sagt er, nur eine Simulation kann überhaupt Bewusstsein haben.
30920	35600	Riesen Sorry schonmal an alle, die sich dieses Video jetzt hier rein gönnen.
35600	40640	Ich glaube, es ist absolut unmöglich zu verstehen, was ich jetzt hier in diesem Video quatsche,
40640	44800	wenn ihr mein Video zum Bewusstsein nicht zuerst gesehen habt.
44800	50640	Das baut er halt darauf auf und ich benutze viele komische Fremdworte.
50640	56040	Ich glaube, die ergeben alle überhaupt keinen Sinn, wenn ihr das Video mit dem Bewusstsein nicht vorher geguckt habt.
56040	58560	Das ist nur so schon mal als Warnung.
58560	60680	Das ist ein absolutes Nerd-Video.
60680	64440	Ich habe das gestern aufgenommen und da hatte ich auch schon einen im Tee.
64440	67720	Und jetzt habe ich mir halt angeguckt und dachte mir so, ja, okay, schon klar.
67720	71960	Aber das kann glaube ich keiner verstehen, wenn man nicht irgendwie das mindset dafür hat.
71960	75120	Und dafür ist das andere Video auch gut geeignet.
75120	77320	Also guckt euch vorher an, bevor ihr jetzt hier weiter guckt.
86040	107200	So Leute, jetzt mal wieder eins von diesen Deep Philosophical U-Bow-Videos des Todes und der Vorläufer zu diesem Video, würde ich sagen, ist das Video zum Bewusstsein.
107200	113240	Und ich möchte hier erst mal mit euch über Emergenz reden, weil das braucht man irgendwie ständig.
114200	118760	Und dann so ein bisschen mehr über, naja, was ist die Realität?
118760	120840	Was ist das Bewusstsein?
120840	123240	Und was soll das alles?
123240	137000	Einfach mal ein bisschen euch mal ein bisschen mal was rein knallen an krasser Erkenntnis, die ich so in den letzten Jahren, ich würde sagen im letzten Jahr so ungefähr hatte.
137000	139160	Und ja, also was ist jetzt Emergenz?
139160	142040	Ich habe schon ein paar Mal verwendet das Wort.
142040	152600	Emergenz ist immer dann etwas, wenn ihr etwas beobachtet, was erstmal total kompliziert wirkt, wenn ihr da reingucken wollt.
152600	161880	Von außen sieht es irgendwie krass aus und ihr denkt, okay, das hat irgendwie einen Mechanismus, das ist heftig, aber wenn man reinguckt, steht man fest, es besteht aus ganz vielen simplen Teilen.
161880	174520	Und irgendwie ist die Summe dieser Teile mehr als einfach nur, also die Summe der Teile ergibt mehr als einfach nur das, was man sich vorstellen würde, wenn man die Summe der Teile tatsächlich addieren würde.
174520	175320	Was meine ich damit?
175320	176600	Na ja, zum Beispiel ein Ameisenhaufen.
176600	179800	Die kleinen Ameisen, die sind alle sehr einfach, wie die funktionieren.
179800	190040	Trotzdem ist die Gesamtheit der Ameisen, das Konglomerat, so eine Art komplizierter Lebens, ein komplizierter Metabolismus, der sich verhält wie ein Lebewesen.
