start	end	text
0	4360	Wir haben so eine große Datenverarbeitung, die findet statt in unserer Gesellschaft.
4360	8200	Viele Sachen, die werden sozusagen durchgeleitet, dann gibt es Nachrichten darüber, dann wird
8200	11200	es verstopfwechselt von anderen Leuten und so, die erzählen das weiter.
11200	14680	Also ich lese jetzt zum Beispiel irgendwelche Sachen und komme zu völlig anderen Schlüssen
14680	16640	als jemand, der dasselbe liest.
16640	20720	Und dann teilen wir uns darüber mit, was wir da gelesen haben und versuchen irgendwie eine
20720	26320	kohärente Geschichte zu finden, die sozusagen unseren mentalen Status synchronisieren kann.
26320	28840	Das ist eigentlich der Zweck von Kommunikation.
30000	51440	Was ich im Gaming damals schon gelernt habe, also sagen wir mal so vor 15 Jahren, ist,
51440	55040	zum Beispiel bei Warcraft 3 ging es viel um Multitasking, also müsst ihr euch vorstellen
55040	57160	so wie Age of Empires oder so ein Aufbauspiel.
57760	62960	Und da man ja nur ein Monitor hat und eine Maus, einen Cursor und sozusagen die Anzahl
62960	69120	der Befehle, die man runtergeben kann, limitiert ist, wird insbesondere das Zugucken, also
69120	70120	wo guckt man hin?
70120	72480	Eine relevante Ressource.
72480	79120	Man muss sozusagen ökonomisch damit umgehen, wo man gerade hinguckt, weil man sein Screen,
79120	82160	der ist ja beschränkt und das Spielfeld ist viel größer als der Bildschirm, also als
82160	84760	das, was auf dem Bildschirm abgebildet wird.
84760	89840	Und es macht immer dann besonders Sinn, Leute auf das Multitasking-Spiel runterzubrechen,
89840	91840	wenn man sie eigentlich von was anderem ablenken will.
91840	95760	Und es gibt sozusagen bestimmte Strategien, die funktionieren so, dass man halt an zwei
95760	100440	oder drei Stellen gleichzeitig angreift, bei Starcraft ist das noch wichtiger, um sozusagen
100440	102640	den Gegner mürbe zu machen.
102640	108720	Einfach eben permanenten Skillcheck in Sachen Multitasking an den Kopf zu werfen und ihn
108720	112880	herauszufordern und ihm sozusagen die Regeln und die Grenzen aufzuzeigen.
113040	119560	Und ja, sozusagen seine Aufmerksamkeit zu manipulieren, dadurch, dass man selber bestimmt, wo jetzt
119560	123440	die Aufmerksamkeit hingelegt werden soll, das ist sozusagen der Tempovorteil, den man
123440	124440	hat, wenn man angreift.
124440	129040	Hingegen hat man einen Vorteil, weil Verteidigung typischerweise eine einfache Position ist.
129040	133160	Aber naja, das ist sozusagen das Ding und bei League of Legends ist das so ähnlich,
133160	137400	da muss man sich sozusagen in den Gegner rein denken und weiß genau, was hat er gerade
137400	140960	mental im Hinterkopf sich zu überlegen, er muss den Jungler trekken, er muss irgendwie
141040	144120	auf der Lane gucken, dass er richtig CS ist, er muss gucken, wo sind meine Cooldowns und
144120	145120	so.
145120	146120	Und damit kann man auch spielen.
146120	150120	Man kann mit der Aufmerksamkeit des Gegners spielen und versuchen, sie zu manipulieren
150120	155000	bzw. das auszunutzen, dass man sich überlegen kann, worauf hat er gerade Aufmerksamkeit,
155000	156000	kann man das irgendwie ausnutzen.
156000	162320	Und ich finde, das Thema Aufmerksamkeit und darüber nachzudenken, wo Leute ihre Aufmerksamkeit
162320	168320	drauf richten, das ist ein total wichtiges Setting und ein total wichtiger Gedanke,
168320	170080	über den man mal so haben muss.
171960	176040	Denn im Medienkonsum ist das auch ein wichtiges Ding.
176040	182040	Ich denke, wenn 95% der Freizeit dafür draufgehen, dass man sich beef im Twitter reinknallt,
182040	184040	dann hat man einfach keine Zeit mehr für relevante Inhalte.
184040	188800	Und ich gehe davon aus, die Attention-Ekonomie ist soweit, dass das genau der Fall ist.
188800	193280	Damals war es Schlagergarten oder RTL gucken, aber heutzutage mit den Smartphones ist es
193280	198640	viel, viel krasser und die Beschallung mit irrelevanten Inhalten und irrelevanten Verknüpfungen,
198640	202320	die gemacht werden durch soziale Aspekte und so, die ist viel größer.
202320	206640	Das geht viel heftiger in Leute rein, weil Smartphones halt einfach mal die Pest sind.
206640	215360	Und ich wollte in diesem Kontext der Aufmerksamkeit auch nochmal über ein anderes Beispiel reden,
215360	220040	als ich als Kind irgendwie angefangen habe, coole Sachen zu zeichnen, keine Ahnung, wie
220040	224080	alt ich da war, vielleicht acht oder so, so ein bisschen Graffiti, da habe ich mir halt
224080	227440	über einen Motiv überlegt, das konnte ich dann relativ gut malen und das habe ich immer
227440	228440	wieder gemalt.
228440	233840	Und am Anfang habe ich gutes Feedback dafür bekommen von meiner Mutter oder so und nach
233840	238120	zwei, drei Mal dasselbe Motiv malen und immer wieder vorzeigen und zeigen und dann das Feedback
238120	239120	abwarten von den Erwachsenen.
239120	241720	Irgendwann ist den Erwachsenen aufgefallen, der malt immer das Gleiche, dann habe ich
241720	243400	negatives Feedback dafür zurückgekommen.
243400	246560	Das ging richtig in mich rein, ich habe es richtig so, ach so, das hat mich so richtig
246560	247560	runtergezogen.
247560	250080	Ja, du machst hier immer wieder das gleiche Bild, das ist doch auch langweilig, mach doch
250080	251800	mal was anderes so nach dem Motto.
251800	256600	Und das hat sich voll eingeprägt, weil ich mich da immer noch dran erinnere und das funktioniert
256600	260960	deswegen, weil Erwachsene natürlich schnell das Muster erkennen und dann einfach sehen,
260960	261960	das ist immer wieder das Gleiche.
261960	267000	Und irgendwie ist es mit der Aufmerksamkeitsökonomie und dem Internet, da ist es irgendwie so,
267000	270680	dass die Erwachsenen irgendwie nicht mehr erkennen, dass sie sich in einer permanenten
270680	272000	Wiederholung befinden.
272000	275560	Ich habe den Eindruck, dass sie das nicht sehen, dass sie sich in einem Kreis drehen.
275560	281120	Und Erwachsene, die das nicht sehen, die können auch nicht sehen, was groß und wichtig ist
281120	283240	und was nicht so groß und nicht so wichtig ist.
283280	288320	Sie können sozusagen dieses typische Ding nach Prioritäten zu filtern, worauf ich jetzt
288320	289520	meine Aufmerksamkeit lenke.
289520	294160	Die wird maximal manipuliert durch Medienkonsum, wie wir ihn heutzutage haben, weil er vollständig
294160	295160	automatisiert ist.
295160	300000	Der Twitter-Feed und alle möglichen Feeds beim Doom-Scrolling sind ja durch Algorithmen
300000	301000	getrieben.
301000	304960	Und das habe ich in meinem TikTok-Video erklärt und auch in meinem Facebook-Video.
304960	315680	Und ich habe ja schon auch lang und breit in anderen Videos erklärt, wie das ist mit
315680	319920	dem Bewusstsein und dem, was wir uns selbst nennen und die Illusion des freien Willens
319920	320920	und so.
320920	323800	Das kommt ja alles aus der Aufmerksamkeit und Aufmerksamkeit ist wirklich ein wichtiges
323800	324800	Ding.
324800	327400	Wir beobachten uns ja quasi dabei, wie wir beobachten.
327400	332760	Wir sind uns unserer Aufmerksamkeit bewusst, das nennen wir dann quasi Bewusstsein und
332760	333760	Aufmerksamkeit.
333760	338600	Im Prinzip ist ja das auch, was die nächste Generation von KI-Forschung jetzt sozusagen
338600	339600	anzielt.
339600	340600	Die versuchen das jetzt abzubilden.
340600	341600	Dann haben sie es geschafft.
341600	342600	Dann haben sie eine AGI.
342600	343600	So nach dem Motto.
343600	348080	Und ich habe ja auch schon mal gesagt, bei Twitter Beef ist es so wie mit den Parkinsonischen
348080	349080	Gesetzen.
349080	355440	Weil jeder mitreden kann, weil es einfach ist, weil es keine Hürde, keine Qualifikation
355440	356440	oder so gibt.
356440	359120	Man kann einfach mitreden und Teil einer Gruppe werden.
359120	360800	Deswegen ist es so attraktiv.
360800	362720	Jeder kann mitreden, weil es trivial ist.
362720	368200	So wie das Beispiel von den Parkinsonischen Gesetzen mit der großen Runde, wo es um 95
368200	371520	Prozent darum geht, was ist mit den Seifenspendern auf dem Klo, was ist mit der Kaffeemaschine
371520	372520	in der Küche.
372520	373520	Weil da kann jeder mitreden.
373520	377680	Aber bei was machen wir mit den Brennstäben in dem Kernkraftwerk, da können nur noch
377680	379760	zwei Leute mitreden oder drei.
379760	384680	Deswegen passiert das nicht so oft in solchen Gruppensitzungen, dass da über relevante
384680	385680	Inhalte geredet wird.
385680	387040	Und so ist es mit Twitter Beef auch.
387040	392400	Es ist schlichtweg von der Wahrscheinlichkeit her so, dass Dinge, bei denen viele mitreden
392400	395640	können, natürlich trennen, weil das viel Trafik erzeugt und die Algorithmen wollen
395640	396640	ja nichts anderes.
396640	399200	Die sind ja nicht an Inhalten interessiert, sondern nur an Trafik.
399200	406360	Das ist die Matrix, die sie maximieren wollen und ich habe letztens beim YouTube wurde mir
406360	411360	ein Thumbnail angeboten, das ist so ein typischer Thumbnail, ich sehe den und bei mir lenkt
411360	414280	der sozusagen die Aufmerksamkeit auf was völlig anderes als bei normalen Menschen.
414280	417320	Ich kriege da direkt den Rage-Modus.
417320	423560	Also meinetwegen sollen die Leute die WM boykottieren, aber ich finde da fängt doch das eigentlich
423560	424560	erst an.
424560	427800	Man muss nicht nur die WM boykottieren, sondern man muss irgendwie fast alles boykottieren,
427800	430920	was auf Ausbeutung basiert und das ist fast alles, das ist viel.
430920	435480	Das sind Länder, das sind Produkte, das sind auch Dienstleistungen, das ist eine ganze Menge.
435480	437600	Alles, was Umwelt und Menschen kaputt macht, aktiv.
438600	444520	Also meinetwegen muss man VW boykottieren und da ist das Problem halt.
444520	446680	Die Aufmerksamkeit geht vermutlich direkt auf Null.
446680	451120	Wenn man aus so einem Beitrag jetzt, soll man die WM im Kartal boykottieren, wenn man
451120	454960	da solche Punkte aufgreifen würde und in einer ZDF Sendung sozusagen das mal weiterdenken
454960	459280	würde, stellt euch das mal vor, wenn in irgendeiner dieser Aufhänger mal weitergedacht werden
459280	460280	würde.
460280	463680	Und ich versuche ja hier mit meinem Kanal immer, wenn ich solche Symptome beräte, dann
463680	465880	auch ganz klar zu machen, das ist hier nur ein Symptom.
466040	470520	Ich bette das jetzt in den Kontext, in den antikapitalistischen Kontext ein, den ich
470520	472200	hier sozusagen pflege auf meinem Kanal.
472200	479120	Und in der Zeit, in der sozusagen dann das nicht passiert, wird sich dann lieber auf
479120	480120	Twitter gebieft.
480120	485120	In Babies wird jetzt irgendwie Mikroplastik gemessen, wo man sich fragt, wie kommt die
485120	486120	da rein?
486120	488440	Na ja klar, weil wir es verreißen, wir als Menschheit verreißen es.
488440	493880	Wir haben überall irgendwie jetzt schon krebserregende Weichmacher in uns drin.
493960	497200	Letztes Jahr, da weiß ich noch, da wurde dann Sendezeit tatsächlich verschwendet, nicht
497200	500760	für was ist mit der WM in Katar, obwohl man das da schon hätte machen können.
500760	505200	Da war erstmal Verschwendungszeit für Böllerverbot, ja oder nein.
505200	511560	Wenn die Gesellschaft über sowas noch debattieren muss, dann sehe ich doch, was das Problem ist.
511560	514080	Das ist klar.
514080	519160	Und letztens hat in meinem Discord einer erzählt, sein Sohn hat quasi keinen Mathelehrer mehr,
519160	521080	deswegen gibt es einfach keinen Unterricht mehr.
521080	522080	Fällt einfach aus.
522600	524920	Das sind die Symptome, über die Stefan Schulz spricht.
524920	527600	Die fangen ab 2023 an.
527600	532400	Da fehlt uns jedes Jahr eine halbe Million Arbeiter, also Arbeitskraft auf dem Arbeitsmarkt,
532400	533720	weil die alle in Rente gehen.
533720	536040	Aber ja, Stefan Schulz redet darüber.
536040	538160	Der braucht viel mehr, der braucht viel mehr Verteiler.
538160	541080	Der war auch bei Jung und Naiv jetzt letztens bei Tilo, kann ich euch nur empfehlen.
541080	542840	Stefan Schulz, super Typ.
542840	550120	Und was ich dann halt beobachte, ist dadurch, dass das mit der Aufmerksamkeit so krachend
550280	556240	so krass gegen den Baum geht, weil ja daraus eine Ökonomie gemacht wird aus der Aufmerksamkeit.
556240	561440	Fühlen sich Menschen dann aber auch hilflos, weil unsere Macht-Theraschen, die sind unfähig,
561440	564360	dass ihren Zweck eigentlich zu erfüllen, zu dem sie da sind.
564360	567920	Also habe ich ja schon gesagt, Staaten erfüllen den Zweck nicht, dass die Leute mentale Kapazität
567920	568920	haben.
568920	571440	Sie erfüllen auch das mit der Bildung nicht und so.
571440	574520	Und sie sind ja auch schon lange nicht mehr für den Menschen da.
574520	576440	Sie sind dazu da, den Cashflow umzuleiten.
576840	580840	Und Menschen müssen sich typischerweise gegenüber Staaten und Bürokratien rechtfertigen und
580840	583280	ihnen dienen und Arbeit zuarbeiten.
584680	585680	Ursprünglich war es anders.
585680	589800	Ursprünglich war das so gedacht, dass irgendwelche Ämter den Menschen zur Verfügung stehen und
589800	591120	ihnen eine Dienstleistung anbieten.
592280	594840	Mittlerweile leben wir genau in dem umgekehrten Schluss.
595440	599600	Peter Prinzip, parkinsonische Sätze sind so weit fortgeschritten, dass wir Sklaven der
599600	601600	Bürokratien sind und nicht andersherum.
603040	605680	Was weiß ich? Ich beobachte, also ich habe das ja in meinem
606440	608760	letzten Anarchismus Video Teil 5 auch schon erklärt.
610040	613560	Anarchismus ist alternativlos, Länder und Staaten und Regierungen und so.
613600	614600	Das ist alles.
615040	616480	Die sind einfach offensichtlich.
617800	621240	Zerbrechen sie an der Last, an ihrer eigenen Aufgabe, zerbrechen sie, weil sie dazu nicht
621240	622240	gemacht sind.
623680	627840	Was weiß ich? Ich beobachte, dass irgendwelche reichen Frauen auf sozialen Medien schneiden
627840	633080	sich die Haare ab, weil im Iran, während im Iran sozusagen junge
633080	637280	Menschen einfach mit einem Kopfschuss getötet werden von irgendeiner von irgendeiner
637320	638320	Moralpolizei.
639080	644360	Das in China bereitet sich jetzt sozusagen auf die auf die Invasion in Taiwan
644360	647680	vor. Das ist was, was ich sehe und
648760	652640	Mainstream wird nicht mal versucht, eine Lösung zu skizzieren, weil der Mainstream keine
652640	653640	Lösung hat.
654600	658560	Weil die Hierarchien, weil unsere Hierarchien nicht mehr klarkommen.
659040	661720	Die können keine kohärente Geschichte mehr erzählen, weil sie keine Vision für die
661720	662720	Zukunft haben.
663000	664000	Weil wo soll die herkommen?
664360	665360	Die checken es ja selber nicht.
666040	670640	Die Gesellschaft geht jetzt in so eine Massen Lethargie über und jeder fokussiert sich
670640	673560	dann wahrscheinlich nur noch auf sich selbst und auf sein Avatar im Internet.
674360	677200	Das ist das, was ich sehe. Das heißt, die Aufmerksamkeit geht sozusagen dahin.
679040	684920	Und das ist schade, weil wir sozusagen Möglichkeiten der Vernetzung und
685160	686880	der Emergenz einfach nicht wahrnehmen.
688920	691360	Und dann denke ich mir immer so, ich denke mir dann so, ja, okay.
692720	695600	Das müssen diese sogenannten Erwachsenen sein, vor denen ich in der Schule gewarnt
695600	698400	wurde. Das ist das, was ich heutzutage sehe.
699480	703000	Ich kann halt solche sogenannten Erwachsenen halt auch wirklich nicht ernst nehmen.
703000	706560	Vor allem diejenigen nicht, die sich selbst richtig ernst nehmen, dann aber einfach
706560	710760	nichts auf Tasche haben, keine Lösung anbieten können, höchstens irgendwie in der Kultur
710760	711760	des Rechthabens.
712440	713680	Da gehen sie dann irgendwie auf.
714120	717800	Aber das ist einfach so ein Ding.
722320	723320	Es ist halt irgendwie.
726240	729720	Wir haben halt, wir haben so eine große Datenverarbeitung, die findet statt in
729720	732640	unserer Gesellschaft. Viele, viele Sachen, die werden sozusagen durchgeleitet.
732640	735720	Dann gibt es Nachrichten darüber, dann wird es verstopftwechselt von anderen Leuten
735720	736920	und so. Die erzählen das weiter.
737480	740160	Also ich lese jetzt zum Beispiel irgendwelche Sachen und komme zu völlig anderen
740160	742760	Schlüssen als jemand, der dasselbe liest.
742920	746680	Und dann teilen wir uns darüber mit, was wir da gelesen haben und versuchen irgendwie
746840	751240	eine kohärente Geschichte zu zu finden, die sozusagen unseren mentalen Status
751240	752240	synchronisieren kann.
752840	754840	Das ist eigentlich der Zweck von Kommunikation.
755000	757280	Und ich teile mich dann mit.
757320	760600	Ich habe jetzt sozusagen hier einen YouTube-Kanal, wo ich das auch breitflächig
760600	761600	versuche zu betreiben.
762840	766160	Und obwohl Leute denselben Datensatz zur Verfügung haben oder auch nicht denselben
766160	768680	Datensatz, kommen sie zu gleichen Schlüssen oder zu anderen Schlüssen.
769400	770480	Und so machen das natürlich alle.
770480	774280	Wir nennen das Kommunikation und unsere Gesellschaft ist sozusagen gerade geistig
774280	776280	auf so einem Level von einem 13-Jährigen oder so.
776840	779560	Und dank der Kasualisierung entwickeln wir uns gerade auch wieder zurück zu einem
779560	781480	5-Jährigen und nicht zu einem 25-Jährigen.
781600	784000	Den Eindruck habe ich. Und das liegt an Aufmerksamkeit.
784400	787440	Unsere Aufmerksamkeit ist einfach der Zeiger, wo das hin zeigt.
787480	788480	Der ist einfach kaputt.
789200	790200	Der funktioniert nicht richtig.
791600	792600	Und.
798000	799920	Katzen nerven. Keine Ahnung, was da immer los ist.
799960	801320	Manchmal haben die einfach so einen Flitz.
802560	805240	Aufmerksamkeit. Wo war ich stehen geblieben?
807360	808360	Wir nennen das Kommunikation.
808840	812840	Und wir sind jetzt auf dem besten Wege, erst mal uns wieder zurück zu degenerieren
812880	816440	mit unserer Aufmerksamkeit. Und das Problem lautet halt wirklich Aufmerksamkeit.
817000	821760	Es sind in solchen Krisenzeiten wie jetzt, die sind eigentlich richtig gut geeignet,
822040	826320	mehr Solidarität entstehen zu lassen, weil die Leuten dann immer irgendwann
826320	827720	bewusst wird, was ist eigentlich das Relevante?
827720	831120	Was ist das Wesentliche? War das jetzt nochmal so relevant, über das mit den
831120	832840	Dreadlocks zu sich zu unterhalten?
833240	837480	Oder war es jetzt nochmal relevant, die wir unser Überleben sichern und
838280	842040	die einfachsten elementaren Infrastrukturen gewährleisten können und irgendwie
842720	845960	auf uns selber irgendwie achtgeben und auch auf andere achtgeben können und
845960	848600	irgendwie dafür sorgen können, dass unsere Kinder noch eine Zukunft haben?
849280	852720	Das entsteht sollte eigentlich meiner Meinung nach in Krisenzeiten entstehen.
852720	856400	So ein Bewusstsein dafür, eine Aufmerksamkeit dafür, was das Relevante ist,
856440	857840	diesen Filterprozess voranzutreiben.
858480	861040	Und ja, ich habe ja schon ein Video darüber gemacht, dass selbst konservative
