start	end	text
0	22240	Also ich habe ja im letzten Video zum Mainstream Journalismus schon angesprochen, was jetzt
22240	28280	eigentlich das Problem ist, sozusagen der Gruppenzwang und die Dynamik mit dem Flagg
28280	33160	von Noam Chomsky und so. Und ich habe ja auch gesagt, dass es sehr wohl noch kritische Stimmen
33160	38960	im Mainstream gibt. Mit Mainstream betitle ich sozusagen die, die schon auch noch so was wie
38960	47720	eine Reichweite haben, also zum Beispiel die Anstalt oder so was. Und jetzt wollte ich einfach
47720	53360	nur noch ein bisschen mehr darüber quatschen. Erstmal die Beobachtung. Was ist jetzt eigentlich
53360	60480	Mainstream? Naja, ich finde Mainstream ist für mich immer das, was oft wiederholt wird sozusagen.
60480	64520	Das, was überall multipliziert wird, wenn sozusagen die einen darüber schreiben und die
64520	70280	anderen auch und so. Zum Beispiel das Offensichtliche. Da ist eine Bombe explodiert oder solche Sachen.
70280	77360	Man merkt relativ schnell zum Beispiel, wenn Putin einen Fehler gemacht hat, dann springen
77360	81560	alle drauf. Putin ist ein Idiot und so. Und das ist auch klar. Ich meine, Putin ist wahrscheinlich
81800	87160	auch ein Arschloch. Aber ja, was natürlich zum Beispiel nicht bereitgetreten wird im Mainstream,
87160	92320	ist, dass Obama genauso ein Arschloch ist. Das ist sozusagen diese Färbung von Mainstream,
92320	99960	die man sofort erkennen kann. Und was ich sozusagen auf jeden Fall auch klar aussprechen kann, ist ja
99960	105560	wohl, dass sozusagen der Mainstream eigentlich von privatwirtschaftlichen Interessen getragen ist.
105560	110120	Das habe ich ja auch im letzten Video schon ein bisschen erklärt. Nicht nur durch Werbeträger
110120	116080	und so. Einfach auch, weil ja natürlich die großen Medienhäuser ja privat geführte Unternehmen
116080	124040	sind. Das sind ja Konzerne. Die haben natürlich kapitalistische Interessen und oft führt das
124040	128080	natürlich dazu, dass die auch einfach sehr harmlos sind und im Wesentlichen Infotainment machen.
128080	137400	Und ich habe ja auch gesagt, dass es sozusagen einzelne Stimmen gibt, die tatsächlich auch den
137400	143640	Status quo angreifen. Das passiert auch im Mainstream, aber halt selten. Zum Beispiel die
143640	148600	Anzahl oder es gibt extrem viele gute Dokus, die das eigentlich permanent machen. Selbst so Sendungen
148600	154960	wie Monitor oder Frontal machen das. Aber das sind halt sozusagen im Vergleich zu dem, was der
154960	160120	Mainstream sozusagen, was die 80 Millionen Leute in Deutschland sozusagen sich reinziehen. Das ist
160120	168320	natürlich nichts dazu. Und ja, auch der Bümmermann betreibt Aufklärung. Und ich muss auch persönlich
168320	174360	sagen, sein Doktus, seine Scheißlache und so, ich finde ihn eigentlich ganz cool. Der gefällt mir
174360	177880	eigentlich ganz gut und immer wenn ich mir mal einen Clip reinziehe, also ich habe ja kein Fernsehen
177880	182880	oder so, aber ab und zu gucke ich mir mal einen Clip an auf YouTube und das gefällt mir eigentlich
182880	188880	fast immer ganz gut. Oft sieht man auch da, dass sozusagen manchmal denke ich mir, hätte man das
