start	end	text
0	4720	Ja, es sind halt alles irgendwie wahnsinnige Typen mit einem viel zu kleinen Pümmel und
5600	11520	sicher sein kann man sich nie was so Machthieroschinen machen und ihr merkt dann, dass Problemen sind die Machthieroschinen.
12560	18800	Da gibt es keine andere Kontrolle. Das ist eine Person, die entscheidet über Leben und Tod von vielen.
19560	21560	Diese Absurdität,
22280	27440	die muss man sich auf der Zunge zergehen lassen und die findet permanent überall statt und wir sind da reingeboren. Deswegen
28040	32960	halten wir dieses System für irgendwie unumgänglich, natürlich und alternativlos, aber
34080	36080	es fängt damit an, dass man
37680	39680	das erstmal erkennt, dass das so ist.
53120	56560	Ich wollte mal ein kleines Video machen über
58440	65320	Meinungspluralismus, also sozusagen die Tatsache, dass es viele Meinungen gibt und dass man das bitteschön
66080	73160	gerne aushalten können müsste und irgendwie Resilienz bilden müsste und so korrektives Feedback, also
73360	75360	wie wichtig das ist, dass man
76840	78840	in Diskussionen reingeht,
79240	81240	auch mit dem Gedanken,
81960	88160	korrektives Feedback annehmen zu können. Was meine ich damit? Na ja Feedback, dass sowohl negativ als auch positiv sein kann, um
89080	97040	die eigene Meinung nochmal ändern zu können, dass man dafür irgendwie offen sein können müsste als Erwachsener und
98800	101880	irgendwie ist ja so, mein Kanal ist in letzter Zeit ganz schön
102560	106720	gewachsen, also für meine Verhältnisse ziemlich stark gewachsen. Ich bin jetzt bei 750
107520	109520	Leuten. Ich denke, da
109920	113040	ist vor allem IMD dran schuld, also danke nochmal an der Stelle.
115760	117760	Dieser Kanal ist ja wirklich ein reiner
118520	120120	Luxus.
120120	126200	Das kann man nicht vergleichen mit einem normalen YouTube-Kanal, wo Existenzen dran hängen, die irgendwie davon leben müssen und so.
126600	131680	Und ihr wisst, wovon ich rede. Ich muss keine Kassualisierung machen. Ich habe es ja damals schon in meinem
133000	137440	Video über toxische Beziehungen und Influencer und was die gemeinsam haben gesagt.
137840	142040	Ich leiste mir hier den kompletten Idealismus, also komplett ehrlich zu sein.
