start	end	text
0	18120	Ich muss mal noch zwei Worte erläutern, die ich immer mal benutze.
18120	27920	Das eine ist mentale Kapazität und das andere ist Dezentralisierung.
27920	32840	Für mich sind die Sachen miteinander, hängen die zusammen und kognitive Dissonanz.
32840	40280	Also ihr stellt euch vor, ihr zeigt eurer Schwiegermutter ein Bild von
40280	44360	sterbenden Kindern in Jemen und sie sagt, tu das weg, ich will das nicht sehen.
44360	49040	Dann ist das im Prinzip die Tatsache, dass sie erkannt hat, dass sie sich damit
49040	52000	nicht konfrontieren will. Die will es einfach nicht sehen.
52000	58240	Und so ähnlich ist das auch mit Leuten, die irgendwie in der Vergangenheit verhaftet sind
58240	63040	und irgendwie denken, dass in ihrer Kindheit alles super heity tighty war, obwohl natürlich
63040	69080	auch in der Vergangenheit alles schon scheiße war und was weiß ich, es gab schon grüne Bewegungen,
69080	74000	die über den Klimawandel geredet haben vor 30, 40 Jahren und auch da waren alle Probleme
74000	78840	schon da und sichtbar. Trotzdem wurden einfach nur die Augen geschlossen vor offensichtlichen
78840	85800	Problemen und das ist kognitive Dissonanz. Wenn man also mit etwas konfrontiert wird,
85800	91880	was man nicht wahrhaben will und es deswegen einfach ausblendet oder sich eine Geschichte
91880	96160	erfindet, in der alles sinnvoll klingt und in der das gar nicht so schlimm ist,
96160	104000	mit was auch immer man da konfrontiert wird. So und ich sage, das Wort, was man hier zu
104000	107680	braucht, um das ordentlich zu beschreiben, ist mentale Kapazität. Ich bin mir sicher,
107680	113600	dass es psychologische Paper gibt und was weiß ich wissenschaftliche Abhandlungen darüber und
113600	117200	ein anderes Wort wahrscheinlich schon längst erfunden wurde, aber ich kenne es halt nicht,
117200	122520	deswegen brauche ich ein eigenes Wort. Und ja, für mich ist das so, wenn man genug mentale
122520	129320	Kapazität hat, um sich mit etwas zu befassen, bevor man die kognitive Dissonanz einkickt,
129320	136520	dann hat man genug mentale Kapazität. So rum würde ich das definieren und man kann das
136520	141920	beobachten. Immer wenn es den Leuten richtig gut geht, dann entfalten sie sich insofern,
141920	146560	dass sie sie auch anfangen, sich mit negativen Aspekten des Lebens aktiv ausnahm zu setzen und
146560	152360	zum Beispiel Kunst darüber zu betreiben, also Filme oder Gedichte zu schreiben oder versuchen,
152360	158080	Probleme anzugehen, die sie nicht persönlich angehen, aber sie aufgrund ihrer Empathie oder
158080	161120	was auch immer, weil sie sich angesprochen fühlen, sie glauben, sie müssten was an den
161120	169280	Problemen ändern und fangen an zu arbeiten. Sie nehmen Verantwortung auf oder denken,
169280	174720	sie sind verantwortlich, weil sie was tun könnten und tun es dann. Und das ist nur möglich,
174720	180640	wenn man genug mentale Kapazität dafür hat. Und ein ganz einfaches Beispiel wäre Leute,
180640	185880	die in einer Sorgen-Hotline arbeiten. Die müssen eine extrem hohe mentale Kapazität haben,
185880	191320	um die ganzen Horror-Stories zu verkraften. Das menschliche Elend, mit dem sie konfrontiert
191320	201000	werden. Und ein anderes Ding wäre, dass zum Beispiel so Sachen wie brutal Death Metal oder andere
201000	206480	Musik, die extrem aggressiv ist, typischerweise da entsteht, wo die Rich Kids sind, die denen es
206480	211320	eh gut geht oder wo Aggressionen irgendwie kanalisiert werden müssen. Also es gibt auch
211320	215400	Death Metal Bands aus Afrika und das gibt es auch alles, aber natürlich nicht so häufig und es
215400	219840	heißt nicht umsonst Floridian Death Metal in Norwegian Black Metal. Die sind da entstanden in
