start	end	text
0	7560	Wenn ihr ein Anfänger seid und ihr schreibt eine Abschlussarbeit, dann habt ihr Kapitelnummerierungen und Numerierungen von Abbildungen und so.
7560	15160	Und wenn ihr hinterher irgendwo mittendrin noch mal ein Bild einfügen wollt, dann müsst ihr alle Bilder danach um eine Nummer verschieben.
15160	20080	Weil ihr habt sie da per Hand reingeschrieben. Und so fühlt sich das bei Bürokratien für mich auch an.
20080	22920	Die sind extrem schlecht programmiert.
30000	44760	So Leute, jetzt mal wieder ein Video zur Bürokratie. Und ich beginne damit, das ist natürlich so los geht die Geschichte der Bürokratie,
44760	58200	dass Behörden und Ämter uns ja eigentlich helfen wollen. Sie wollen irgendwie zentralisiert Dinge und Aufgaben der Planung für uns übernehmen und uns das einfacher machen.
58520	65000	Uns eigentlich Arbeit abnehmen. Und was wir aber beobachten können, ist das Endstadium von solchen Bürokratien ist eigentlich immer das Gegenteil.
65000	72360	Wir müssen den Bürokratien helfen ihren Job zu machen. Wir müssen richtig viel Zuarbeit leisten, weil sie selber nicht in der Lage sind, irgendwas zu machen.
72360	82000	Und Bürokratien sind aktiv dabei, alles zu verhindern, was wir machen wollen. Sie wollen uns maximal behindern. Das ist das, was wir beobachten können.
82040	91720	Und eins der ältesten Videos auf meinem Kanal ist das Video zur Zettellogik. Ich nenne das Zettellogik. Das ist mein eigenes Vokabular, was ich mir da entwickelt habe.
91720	101920	Und in dem Video rede ich davon, dass quasi Bürokratie und Ämter und die Zettellogik als solche eine Art Hyperreligion ist.
101920	107440	Und es ist wirklich ein wichtiges Video. Wenn ihr das nicht kennt, solltet ihr euch das auf jeden Fall reinziehen.
107440	118000	Natürlich tue ich alles wieder in die Videobeschreibung rein und so, aber ich denke, es ist vor allem Bürokratie und die Ämter, die jetzt zum Beispiel auch in Deutschland natürlich super krass mächtig sind,
118000	129440	sind eine Manifestierung des Dogmas der Kontrolle. Und über das Dogma der Kontrolle habe ich auch schon oft geredet, wenn wir jetzt irgendwas machen wollen,
129440	138720	denken wir bereits innerhalb der Grenzen, die uns unsere Kontrollorgane vorgeben oder die festgelegt sind durch unsere Kontrollorgane.
138720	147880	Es ist irgendwie schwer vorstellbar, irgendwas zu machen, für das es noch gar keine Vorschrift gibt oder wie irgendwas zu machen ist, weil es keinen Zettel dafür gibt.
147880	155400	So meine ich das und wir sind irgendwie regelrecht hilflos, wenn es gar keine behördliche Anweisung gibt, wie man irgendwas zu machen hat.
155400	160800	Wir tendieren sofort dazu, irgendwas nicht zu machen, wenn wir uns nicht sicher sind und keinen Zettel dafür gibt.
162320	171080	Und im Prinzip ist es ja so, jeder weiß, wie scheiße das ist mit Bürokratien und Zetteln und irgendwelchen Vorschriften, trotzdem halten sich alle dran.
171080	184200	Selbst egal, wie absurd die Regeln manchmal sind und egal, wie bescheuert sie sind, das Schlimmste oder das Gängigste nicht akzeptieren von solchen Regeln oder Empfehlungscharakter ist, sagen wir mal, bei rot über die Ampel gehen.
184200	189480	Aber mehr passiert eigentlich nicht und genau deswegen, weil sich alle daran halten, nenne ich es eine Hyperreligion.
190080	194320	Selbst wenn man nicht dran glaubt, glaubt man irgendwie dran oder ist Teil des Clubs.
194320	204680	Und es hat natürlich damit zu tun, dass die Staatsgewalt sozusagen einen einfach mit Bullen wegknüppelt auf lange Sicht, wenn man wenn man nicht mitspielt im Club.
205680	226000	Ich hatte damals das Beispiel, um die Absurdität, die ich darin sehe, klar zu machen, wenn man so einen alten Samurai Film oder so einen alten Kriegsfilm sich gesehen hat, wo sich angeguckt hat, wo vielleicht sogar befreundete Männer sich irgendwie gegenseitig wegschlachten, die eigentlich 30 Jahre lang beste Freunde waren und dann aber weil sie zufällig im falschen Dorf wohnen, müssen sie gegeneinander kämpfen oder so.
226000	232200	Und oft ist es dann so in solchen Filmen, wenn der König tot ist, fällt allen auf, sie hätten es eigentlich auch lassen können.
232200	240000	Es ist komplett bescheuert. Sie laufen dann über das Schlachtfeld, überall liegen die Leichen rum und sie denken sich so, ja toll, jetzt ist der König tot, es gibt keinen Befehlshaber mehr, jetzt können wir eigentlich auch nach Hause gehen.
240000	259000	Und erst dann ist es meistens so, dass die Leute feststellen, dass das alles nur passiert ist, weil sie ja ihre eigene Freiheit eben nicht genutzt haben, sondern sie haben sich in den Dienst einer Kontrollhierarchie oder einer Machthierarchie begeben und deswegen mussten sie dann sozusagen Leute umbringen.
259000	275800	Und ich denke, so wird es auch den Nazis nach dem Zweiten Weltkrieg gegangen sein. Die haben ja alle nur ihren Job gemacht und darin ist wahrscheinlich so ein Trauma in der Zivilisation drin enthalten irgendwie und das geht auch nicht weg, weil die Aufarbeitung von diesem ganzen Scheiß, die findet ja nicht richtig statt.
275800	289600	Und stellt euch einfach mal vor, ihr würdet jetzt durch einen Unfall oder irgendwas anderes einfach alle eure Dokumente verlieren. Einfach mal reinversetzen in dieses Szenario, dann fällt euch sofort auf, was das alles bedeutet.
289600	300600	Ihr seid nämlich auf einmal super illegal. Könnt ihr jetzt noch ein Auto fahren? Dürft ihr jetzt noch hier irgendwo rumstehen? Dürft ihr jetzt noch das und das machen? Das ist doch merkwürdig.
301600	317400	Aber eure Dokumente sind nicht da. Das ist gleichbedeutend mit ihr existiert gar nicht. Ihr seid gar nicht richtig da. Ihr existiert zwar, aber ihr existiert nicht innerhalb des so für uns wichtigen Kontrollorgans und dieser Hyperreligion.
317400	332200	Und man kann ja sozusagen, es ist ja auch nicht so, dass jetzt formal geprüft werden würde, ob ihr Auto fahren könnte, sondern es wird geprüft, ob ihr einen Führerschein habt. Es ist ja sogar das Gegenteil der Fall. Es gibt Leute, die haben Führerschein und können gar kein Auto fahren.
332200	349000	Zum Beispiel alte Säcke, die irgendwie eigentlich gar nicht mehr Auto fahren sollten, ist aber trotzdem können, weil sie einen Führerschein haben. Und ich denke dadurch, dass sozusagen etwas auf dem Zettel stehen muss, ob ihr etwas könnt oder nicht, das kann man in einer Bürokratie auch immer umgekehrt betrachten.
349000	367800	Inhalte sind irrelevant. Was zählt, ist nur der oberflächliche Zettel. Und ja, ich habe den Eindruck, dass bei Bürokratien vor allem besonders wichtig die Sachbearbeiter sind, weil die Sachbearbeiter sind ja quasi kleine Touring-Maschinen, ob das jetzt die Bullen selbst sind oder Leute, die in einem Büro ihren Arsch breit setzen.
368600	381600	Was sie auf jeden Fall machen sollen, ist, sie sollen möglichst nicht menschlich sein und sie sollen möglichst nicht ihr eigenes Gehirn verwenden, sondern sie sollen sich ganz, ganz dolle an die Regeln halten. Sie richtig penibel an die Vorschrifte halten, egal wie widersprüchlich die Anweisungen manchmal sein sollen.
