start	end	text
0	5560	und es ist überhaupt kein Wunder, dass sich da sogenannte Parallelgesellschaften bilden.
5560	10200	Das ist überhaupt kein Wunder. Das sind halt einfach nur Leute, die zusammen rumhängen und
10200	16320	jetzt mal eine eigene Kultur etablieren. Da wird sich natürlich dann vom deutschen Bürgi empört,
16320	21280	dass da Menschen einfach eigene Räume für eigene Kultur schaffen. Ja, warum auch nicht?
21280	22840	Die Deutschen bieten ja überhaupt nichts an.
30000	46760	Wie in meinem Video zu dem Alignment-Problem oder auch wie bei ChetGBT, die wichtige Frage,
46760	54000	die sich beim Thema Integration nicht gestellt wird, ist, was bedeutet es eigentlich,
54000	57840	sich in eine Gesellschaft zu integrieren? Was bedeutet eigentlich Gesellschaft?
57840	62640	Haben wir das überhaupt verstanden? Und ich denke, es ist so, wie ich es schon tausendmal
62640	68440	gesagt habe, wenn man Dinge nur oberflächlich versteht, hat man sie nicht verstanden. Ohne
68440	74880	Details zu verstehen, wie irgendetwas entsteht, sprich, immergiert, kann man erst recht keine
74880	80080	Änderung in solchen komplexen Systemen vornehmen und erwarten, dass diese Änderung irgendwie die
80080	87960	Zielfunktionen optimieren, die man eigentlich im Sinn hat. Und ja, hier jetzt in dem Video soll
87960	94560	es vor allem um die Frage gehen, Integration, worin eigentlich? Was bedeuten so Worte wie
94560	102000	Kultur oder Gesellschaft? Wie funktioniert das überhaupt? Und ich denke, wenn man diese Frage
102000	108800	wirklich beantwortet oder beantworten will, dann wird ersichtlich, dass besonders in Deutschland
108800	115480	im Prinzip keine Kultur da ist. Ich denke, echte Kultur in Deutschland finden wir überall genau da,
115480	121640	wo sich Menschen besonders undeutsch verhalten. Also wo Leute wirklich jetzt mal Kultur machen,
121640	132360	miteinander essen, singen, Kunst betreiben, sich austauschen. Ich denke, bei uns ist es eher so,
132360	138760	die Gesellschaft ist maximal genäht so, dass sie funktioniert im Sinne der Kapitalakkumulation. Es
138760	148200	ist halt eher so eine Maschine, die Wohlstand für eine Minderheit erzeugt. Aber klar, wir haben auch
148200	155000	kleine Oasen der Menschen, die irgendwie so was wie aktives echtes Leben propagieren, die eine
155000	160080	Kultur schaffen wollen. Aber wir beobachten auch, die werden auch wirklich stark vom Bürgittum
160200	169440	behindert. Und was wir mit Kultur meinen, ist eigentlich immer an Konsum gebunden bei uns. Es
169440	174240	ist oft sogar ganz absichtlich so an Konsum gebunden, um arme Menschen auszuschließen zum
174240	179640	Beispiel. Um einfach mal richtig viele Menschen auszuschließen. Und jetzt aber Integration.
179640	188480	Integration funktioniert ja eigentlich meiner Meinung nach über soziale Anerkennung. In dem
188480	194000	Moment, wo ich Leuten soziale Anerkennung rüberreiche, habe ich das Gefühl, hier sind
194000	198800	sie jetzt Teil einer Gesellschaft. Weil Gesellschaft bedeutet für mich auch das. Es ist ein Netzwerk
198800	205360	aus sozialer Anerkennung. So und wie funktioniert das? Wie geht das, wenn man jetzt zum Beispiel von
205360	210160	außen kommt und sich integrieren will? Dann hat man ja typischerweise nichts, ist also nicht Teil
210160	215600	der Rentiersklasse, sondern das geht nur durch Arbeit. Am geilsten wäre natürlich sozial anerkannte
215600	221640	Arbeit, wo die Tätigkeit selber einem schon was bringt. Aber ich habe auch schon über diesen
221640	227240	Wunsch nach dem gesunden Miteinander übrigens gesprochen in meinem Video über das Bedürfnis
227240	233440	nach Solidarität. Wo ich auch sage, dass selbst der reudigste CDU-Wähler-Boomer eigentlich Bock
233440	238160	drauf hat, es bloß nicht checkt. Und ja, ich denke, es ist ein Symptom, dass Integration ein
238160	245360	Problem für uns überhaupt darstellt. Dass die Frage nach Integration ein Problem ist. Und ich
245360	250120	denke, der Grund dafür ist, dass wir schlichtweg nicht genug Solidargemeinschaft haben, sondern nur
250120	256680	Teilhabe durch Konsum. Menschen, die sich jetzt zum Beispiel langweilen, sind nicht Teil der Lösung.
256680	262000	So wie zum Beispiel auch Reiche, die sich hinter dem Staatsapparat verstecken, nicht Teil der Lösung
262000	271440	sind. Oder so wie sich das Bürgitum hinter oder vor Solidarität versteckt. Ich denke,
271440	277240	das Bürgitum lässt Menschen nicht mitspielen, absichtlich. Und ist aber dann total verwundert,
277240	282400	dass sich Menschen irgendwie nicht integrieren wollen, in Anführungsstrichen. Und noch mal zu
282400	288400	meinem letzten Video. Wie könnte denn eine Gesellschaft funktionieren, ist die erste Frage.
290400	295080	Aber ich denke, selbst der Ist-Zustand, wie funktioniert unsere Gesellschaft überhaupt?
295080	301960	Selbst diese Frage ist unklar. Für die meisten Leute auf jeden Fall. Und es ist auch gewollt,
301960	306320	denke ich, dass der normale Bürger genau das nicht versteht. Nicht umsonst gibt es irgendwie
306320	311320	seit 200 Jahren massive anti-aufklärerische Propaganda. Und selbst heutzutage haben wir ja
311320	320040	noch so ein Scheiß wie Bildzeitung. Ich denke, in Deutschland bist du Teil der Gesellschaft. Du
320040	325240	bist genau dann integriert, wenn du Geld vor Stoff wechselst. Sprich, du verdienst noch Kohle und
325240	330360	dann gibst du das, was du hast, einfach weiter und bist Teil des Marktes. Demzufolge ist es so,
330360	336520	die Arbeiterklasse hat nur Teilhabe, nachdem sie ihre Lebenszeit verkauft. Und wir bekommen
336520	342200	soziale Anerkennung, vor allem dann, wenn wir sinnvolle Arbeit in Anführungsstrichen leisten.
342200	346360	Ausgebildete Krankenschwestern zum Beispiel aus Syrien oder Lehrer oder was weiß ich,
346360	351800	die wir brauchen würden, müssen aber in Deutschland putzen gehen. Und warum? Weil
351800	356200	die Zettel zwischen den Betriebssystemen dieser Staaten nicht kompatibel sind. Und das ist
356200	362240	garantiert gewollt. Es ist ein offizielles Narrativ, dass man sagt, naja, wir erkennen diese
362240	366520	Abschlüsse nicht an, blablabla. Aber ich nenne das einfach mal strukturellen Rassismus und
366520	375120	natürlich auch Klassismus. Und viele von sogenannten Mittelstand arbeiten ja eben auch
375120	381120	nicht in sinnvollen Tätigkeiten. Also ich selber zum Beispiel finde, mittlerweile habe ich den
381120	384880	Eindruck, dass meine Tätigkeit irgendwie gar nicht mal so viel wert ist. Ich könnte viel sinnvollere
384880	390240	Dinge in der Gesellschaft tun, aber dafür werde ich überhaupt nicht gut bezahlt. Ich würde viel
390240	398360	lieber andere Dinge tun, mit mehr sozialem Charakter auch, aber davon kann ich mehr oder
398360	404480	weniger nicht leben. Ich muss das ehrenamtlich tun. Und ja, die sinnvollen Dinge werden einfach
404480	409040	schlecht bezahlt. Und ich meine, das ist das, was man mal begreifen muss. Das weiß jeder,
409040	412720	aber man muss es halt auch nochmal jetzt mal wirklich in den Kontext einbinden, was das heißt.
412720	418640	Gesellschaft und Kultur sind nicht nur nicht gewünscht in unserer bürgerlichen Kultur dieses
418640	424160	Deutschseins. Ich denke, das Maximale ist so ein extrem lächerliches Besäufnis, was wir haben,
424160	429520	wie jetzt zum Beispiel das Oktoberfest. Und das aber im Land der Dichter und Denker mit dieser
429520	433600	angeblich so tollen Kultur, die wir uns irgendwie gegenseitig noch erzählen. Und nochmal zur
433600	439320	Rentiersklasse zurück. Das Ausbeutersystem hat halt genug Anreize, um Leute auszubeuten. Ist ja
439320	445360	klar. Deswegen heißt es Ausbeutersystem. Und als wäre jetzt die Rentiersklasse demzufolge
445360	451400	irgendwie an Integration interessiert. Warum sollte das sein? Die finden das doch super,
451400	456120	dass noch mehr Leute in Armut da sind, die sie ausbeuten können. Was ist das überhaupt für eine
456120	462440	naive Vorstellung? Aber ja, aus dem Unverständnis und der Naivität über diesen Ist-Zustand erwachsen
462440	468040	dann natürlich diese lächerlichen Aussagen und vor allem die Empörung über arme Menschen. Und die
468040	474080	hat vor allem auch was mit Tabuisierungen zu tun. Siehe mein letztes Video, die Tabuisierung zum
474080	479320	Thema, ja, guck mal hier, dieser Armut. Ist es überhaupt möglich, in einer so genannten,
479320	483800	in der angeblich so etablierten Leistungsgesellschaft, die wir ja angeblich sind, überhaupt sozial
483800	490800	aufzusteigen? Gerade in Anbetracht der aktuellen Iglu-Studie, die ja jetzt sagt, irgendwie bei
490800	496040	gleichen Leistungen, bei exakt gleichen Leistungen werden Schüler aus einem Akademikerhaushalt
496040	504800	2,5 mal häufiger für eine Gymnasiallaufbahn empfohlen. Das ist die Gesellschaft und die
504800	510680	angebliche Leistungsgesellschaft, in der wir leben. Und ich verweise auch nochmal auf mein Video zu
510680	517840	meiner persönlichen Anekdote, wie ich sozusagen jetzt zum Doktor geworden bin in einem klassistischen
517840	524520	System und was dafür notwendig war. Spoiler, es hat viel Glück gekostet. Nicht viel Leistung,
524520	533800	sondern eher Glück war irrelevant. Aber ja, natürlich ist diese Leistungsgesellschaft
533800	540040	reine bürgerliche Ideologie. Und diese bürgerliche Ideologie, die schaut natürlich gerne auf Armut
540040	546960	herab. Und sie will natürlich sozusagen das nicht-solidarische System, sie will das haben.
547120	551120	Und es gibt ja Menschen, die machen das mit den sinnvollen Tätigkeiten. Und ich denke,
551120	557280	wenn man mehr Menschen sinnvolle Tätigkeiten geben würde, wenn man ihnen Selbstmöglichkeitswirksamkeit
557280	562520	geben würde, dann entsteht auch das, was wir unter Integration verstehen. Das würde dann passieren.
562520	568400	Wenn die Gesellschaft das aber nicht tut, wird es auch nicht passieren. So einfach ist es. Und wenn
568400	574400	wir jetzt alle mit dem Dogma der Herrschaft weiter so machen, und das ist ja das, womit wir alle
574400	579120	aufwachsen, naja, dann was dann passiert ist oft, wir betteln dann den Staat an. Und das ist das,
579120	582560	was die Bürgis jetzt zum Beispiel tun. Die sagen, ja, okay, hier, wir kritisieren jetzt den Staat
582560	586240	dafür, dass das mit der Integration nicht funktioniert. Und offenbar gibt es hier aber
586240	591760	schlichtweg auch mal jetzt mal eine wirklich inkohärente Geschichte, weil es gibt gar keinen
591760	597560	politischen Willen, Integration zu betreiben. Ich bitte euch, wie soll das gehen? Solange
597560	603080	wir die CDU in diesem Land irgendwie 30 Prozent Zustimmung hatten, wie soll das gehen? Und wir
603080	607320	haben natürlich auch noch nie eine linke Regierung gehabt. Und das eine Mal, wo Rot-Grün da war, naja,
607320	614200	es war halt eine neoliberale False-Fleck-Aktion, so wie immer. Wir haben ja schlicht nie eine
614200	619880	Regierung gehabt, denen es irgendwie um Menschen und Gesellschaft geht. Das ist doch jetzt hier mal
619880	625200	die Aussage, oder was? Da brauchen wir uns doch gar nicht wundern, dass wenn wir nach oben uns an den
625200	629600	Staat orientieren und den anbetteln, dass der mal was dafür machen soll, dass da nichts passiert.
629840	634000	Das ist doch irgendwie alles genau Teil dieser bürgerlichen Geschichte, die wir uns gegenseitig
634000	639440	erzählen. Und das stimmt halt einfach nicht, dass das irgendwie so ist. Und ja, wieso sind jetzt
639440	647560	Menschen also empört über dieses Resultat materieller Zusammenhänge? Weil die Geschichte
647560	651920	inkohärent ist. Und materielle Zusammenhänge brauchen natürlich viel mehr Aufmerksamkeit und
651920	657160	Willen, sie überhaupt zu sehen. Aber nein, Oberflächigkeit ist viel geiler. Das lässt sich
657200	662400	viel besser greinden und da lässt sich viel besser eine naive und infantile Geschichte dazu
662400	669240	erzählen. Und nochmal, die Hauptaussage dieses Videos, denke ich, ist, wir haben überhaupt
669240	675080	gar keine Kultur. Wo sollen sich Menschen dann eigentlich auch integrieren? Es wird ja gar nicht
675080	681040	gesungen. Wo immergiert hier bitte eine Kultur? Da, wo Menschen ihre materiellen Bedürfnisse im
681040	686280	Wechsel zum Beispiel stillen würden. Das wäre so. Gemeinsam Essen machen, Kinder, die gemeinsam
686280	694320	spielen, sich unterhalten über menschliche Dinge, Dinge des täglichen Zusammenlebens. So was. Das
694320	701120	wäre notwendig. Und ich denke, ein Staat kann das gar nicht vorschreiben. Das kann der ja sowieso
701120	705680	nicht. Was der Staat aber jetzt macht, ist, er verhindert, dass sich sowas bildet. Er bombardiert
705680	710480	dich und mich und alle anderen permanent mit Zetteln und zwingt uns irgendwelche Regelbücher
710480	716840	auf, die uns permanent davon abhalten, Kultur stattfinden zu lassen. Gesellschaft besteht ja
716840	720440	eigentlich aus Menschen, die miteinander wechselwirken. Das sollte euch allen klar sein,
720440	726200	das immergiert. Und übrigens, diese Gesellschaft produziert typischerweise Mehrwert. Das Problem
726200	731680	ist natürlich, aus dem sollte Fortschritt entstehen und der sollte den Menschen zugutekommen. Das ist
731680	735360	das, was nicht passiert. Der Bärenanteil dieses Mehrwerts wird ja in unserem Schneeballsystem
735360	740320	nach oben umgeleitet und steht dann der Gesellschaft nicht mehr zur Verfügung. Ist ja klar.
740480	745600	Und da muss man sich doch wirklich die Frage stellen, in welchem Raum jetzt soll überhaupt
745600	749680	so eine Wechselwirkung zwischen Menschen entstehen. Deutsche schotten sich doch jetzt aber wirklich
749680	754880	gezielt ab. Und je mehr Menschen voneinander trennen, desto weniger Wechselwirkungen gibt es
754880	760160	doch. Ist doch logisch. Je mehr Vernetzung jetzt da wäre, desto stärker wäre auch eine Gesellschaft.
760160	765720	Die deutsche Kultur besteht aber jetzt darin, diese Vernetzung zu minimieren. Und das einzige
765720	774640	echt Tool, das ich kenne in unserer Welt, sind Vereine. Das ist das, was ich sozusagen noch aus
774640	779360	der Zettelwirtschaft sehen würde. Und hier erinnere ich mich wirklich an den Talk bei Tilo Jung mit
779360	785240	Aladin. Aladin sagt, die Vereine konkurrieren jetzt mit Schulen über Zuständigkeitsproblematiken.
