start	end	text
0	5000	Also, Reiche und Studenten gehen eine Verbindung und einen Vertrag ein,
5000	13000	der für den Rest ihres Lebens dazu führt, dass diese Reichen diesen Studenten in ihr Leben reinquatschen.
13000	20000	Weil sie einfach sagen, okay, ich gebe dir einen Bildungskredit, aber dafür kriege ich später einen prozentualen Anteil deines Einkommens.
20000	25000	Und natürlich ist es so, dass diese Reichen sehr hohes Interesse daran haben,
25000	31000	dass dieser Typ, der dann studiert, dieser Mensch, hinterher in einer bestimmten Position besonders viel Kohle für sie heranschaffen kann.
31000	40000	Und ja, weil sich die Kreditnehmer verpflichten, sozusagen für das ganze Leben oder sagen wir mal vor 30, 40 Jahren das Einkommen abzutreten, ist es halt wirklich krass.
40000	44000	Sowas gibt es in echt. Das müsst ihr euch mal vorstellen.
56000	65000	Es gibt so typische Fragen, die so lauten, sowas wie ist es ethisch, Lebensmittel zu stehlen, wenn man verhungert?
65000	73000	Aber viel seltener kommen so typische Fragen, wieso es eigentlich ethisch sein könnte, Leute verhungern zu lassen, wenn man Essen hat.
73000	85000	Und diese Frage, die zweite jetzt, die dreht quasi den Spieß um und hinterfragt erst mal das Dogma, was in der ersten Frage irgendwie stillschweigend angenommen wird.
85000	98000	Und diese Perspektive der zweiten Frage hilft oft, weil sie eigentlich fragt, nach welcher Ideologie würde das Resultat oder was auch immer irgendwie positiv bewertet werden.
99000	107000	Und ich habe jetzt oft beobachtet in den letzten paar Jahren, dass mir diese Perspektive was gebracht hat.
107000	123000	Also zum Beispiel, wenn man sich fragt, wem bringt das oder welcher Ideologie oder welchen Machtverhältnissen bringt das eigentlich was, wenn alle ihre eigenen Medien haben im Smartphone drin und Filterblasen und so und wenn die Hyperrealitäten keinen Überlapp mehr haben.
123000	133000	Ich habe ja damals auch ein Video zur Hyperrealität gemacht und wo ich so ein bisschen darüber nachdenke, wie das jetzt ist mit diesen gewissen Digitalisierungen und so.
133000	145000	Und ja, dasselbe Ding ist irgendwie hier quasi bei den Filterblasen oder wie auch immer, dass perfekte Casualisierung und Filterblasen sozusagen einfach die Solidarität kaputt machen.
146000	164000	Das machen die, weil wir sehen, es gibt übelste Zersplitterung und es gibt eher weniger Zusammenkommen in Form von einer Gesellschaft, wo Leute unterschiedlich sind und trotzdem Gemeinsamkeiten sehen und nicht nur Unterschiede.
164000	176000	Und ungefähr mit diesen Gedanken, die banke ich ja auch die Zinskritik, die einfache schlichte Zinskritik. Dazu habe ich ein kurzes Video gemacht, das ist auch so ein Ding.
176000	192000	Oder wenn man sich überlegt, wie zum Beispiel Neoliberale oder Leute von der österreichischen Schule oder zum Beispiel der Blogtrainer und alle Bitcoin Bros. und so, diese Ideologie, die sie vertreten, wenn sie sagen Schulden machen vom Staat oder so, ist scheiße.
192000	206000	Warum machen die das? Na ja, ich denke immer quasi Leute, die für sowas wie Vollgeld argumentieren, wie es ja die österreichische Schule zum Beispiel tut, die sagen Fiat-Money ist schlecht.
206000	226000	Warum es da eigentlich geht, ist ja, dass wenn man jetzt, sagen wir mal, in einem System leben würde ohne Fiat-Geld, da wäre es schwieriger aus einer Schuldensituation herauszukommen und sich da herauszuarbeiten.
226000	238000	Weil hier jetzt im Moment ist es noch so, man könnte zum Beispiel einen Kredit aufnehmen, ein Business machen, sich eine Existenz aufbauen und dann Schulden abbezahlen.
238000	251000	Und Leute, die irgendwie sparen, profitieren nicht so viel in einem System, wo es Fiat-Money gibt. Hingegen österreichische Schule, die schlagen ja vor, auf jeden Fall muss Sparen wieder belohnt werden.
251000	263000	Und was sie damit eigentlich meinen, oder was es zur Folge hat, ist, dass Machtverhältnisse sich stabilisieren und Leute, die einmal in einer Schuld sind, schwieriger da wieder rauskommen.
263000	269000	Und das Allerschlimmste ist sozusagen für Leute wie österreichische Schule natürlich so ein Konzept wie Privatinservenz oder so.
269000	277000	Und ich argumentiere da intuitiv immer mit der Form von Pseudoungerechtigkeit, die ich schon mal hatte.
277000	285000	Also wenn man jetzt anfangen würde, dieses System noch besser zu machen und irgendwie Leuten noch mehr Chancen zu geben auf ein erfülltes Leben,
