start	end	text
0	4160	versetzt man in dieses mindset was so ein richtig anständiger gutbürgerlicher
4160	7680	mensch ist da bleibt das ist eigentlich eine leere hülle der hat eigentlich
7680	10560	fällt er dadurch auf dass er keine eigenschaft hat an der man ihn fest
10560	15280	machen kann und das schöne ist bei dem kulturkampf als stichwort das ist ein
15280	18880	klassischer rechter talking point da kann man immer ein wir gegen die
18880	24320	konstruieren weil die kann man ja immer mit einer mit einem merkmal ausfindig
24320	28640	machen den gutbürgerlichen biermeier den kann man überhaupt mit gar keinem mit
28640	33040	gar keinem mit keinem merkmal ausmachen der ist das ist eine graue
33040	38560	masse das ist eine graue farblose formlose masse
50040	57040	so leute ich habe in den letzten wochen mir immer mal wenn ich einen gedanken
57040	63120	hatte zum thema gutbürgerliches bürgertum spießbürger biermeier
63120	67520	konservativ extreme mitte wie auch immer ihr das nennen wollt immer wenn ich den
67520	72480	gedanken dazu hatte habe ich mir selber eine email geschrieben und so entstehen
72480	75320	typischerweise längliche textfails bei mir die ich dann irgendwann wenn ich
75320	79000	diese ganzen emails decke sozusagen zu einem video verwurste und das ist jetzt
79000	83120	aber über die letzten zwei wochen waren das irgendwie 20 emails mit immer so
83120	87680	kleinen blöcken und ich denke ich werde jetzt drei videos machen eine kleine
87680	93920	miniserie und sie wird irgendwie heißen bürgertum und dann irgendwas und das ist
93920	98960	jetzt hier bürgertum teil 1 und ich denke ich beginne da wo ich aufgehört
98960	104120	habe bei der kultur des rechthabens und zwar da habe ich ja auch schon gesagt
104120	110840	die verinnerlichte wettbewerbsideologie wenn man die einmal gefressen hat dann
110840	116120	will ich das will ich jetzt mal zu ende denken und ich beginne das video mit
116120	121320	einer frage nämlich diese frage die ich auch schon oft hatte wir haben hier ja
121320	127360	30 prozent zustimmung für die cdu wie kann das überhaupt sein das ist die
127360	130920	das ist jetzt das mindset mit dem gehen wir jetzt in diese video reihe irgendwie
130920	135600	ein bisschen rein und ich erkläre jetzt mal kurz noch was anderes was ich
135600	145360	beobachtet habe ist die klimaaktivisten haben sich erfolgreich auf die auf die
145360	150400	landebahn vom ber irgendwie befestigt oder haben da protest gemacht damit die
150400	154000	fliebzeuge nicht los fliegen konnten und da haben sie natürlich genau die
154000	158080	richtigen getroffen nicht die leute die irgendwie auf der autobahn sitzen fahren
158080	161440	wollen und zur zur arbeit müssen und malochen sondern sie haben die politiker
161440	165320	getroffen und die elite klasse die sozusagen permanent am jet fitness und
165320	169120	da ist natürlich und da habe ich einen schönen tageshow artikel von euch für
169120	172840	euch verlinkt da haben sie genau die richtigen getroffen als die da ist das
172840	176120	gut bürgerliche milieu in der politik natürlich sofort drauf angesprochen
176120	181240	haben gesagt jetzt muss man aber sofort also gegen diese form von gegen diese
181240	185160	form von ökoterrorismus muss man auf jeden fall geschlossen vorgehen das kann
185160	189440	eine gesellschaft nicht verkraften da sind sie sofort wie mäßig nur am heulen
189440	194160	gewesen und ich finde ja generell im prinzip ist der unterschied zwischen afd
194160	199680	cdu und fdp das ist die sind ja im kern alle korrupt das ist bekannt die sind
199680	203400	alle korrupt die haben alle ihre spendenaffären und so und fdp porsche
203400	206560	und so und cdu braucht man gar nicht von anfang an die liste ist unendlich bei der
206560	213400	cdu ich denke nur sie haben einfach unterschiedliches marketing so ein
213400	216600	bisschen alle alle bedienen so ein unterschiedliches klientel mit ihrem
216600	223000	marketing und die cdu spielt am häufigsten die karte des anständigen
223000	228760	gut bürgerlichen spießer menschen und um die soll es ja um diesen um dieses
228760	234080	bild was da vermittelt wird und diese kommen wir holen euch mit ins boot wir
234080	238720	sind auf eurer seite ihr seid auch auch anständige bürgis und so diese
238720	242960	suggestionen die da passiert darüber habe ich jetzt viel nachgedacht in letzter
242960	247880	zeit und ich habe vor einer halben ewigkeit schon das video zur ideologie
247880	252280	gemacht und da sage ich ja auch niemand ist frei von ideologie und ideologie ist
252280	255880	vor allem deswegen so fies und perfide weil sie unsichtbar ist natürlich
255880	260560	sozusagen kann man versuchen seine eigene ideologie sich immer vorzuhalten
260560	263800	genauso wie sein eigenes privileg oder so um mal ein bisschen bescheidenheit zu
263800	268360	haben aber die meisten würde können das nicht insbesondere cdu lapen können
268360	272360	das nicht und welche ideologie ist ja eigentlich das relevante ich habe schon
272360	275600	gespoilert die ideologie die hier wirklich wichtig ist ist die die aus dem
275600	280720	aus der aus dem wettbewerb folgt die ideologie des rechthabens ist wichtig
280720	286040	denn wenn man jetzt eine verinnerlichte wettbewerbs ideologie hat dann setzt
286040	291320	man irgendwann er folgt mit rechthaben gleich man sagt so was wie naja der
291320	297480	erfolg gibt ihm gibt ihm recht und es ist ja zum beispiel jetzt so immer mal kann
297480	300000	man warten sozusagen brauchen eigentlich nur kurz warten gibt es irgendein
300000	304160	skandal ne korruptionsskandal bei der bei der union
304160	307880	und dann warten die bis gas drüber gewachsen ist und zack ist der gutenberg
307880	314400	wieder da und nicht das relevante ist sozusagen was man aus was ich was ich
314400	317720	jetzt aus dieser beobachtung schlussfolger das relevante ist nicht der
317720	321240	politische inhalt oder irgendwie die demokratischen bemühungen dieser
321240	325040	parteien nicht die ideale die jetzt irgendwie von
325040	328640	vertretern der konservativen da verteidigt werden das ist nicht das
328640	334600	relevante dass es ist ganz einfach die tatsache dass der soziale status selbst
334600	339520	ausreicht wenn man es einmal zu einer erhobenen
339520	344200	position geschafft hat und sich diesen status etabliert hat dann ist das ein
344200	350040	eine self fulfilling prophecy dann ist das ein dann ist das schon alles das ist
350040	354280	alles was sie haben eigentlich dürfte doch vor lauter scham dieser gutenberg
354280	360000	jetzt zum beispiel nirgendswo mehr freiwillig auftreten wollen aber das ist
360000	362960	überhaupt nicht das relevante und ich glaube diesen trugschluss den dem sah
362960	367040	sich lange auf weil ich da das hat mich wirklich total gepuzzelt ich habe mich
367040	369760	gefragt wie kann das sein wie kann das sein dass so leute wie schulz zum
369760	374760	beispiel kanzler werden und ich denke damit kann man das erklären die leute
374760	380440	denken sich ja ok wenn er erfolgreich ist dann hat er damit auch recht der
380440	385240	zweck heiligt die mittel und das ist sozusagen eigentlich ist das das
385240	390320	vertauschen von ursache und wirkung der soziale status der reicht halt
390320	394280	sozusagen schon aus das ist so ein bisschen wie meine flussfolgerung in
394280	398480	meinem tv video wo ich sage irgendwann ist es einfach schon das reicht aus
398480	402600	fame zu haben um fame zu sein nicht man musste ursprünglich mal was können um
402600	406560	fame zu bekommen irgendwann reicht es aus fame zu haben durch
406560	411160	einen zufall durch einen verteiler und dann hat reicht aus man muss überhaupt
411160	414000	nichts mehr können und das führt dazu dass leute fan sind ohne was zu können
414000	417480	es ist aber immer noch so gefremd als müsste man was können und hätte
417480	421040	sozusagen den fame verdient aber fame um das fame zu werden ist das was wir
421040	426000	heutzutage beobachten können im trusty wie zum beispiel so und so was ähnlich
426000	432760	ist diese also diese manifestierte entfremdung der wettbewerbs logik die
432760	437560	die ist das im prinzip es ist es ist eine entfremdung die entsteht dadurch durch
437560	442520	dadurch dass man den den heiligen grail des wettbewerbs so anbetet weil genau
442520	446160	da ja auch instant der inhalt dann egal wird und das habe ich schon gesagt
446160	451200	inhalte werden überwunden und zum beispiel immer dann wenn es eigentlich
451200	454600	klicks bringt dann braucht man das mit dem inhalt nicht mehr und klicks sind
454600	458000	sozusagen ein modernes phänomen für diese sache aber das gibt das gilt schon
458000	462080	immer so und was ich auch immer schon beobachtet habe sind diese typischen
462080	467880	lindner fanboys die unter jedes video drunter schreiben er hatte eine gute
467880	470480	rhetorik also er wurde ihm wurde eine frage gestellt er kann nicht darauf
470480	475000	antworten so richtig inhaltlich aber er kann so gut rhetorik und das reicht ihn
475000	479800	und so argumentieren übrigens fanboys von elon musk auch weil er verdient ja
479800	483560	viel geld es muss also was dran sein er muss irgendwas richtig machen und
483560	487120	argumentieren andere menschen argumentieren auch so von wegen na das
487120	490760	business ist doch erfolgreich zumindest hat es hier diese oberflächlichen
490760	494960	metriken wie aktienkurs also hat es meine anerkennung verdient
494960	499000	das ist sozusagen das was daraus folgt darauf wollte diesen punkt wollte ich ja
499000	504280	mal machen und aus wettbewerbsideologie folgt aber auch und jetzt das da geht
504280	508320	jetzt vor allem um die bürgis die bürgis haben meiner meinung nach dieses
508320	513400	ding mit der pseudo ungerechtigkeit übelst gefressen was man oft hört und
513400	517920	sieht in der bürgie blase also die konservativen zum beispiel die wollen
517920	523000	jetzt zum beispiel den sozialstaat abschaffen oder abschwächen weil da
523000	526280	wird ja leuten was geschenkt und das haben die ja gar nicht verdient das ist
526280	530240	ja unfair ich bin hier privilegiert und im mittelstand sowie märz jetzt zum
530240	533280	beispiel und der findet es total unfair dass leute einfach geld kriegen harz
533280	538760	vier oder so am liebsten sollten alles alles gestrichen werden und was ist was
538760	541840	ist das im wesentlichen naja das ist klassenkampf das ist klassischer
541840	547960	klassenkampf und die wollen halt einfach noch mehr vom kuchen abhaben und die
