start	end	text
0	9000	Was man immer nur sieht, ist, dass die sogenannte Mitte androht, nach rechts zu rutschen, wenn ihnen der Linksextremismus zu linksextrem wird.
9000	19000	Und das ist interessant. Das hat so irgendwie diese Argumentation von wegen, aber die Antifa, die zündet ja Autos an, Extremisten sind gefährlich.
19000	32000	Ich finde, das soll dieses Wir erzeugen, diesen Marketing-Trick, Leute einzulüllen, von wegen, ja wir hier, wir sind diese gutbürgerliche, wir haben hier diese Gruppenwives.
32000	39000	Wir sind doch alle gutbürgerlich, wir sind doch alle anständige Biedermeier, wir sind doch alle in einem Boot.
39000	47000	Wir hier, ich, der Friedrich Merz, der sich selbst als Mittelstand zählt und ihr hier, die ja nichts gemacht haben, die vernünftige Krankenschwester und so.
47000	55000	Das ist natürlich Lug und Trug. Friedrich Merz ist genau derjenige, der darin, solche Leute sind daran schuld, dass die Krankenschwestern dieser Welt so ausgebeutet werden.
55000	75000	So, Bürgitum Teil 3. Der Fall des Konservativismus durch Aufstieg des Faschismus oder andersrum, kann man sich überlegen.
75000	90000	Ich denke, ich habe hier mal eine Beobachtung, die ich euch unbedingt mitteilen muss.
90000	110000	Was man oft sieht, ist, wenn so Nazis jetzt zum Beispiel Ausländer attackieren, in der freien Welt da draußen, dann wird das von dem Spießbürgi, der Zeuge davon wird, als sehr unangenehm empfunden.
110000	120000	Weil der Bürgi ist ja der, der kein Risiko eingehen will und der Bürgi ist der, der immer sagt, lasst mich bloß mit allem in Ruhe, ich bin völlig überfordert von dieser Welt, ich will gar nichts machen.
120000	130000	In dieser Situation aber spürt er ja diesen, fuck, ich bin eigentlich angehalten, hier irgendwas zu machen, aber ich mache nichts, Konflikt.
130000	136000	Und was prägt sich dann beim Bürgi ein? Diese Frage müsst ihr euch stellen. Was prägt sich beim Bürgi ein?
136000	148000	Na ja, beim Bürgi prägt sich ein, da gibt es Menschen, mit denen er potenziell Stress verbindet. Und damit meint er natürlich nicht die, die den Stress verursachen, also die Nazis, nein, nein.
148000	156000	Er meint damit die Ausländer. Das ist das, was sich beim gutbürgerlichen, weißen Bürgi einprägt.
156000	168000	Er macht also Täteropferumkehr im Kopf vom Bürgi. Und ich finde, er wird sich wahrscheinlich denken, na ja, guck, die Nazis, gegen die kannste nichts machen.
168000	180000	Das sind ja auch Deutsche so wie ich. Und die sind ja auch schon viel länger da, das heißt, sie haben auf so eine Art ein mythisches, naturgesetzartiges Ding auch ein Anrecht, Nazis zu sein.
180000	190000	Und natürlich, die sind halt da. Getreu der Aussage von Tilo Jung, die er ja auch schon seit Jahren immer mal wieder stellt.
190000	200000	Bei der Rassismusfrage, na ja, ich bin ja Deutscher, die Nazis haben ja nichts gegen die Deutschen, deswegen stoppe ich das so nicht mit dem Rassismus.
200000	208000	Diese Formulierung bringt Tilo Jung ja immer. Und ich finde, es ist auch eine Frage der Mehrheiten.
208000	218000	Denn was ich beobachten kann, im Osten gibt es natürlich viel weniger Ausländer. Und gegen die ganzen Nazis hier kann man im Gefühl sozusagen nichts machen, weil sie einfach überall sind.
218000	227000	Und im Osten gibt es vor allem viel mehr Nazis, die sich offen zu ihrem Nazitum bekennen. Also denen sieht man das quasi einfach an.
227000	234000	Und im Westen sind sozusagen die Rassisten eher Leute, die sich hinter budbürgerlichen Fassaden verstecken.
234000	239000	Also die sitzen dann in Verwaltungen und sie haben den Schlips und den Kragen und sie sind clean.
239000	244000	Weil Bürgis sind ja die, die nicht offen zugeben wollen, dass sie irgendeine Meinung zu irgendwas haben.
244000	251000	Aber das Gefühl sozusagen, ihr Ausländer, Mensch, geht doch einfach weg, ihr verursacht hier nur Probleme, seht ihr das nicht?
252000	257000	Ich will wirklich diesen Konflikt gar nicht haben, Einstellungen.
257000	264000	Das ist die, die den Rassisten und Nazis sozusagen in die Tasche spielt.
264000	269000	Als würden Flüchtlinge sich irgendwie ausgesucht haben, freiwillig nach Sachsen zu ziehen.
269000	272000	Das muss man sich mal geben, das wird garantiert nicht so sein.
273000	281000	Und durch diese Erfahrung, durch diese Konditionierung darauf, dass hier sind Ausländer, ich gehe lieber, ich wechsle lieber die Straßenseite,
281000	286000	weil das ist potenziell gefährlich, weil da könnte jederzeit ein Mob Nazis rauskommen aus der Tür.
286000	293000	Und dann habe ich diese unangenehme Erfahrung, dass es da einen Konflikt gibt, mit dem ich ja nichts zu tun haben will, weil ich bin ja ein Bürgi.
294000	297000	Daraus, aus dieser Konditionierung, folgt garantiert Fremdenfeindlichkeit.
298000	302000	Im deutschen Spießer drin, weil da stirbt einfach die Empathie ab.
302000	308000	Und das wird dann halt auch einfach so weitergegeben an die anderen Generationen, an die Jüngeren, an die Kinder.
308000	314000	Nicht zwangsläufig, weil die Bürgis das wirklich so sagen würden, aber weil sie so handeln.
314000	316000	Kinder lernen ja vor allem durch Imitieren.
316000	322000	Die lernen, wie ist der Habitus und dann kommt das ins Unterbewusstsein rein.
322000	332000	Und ich finde, dadurch, dass Bürgis ja auch nicht sozusagen keine Awareness haben für Klassismus und die Klassenfrage,
332000	334000	also warum ist das so?
334000	337000	Naja, weil der Leidensdruck der Bürgis nicht groß genug ist.
337000	343000	Bürgis sind ja die, die sozusagen privilegiert sind, im Leben stehen, vom System gestützt werden
343000	348000	und einfach sozusagen ein gutes Einkommen haben und irgendwie klarkommen.
348000	355000	Und aus dieser, also so unbequeme Wahrheiten, die jetzt zum Beispiel erfordern, dass man die eigene Position verlässt,
355000	357000	die werden natürlich von Bürgis abgeblockt.
357000	364000	Und ich würde das so nennen, das ist die Trägheit des Privilegs oder Privilegierde macht einen besonders träge.
364000	372000	Und aus dieser Schlussfolgerung, finde ich, emergiert dann sozusagen auf dem Aggregate Level der Zivilisation
372000	376000	oder sagen wir mal auf dem Aggregate Level der Gesellschaft, in der wir leben.
376000	382000	Daraus folgt, dass das System strukturell rassistisch ist und auch auf Minderheiten draufscheißt.
382000	387000	Und das ist das, was wir sehen, weil ich habe jetzt schon gesagt, viele, so ist ja Bürgis, arbeiten in Behörden.
387000	393000	Kein Wunder, irgendwer muss ja in diesen Behörden arbeiten, da arbeiten typischerweise Bürgis.
393000	400000	Und was natürlich hilft in so einem Bürgi-Laden ist, reich sein.
400000	406000	Wenn man reich ist, privilegiert, dann kann man sich im Prinzip in so einem Bürgi-System alles erlauben.
406000	411000	Das ist das, was wir sehen. Und ich habe noch so eine Metapher für euch,
411000	418000	ich glaube, diese Metapher hat mich dann auch dazu gebracht, diese dreiteilige Miniserie jetzt hier einzuschieben,
418000	424000	nämlich das Bürgitum. Das macht im Wesentlichen Folgendes.
425000	430000	Es piekst irgendwelche Gruppen von Menschen und ärgert die.
430000	439000	Und wenn die sich dann wehren, dann versteckt sich das Bürgitum hinter dem Staatsapparat und hinter der Polizei und so.
439000	443000	Also das Bürgitum will und kann keine Konflikte selbst lösen.
443000	452000	Und es hat sozusagen diesen Ausweichmechanismus, dass Bürgis ja grundsätzlich die Augen vor allem zumachen, was sie sehen.
452000	460000	Und daraus folgt sozusagen diese Beobachtung.
460000	470000	Wenn es hart auf hart kommt und quasi zum Beispiel durch Klassismus Widerstand sich regt in der betroffenen Gruppe von Menschen,
470000	475000	dann wird sofort sozusagen die Polizei gerufen und gesagt, nee, hier beschützt mich mal vor dem.
475000	482000	Ich habe die zwei die ganze Zeit gedrangsaliert und gegängelt durch Zettellogik, durch diskriminierende Verfahren,
482000	487000	durch strukturellen Rassismus, durch Rassismus in der Polizei und so weiter und so fort.
487000	492000	Aber sobald sich diese Menschen, die da benachteiligt werden, irgendwie wehren,
492000	497000	kommt die volle Gewalt sozusagen des Staatsapparates und macht sie kaputt.
497000	500000	Das ist sozusagen das normale Vorgehen des Bürgis.
500000	503000	Denn nochmal, der Bürgi will keine Probleme sehen überhaupt.
503000	506000	Der will am besten gar nichts davon wissen.
506000	518000	Der will einfach nur hinter seiner Mauer sitzen, sich auf seine Liege legen und irgendwie einen Slushie trinken, gemütlich am Pool am besten.
518000	522000	Und ich habe ja schon gesagt, was Konservative gerne machen.
522000	524000	Sie wollen, was wollen sie eigentlich bewahren?
524000	526000	Zum Beispiel die Natur wird es nicht sein.
526000	528000	Die Natur wollen sie definitiv nicht bewahren.
528000	532000	Auch wenn sie das zum Beispiel gerne behaupten bei zum Beispiel sowas wie Windräder.
532000	534000	Die verschandeln uns die schöne Landschaft und so.
534000	536000	Ja, genau. Blablabla.
536000	540000	Was sie eigentlich aufrechterhalten wollen, sind die Machtverhältnisse.
544000	548000	Eine Sache, die man sich auf jeden Fall reinziehen muss, ist diese Erkenntnis,
548000	554000	dass das Aufrechterhalten eines Machtverhältnisses jetzt, wie es in unserer Gesellschaft ist,
554000	560000	das kostet immer zunehmend mehr Ressourcen, denn wir sind ja alle gebunden an Wachstumszwang.
560000	569000	Und wenn man das länger durchdenkt, dann folgt daraus sozusagen, dass das Aufrechterhalten bestimmter Sachen auch immer mehr kostet.
569000	578000	Und Innovationen, um diese Kosten zu verringern, werden typischerweise durch Bürokratien verhindert bzw. sogar verunmöglicht.
579000	585000	Wir sehen ja zum Beispiel jetzt, es gab doch diese zwei Milliarden Kohle für die Schulen im Corona.
585000	592000	Ich müsste nochmal nachgucken, ob man das mal irgendwo nachlesen kann, wie viel jetzt nach diesen Jahren eigentlich mal bei den Schulen angekommen ist.
592000	594000	Ich könnte mir vorstellen, da ist nicht viel angekommen.
594000	599000	Wir haben einfach zu viel Verwaltung, das kann die gar nicht gewährleisten wahrscheinlich.
599000	604000	Und der Mängel an echten Innovationen könnte aber auch Manifestationen der Sättigung sein,
604000	608000	die durch die Bürokratien auf natürliche Art und Weise entstehen.
608000	616000	Also ich bin mir da sozusagen nicht über Ursache und Wirkung so ganz im Klaren, aber ich denke, es hat damit was zu tun, das ist so mein Gefühl.
616000	621000	Übrigens, mir wurde den Tag etwas Interessantes angetragen.
621000	626000	Also Konspiration bedeutet sich vernetzen.
626000	629000	Das heißt sich treffen.
629000	639000	Und im Sinne des Herrschafts- und Eplebeia-Modells, also wir haben hier eine Herrscherklasse und wir haben hier Beherrschte,
639000	647000	in diesem Sinne ist ja das sich treffen, das unkontrollierte sich treffen und die unkontrollierte,
647000	654000	also durch die Machthierarchie nicht kontrollierte Absprache, das ist latent gefährlich für die herrschende Klasse.
654000	664000	Die Angstpyramide, also die Angst macht sich sozusagen in der Herrschaftspyramide bereit in dem Moment, wo Menschenmassen sich unkontrolliert vernetzen.
664000	676000	Und was dann entsteht, meiner Meinung nach, ist das, was die Soziologin Natascha Strobel extremistischen Konservativismus nennt.
676000	683000	Und ich denke, das ist das, was wir im Moment sehen, also als Antwort auf die Krisenhaftigkeit unserer Welt.
683000	699000	Wenn wir jetzt zum Beispiel beobachten, Kinder und Erwachsene, verfassungsmäßiges Recht auf Protest gegen sozusagen das Desaster, was wir hier Klimamaßnahmen nennen.
699000	706000	Und dann gibt es diese Plakate von Bömi und da fühlen sich dann Rechte angesprochen und angegriffen.
