start	end	text
0	5500	Wir sind halt irgendwie beseelt von unserem eigenen, aufgegeilt von unserem eigenen Erfolg in Anführungsstrichen
5500	8500	und wir sind total überhebliche Lappen in diesem Sinne.
8500	15900	Technisch gesehen versuchen wir irgendwie immer noch Quadrate, Quadrat, was weiß ich, Quadratförmchen
15900	20900	durch irgendwelche Kreislöcher durchzustopfen und weil das nicht geht, machen wir es dann mit Gewalt.
20900	21900	So ungefähr ist das.
30000	43500	So Leute, ich wurde letztens bei einer Art Doku über den Schleim durch eine Nachfrage darauf hingewiesen,
43500	50500	dass ja im allgemeinen Sprachbegriff oder Gebrauch das mit den Aggregatzuständen gar nicht klar definiert ist.
50500	53500	Einen normalen Menschen auf der Straße, der könnte einem gar nicht sagen,
53500	57500	was jetzt ein Aggregatzustand eigentlich ausmacht und wo jetzt der Unterschied ist und so.
58000	66000	Und das hat mich dann auch wieder daran erinnert an so eine andere Gretchenfrage,
66000	69000	die bei uns im Studium relativ entspannt als Nebenprodukt abfiel,
69000	75000	nämlich warum haben wir eigentlich drei Raumdimensionen, warum nicht zwei oder warum nicht vier oder mehr?
75000	84000	Und die kurze Antwort ist, in zwei Dimensionen kann man keine Komplexität erschaffen wegen der Topologie
84500	90500	und in vier und höheren Dimensionen gibt es keine stabilen Orbits, das heißt jetzt nur für die Geeks und Nerds.
90500	96500	So, aber während ich jetzt die letzte Woche oder auch die letzten zwei, drei Wochen darüber nachgedacht habe,
96500	99500	weil die Schleim-Doku ist ja jetzt schon länger her, ist mir wieder aufgefallen,
99500	103000	wie geil das mit der statistischen Physik damals war und den Abzählen von Mikrozuständen
103000	107500	und dass Verschlussfolgerungen da rausgekommen sind und so und ich bin jetzt irgendwie motiviert,
108000	114000	noch mal so ein lauer Video zu machen wie so eine Fortsetzung oder so ein ähnliches Video wie
114000	120000	Fortschritt weiter denken als Elon Musk, wo ich schon so skizziert habe, Ziel des Lebens ist sozusagen
120000	125500	gegen die Entropie zu gewinnen, gegen den zweiten Hauptsatz der Thermodynamik,
125500	129000	Entropie irgendwo lokal zu minimieren und dabei Wärme zu produzieren und so.
129000	134500	Und ich will jetzt hier noch mal so ein Video machen und so ein bisschen Schlussfolgerungen
134500	137500	und Zusammenhänge zu unserer Gesellschaft so ein bisschen ziehen,
137500	142500	so ein bisschen Dirty-Zusammenhänge würde ich mal sagen.
