start	end	text
0	18080	Bevor man irgendwo anfängt zu quatschen und irgendwas zu machen, haben Leute natürlich
18080	25880	ihre fertigen Vorurteilskästchen schon angelegt und das macht jeder von uns, das ist ganz
25880	31400	normal und wenn ich zum Beispiel, ich habe ein Video über MeToo gemacht und warum ich
31400	40280	denke, dass MeToo im Prinzip so eine Art Kettenbrief ist, der nichts macht außer Marketing, dann gibt
40280	43840	es halt eine Menge Leute, insbesondere in den linken Bubbles, in denen ich mich aufhalte,
43840	51640	die mich dann natürlich pauschal für einen Frauenverachter halten und was auch immer und
51640	58120	der normale Dialog wäre dann halt, den man jetzt erwarten würde, ist du bist ein Frauenverachter
58120	62960	und dann würde ich reagieren von wegen, fick dich ins Knie, du dummes Stück Scheiße, halt die Fresse
62960	76760	und was da typischerweise abgeht, ist natürlich, was ich Offendism nenne, also ein Offendismus und
76760	83520	man kann grundsätzlich davon ausgehen, dass aus irgendeinem Grund, ich weiß nicht genau,
83520	92680	wann das passiert ist, aber es muss mit dieser permanenten Beschallung von Meinungen und
92680	100920	Konflikten und Aggressionen und steigendem sozialen Druck zu tun haben, dass Leute viel
100920	106800	leichter und viel einfacher in diese aggressive Grundstimmung direkt reinfallen oder auch da
106800	114440	schon sind, also sie gehen schon in einen Konflikt mit dieser Stimmung rein und ich
114440	120640	habe erstaunlich oft festgestellt, dadurch, dass ich das nicht mache und das einfach ignoriere,
120640	128400	wenn Leute, also Leute haben sozusagen ein Gegenargument, flämen und beleidigen und bringen
128480	135480	ihr Gegenargument und dann hinten rein treten sie einem noch irgendwie in den Rücken mental und
135480	140640	das ignoriere ich dann, nehme das Argument und gehe darauf ein und ignoriere das einfach,
140640	146840	dass sie mich Idiot nennen oder so und nach so 10, 20 Schriftwechseln oder je nachdem,
146840	153920	auf welchem Medium man das macht, auf einmal ist es voll cool und man redet wie mit jemandem,
153920	160440	mit dem man ganz entspannt in einer Bar quatscht bei einem Bier und das habe ich beobachtet mein
160440	166600	Leben lang, das geht schon immer so und meine Schlussfolgerung daraus ist, dass Leute einfach
166600	175640	ein riesen Maß an Unsicherheit haben, aus irgendeinem Grund, zum Beispiel soziale Aspekte,
175640	181600	dass man nicht schlecht dastehen will, indem man irgendwie einknickt oder so, Schwäche zeigen
182240	186720	oder dass man irgendwie zugeben müsste, dass man vielleicht sich mit irgendwas noch gar nicht
186720	191840	auseinandergesetzt hat oder dass man vielleicht eine Aussage schon getroffen hat, die man dann
191840	196200	im Nachhinein vielleicht doch noch mal rückgängig machen will oder ändern will, weil man vielleicht
196200	201440	zu neuen Informationen gekommen ist oder weil der Dialog, den man dann geführt hat, dazu führt,
201440	208200	dass die ursprünglichen Aussagen natürlich jetzt irgendwie berichtigt werden müssten. All das ist
208200	212520	eigentlich total menschlich und es ist auch offensichtlich, dass es bei jedem so ist,
212520	221360	aber aus irgendeinem Grund wollen Leute das nicht einsehen und haben so eine kognitive
221360	228440	Dissonanz und die identifiziere ich mit Authentismus, also das äußert sich einfach in der Tatsache,
228440	234080	dass immer alle permanent angespannt sind, einfach nur weil jemand anderes eine Meinung
234080	239360	hat, die der eigenen Meinung widerspricht, einfach nur das reicht schon. Man geht in einen Raum rein
239360	248080	und sagt irgendetwas und jemand, der eine Meinung hat, die dem widerspricht, der macht direkt die
248080	254720	mentalen, so der macht direkt die verschränkten Arme und macht so und genau das, dieses Gefühl,
254720	260360	das kennen wir natürlich alle, aber man muss dem einfach nicht nachgeben, man könnte ja auch einfach
260600	270160	mal ganz entspannt sein. Ich meine, erst mal ist es ja nur eine Meinung von jemand anderem und nur
270160	276680	weil der eine andere Meinung hat und einen deswegen verurteilt, muss das ja nichts Schlimmes sein. Man
276680	282680	kann sich auch einfach vorstellen, okay, der hat ja gar keine andere Wahl außer einen zu verurteilen.
282680	288200	Für mich sind ja eh, also mich persönlich, sind die meisten Leute eh vollständig infantilisiert,
288200	293560	deswegen ist es eigentlich fast kein Unterschied, ob ich mit jemandem rede, der fünf Jahre alt ist
293560	303160	oder 50. Da ist fast kein Unterschied. Das lasse ich denjenigen natürlich nicht merken, aber so geht
303160	309880	es mir oft. Es ist halt, das geht immer wieder zurück zu meinem Video über den freien Willen
309880	315320	und das Bewusstsein. Es hängt halt stark davon ab, was die Leute in ihrem Umfeld bis jetzt
315320	318840	aufgenommen haben und wie sie sich entwickelt haben. Ich mache den Leuten ja keinen Vorwurf
