start	end	text
0	6720	Bois jetzt nicht nur so wenig Kerrwirk wie möglich übernehmen, sondern sogar die eigene
6720	11600	Kerrwirk für sich selber vernachlässigen und auch das outsourcen an jetzt zum Beispiel die
11600	16480	Partnerin. Also dass sie sozusagen vom Greind oder von der entfremdeten Tätigkeit, die was auch
16480	23320	immer sie tun, so stark beschädigt werden, dass sie es zwingend benötigen, dass sich jemand um sie kümmert.
30000	42200	So Leute, ich mache jetzt noch mal so ein Mario Bart Social Justice Warrior Männer Frauen Video
42200	46960	und hier geht es nicht um LGBTQ oder so, dazu habe ich damals schon Videos gemacht.
46960	55760	Ich fange an mit Testosteron und Wettbewerb und das Testosteron sozusagen habe ich schon
56120	61640	erklärt, das Verlangen nach sozialem Status erhöht und deswegen sozusagen in Jungs die Sache mit dem
61640	66920	Wettbewerb eher vorkommt und wie das Patriarchat entstanden ist, habe ich schon erklärt aus der
66920	72480	Patri-Lokalität und daher haben wir sozusagen eine Wettbewerbsideologie. Wir finden quasi
72480	80440	Wettbewerb als Dogma vor und allgemein, seitdem ich so über diese Sache mit der Emergenz so richtig
80440	85840	dolle am Nachdenken bin, habe ich festgestellt für mich, auch sozusagen in meinem persönlichen
85840	94960	Erfahrungsraum, dass Frauen eher dazu neigen, vernetzt und ganzheitlich zu denken. Also die
94960	101400	grundsätzlich gehen schon mit diesen vernetzten Gedanken, also quasi mit emergenten Mindset in
101400	105960	irgendwelche Situationen rein. Hingegen Jungs typischerweise und Männer eher so einen Tunnelblick
105960	113320	haben, fokussieren sich auf eine Sache und haben so ein total lineares Denken und ich denke, wenn
113320	120040	Jungs sozusagen im Patriarchat aufwachsen, führt das meistens dazu, dass clevere Boys, die meisten
120040	126240	zumindest, die sozusagen nicht moderiert werden, werden früher oder später erstmal Nihilisten und
126240	130360	wenn sie gut moderiert werden, dann können sie auch schon in jungen Jahren, schon mit 15, 16,
130360	134280	richtig produktive Mitglieder der Gesellschaft werden und irgendwas greinden, was sinnvoll ist
134280	139520	und sozialen Status bekommen und ein glückliches Leben haben von Anfang an. Aber die meisten machen
139520	146200	das nicht, weil wir haben halt diese destruktive Entfremdung des Wettbewerbs überall und die meisten
146200	149680	wie gesagt werden Nihilisten bzw. wenn sie zu doof sind und nicht clever sind, dann werden sie
149680	155520	einfach dumpfbackige Gefährder. Das Patriarchat und das ist jetzt denke ich die Hauptaussage
155520	162520	dieses Videos, es zeichnet sich meiner Meinung nach durch eine völlig falsche Allokation von
162520	168760	Care Work aus, also Pflege und Sorgearbeit und es gibt einfach sozusagen eine riesen Asymmetrie,
168760	173640	ist ja klar. Typischerweise sind Frauen die, die das Care Work übernehmen in unserer Gesellschaft
173640	179840	und warum ist das jetzt so? Naja, ich habe ja schon erklärt in meinem anderen Video, dass man sich
179840	184080	das so denken kann, dass Machthierarchien grundsätzlich Wettbewerb erzeugen, weil sie
184080	188080	oft planlos sind und gar nicht wissen, wie man Sachen lösen soll, deswegen schmeißen sie sozusagen
188080	192160	in den Entscheidungsraum von den Leuten und der Gesellschaft einfach rein. Hier, das ist der
192160	197640	Wettbewerb, ich zahle euch, wenn ihr das Problem löst, dann irgendwas aus und dann entsteht Wettbewerb
197640	204760	und ich denke grundsätzlich ist es so, dass Teilnehmer jetzt in so einem Wettbewerb natürlich
204760	210240	von den Machthierarchien in von irgendeiner oberflächlichen Metrik bewertet werden. Die
210240	214560	werden sozusagen sortiert, wie gut haben sie das Ziel erreicht und der, der ganz oben ist,
214560	220400	der hat gewonnen und nochmal meine Definition für Oberflächlichkeit, ich sage eine Metrik ist immer
220400	225520	dann oberflächlich, wenn sie soweit Komplexität reduziert, also im Ergänz ignoriert, bis sie für
225520	231720	das, was sie eigentlich charakterisieren will, keine belastbare Aussagen mehr treffen kann und es
231720	239440	sind grundsätzlich, finde ich, Dinge, die man nach einfachen linearen Mustern greinden kann in diesen
239440	245520	Wettbewerbsszenarien. Also denkt euch nur Multi-Level-Marketing, Bitcoin Bros, die wiederholen
245520	248640	sozusagen immer denselben Task, nämlich Leuten irgendwas anquatschen und dann werden sie
248640	252880	erfolgreich. Immobilienmakler machen dasselbe, völlig egal, also unendlich viele von diesen
252880	257840	Standard, ich greinde jetzt hier, um erfolgreich um Karriere zu machen und was auch immer, Männerkram
257840	261440	und Geschichten und Heldengeschichten, die sich hinterher darüber erzählen, was für ein krasser
261440	266880	Grindplot sie sind und so, das ist alles so ein Scheiß. Super unterkomplexer Bullshit, eigentlich
266880	272000	völlig lapidare Tätigkeiten, da muss man vielleicht clever sein im Leute verarschen, aber das ist mehr
272000	280560	oder weniger trivial. Also ich traue das fast jedem Menschen zu, der nicht komplett bescheuert ist und
280560	287040	der Grind sozusagen im Carework hingegen ist anders. Ich finde, der saugt typischerweise und
287040	290680	das weiß ich ja, weil ich eine Tochter habe und sozusagen das auch beobachtet habe an mir selbst,
290680	295480	zum Beispiel in meiner Elternzeit, der saugt viel mehr mentale Kapazität, weil man dort prinzipiell
295480	302600	höher aufgelöste Modelle über die anderen Teilnehmer in seiner Umwelt braucht. Es ist ja so,
302600	308640	dass wenn man Carework macht, irgendwie, man muss ja irgendwie ein akkurater aufgelöstes Modell des
308640	313960	Bewusstseins des Gegenübers haben, zum Beispiel vom Baby oder auch von einem demenzkranken Patienten
313960	322240	oder so und was das bedeutet ist, man muss viel für andere mitdenken im Carework und ich finde
322240	332920	damit alleine ist schon klar, dass im Patriarchat es nun mal irgendwie oft so ist, dass man das
332920	338320	extrem belastet und ich denke in der Pflege von Angehörigen oder auch im Großzins von Kindern
338320	343840	sieht man das besonders. Das ist einfach sehr anstrengend und ich habe ja schon ein Video gemacht
343840	350720	zum Konstrukt der Mutter sozusagen, das ist erstmal, da habe ich auf diese Artedoku reaktiert,
350720	354920	die gar nicht so schlecht ist und da kommt das eigentlich relativ gut raus, dass das sozusagen
354920	360200	naturalistischer Fehlschluss ist, dass Frauen jetzt irgendwie von Natur aus heraus so Muttergefühle
360200	363920	und die machen das dann schon und dann klären die das. Ich denke darunter leiden viele Mütter,
363920	368840	dass sozusagen ihnen diese komplette Carework alleine aufgelastet wird zusammen mit dem ganzen
368840	373080	anderen Mental-Load von wegen Haushaltsschmeißen und so ein Scheiß und vielleicht noch Karriere
373080	379600	und Beruf und noch andere Settings und so und ich denke deshalb ist Carework ein super krasser
379600	385560	Mental-Train und bei kleinen Babys jetzt oder Demenzpatienten kommt halt einfach überhaupt
385560	391560	kein intellektuell angemessener Social-Response zurück von dem Objekt oder dem Subjekt, wo man
391560	395880	da Carework reinsteckt. Also ein Baby gibt jetzt nicht irgendwie, kann ja nicht besonders gut
395880	401040	antworten außer Blobbern und klar und sozusagen Kinder sind schon cool, aber auf Dauer wird man
401040	405040	da bescheuert. Da kann mir keiner erzählen, auf Dauer wird man bescheuert, wenn man nicht noch mit
405040	412880	anderen Erwachsenen sich irgendwie währenddessen unterhalten kann. Daher finde ich ist Carework ein
412880	417120	super krasser Wettbewerbsnachteil. Wenn man Carework macht, kann man in anderen Wettbewerben,
417120	421160	die simpel gereinten müssen, hat man nicht mehr genug Kapazitäten für das Mindset. Für den
421160	425800	hundertprozentigen Tunnelblick geht es mal ganz zielstrebig eine Sache zu verfolgen. Sagen wir mal
425800	432760	im Competitive Gaming ist das auch so und ich denke dank Testosteron grundsätzlich sind ja
432760	437240	Frauen quasi weniger an Wettbewerb überhaupt und Dynamik interessiert und nehmen auch weniger
437240	442080	teil und grundsätzlich sozusagen haben sie dieses vernetztere Denken schon angelegt und deswegen
442080	448080	sind sie auch eher empathisch und diesen ganzen Scheiß. Das heißt, es entsteht sozusagen nur
448080	454040	automatisch so eine Imbalance, dass ihnen mehr Carework rübergereicht wird als eigentlich gut
454040	457840	für sie wäre oder man könnte sie besser verteilen und diese Asymmetrie, die Verteilung,
457840	462840	wie gesagt, die geht entlang der Machtgefälle, die wir halt in unserer Gesellschaft haben,
462840	468520	in die wir uns einbetten. Und im Patriarchat finde ich es ist eher sogar Standard, dass die
