start	end	text
0	5000	Was Demenzkranke typischerweise die sind, die am meisten abbekommen, ist ja klar, die können sich halt an nichts mehr erinnern.
5000	9800	Klar, die kriegen das ja gar nicht mit, dass die Scheiße behandelt werden oder den ganzen Tag keiner vorbeiguckt.
9800	14520	So ist das und das ist halt nichts anderes als Massentierhaltung auch.
14520	21560	Bei der Massentierhaltung ist es halt so, da wird das Fleisch gefarmt von deren Rippen, umgangssprachlich.
21560	25360	Ja, und bei Altersheimen wird halt der Pflegebeitrag gefarmt.
25360	33520	Die müssen so lange leben wie möglich oder sagen wir mal am Leben erhalten werden und da muss der Cashflow umgeleitet werden.
33520	35840	Da müssen sozusagen die Beiträge durchfließen.
35840	41960	Das ist das einzige, worum es geht. Es spielt überhaupt keine Rolle, wie es denen geht, weil klar, sage ich ja, Inhalte werden überwunden.
55680	63760	So Leute, lange Zeit kein Video, ich weiß. Grund, ihr seht es vielleicht, Umzugsstress.
63760	75800	So, ich habe mir den Tag tatsächlich mal den Parabelritter am Twitch gegönnt und irgendwie hat mich das inspiriert,
75800	89320	zu einem Video über Pflege, Pflegenotstand, Cashflow und solchen Sachen wie prekärer Arbeit mal jetzt ein Video zu machen.
89320	98040	Und ich gebe jetzt erstmal so eine Beispielgeschichte aus meinem eigenen Leben, als meine Frau schwanger war.
98040	105720	Da war es so, dass am Ende, ist ganz normal, da geht man irgendwie alle paar Tage ins Krankenhaus und dann werden so Werte gemessen.
105800	115480	Ja, so Herzschlag und so ein Zeug vom Baby und dabei kommt dann immer raus, ja ist alles okay, gar kein Problem.
115480	122120	Und trotzdem, während dieser Untersuchungen, fragen sie einen die ganze Zeit, was ist denn jetzt mal mit dem Entbindungstermin?
122120	129440	Wir haben doch hier in der Akte stehen, dass wir damals vor acht Monaten geschätzt haben, dann und dann ist der Termin und dabei ist völlig klar,
129440	136800	dass dieses Kaffeesatzlesen mit diesem Termin locker mal eine Variante von Größenordnung von einer Woche hat oder so.
136800	146960	Und bei uns waren es glaube ich zehn Tage oder so, also wir waren zehn Tage über dem Termin oder elf oder so und wir lassen uns da natürlich nicht drauf ein.
146960	153120	Und die fangen dann auch an Druck aufzubauen und das funktioniert garantiert bei vielen Eltern, jungen Eltern, die unerfahren sind.
153760	161760	Also ich meine, wir waren auch junge Eltern und unerfahren, aber trotzdem war uns schon klar, dass die irgendwie ein Business machen und was die machen ist,
161760	170640	die quatschen einen voll von wegen, ja wenn das Kind zu groß wird und so, da im Mutterleib, es muss auf jeden Fall jetzt mal dann schnell raus und wenn das so groß wird,
170640	176240	das ist ein Riesenbaby, die quatschen alle übelst rum, dass es ein Riesenbaby ist und das ist eine Story, die habe ich jetzt oft gehört, dass die Leute einem wirklich einreden,
176240	182720	das Kind sei schon viel zu groß und es muss auf jeden Fall raus, weil sonst wird die Komplikation bei der Geburt viel zu heftig und so.
184080	196560	Und das stimmt halt einfach nicht, da kommen manchmal Kinder raus, die wiegen irgendwie, was weiß ich, weniger als dreieinhalb Kilo oder zweieinhalb Kilo oder was und das ist natürlich nicht zu groß.
196560	206080	Und ja, also die machen dann halt irgendwelche Messungen und schätzen dann ab und das ist natürlich völlig, es ist einfach Fake News, die quatschen einen voll.
206080	214400	Was sie einfach machen wollen ist, sie wollen das gerne schön scheduling in ihren Timetable, weil klar, das ist wie bei der Massentierhaltung auch,
214400	222640	das ist eine Abfertigungssituation, wie am Fließband, am besten für das Krankenhaus ist, wenn sie eine konstante Rate an Geburten haben und natürlich ist es schlecht,
222640	229120	zu managen in so einer Nachtschicht, mehr Geburten zu haben, als du eigentlich Personal da hast und so, ist ja völlig klar.
230080	235280	Aber trotzdem, da muss man sich klar machen, wie forcieren die so einen Geburtstermin dann?
235280	244160	Naja, die geben einem einen sogenannten Venencocktail und das sind unendlich fiese Chemikalien in so einem Getränk, was die Frau dann trinken muss
244160	253360	und das ist so ekelhaft toxisch, dass der Körper anfängt Venen zu produzieren und sozusagen die Geburt einfach forciert wird, obwohl das Kind noch gar nicht bereit ist dazu.
254240	263600	Und ich meine, da gibt es unendlich viele Berichte, ich meine, ich bin in dieser Frauen-Mutter-Szene nicht so drin, aber meine Frau hat mir das erzählt, dass sie sich mal ein bisschen belesen hat
263600	272240	und so, das ist so ein klassisches Ding, dass Gewalt bei der Geburt ist ein ganz großes Thema, wird aber irgendwie, das Tabuthema wird nicht richtig ausgesprochen
272240	283040	und ich sage euch, was die Ursache dafür ist, die Ursache ist ganz normale Profitmaximierung und na klar, wollen sie einem während der Geburt dann auch permanent so Features anbieten,
283120	297120	wie damals, als die großen Friseurketten auf einmal angefangen haben, überall den Leuten was noch aufzuschwatzen, willst du noch dieses Haargel und noch diese Behandlung und soll ich hier noch irgendwie Special Treatment machen und so, das kostet dann alles extra, die wollen dann extra Behandlung aufquatschen
297120	304480	und so ist es auch mit Schmerzmitteln und am besten ist es noch für das Krankenhaus, wenn du dann irgendwie schnell Kaiserschnitten machst, weil so eine OP bricht wahrscheinlich mehr Kohle und so.
305120	317920	Und auch wenn euch das Thema Corona jetzt nicht interessiert, guckt euch mal noch mein Video an zum inhaltlich argumentieren am Beispiel von Corona, weil da bringe ich am Anfang so ein Beispiel von einem Kumpel, der einen Herzinfarkt hatte und in der Reha war und dem geht es auch so.
317920	345360	Ja, also dieses Muster sieht man überall, dass irgendwie, dass all diese normalen Einrichtungen, die eigentlich dazu da sein sollten oder mal so gedacht waren, Leuten tatsächlich irgendwie was zu bringen und zu helfen, dass die natürlich mittlerweile nur noch an Profiten orientiert sind und dass sich das für die Betroffenen natürlich komisch anfühlt, weil wir immer noch diese Illusion haben, dass wir Menschen jetzt für den Kapitalismus irgendwie von Wert sind, aber das stimmt natürlich nicht, zumindest nicht so, wie wir das denken.
348360	360360	Jetzt stellt euch mal die Frage, was hat die Pflegebranche oder auch Krankenhäuser und Ärzte und so, was hat diese Welt gemeinsam mit der akademischen Welt?
361360	367360	Und ich habe es glaube ich in meinem letzten Video auch gesagt, prekäre Arbeitsbedingungen in der Forschung sind gang und gäbe heutzutage.
367800	395800	Und ja, ich würde sagen, in beiden Branchen ist es so, dass es sich da, also dass die Leute, die die Arbeit leisten, die Arbeiterklasse sozusagen, also in dem einen Fall die Akademiker, Studententypen, die irgendwie Doktoranden sind und dann irgendwie sowas, Postdocs auch und in dem anderen Fall halt das Pflegepersonal, diese Arbeiterklasse, was die machen, ist die leisten Arbeit, weil sie Idealisten sind und sie wollen ja nicht aufhören, weil ihre Tätigkeit ihnen Spaß macht.
396240	418240	Und Pfleger müssen ja offensichtlich so ein Hilfersyndrom haben, dass sie so krass, also dass es eine Leidenschaft für sie ist, weil sie lassen sich damit ja maximal ausbeuten und viele Pfleger halten es ja auch nach einer Zeit nicht mehr aus im Pflegenotstand und müssen ihren Beruf canceln, weil sie Depressionen kriegen oder weil sie einfach krank werden von diesem Beruf, von der Dauerbelastung, die dadurch entsteht, dass dieser Bereich kaputtgespart wird.
418240	418680	Und ja, das nenne ich prekäre Beschäftigung. Es ist halt wirklich so, dass es natürlich so ist, dass in beiden Bereichen sozusagen keine Streiks oder irgendwie, was weiß ich, irgendwie Widerstand entsteht, weil die Leute ist ja, wie gesagt, die lassen sich gerne ausbeuten, weil sie ja eigentlich ihre Tätigkeit, die sie da machen, gut finden. Sie machen das ja gerne und zum Beispiel in der Pflege in Deutschland ist es so, dass nur zehn Prozent aller Beschäftigten überhaupt so was wie einen Pfleger haben,
448240	478240	ein Betriebsrat haben. Und die Leute wehren sich halt einfach nicht dagegen, dass sie ausgebeutet werden. Und hier muss ich jetzt natürlich auch noch klar erwähnen. In der akademischen Welt ist es so, da hat man vor allem dieses Problem, dass man jetzt durch Noteninflation, habe ich ja ganz am Anfang schon ein Video dazu gemacht, unendlich viele Absolventen hat und vor allem so unendlich viel mehr, dass man gar nicht weiß, wohin man diesen ganzen Absolventen
478240	508240	hat. Und es geht ja vor allem, also besonders schlimm ist es in dem, also ich bin ja sozusagen in den Ingenieurswissenschaften tätig, das heißt, klar, bei mir gibt es sozusagen Großindustriepartner und noch andere und ich habe es leichter, Drittmittelanträge zu stellen, weil das bei mir sozusagen irgendwie klar ist, da gibt es Großgeräte, da gibt es einfach mehr Money. Das ist irgendwie nicht so schlimm, aber bei den Laborfächern, bei diesen Leuten, die eigentlich niemand braucht, oder sagen wir mal, der Kapitalismus braucht sie nicht, weil der Kapitalismus ist nicht interessiert an einem Historiker oder an einem
508240	538240	Kapitalologen oder irgendeinem Kultur oder irgendeinem Laborfach. Und die sind natürlich noch viel mehr am Arsch, weil diese Lehrstühle, die spucken, die spitten ohne Ende Abschlüsse raus mit Leuten, die dann irgendwie beschäftigt werden müssen. Und natürlich, sein wir mal ehrlich, wenn man irgendwie Philologe ist, dann kann man dann recht vielleicht gerade noch zum Vorsitz der Grünen, aber das ist auch nur ein Einziger, der irgendwie, was weiß ich, dann Philosoph ist oder so, aber die meisten werden irgendwelche, ja, irgendwelche arbeitslosen Typen, die keiner braucht. Die können im Kapitalismus nicht
538240	568240	erforscht werden und deswegen, ja, das hätte man ihnen wahrscheinlich vorher sagen müssen, aber wie gesagt, sie haben es aus Idealismus getan. Und deswegen kommen sie automatisch durch ihren Idealismus in eine prekäre Situation und die wird befördert von den Unis, die sie gewähren lassen und mit Noteninflation sogar locken und dazu führen, dass es noch mehr gibt. Weil wenn sie nach einem Semester aussortiert werden würden und es keine Noteninflation gäbe, dann hätten wir auch nicht so viel prekär beschäftigte Leute. Klar. Und ich habe mir letztens den
568240	598240	Talk reingezogen bei Wohlstand für alle mit Amrai Ba. Das ist eine von denen, die sozusagen diese Ich Bin Hanna Bewegung ins Leben gerufen hat und, ja, die erzählt sogar davon, dass ihr Kollege das Schneeballsystem nennt. Also der sagt, dass diese ganze Idee hat irgendwie Schneeballcharakter und das ist natürlich witzig, weil das geht natürlich zurück auf mein Video, dass im Prinzip für mich alles so eine Art Schneeballsystem ist und hier meint sie damit aber, also ihr Kollege meint damit,
598240	628240	dass die Leute ja Idealisten sind und gelockt werden von den Unis, von wegen hier, mach doch was dir Spaß macht und dann sitzen sie aber in der Sackgasse fest, weil dann hast du irgendwie fünf Jahre deines Lebens oder mehr wahrscheinlich sogar in deinen Abschluss investiert und bist aber eigentlich sozusagen gar nicht mehr fähig, irgendwas im Arbeitsmarkt zu machen. Du bist überqualifiziert, um irgendwas Richtiges zu machen und für die anderen Positionen, die du gerne hättest, gibt es einfach nicht, da gibt es einfach nicht genug Positionen für. Ich meine, ist ja klar, es ist ja auch logisch, nicht jeder kann
628240	658240	Professor werden. Das macht ja gar keinen Sinn. Das macht ja offen, das sieht jeder sofort, dass nicht jeder, der einen Abschluss hat, auch ein Professor werden kann. Wie soll das gehen? Das wäre ja exponentielles Professorenwachstum. Diese offensichtliche Schneeballnature dieser Situation, die ist den Leuten aber nicht klar. Was soll ich dazu sagen? Das ist halt keine Ahnung. Viele sind halt aber auch irgendwie naiv und checken es halt einfach nicht und
658240	688240	die in der Pflege übrigens, also jetzt mal der Schwenk zur Pflege, weil sozusagen ich habe hier auch, ich spreche eigentlich mehr über Pflege in dem Video zumindest, laut meinem Textfall, die privatisierte Pflege, die ist natürlich kommodifiziert und wenn euch das Wort nicht sagt, zieht euch einfach mein Video zum Thema Kommodifizierung rein. Ich habe da ein ganz anderes Beispiel sozusagen, aber im Prinzip Kommodifizierung kann man immer überall gebrauchen, das Wort.
