start	end	text
0	18000	Wir haben die Kinder, die am Ende sind. Wir haben so viele Leute, die kein soziales, kulturelles Leben mehr haben.
18000	24000	Das ist doch selbstverständlich. Und wenn man sich mal anschaut, was überall in Europa los ist, dann ist das gleiche Phänomen überall.
24000	34000	Jetzt muss es uns gelingen, diese Gesellschaft mit einer Perspektive, deswegen habe ich so über den Sommer gesprochen, weil ich glaube, man braucht schon eine Perspektive.
37000	47000	Das ist ein herrlicher Clip. Ich habe den jetzt noch zu Ende geguckt, da wird am Ende tatsächlich auch über Portugal geredet, aber es wird natürlich nicht wieder mal ausgesprochen, was eigentlich das Problem ist.
47000	62000	Man muss sich mal klarmachen. Portugal, die hatten letztes Jahr einen Sommer, wo sie relativ gechillt waren bei sich, die hatten ähnliche Zahlen wie hier in Deutschland auch, aber hier in Deutschland war alles verboten, was Spaß macht.
62000	77000	Und die hatten im Prinzip alles offen und haben halt entsprechend der Pandemie-Regeln sich verhalten und da ging das gut. Und die haben sozusagen noch mal mentale Kapazität getankt, die Leute dort, und dann haben sie sich vorbereitet.
77000	92000	Hier in Deutschland war die ganze Zeit von oben herab, natürlich wie immer, von der Hipster-Regierung, die keine Ahnung hat davon, wie es den Leuten geht, einfach immer weiter mit Zetteln auf sie eingedroschen, dass man aber alles Mögliche verbieten muss und alles ist scheiße.
92000	116000	Dann kamen Dezember und die Portugiesen haben die Sache mit Weihnachten, wollten sie auch nicht und so. Und dann, was ist da passiert? Natürlich gingen die Zahlen übelst nach oben, die britische Mutante ging bei denen voll durch die Decke und die waren schon wieder so weit im Januar, dass die Ärzte in den Krankenhäusern entscheiden mussten, wer wird beatmet, wer kriegt noch ein Beatmungsgerät und wer muss sterben. So weit war es da schon wieder.
116000	130000	Und dann haben sie die Notbremse gezogen, nicht so wie bei uns, so eine Pseudonotbremse, sondern sie haben einen echten Lockdown gemacht von wegen, jetzt mal aber keiner geht raus und jetzt machen wir ziemlich was hier mal durch den Monat und zack gingen die Zahlen wie durch ein Wunder wieder nach unten.
130000	153000	So etwas wäre in Deutschland natürlich undenkbar und ich sag euch auch warum, weil bei uns die Zielgruppe und der deutschen Politik sind natürlich nicht wir, das sind nicht die Bürger, das ist klar, das sind wir nicht, das ist die sogenannte Wirtschaft und damit meine ich im Wesentlichen die größten Lobbyisten, die jetzt da im Bundestag ein und ausgehen.
153000	159000	Das sind die, die am Ende am Hebel sitzen und genau das kann man beobachten.
159000	178000	Übrigens, Sarah Wagenknecht hat nochmal ein extrem kompaktes Video zu dem Thema gemacht, Korruption und Lobbyismus und da wird jetzt wirklich für jeden Vollhong nochmal mit unendlich vielen Beispielen ganz klar aufgezeigt, dass Korruption erwünscht ist.
178000	187000	Das ist Teil, das ist ein Designproblem unseres Systems. Korruption ist in unserem System, so wie wir es jetzt haben, erwünscht.
187000	200000	Da braucht man sich gar keine Sorgen machen, dass das jetzt irgendwie ein Einzelfall war, diese Korruptionsaffären und so. Nee, das ist normal. Das ist gewollt und das wird auch so gemacht, das ist Absicht.
200000	214000	So, jetzt weiter. Wenn wir einen Lockdown machen, dann machen wir nur so weit einen Lockdown, dass alles was nice ist, wo die Leute was von haben, Kultur, einfach mal rausgehen, Eis essen, das soll alles möglichst unterdrückt und verboten werden.
214000	228000	Hauptsache, man kann sich noch schön mit 1000 Leuten in die U-Bahn quetschen und zum Arbeiten fahren. Denn wir haben hier eine Empfehlung, wir sollten mal bitte mehr Homeoffice durchsetzen, aber das wird nicht gemacht, weil es sozusagen nicht stark genug reglementiert wird, dass das auch mal durchgezogen wird, wo es möglich ist.
228000	238000	Und Betriebe, die das nicht machen, werden dann aber auch nur mit Empfehlungscharakter dazu gezwungen, also nicht gezwungen, sondern nur so, mach mal hier ein paar Testungen, das machen die dann meistens nicht.
238000	248000	Dabei wäre das eigentlich gar nicht mal so schlecht, wenn zwei-, dreimal vielleicht pro Woche die Leute, die noch gezwungen wären zur Arbeit zu gehen, dann auch mal getestet werden würden.
248000	260000	Das würde was bringen, das wäre ja auch ein Dienst an der Gesellschaft, aber das hat das mit Solidarität zu tun und das geht halt nicht. Wir haben halt in Deutschland diese Mentalität von wegen, das ist dein Problem, das kümmert mich nicht, scheiß drauf.
260000	273000	Ich mache hier mein eigenes Ding, aber so kann man eine Pandemie natürlich nicht bekämpfen. Da bräuchte man Solidarität, das geht nicht, weil, wie gesagt, unsere ganze Kultur und auch unsere Politik da einfach nicht drauf abzielt auf sowas.
273000	285000	Und jetzt noch mal von vorne, die Portugiesen haben den großen Vorteil, dass sie eine linke Minderheitenregierung haben und die haben so ein Wir-Gefühl in der Bevölkerung auch.
285000	299000	Wenn die Regierung da zu denen sagt, ich weiß, es ist jetzt mal richtig scheiße, aber wir müssen jetzt mal einen harten Lockdown machen, dann wird alles wieder besser, dann sind die Leute da eher bereit, auch mal für einen kurzen Zeitraum jetzt mal ihre Freiheiten aufzugeben.
299000	309000	Und dann haben sie ja zum Beispiel letztes Jahr im Sommer, durften sie alles wieder machen. Sowas haben wir ja in Deutschland nicht. Wir haben in Deutschland ja permanenten Lockdown im Wesentlichen.
309000	322000	Immer wieder wird man vertröstet, ist ja klar, und das macht alle Leute völlig fertig. Denn man muss sich klar machen, was das jetzt wirklich kostet, jetzt vielleicht nicht für die deutsche Wirtschaft, aber es kostet im Wesentlichen die mentale Kapazität von der Bevölkerung.
323000	335000	Fast alle Menschen, die nicht so sind wie ich, denen das egal ist mit dem Lockdown, die kacken alle richtig ab. Die psychischen Erkrankungen werden natürlich jetzt nach oben gehen, noch weiter als sowieso schon.
335000	352000	Ist ja immer so, in jeder Krise trifft es die Schwächsten am härtesten und bzw. Probleme, die schon da waren, werden nur noch deutlicher. Und es ist ja sowieso eine allgemeine Tendenz zum westlichen Modell, dass der Kapitalismus im Wesentlichen psychische Krankheiten verursacht.
