start	end	text
0	5080	Ich habe das in meinem Video zu Integration ja schon mal gesagt, Kultur bedeutet bei uns immer Konsum und
5800	8320	daher finde ich, ist es ein klassistischer Filter.
9280	12040	Was alles, was bei uns Kultur heißt, fast alles ist so.
12800	20600	Und da wo wir Armutsbetroffenheit haben, da haben wir halt auch einfach den größten Abstand zu dem, was ich jetzt mit Politik bezeichnet habe.
20600	25520	Das ist einfach so. Und oh Wunder, oh Wunder, Ostdeutschland ist nach wie vor riesig mit Armut betroffen.
25720	30760	Das ist also kein Ding, dass da auch besonders die AfD rein kickt, weil die halt einfach nicht politisch ist.
31360	34400	Das ist ihr Vorteil. Die AfD ist nicht politisch.
34520	36440	Das ist der Grund, warum sie gewinnt. Ganz einfach.
36640	40760	Ich vermute, Politik muss man anders nennen, dann wird es klarer, worum es geht.
40880	42360	Politik bedeutet Marketing.
44480	45760	Das musst du noch mal erläutern.
45760	46640	Genau, genau.
46640	48200	Politik ist Marketing.
48320	55440	Also es ist immer ein Wettbewerb entweder in diesen Hierarchiestrukturen, die du schon angemerkt hast.
56040	65080	Oder später ein Wettbewerb um die infantilisierte Wahlmenge der Menschen, die man dann irgendwie ansprechen will.
66240	74960	Und ja, das führt zu allen Artefakten, die man halt aus Wettbewerb kennt, dass es nicht mehr um Inhalte geht, sondern irgendwie um oberflächliche.
75280	76080	Man muss Rivarte hacken.
76080	80520	Man muss sozusagen die oberflächlichen Zielfunktionen rivarte hacken, um da zu gewinnen.
81200	83760	Und das sieht man jetzt zum Beispiel bei so Leuten wie Merz.
83760	89720	Die haben sich jetzt auf eine ganz spezielle Strategie festgefahren und machen halt jetzt das.
89720	91360	Und dann gibt es andere, die machen was anderes.
91360	97320	Was man nicht mehr beobachten kann, ist, dass jetzt irgendwie das, was erzählt wird, gemacht wird.
97320	105880	Nämlich irgendwie, dass es darum geht, ein Land jetzt mal auf einen Kurs zu bringen, gewollt, der auch von dem anderen was haben.
110520	135920	So Leute, was ihr da gesehen habt, ist ich selbst am Nachdenken und dann während ich erzähle, schon feststellen, dass ich hier einen semantischen Widerspruch in meiner eigenen Axiomatik habe.
136320	141840	Und zwar, ich habe erst sowas gesagt, wie die AfD gewinnt, weil sie nicht politisch ist.
142200	145960	Und dann habe ich aber gesagt, Politik bedeutet Marketing.
146800	152320	Und ich würde sagen, die AfD hat das beste Marketing und deswegen ist sie am Gewinnen gerade.
152640	154080	Und das widerspricht sich so ein bisschen.
154960	169240	Und ich denke, offenbar ist es sozusagen jetzt in der Retrospektive eher ein Zielgruppenkonflikt, den ich da noch nicht aufgelöst habe mit diesen Worten, von denen ich da rede.
169680	172480	Also Wagenknecht zum Beispiel ist ja beliebteste Politikerin Deutschlands.
173280	176040	Ich denke, weil sie sozusagen das beste Marketing hat.
177040	191720	Und ich denke, worum es hier eigentlich geht, wenn man über Politik und so einen Scheiß nachdenkt, ist eine inherent klassistische Bezeichnung oder eine klassistische Trennung von Inhalten.
192280	198000	Die eine Sorte von Inhalten nennt man Populismus und die andere nennt man irgendwie nicht Populismus.
198960	207720	Und ich zum Beispiel finde Greenwashing und Pinkwashing oder auch Identity Politics oftmals geheuchelt.
208080	211600	Und ich würde das auch eigentlich Populismus nennen, bloß für wen?
211600	214720	Es ist populistisch für, es zielt auf eine andere Zielgruppe ab.
215120	216200	Das ist sozusagen das Ding.
216440	220160	Es will eine andere Zielgruppe ohne ums Maul schmieren und deswegen ist es was anderes.
220480	221680	Wir nennen es aber nicht Populismus.
222240	223440	Warum nennen wir es nicht Populismus?
223440	227160	Na ja, weil wir insgeheim schon wissen, es zielt nicht auf die Arbeiterklasse ab.
227160	227920	Es ist klassistisch.
228960	236600	Und ich war ja jetzt für eine Woche in Saint-Imiére in der Schweiz bei dem Anarcho-Treffen.
237120	244080	Und ich finde, was mir sozusagen in Retrospektiv jetzt also nochmal wirklich richtig klar geworden ist,
244080	247720	mir war es auch schon vorher klar, aber ich konnte es nicht so richtig fassen, denke ich,
248320	253520	ist, dass beim Nachdenken über Politik automatisch passiert da so eine Ohnmacht.
254520	258800	Und da werden, also was da passiert ist, beim Nachdenken über Politik,
258800	264680	da werden sich so Geschichten konstruiert, die aus so einer Ego-Perspektive von so einer Machtherarchie kommen.
264680	266600	Ich habe das schon mal erzählt in einem anderen Video.
267080	270360	Und ich denke, diese Geschichte, die sich erzählt wird über eine Machtherarchie,
270360	273760	das ist ein idealisiertes Modell, was so gar nicht der Realität entspricht.
274760	277920	Das Einzige, was wirklich existiert, sind Menschen und deren Wechselwirkungen.
278040	281720	Und das ist natürlich zu kompliziert, deswegen versuchen wir eine Heuristik anzuwenden,
281880	286120	schlicht und einfaches Modell, so was wie eine Machtpyramide, so was wie einen Staat zu konstruieren,
286320	288640	der jetzt irgendwie angeblich Handlungsmacht hat und so.
290920	295960	Und irgendwie gibt es hier für mich eine Analogie.
296160	299040	Und die möchte ich jetzt sozusagen, über die möchte ich jetzt reden in dem Video.
299880	303800	Das ist wieder so eine Art Brainstorm, der jetzt irgendwie heute Morgen immergiert ist in mir.
304640	311720	Wie in Internetdebatten, so auch in der Politik, der fromme Wunsch ist,
312440	319040	es soll sich ein ideologischer Überlapp oder mindestens ein narrativer Überlapp irgendwie erzeugen lassen.
319880	324800	Durch, ich rede so lange auf andere ein, bis ihnen klar ist, dass ich Recht habe oder so.
325160	328160	Und was dahinter steht, ist quasi dieser ganz dringende Wunsch.
328400	332400	Wenn ich Menschen jetzt viel besser meine eigene Geschichte erkläre, dann habe ich sie im Sack.
333400	334880	Dann ist alles klar.
335200	339280	Was wir aber eigentlich beobachten, ist Menschen handeln super ähnlich,
339640	342080	obwohl sie sich komplett unterschiedliche Geschichten erzählen.
342640	347000	Und die Frage ist sozusagen, wie wichtig ist das Narrativ, was sich die Menschen eigentlich erzählen?
347000	350960	Und das geht jetzt wirklich zu meinem Video zurück zu über die Identitäten oder die Geschichten,
350960	352080	die wir uns selber erzählen.
352920	357080	Und ich finde analog ist das Problem von Bürokratien auch.
357920	361440	Und über Bürokratien und Machthierarchien denke ich ja übelst oft nach.
361800	364160	Und ich meine damit, dass insofern, dass
366120	372760	Bürokratien haben ja oft das Problem, dass jetzt zum Beispiel unterschiedliche Ämter oder auch auf einem Amt in unterschiedlichen Etagen
373160	375520	das Interface sozusagen kein gemeinsames mehr ist.
376640	381800	Sie haben eventuell ähnliche Inhalte, sie sprechen über dieselben Sachen, aber ihre Zettel sind nicht kompatibel.
382160	386120	Weil sie zum Beispiel unterschiedliche Pointer-Bezeichnungen haben, die auf dasselbe Ding zeigen,
387000	390960	beziehungsweise quasi einfach nur andere Worte für dasselbe Ding haben.
391440	395360	Und dann werden diese Zettel nicht mehr, also dann wird das Fuzzy, dann kann sich das widersprechen.
395360	398720	Wenn man das ernst nimmt, dann muss das sozusagen, wenn Sachbearbeiter richtig interpretieren und so.
399440	401200	Und wenn ich das sozusagen,
402400	408480	wenn ich jetzt irgendwas verstanden habe nach sozusagen den drei, vier Jahren, über die ich jetzt, sagen wir mal zwei Jahre,
408640	412120	die ich aktiv über Hierarchien, Machthierarchien und so nachdenke, ist,
414600	420800	dass das wichtigste Ding, über das man nachdenken muss, grundsätzlich die Fragestellung ist, wie würde ich es programmieren, wenn ich
420960	424160	sozusagen entscheiden muss, Zentralisierung oder Dezentralisierung.
424600	430360	Und es gibt halt meiner Meinung nach genau eine Sache, bei der es total sinnvoll ist, dass sich alle Teilnehmer
430880	436240	einer Dynamik auf etwas einigen. Und wenn es das ist, also ich denke, es ist das Interface.
436840	440520	Es ist das Interface quasi, das Protokoll für den Informationsaustausch.
