start	end	text
0	3400	Und da geht das einfach so, da wechselt man sich ab, jeder ist mal eine halbe Stunde dran,
3400	4400	das ist easy peasy.
4400	8120	Bier wird auf Kommission gekauft, der Rest wird zurückgegeben, dann kostet ein Bier
8120	9120	halt einen Euro, scheißegal.
9120	10120	Easy.
10120	16520	Sowas kann man machen und sowas sehe ich zum Beispiel bei der FAU, sowas sehe ich zum
16520	21600	Beispiel bei kirchlichen Veranstaltungen, die so lokal wie möglich sind, das gibt
21600	22600	es da.
22600	26880	Das ist die Form von Kultur, die ich mir eigentlich wünschen würde und die findet
26880	29280	aber nicht statt in dem Moment, wo wir verkopft anfangen.
29280	50880	So Leute, wenn ihr euch in ein Problem rein denken wollt, was irgendwie andere Menschen
50880	51880	beinhaltet.
51880	54600	Weil ihr wisst, das Problem ist zu groß, man kann es nicht alleine lösen, man braucht
54600	61840	eine Gemeinschaft dafür, dann tendieren wir alle sofort dazu, es irgendwie in Kontrollstrukturen
61840	62840	uns zu überlegen.
62840	66240	Wir brauchen einen Chef, der macht Ansagen hier und da müssen die anderen folgen.
66240	73400	Das heißt, wir tendieren dazu, es automatisch, irgendwie in Pyramiden anzuordnen, in unserem
73400	74400	Kopf.
74400	75800	Wenn wir uns überlegen, wie könnte man das jetzt koordinieren?
75800	81840	Und wir theoretisieren uns quasi sofort irgendwelche Excel-Tabellen herbeiland Datenbanken, Strukturen
82840	84240	Beziehungen und hast du nicht gesehen.
84240	89720	Und ich denke, genau da, wo wir das machen, da verlieren wir den Kontakt zur echten Welt
89720	94240	und ergeben uns in so Fantastereien, bevor wir damit anfangen, das Problem eigentlich
94240	95240	überhaupt anzugehen.
95240	99520	Und ein ganz ähnliches Ding beobachtet man, wenn man jetzt irgendwie was kompliziertes
99520	100520	programmiert.
100520	106320	Am besten ist es, bevor man sich hinsetzt und den Quellcode schreibt, schon mal so einen
106320	108320	groben Plan zu überlegen, was von was abhängt.
108400	112160	Aber bei mir ist es zum Beispiel oft so, ich bemerke dann erst tatsächlich, wenn ich es
112160	117400	code, sozusagen, ich schreibe die ganzen Prototypen hin, dann weiß ich, ah, okay, da fehlt noch
117400	120840	dieses Input und hier und dieses Input braucht man da noch und so, bevor ich überhaupt die
120840	122400	eigentlichen Funktionen hinschreibe.
122400	130320	Und ich habe ja schon mal angemerkt, was wir nach der Patrilokalität, also in meinem ersten
130320	134520	Video zum Patriarchat, nach der Patrilokalität oder in der neolithischen Revolution, was
134520	139840	wir danach beobachten konnten, war, dass wir gesellschaftlich nur noch Machtzentren hin
139840	144000	und her geschoben haben und die dann einem meistens irgendwie immer größer wurden und
144000	145000	macht zentralisiert.
145000	152520	Wir haben dazu tendiert, über den Lauf der Geschichte Macht zu zentralisieren und ob
152520	156160	wir dann sozusagen diese Blöcke der Macht umbenannt haben und umbesetzt haben, es hat
156160	157160	keine Rolle gespielt.
157160	161280	Selbst nach Kriegen irgendwie wurden diese zentralisierten Machtblöcke immer weiter
161280	162280	größer sogar.
162600	167640	Und mittlerweile sind wir in so einer Gesellschaft angekommen, wo man im Prinzip, wenn man will,
167640	172280	den Schuld machen kann und im Prinzip ist es manchmal möglich, dass es von unten nach
172280	173600	oben so ein bisschen durchsiegert.
173600	179720	Man kann Teil der Machtpyramide werden, wenn man den Reind hat und in manchen Teilen der
179720	182880	Erde geht das halt nicht, da hat man halt immer noch Totalitarismus und so.
182880	185600	Aber worauf will ich jetzt eigentlich hinaus hier in dem Video?
185600	190720	Naja, wenn man jetzt anfängt, irgend so ein Problem sich im Kopf zu überlegen und zu
190720	198440	theoretisieren und das in Pyramiden in seinem gedanklich schon anzuordnen, dann macht man
198440	204640	halt diese theoretischen Fantastereien ohne jetzt mal hensun an den Problemen schon zu
204640	209240	werkeln und verliert dabei den Kontakt, finde ich, zur Realität und ich weiß genau, wovon
209240	214320	ich rede, weil ich mit 18 quasi genau in diese Scheiße reingegangen bin und ich wäre, wenn
214320	217800	ich weiter darüber nachgedacht hätte, voll Richtung Schattenmacher gegangen, habe ich
217800	218800	auch schon mal erklärt.
