start	end	text
0	5840	Weil ich da auch sozusagen in so einem Widerspruch bin, weil mir das irgendwie einfach nicht
5840	10940	ausreicht, aber ich trotzdem anerkennen muss, dass es da vielleicht trotzdem positive Aspekte
10940	15760	gibt, wie zum Beispiel, dass es jetzt mal kurz wenigstens eine Mainstream Intention
15760	17200	gibt, die auf dieses Thema hinweisen.
17200	23200	Ja, da muss ich wahrscheinlich zugeben, dass es wahrscheinlich trotzdem was gebracht hat.
23200	26520	Und deswegen würde ich sagen, okay, vielleicht habe ich mich da einfach geirrt, vielleicht
26520	27760	lag ich da einfach falsch.
27760	48160	Ihr erinnert euch bestimmt alle an diese witzige Aussage von Friedrich Merz, der mal
48160	52240	gesagt hat, eine Steuererklärung kriege ich auf einem Bierdeckel hin.
52240	57400	Und dann hat er später auch noch gesagt, na ja, das mit der Altersvorsorge ist doch
57400	61360	klar, die Leute müssen einfach mal in Finanzprodukte investieren oder Immobilien oder so, dann
61360	63400	hätten sie auch kein Problem mit der Rente.
63400	69080	Und diese Aussagen sind deswegen so extrem lächerlich, weil jeder sofort erkennt, ah,
69080	73000	das liegt daran, dass der Typ unfassbar privilegiert ist und überhaupt sich nicht reindenken kann
73000	77480	in Leute, die arm sind, die einfach nicht so gut betrugt sind wie er.
77480	87000	Das ist offensichtlich, und ich will das Video jetzt mit einem Beispiel von mir selbst beginnen
87000	93480	und zwar habe ich vor drei Jahren in einer Facebook linken Blase bei einer Diskussion
93480	98040	mitgelesen und da ging es natürlich irgendwie, da ging es um Prostitution und das nordische
98040	104480	Modell und es gab natürlich Leute, die gesagt haben, ja, aber Moment mal, es gibt ja nicht
104480	108160	nur Menschenrechtsverletzungen und Menschenhandel, sondern es gibt ja auch Prostituierte, die
108160	111960	das freiwillig machen und so und denen würde man ja dann sozusagen das ganze Businessmodell
111960	113960	kaputt machen, wenn man das irgendwie reglementieren würde.
113960	120760	Und witzigerweise hatte ich zu dem Zeitpunkt auch gerade eine Sternstunde Philosophie-Talk-Runde
120760	128960	gesehen, wo eine edel Escort-Dame, die im Prinzip die ganzen Talking Points von der FDP
128960	133960	bedient, erzählt, sie ist Philosophin und hat Philosophie studiert und ist nebenbei
133960	139400	und ist jetzt aber hauptberuflich eigentlich Escort-Dame und sagt halt, wie krass sie ihren
139400	144160	Beruf findet und dass es ihr richtig Bock macht und so blablabla und sie argumentiert
144160	147520	relativ schlüssig und man kann da, das ist wasserdicht, was sie erzählt.
147520	156840	Das Problem ist, dass sie im Prinzip in derselben Position ist wie Friedrich Merz, nur dass
156840	160720	es da nicht ganz so offensichtlich ist, also eigentlich sollte es offensichtlich sein,
160720	164960	aber selbst mir vor drei Jahren war es erstmal nicht sofort instantan klar, was das eigentliche
164960	165960	Problem ist.
165960	171000	Aber ja, der Boy entwickelt sich ja auch immer weiter und hat mittlerweile Worte gefunden
171000	178120	für all diese Dinge und packt sie in YouTube-Videos und scheißt sie in die Welt rein und hier
178120	182520	ist es halt auch so, die Frau ist unfassbar privilegiert, deswegen kann sie aus dieser
182520	187480	erhabenen Position reden, als wäre das überhaupt kein Problem mit der Menschenhandel und als
187480	188960	müsste man das irgendwie anders klären.
188960	195320	Und deswegen finde ich, ist das nordische Modell halt eigentlich so eine Art Mindestmaß
195320	200440	für einen gesellschaftlichen Konsens, weil in dem Moment ist ja Prostitution auf einmal
