start	end	text
0	6000	Wenn im allgemeinen Sprachgebrauch jemanden unterstellt wird, er ist irrational,
6000	10000	dann wird meistens tatsächlich auf einen Sachverhalt verwiesen,
10000	16600	in dem es um emergente Sachen geht, um emergente Objekte oder irgendwelche emergenten Aspekte.
16600	20000	Und Rationalität in diesem Kontext wird meistens damit gemeint,
20000	23000	wenn man versucht, diese Emergenz zu ignorieren.
30000	44760	So Leute, ich habe, als ich Kind war, oft mich gelangweilt, wenn die Erwachsenen bei
44760	52120	irgendwelchen Happenings Fußball geguckt haben. Und dann habe ich mir irgendwann überlegt,
52120	57440	okay, ich mache mir das Zuschauen beim Fußball interessanter, indem ich mir vorstelle,
57440	64960	der Ball hat jetzt ein Bewusstsein und springt hin und her. Weil was man ja beobachten kann,
64960	68240	ist im Fernsehen, sozusagen bei einem Fußballspiel, sieht man immer diesen
68240	72680	weißen Ball, wie er die ganze Zeit nur am Hüpfen ist. Und wir alle wissen, warum er das tut,
72680	77360	weil die Leute ihn treten. Und ich habe mir jetzt aber vorgestellt, okay, die Menschen existieren
77360	80840	nicht, sondern es existiert nur der Ball und der rennt jetzt zum Beispiel vor den Menschen weg,
80840	87120	könnte ja sein. Das habe ich mir so als Kind überlegt. Und natürlich kann man,
87120	93440	wenn man jetzt im Nachhinein sich das so anguckt, dem Ball schon sowas wie ein Bewusstsein zuordnen,
93440	101920	wenn man einfach nur so ein Fußballspiel sieht. Einfach nur von der Beobachtung her. Und ich
101920	108480	denke, was wir sozusagen alle voraussetzen, stillschweigend, wenn wir sowas debanken wollen,
108480	112040	so eine kindliche Naivität oder so ein kindliches Modell, ist natürlich, dass wir wissen,
112040	117320	es handelt sich da um ein Fußballspiel, da sind Menschen und die treten den Ball und die tun das
117320	127160	als bewusste Entscheidung, um eine Zielfunktion zu optimieren. Und was wir da alle machen dabei,
127160	133120	um dieses Ding zu debanken, diese Vorstellung, dass der Ball ein Bewusstsein hat, wir verwenden
133160	138880	Emergenz. Unterbewusst. Wir wissen von dem Wort nichts. Vor allem die meisten Menschen wissen
138880	144720	das nicht. Aber das ist das, was da passiert. Und interessanterweise, ich habe ja in meinem
144720	150560	ersten Video zur Emergenz sowohl gesagt, wir haben hier so ein global organisiertes Gaslighting,
150560	156600	was wir Wirtschaftswissenschaften nennen, als auch das Beispiel mit den Elektronenlochpaar.
156600	161640	Denn da verhält es sich nun mal genau so. Das Elektronenlochpaar im Halbleiter zum
161640	169480	Beispiel, gerade das Loch da drinnen, das verhält sich wie ein positiv geladenes Teilchen mit einer
169480	174560	Masse von einem Elektron, obwohl es nicht existiert. Das nicht existiert nur deswegen, weil die
174560	181000	Elektronen ringsherum sich so verhalten, als gäbe es das da. Und die Physik jetzt, das habe ich da
181000	188160	auch gesagt, ist ja gerade dazu da, um diese Magie sozusagen zu entmystifizieren. Die entzaubert das
188160	193600	komplett, die erklärt, woher das kommt und warum es sich so verhält. Und die Physik sozusagen findet
193600	202640	eine absolut exakte Sprache für unsere Beobachtung. Also die Physik will eigentlich jegliche Emergenz
202640	208720	oder jeden jeglichen Zauber der Emergenz dekonstruieren und auf die fundamentalen
208720	214600	Bausteine zurückführen können. Und wir in unserem Sprachgebrauch aber leben ständig in dieser
214600	219160	Higher Level Abstraction Layer, wo wir überhaupt nichts mit der Quantenmechanik zu tun haben,
219160	223920	sondern wir reden permanent von Objekten, die erst emergieren. Zum Beispiel der Stuhl, auf dem ich
223920	229480	sitze oder die Farbwahrnehmung, die wir alle haben. Da einigen wir uns auf eine Heuristik, mit der
229480	234200	wir was anfangen können, einfach weil es unsere Realität, die wir beobachten, viel besser beschreibt.
234200	239760	Weil wir einfach eine gemeinsame Heuristik sozusagen anlegen. Und ich gebe mal noch ein anderes
239760	247640	Beispiel. Und zwar stellt euch vor, ich schenke einer Person, die mir besonders am Herzen liegt,
247640	256920	irgendwas, was für die Person auch was bedeutet. Und wenn diese Person jetzt stirbt und ich nehme
256920	261440	das Geschenk einfach wieder an mich, weil es bringt der Person ja nichts mehr, sie ist ja tot. Dann
261440	265920	würde man argumentieren, okay, egal um was es sich handelt, es ist eigentlich was Rationales dieses
265920	275400	Geschenk wieder anzunehmen, wieder zurückzunehmen quasi. Selbst wenn es so Dinge sind, die eigentlich
275400	283000	keinen weiteren Zweck haben. Aber das Ding ist, wenn es aber, sagen wir mal nur für die beschenkte
283000	289680	Person hat dieses Objekt einen Zweck gemacht, irgendeinen Sinn ergeben. Ich denke auch dann kann
289680	297440	man sich überlegen, dass das Zurücknehmen des Geschenks, obwohl es Rational ist, einfach im Sinne
297440	303480	von ja, es bringt da nichts, ich nehme es wieder zurück. Vielleicht die Unwahrscheinlichkeit existiert,
303480	307000	dass es irgendjemand anders vielleicht benutzen könnte. Dann wäre es Rational, das Geschenk
307000	310840	zurückzunehmen. Trotzdem könnte ich mir vorstellen, dass es menschliche Argumente gibt, die
310840	317600	dagegen sprechen. Die sagen, okay, die Person ist jetzt gestorben, aber der Akt des Schenkens dieser
317600	322480	Person bringt mir was. Und die Vorstellung ist jetzt wieder zurückzunehmen, zerstört diesen
322480	330560	Gedanken. Und deswegen ist es für mich sinnvoll, nicht rational zu handeln. Oder alternativ gesagt,
330560	336520	für mich ist es Rational, nicht rational zu handeln. Und dieser Widerspruch, der begegnet einem oft,
336520	342160	also oder zumindest mir, wenn ich jetzt durch die Welt gehe mit diesem neuen, neu erlernten Wort
342160	349440	emergence, weil ich das ständig halt so irgendwie so Beispiele dafür sehe. Und was mir jetzt auch
349440	357480	aufgefallen ist, in den letzten Wochen gerade, immer wenn im allgemeinen Sprachgebrauch jemanden
357480	364160	unterstellt wird, er ist irrational, dann wird meistens tatsächlich auf einen Sachverhalt verwiesen,
364160	371360	in dem es um emergente Sachen geht, um emergente Objekte oder irgendwelche emergenten Aspekte und
371360	376720	Rationalität in diesem Kontext wird meistens damit gemeint, wenn man versucht, diese Emergenz zu
376720	380800	ignorieren, sie einfach auszuklammern. Zum Beispiel wie in der Wirtschaftswissenschaft,
380800	385520	wo jegliche Wechselwirkungen zwischen Personen ignoriert werden und alle perfekt rational sind
385520	391280	oder so. Und es ist halt einfach dieses Gaslighting, von dem ich da rede im ersten Video, das
391280	397240	Aberkennen der eigenen Wahrnehmung, das Aberkennen der eigenen Heuristiken. Zum Beispiel wie bei diesem
397240	403960	viral gehenden Internetmeme mit diesem Kleid, ist es jetzt irgendwie schwarz oder weiß oder es ist
403960	409640	blau oder lila, ich weiß nicht mehr wie es war. Farbwahrnehmung ist auch sowas. Und all das meint im
409640	416200	Prinzip, wenn du etwas nicht direkt messen kannst, existiert es nicht. Das ist das, was die Leute,
416200	421760	die mit der Rationalität argumentieren, was die eigentlich damit meinen. Und das widerspricht
421760	426120	komplett dem, wie ich Rationalität definiert habe. Ich habe ja damals ein Video gemacht über die
426120	430840	wohl wichtigste menschliche Eigenschaft, dass wir unser System quasi updaten können, wenn wir neue
430840	436280	Messdaten bekommen, die unseren Predictions widersprechen. Dann sind wir in der Lage dazu,
436280	447320	Neues zu lernen. Das verstehe ich eigentlich unter Rationalität. So und die Sache ist mit dem Farbennetz
447320	451120	zum Beispiel oder dem Gegenstand, dem Stuhl, auf dem ich sitze. Der ist emergent, aber wir sind uns
451120	457480	alle einig, dass er existiert. Das bedeutet, Emergenz kann sehr wohl real werden und auch
457480	463480	rational werden in dem Moment, wo niemand mehr daran zweifelt. Wo die Messung quasi stattgefunden hat
463480	468280	oder die Messung überflüssig wird, weil einfach jeder schon Bescheid weiß, dass Farben existieren.
