start	end	text
0	5440	Wir haben jetzt dafür gesorgt, dass wir irgendwie selber uns in Stromleitungen leben.
5440	11200	Also in den Favelas bis heute ist es so, dass ein Großteil keine regulären Stromrechnungen bezahlt.
11200	19200	Weil die Stromleitungen sind alle oberirdisch in Brasilien und ich kann hier jederzeit, wenn ich will, eine Stromleitung anzapfen.
19200	25280	Dann kommt der Stromableiter-Typ und sagt, dann ist für ihn aber Risikogebiet hier.
25600	32800	Weil ich in einer Favela lebe, die von entweder Milizen oder Drogendealern sozusagen verwaltet wird.
32800	36560	Und genau, da kann er sich nicht gegen auflehnen.
36560	46240	Also wenn man sich das mal wirklich in Sonnen ausmalen würde, was sozusagen Favela-Bewohner in der Lage sind, den Stadtwerk abzuknapsen an intellektuelle Energie,
46240	50080	dann ist das eine ziemlich wuchtige und erfolgreiche soziale Bewegung.
50160	56160	Weil mit der Stadt gegen Favela vorgeht, die sich dann über diesen Drogenkrieg versucht zu legitimieren,
56160	64720	die hat viel damit zu tun, dass irgendwo schon sozusagen Favelas Heimstädte der gefährlichen Klassen sind.
64720	71680	Diesmal ist mir am stärksten aufgefallen, wie stark ich finde, die Leben fragmentiert sind in Europa.
71680	77440	Also man trifft ganz wenige Menschen, von denen ich das Gefühl habe, dass sie das Gefühl haben,
77440	81120	dass sie Teil eines größeren Ganzen sind im sozialen Sinne.
81120	90320	Und wenn es das unheimlich stark konstruiert, nein, ich bin Teil dieser Organisation, aber es ist nicht so etwas, was sich so anfühlt.
90320	98160	Wenn jetzt eben so eine offene Polizeioberation stattfindet, die dann eben in so eine Favela reinrockert und fünf Leute tötet,
98160	102800	und dann heißt es hier Krieg gegen Drogen oder wie auch immer, dass es oftmals eben sein kann,
102800	108560	dass es da irgendwie eine Unstimmigkeit gab in den Abmachungen zwischen den Militärpolizisten und den Drogendealern.
108560	112320	Da komme ich so ein bisschen aus der Geografie und kritisiere die Sozialwissenschaften, weil ich ihnen sage,
112320	118080	Leute, euch fehlt ein bisschen die Sensibilität für die Skalenebenen.
118080	123600	Ihr geht in eine Favela und redet mit den Nachbarn und der Nachbar sagt, wenn ich hier einen Konflikt habe mit dem von gegenüber,
123600	128560	dann gehe ich zu den Drogendealern und sag denen, hey du, der parkt sein Auto immer auf meinem Parkplatz, der soll das sein lassen.
128880	136720	Das war ziemlich absurd, weil auf den Panzern stand dann drauf Diske Pacification und dann eine Telefonnummer.
136720	144320	Also man sollte sozusagen aus Pazifizierungsmotivation heraus, könnte man dann die Nummer wählen.
144320	150320	Also wenn man irgendwas sieht, was verbrochen wird, kann man einen Panzer rufen, der kommt dann vorbei.
150320	155440	Ich weiß nicht, wie er hilft. Wir haben dann aber so Scherze gemacht, so von wegen, wenn sich irgendwie ein paar Jungs in der Bar prügeln.
155440	156080	Ja, ich Panzer.
157040	158160	Ja, gleich ein Panzer, bitte.
173360	176800	So, Timo, guten Tag.
176800	180320	Genau, guten Tag, guten Nachmittag, genau ist es hier.
180320	189280	Guten Nachmittag bei dir. Du lebst in Rio de Janeiro und das seit 15 Jahren.
189280	193600	Da frage ich mich doch als allererstes, warum lebst du in Rio de Janeiro?
193600	204320	Ich bin natürlich so was öfter schon mal gefragt worden und meistens gehe ich dann zurück in die Oberstufe des Gymnasiums.
204320	208720	Ich war damals auf der Grünen Schule in Henschel-Ulsburg, das liegt am Nordrand von Hamburg
209200	215360	und hatte als einen der beiden Leistungskurse im 12. und 13. Jahrgang Erdkunde und das hat mir damals sehr gut gefallen.
215360	222640	Und mich hat vor allem damals fasziniert, dieses Thema Entwicklungsländer, also haben wir ein ganzes Semester dazu gemacht.
222640	231360	Ich war eigentlich, ich muss sagen, ich positiv auch sozusagen von dem eher qualitativ ausgerichteten Erdkundeunterricht, den ich damals hatte.
231360	236880	Also es ging wirklich um Zusammenhänge, es ging nicht so sehr um Pauken und auswendig lernen, sondern wirklich mehr um Zusammenhänge.
236880	245920	Und da haben wir uns ziemlich ausführlich auch natürlich Credits für meinen damaligen Lehrer, also ziemlich ausführlich inhaltlich mit Entwicklungsländern auseinandergesetzt.
245920	256240	Und da hatte ich ja noch so ein bisschen so eine Vorstellung, man studiert dann was, also wenn man aufs Gymnasium ging, was ja eh schon ein Privileg ist in Deutschland, wird oft nicht so gesehen.
256240	261840	Aber dann fragt man ja auch nur die Klassenkameraden so, wer studiert was und man fragt gar nicht, ob man überhaupt studiert oder nicht.
262480	268480	Es war so ein bisschen so das Ambiente, in dem ich dann überlegt habe, was ich so nach dem Schulabschluss machen würde.
268480	272160	Und da habe ich dann überlegt, ich würde gern Geografien mit diesem Schwerpunkt studieren.
272160	278720	Und da gab es dann damals so einen Studiengang in Tübingen, der heißt Geografie der Entwicklungsländer mit Schwerpunkt Lateinamerika.
278720	285200	Und das war eigentlich einer der wenigen Studiengänge, die wirklich explizit dieses Thema schon mit in dem ganzen Paket drin hatten.
285200	288160	Also man kann sich das in der Geografie in vielen Orten sicherlich zusammen basteln.
288160	292480	Man geht irgendwo hin, wo zwei, drei Profs zur Entwicklungsländer forschen und kann dann auch viel zu machen.
292480	297680	Aber das ist wirklich so auf dieses Thema zugeschnitten, den Studiengang gehabt, das gab es eben nicht so oft.
297680	304400	Und dadurch wurde dann so ein bisschen der Kontinent Lateinamerika zu dem, mit dem ich mich dann halt am meisten auseinandergesetzt habe.
304400	308880	Also ich hatte eher so Trikont Interesse, also sprich globaler Süden insgesamt.
308880	316400	Aber durch diesen Schwerpunkt des Studiengangs war es dann so okay, Lateinamerika, auf jeden Fall natürlich spannend, interessant.
316480	324320	Und dann war klar, ich habe angefangen das zu studieren und es wurde gleich gesagt, also wer Interesse hat, es gibt Austauschmöglichkeiten.
324320	334480	Und da waren in meinem Fall Mendoza und Rio de Janeiro, da gab es so festes Austauschprogramm zwischen der Tübinger Uni und eben den jeweiligen Universitäten hier in Lateinamerika.
334480	342640	Und ich habe mich dann dafür entschieden, es nach Rio zu versuchen und habe dann eben auch schon gleich sozusagen einen portugiesischen Kurs angefangen,
342640	346240	weil ich irgendwie dachte, hey cool, es scheint klappen zu können.
346240	349840	Es gab wenig Konkurrenz sozusagen nach dieser Austauschplätze.
349840	355520	Das wollten nicht so viele Leute nach Rio, weil die meisten eher so mit Mendoza und Spanien fanden das irgendwie vielseitiger.
355520	357840	Kann man mehr Länder besuchen danach und so.
357840	361120	Und deswegen hat das dann alles ziemlich ohne großen Widerstand geklappt.
361120	364400	Also der Geografiekurs, der war auch komplett ohne Notenbeschränkung oder so.
364400	367960	Da kam man einfach rein, wenn man nicht studieren wollte.
