start	end	text
0	6960	Tussis anmachen und die Tussis einfach so sagen, du bist nix für mich, du bist ein Lappen oder, nein danke oder so, ne?
7240	12960	Was dann die Reaktion von fragiler Männlichkeit ist, ist, ah die war eh hässlich, die wollte ich eh nicht ficken.
13240	20480	Sie müssen sofort zurückhauen und bloß sozusagen die Person nach unten unter sich einordnen, damit sie sich noch gut fühlen können.
20480	25920	Weil was auf keinen Fall sein darf, ist, dass so ein Giga-Chat, der sich irgendwie selbst für super männlich hält,
26040	30440	ein Chord bekommt von einer Frau. Das geht natürlich nicht, das heißt er muss sie degradieren, ne?
44640	50720	Ich hatte ja damals beim vierten Teil vom Social Justice Warrior Morph gesagt, das wird das letzte Video,
51600	57960	aber irgendwie habe ich das Gefühl, es gibt da noch eine Sache bezüglich toxischer Maskulinität,
57960	64960	die ich nochmal extra thematisieren möchte und zwar die sogenannte fragile Männlichkeit.
65440	69400	Und ich fange das Video an, wie immer, mit einem Beispiel.
70440	78280	Als ich mit der Frau in Dubai war und vor allem auch in Abu Dhabi, da war es so,
79280	86360	die Frau ist bei uns der Autofahrer, weil die, der macht das Spaß und ich habe keinen Bock auf Autofahren und so.
86360	94360	Und da standen wir an der Ampel und da war irgendwie eine Bushaltestelle oder so in Abu Dhabi und da saßen kleine Jungs.
94360	101160	Und die haben sich tot gelacht darüber, dass meine Frau am Steuer sitzt und das Auto fährt.
101160	105360	Die haben sich wirklich nicht mehr eine gekriegt, die dachten, das ist das Allerwitzigste.
105440	111440	Und ich habe das ein paar Mal beobachtet, dass sozusagen kleine Jungs bei ihrer Mutter am Rockzöpfel gezogen haben und sagten,
111440	115440	guck mal da, guck mal da, was ist denn das? Die fährt Auto, so nach dem Motto.
115440	123440	Und genauso war es, dass ich total schief angeguckt wurde von den Boys, wenn ich irgendwie schwere Tüten geschleppt habe.
123440	127440	Ich habe doch da eine Frau, warum trägt die die nicht?
127440	131440	Das war eine Beobachtung, die ich hatte in Abu Dhabi.
131520	143520	Und das ist jetzt erstmal so das Intro, weil quasi natürlich in diesen extremen konservativen Wertegemeinschaften alles völlig drunter und drüber geht.
143520	145520	Die kommen ja gar nicht klar mit ihrem Frauenbild und so.
145520	150520	Und ich verweise nochmal kurz auf mein Video zu klassischen Geschlechterrollen.
150520	153520	Das ist ein Teil dieser Social Justice Warrior Reihe.
153600	157600	Und zu meiner Definition von der maximalen Jungserziehung.
157600	164600	Nämlich das konstante negative Feedback, dass man scheiße ist und nichts kann und ein kleines dummes Kind ist und sich mal was drauf schaffen muss.
