start	end	text
0	19000	Derjenige, der seinen Trieb verleugnet, verleugnet genau das, was ihn zu Menschen macht.
20000	25000	So, ich erzähle euch jetzt mal eine Geschichte.
25000	31000	Als ich noch an der Uni war und noch bevor ich meine Doktorarbeit angefangen habe zu schreiben,
31000	36000	habe ich halt Forschung gemacht und ich saß mit meinen leisten Physiker-Boys in einem Büro
36000	39000	und wir sind in die Mensa gegangen und haben da immer gegessen, jeden Tag.
39000	46000	Und einmal hatte einer von den Boys, das war so ein Kloppertyp, der gerne zum Jiu-Jitsu geht
46000	52000	und auch so übelst wie Sport macht und der hatte einen Klopperkumpel dabei, also einen aus seiner Sportgruppe oder so.
52000	55000	Und der saß mit bei uns und hat mit gegessen.
55000	63000	Und der hat pausenlos die ganze Zeit erzählt, was er für ein geiler Typ ist, was er schon für Tussis gefickt hat
63000	68000	und dann kamen irgendwelche Tussis vorbei und der hat ihnen auf den Arsch geguckt und hat die ganze Zeit so gedacht,
68000	73000	die sieht aber geil aus und die sieht geil aus, die hat ja geile Titten und die ganze Zeit nur diesen Scheiß.
74000	78000	Und irgendwann habe ich zu ihm gesagt, sag mal, was bist du eigentlich für ein armes Würstchen,
78000	82000	dass du dein ganzes Leben lang scheinbar nur darauf ausrichtest, wie irgendwelche Tussis aussehen
82000	85000	und ob du die jetzt ficken willst, hast du eigentlich nichts besseres zu tun, sag mal.
85000	91000	Weil, ihr müsst euch klar machen, normalerweise gingen wir in die Mensa und wir sind da die vier Nerds gewesen
91000	99000	und wir haben uns über was, was eigentlich lustige mathematische Wikipedia-Artikel unterhalten, zum Beispiel die Wurstkatastrophe.
99000	104000	Da könnt ihr ja mal euch reinziehen, was das ist. Oder andere Dinge, oder was weiß ich, Quantenmechanik.
104000	114000	Wir haben halt über Nerdsachen geredet, richtige Nerdsachen, nicht hier Big Bang Theory, was ist letztens passiert mit Sheldon und Penny, sondern Nerdsachen.
114000	120000	Und auf einmal war da dieser Typ und der hat die ganze Atmosphäre gedrückt mit seinem dummen Schwachsinngehabe.
120000	131000	Und jedenfalls habe ich ihm klar gemacht, dass ich das total armselig finde, wenn Leute so tun, als wäre ihr komplettes Leben darauf ausgerichtet, endlich mal einen wegzustecken.
131000	141000	Denn es ist nicht so, wie Maus sagt bei Matrix, wer das verleugnet, verleugnet genau das, was ihn zu Menschen macht.
141000	146000	Bei Matrix ist es halt so, da geht es ja darum, dass das sozusagen der Unterschied zwischen den Maschinen und den Menschen ist.
147000	152000	Aber das ist meiner Meinung nach eher das, was die biologischen Lebewesen ausmacht.
152000	159000	Wir sind aber als Spitze der Evolution natürlich eigentlich viel krasser, weil wir das ja schon längst überwunden haben.
159000	165000	Wir sehen ja, wie es läuft mit der Fortpflanzung. Und ich meine, es ist ja auch lächerlich, weil eh die ganze Zeit verhütet wird.
165000	175000	Das heißt, es geht sowieso nicht um Fortpflanzung bei uns. Es geht nur um Befriedigung niederer Instinkte. Und das ist halt relativ trivial.
175000	180000	Jedenfalls, dieser Typ kam mir vor wie ein echter Lappen und das habe ich ihm auch gesagt.
180000	186000	Und der war dann auch richtig down. Und mir ging es halt richtig auf den Sack.
186000	193000	Das hat mich richtig genervt, weil das hat mich erinnert an diese ganze Scheiße, die ich damals in meiner Kindheit schon gesehen habe und in meiner Jugend, als ich aufgewachsen bin.
193000	201000	Dass die ganzen Boys auf einmal zu solchen Übermachos mutiert sind und dachten, sie sind jetzt die Allergeilsten und sie müssen die ganze Zeit nur so in den Müll labern.
201000	204000	Dabei sind sie so klein mit Hut und totalen Pisser.
205000	209000	So und damit leite ich jetzt hier mal dieses Video ein.
210000	212000	Das ging mir nämlich damals richtig auf den Sack.
212000	219000	Und für mich ist es so, dass solche Leute, die ihr ganzes Leben darauf ausrichten, jetzt maximal richtig viel rumzufuhren,
219000	225000	also so wie das bei Two and a Half Men propagiert wird, was Charlie Sheen da gemacht hat,
225000	230000	dass das jetzt das oberste Ziel ist, dass das ein hammermäßiges Leben ist, das kann ich überhaupt nicht bestätigen.
230000	232000	Ich kann mich da auch überhaupt nicht reinversetzen.
232000	239000	Ich kann zwar verstehen, dass es Leute gibt, die das so sehen, aber die tun mir halt wirklich richtig leid, weil das ist echt peinlich.
239000	245000	Und ich habe ja schon mal erklärt in meinem Life Coach Video über toxische Beziehungen,
245000	250000	dass ich finde, dass das, was da abgeht, im Wesentlichen Kasualisierung ist.
250000	254000	Leute, die ihr Leben darauf ausrichten, sind meiner Meinung nach verraten sich selbst.
254000	258000	Und die reden sich dann ein, dass das ja hammermäßig ist, ganz viele Tussis zu ficken.
259000	263000	Aber das ist halt völlig trivial. Ich meine, das ist eine Fotze, da fickt man rein.
263000	266000	Die sehen alle im Wesentlichen gleich aus. Die fotzen. Das Gefühl ist immer das gleiche.
266000	268000	Der einzige Unterschied ist, das sieht anders aus.
269000	272000	Die riecht anders. So ein Scheiß.
272000	279000	Dann hat man irgendwie das Knistern und das Jagdgefühl und diesen ganzen Schwachsinn, was die Leute so erzählen.
279000	281000	Das kann ich schon verstehen, dass das auch irgendwie Spaß macht.
281000	284000	Aber wenn das alles ist, dann ist es halt wirklich echt richtig traurig.
284000	287000	Aber das ist das, was aus unserer Gesellschaft kommt.
287000	290000	Unsere Gesellschaft kriegt es einfach nicht hin, den Leuten mal zu zeigen,
290000	293000	was man eigentlich mal richtig nice so mit seinem Gehirn veranstalten kann
293000	295000	und über was man so nachdenken könnte.
295000	299000	So, und jetzt erzähle ich euch mal ein bisschen, wie ich so aufgewachsen bin.
299000	306000	Also ich war schon immer, muss ich sagen, eher schon so ein Nerd, der über viele Sachen nachgedacht hat.
306000	311000	Und das ging schon in der Grundschule los, dass ich mir dachte, die anderen sind irgendwie zu doof.
311000	314000	Die raffen es nicht oder die sind abgelenkt durch Konsum oder so.
314000	320000	Und ich war natürlich nicht Teil der beliebten Jungs, die dann auch alle immer beim Fußball spielen waren und so.
320000	323000	Und da immer als erstes ins Team gewählt worden und so ein Scheiß.
323000	328000	Und natürlich wurde ich da auch teilweise ausgegrenzt und das ist alles überhaupt kein Problem, das kann man machen.
328000	332000	Ich hatte halt den Eindruck, dadurch, dass ich relativ arm war,
332000	336000	beziehungsweise meine Mutter mir nicht so viel Spielzeug geschenkt hat wie den anderen Fratzenkindern,
336000	338000	dass ich nicht so abgelenkt war durch Konsum.
339000	344000	Und dadurch war ich einfach smarter. Vielleicht war ich dadurch smarter, ich war vielleicht auch einfach so smarter, keine Ahnung.
344000	349000	Jedenfalls habe ich versucht, sozialen Status zu erlangen durch witzig sein.
349000	353000	Also ich war körperlich unterlegen, ich war halt kleiner als die normalen Boys, die da so waren.
353000	356000	Die haben mir halt auf die Schnauze gehauen, wenn ich rumgenervt habe.
356000	358000	Das heißt, ich konnte sozusagen nicht in diesem Wettbewerb bestehen.
358000	361000	Und vielleicht kommt daher auch meine Aversion gegen Wettbewerb.
361000	363000	Sehr wahrscheinlich ist das so.
363000	366000	Aber ich kann halt begründen, warum Wettbewerb scheiße ist.
366000	370000	Und ich habe dann halt versucht, irgendwie witzig zu sein und habe erkannt, dass das geht.
370000	374000	Also man kann sich sozusagen die Social Credits besorgen bei den Boys,
374000	381000	wenn man irgendwie Teil des Clubs wird durch nicht Teilharm am toxischen, am maskulinen Dasein.
381000	387000	Also Fußballclub gut finden und WWF gucken und Undertaker ist der beste.
387000	389000	Nee, Hulk Hogan ist der beste, so ein Scheiß.
389000	392000	Das habe ich bestimmt auch probiert in der zweiten, dritten Klasse,
392000	395000	aber da habe ich dann in der fünften Klasse wieder auch mal aufgehört oder so irgendwann.
395000	399000	Ich glaube, so in der fünften habe ich angefangen, meine Identität so zu entwickeln
399000	402000	und festzustellen, wo ich eigentlich hingehe.
402000	412000	Und ja, diese ganze Entwicklung, die ich war auch dann mit 14 relativ extrovertiert schon.
412000	413000	Ich hatte Chrono Dreadlocks und so.
413000	415000	Und mir war das wirklich scheiß egal, was andere über mich denken.
415000	417000	Zumindest habe ich mir das eingeredet.
417000	418000	Wahrscheinlich war das ein Konzept.
418000	422000	Ich wollte, dass die anderen denken, dass mir das egal ist, was die anderen denken.
422000	425000	Das war wahrscheinlich so ein Schutzschild, den ich mir dann aufgebaut hatte,
425000	430000	weil man ja wahrscheinlich mit diesem Status denken und mit diesem,
430000	432000	was denken die anderen über einen, damit wächst man auf als Junge.
432000	434000	Man muss irgendwie der Krasseste sein.
434000	436000	Man muss irgendwie gut dastehen.
436000	439000	Die anderen müssen denken, oh, das ist aber jetzt der Geilste von den Boister oder so.
439000	442000	Und ich denke mal, auf diese Schiene bin ich da gefahren.
442000	444000	Das wird wahrscheinlich der psychologische Hintergrund sein,
444000	447000	warum ich mich so entwickelt habe, gerade mit 14, 15.
448000	454000	Und später, mit 22, wo ich schon der totale Alpha-Mehl war,
454000	457000	weil ich einfach davon überzeugt war, dass ich wirklich der Smarteste von allen bin
457000	460000	und die können mir alle überhaupt nicht das Wasser reichen, weil ich der Krasseste bin.
460000	464000	So im dritten Semester an Physik zum Beispiel, da dachte ich halt wirklich, ich bin der Geilste.
464000	471000	Da war es so, dass ich hatte in meiner Studentenbude immer Party und zwar immer saufen.
471000	475000	Und ich war so eine Art Goldstandard für die anderen, für die Bewertung von anderen Leuten.
475000	479000	Ich war so eine Art Alpha-Mehl, der oben auf dem Thron drauf saß und auf die anderen runtergerillt hat.
479000	481000	Wenn jemand irgendwie doof war, sich doof benommen hat,
481000	484000	irgendwas nicht verstanden hat, irgendwie einen Witz nicht gecheckt hat
484000	487000	oder irgendwie einfach zu doof war, dann habe ich den rund gemacht.
487000	491000	Und alle haben sich irgendwie so mobbingmäßig, also nicht mobbingmäßig,
491000	495000	ich meine wir waren alle im Freundeskreis, aber trotzdem, so im Nachhinein würde ich sagen,
495000	499000	dieses ganze Klima war ein bisschen toxisch irgendwie.
500000	506000	Ich würde sagen, da habe ich toxische Maskulinität ausgeübt, könnte ich mir vorstellen.
506000	514000	Aber sonst, jedenfalls durch mein Nerd aufwachsen, gerade so mit 14, 15, 16,
514000	520000	hatte ich eine ganz andere Perspektive auf Sexualität und diese klassischen Stereotypen, die sich da entwickelt haben.
520000	525000	Ich war gar nicht Teil davon, ich wollte da auch nicht Teil von sein, ich habe das eher beobachtet.
525000	530000	Und ich habe beobachtet, wie sich die Jungs verändern und wie sie ihr Verhalten anpassen
530000	535000	und wie dieser Gruppendenk auch zustande kam und dass auf einmal die Weiber sich alle gruppiert haben
535000	540000	und die Jungs auf einmal alle gruppiert haben und so auf dem Schulhof so eine Dynamik entstand.
540000	543000	Und wie das alles so gewachsen ist, da habe ich dann auch später noch drüber nachgedacht,
543000	550000	das hat mich wirklich nicht losgelassen, dass nur dieser Sexualtrieb alleine so einen Unterschied macht.
550000	555000	Dass das irgendwie so krass ist bei der menschlichen Entwicklung.
555000	561000	Und was hat mich jetzt an diesen Stereotypen, an diesen klassischen Stereotypen so gestört?
561000	566000	Das Problem, dass Leute erstmal die Reduktion von Komplexität betreiben,
566000	572000	sie reduzieren jemand auf seine isexuelle Identität, in dem Fall du bist ein 14-jähriger Boy oder ein 15-jähriger
572000	576000	oder du bist eine Tussi und deswegen ist das und das und das.
576000	579000	Mich hat das genervt und ich wollte das auch selber nicht, dass Leute das machen.
579000	582000	Mir war das unangenehm, wenn Leute irgendwas geschlussfolgert haben.
582000	589000	Also ganz einfaches Beispiel, irgendwann in der 9. oder 8. Klasse haben die Weiber angefangen,
589000	593000	sich nicht mehr Hallo zu sagen, sondern die haben sich umarmt und die knutscht.
593000	597000	Und dann war das auch so, dass sie alle irgendwie abgeknutscht haben.
597000	603000	Und für mich war das so, was ist denn da jetzt los, kommt mal klar, verpisst euch mal mit eurem Scheiß.
603000	607000	Und habe ich nicht mitgemacht und ich denke im Nachhinein war es vor allem so,
607000	610000	weil für mich war das irgendwie schon zu intim.
610000	618000	Das war für mich schon so irgendwie, wenn man da mit reingeht in diesen Brauch,
618000	624000	in diese Tradition, die die da entwickelt haben, dann ist man irgendwie Teil des Wettbewerbs.
624000	628000	Also man wirbt dann mit den anderen Boys um die Tussis.
628000	632000	Und ich wollte bei dem Wettbewerb gar nicht teilnehmen, weil ich fand den affig.
