start	end	text
0	27700	und ich finde das extrem gut, dass jeder kleine Pissversuch, also die normalen konservativen
27700	32660	Spinner, die fangen bei dem Thema immer sofort an rumzuhöllen und sagen, dann kann man ja gar nicht
32660	37180	mehr flirten, wo ist denn das ganze Kribbeln und die ganze Erotik hin. Wisst ihr was, ich finde das
37180	42060	super, dass das so ist, weil meiner Meinung nach hat Sexualität was mit Vertrauen zu tun und wenn
42060	47820	da keine Vertrauensbasis ist, wie zum Beispiel zwischen mir und einer Kollegin, dann hat da so
47820	55540	ein bekacktes Schwanzbild oder eine bekackte Anmacher auch einfach nichts zu suchen. Das ist doch super,
55540	61900	dass die ganzen kleinen Pisser jetzt alle Angst kriegen, dass sie nicht permanent Sprüche über
61900	68180	den neuen BH der Kollegin machen dürfen. Das finde ich super. Von daher, ja, fickt euch ihr Boys.
68180	82020	So, jetzt mal das Video zum Patriarchat. Ist es jetzt eigentlich wegen Biologie, ist das völlig
82020	86180	klar, dass es so ist, wegen dem naturalistischen Fehlschluss, weil wir beobachten es, deswegen muss
86180	93660	es so sein? Ist es weil unser System unfällig ist? Sind Frauen selbst schuld daran oder sind alle
93660	100020	Männer Schweine oder was? Das ist jetzt sozusagen die Frage und ich habe wirklich jetzt auch den
100020	105580	Eindruck, dass die Leute wie immer es einfach mal nicht raffen oder sich einfach mal nichts drauf
105580	110700	schaffen, weil im Prinzip ist es klar wie das läuft. Es gibt sozusagen Anthropologen, es gibt
110700	115980	Biologie, es gibt all das und es gibt tausend Hinweise darauf wie das läuft und trotzdem wird
115980	119420	da immer darüber diskutiert. Deswegen erkläre ich jetzt einfach mal ein für allemal wie es ist,
119420	127580	ich als alter Chef-Alpha-Mehl-Erklärboy. Ich habe es ja schon in dem Video über tuxische
127580	134260	Maskulinität gesagt. Der Designfehler unseres Systems ist, dass der Wettbewerb der Filter ist.
134260	141020	Das ist sozusagen das Kriterium. Nur toxische Individuen schaffen es nach oben oder sagen wir
141020	145380	mal, je toxischer und wettbewerbsfähiger man ist, desto krasser wird man und desto erfolgreicher
145380	149580	ist man in unserer Gesellschaft. Das sind aber dann die, die den meisten Einfluss auf alle und
149580	153660	die Gesellschaft haben und deswegen verstärken wir diese Tendenz des Systems. Das ist ein Feedback
