start	end	text
0	12000	Glockengeläut
25000	29000	Ich habe vorhin ein Bild gesehen
29000	31000	im Facebook
31000	33000	und ich zeige es euch
33000	36000	es ist ein Monitor Beitrag
36000	39000	und es ist offensichtlich so
39000	41000	dass die Grünen und die SPD
41000	45000	gegen einen LGBTQ trans
45000	47000	Gesetzesentwurf gestimmt haben
47000	50000	und Monitor hat offensichtlich daraus
50000	52000	geschlussfolgert es handelt sich um ein
52000	54000	gebrochenes Wahlversprechen oder was auch immer
54000	56000	weil es ist ja ein trans Gesetz
56000	58000	das heißt sie haben was gegen trans Menschen
58000	60000	dass es eventuell ein schlecht designtes
60000	62000	Gesetz war und unendlich viele schlechte
62000	64000	Lücken drin hatte wie zum Beispiel
64000	66000	dass Männer dann auf einmal in
66000	68000	Frauengefängnisse reinkommen und so ein
68000	70000	Scheiß das wird da gar nicht gesagt
70000	72000	dafür ist ja auch gar kein Platz bei so
72000	74000	einem Bild bei dem Bild geht es ja nur
74000	76000	um Marketing
76000	78000	und warum nehme ich das jetzt als
78000	80000	Beispiel naja Monitor muss auch
80000	82000	skandalisieren scheinbar um ein paar
82000	83000	Klicks zu generieren in sozialen
83000	84000	Netzwerken sollen sie machen
84000	86000	das ist halt Marketing
86000	88000	aber was dahinter steht
88000	90000	ist natürlich eine extrem
90000	92000	interessante
92000	94000	Grundeinstellung
94000	96000	die sich durch unsere
96000	98000	durch unsere
98000	100000	ich nenne es mal Attention
100000	102000	Economy oder der Wettbewerb
102000	104000	um unsere Aufmerksamkeit
104000	106000	da hat sich das hoch kristallisiert
106000	108000	in dieses extrem krasse
108000	110000	klassische Schwarz-Weiß-Denken
110000	112000	es gibt also nur die eine oder die
112000	114000	andere Seite entweder man ist
114000	116000	entweder man ist
116000	118000	pro Transrechte und dann muss man
118000	120000	natürlich alles durchwinken und sobald man
120000	122000	einmal was dagegen sagt ist man automatisch
122000	124000	ein Nazi so nach dem Motto
124000	126000	und ja dieses Schwarz-Weiß-Denken
126000	128000	gibt es natürlich überall
128000	130000	sowohl links als auch rechts
130000	132000	und ja
132000	134000	wenn ich jetzt zum Beispiel was sage gegen
134000	136000	die Frauenquote gibt es einen Haufen Leute
136000	138000	die vermuten dann einfach oder unterstellen
138000	140000	mir ich bin Frauenhasser ist ja klar
140000	142000	ich habe was gegen Gleichberechtigung
142000	144000	und was auch immer dabei finde ich halt
144000	146000	ich habe das ja auch ganz gut meiner
146000	148000	Meinung nach schon oft erklärt
148000	150000	dass ich das halt einfach nicht so sehe das ist was mit
150000	152000	Gleichberechtigung zu tun hat
152000	154000	sondern dass es eigentlich das Gegenteil bewirkt und
154000	156000	meiner Meinung nach ist es Overcompensating
156000	158000	und wenn ich was gegen
158000	160000	Social Justice Warrior labere oder
160000	162000	Politiker korrekten dann werde ich halt auch in
162000	164000	irgendeine rechte Ecke gestellt ist ja klar
164000	166000	und ja
166000	168000	wenn ich jetzt zum Beispiel sage
168000	170000	Mainstream Medien sind nicht nur schlecht
170000	172000	die GIZ finanzierten Sachen taugen sogar was
172000	174000	ja dann bedeutet das
174000	176000	natürlich nicht dass ich ein Systemling bin
176000	178000	und interessanterweise
178000	180000	habe ich mal damals
180000	182000	als es das noch richtig gab
182000	184000	in so KenFM Gruppen
184000	186000	auch Leute getroffen die wirklich ganz ernsthafte
186000	188000	Meinung waren, dass alles was
188000	190000	im Fernsehen zu sehen war falsch sein muss
190000	192000	es muss eine Lüge sein
192000	194000	und ja
194000	196000	das ist so die Form von Schwarz-Weiß-Denken
196000	198000	die findet man tatsächlich überall
198000	200000	die findet man auch in akademischen Kreisen
200000	202000	gerade auch in akademischen Kreisen
202000	204000	weil die Leute sich wirklich ihre eigenen
204000	206000	Filterblasen irgendwann nicht mehr bewusst sind
206000	208000	vielleicht liegt es
208000	210000	auch darin, dass ich Physik studiert habe
210000	212000	denn im Physikstudium
