start	end	text
0	2000	Alle Männer sind vergewaltiger.
2000	6000	Was dann passiert, ist, dass Hardcore-Rechter und andere Rechte und Konservative sich darüber aufregen.
6000	11000	So von wegen, du Femme-Nazi, du verallgemeinerst hier ja total und so.
11000	16000	Und dann denke ich mir, ja klar, aber der Witz ist, wenn Jordan B. Peterson oder solche Leute sagen,
16000	22000	naja, es ist doch nur ganz natürlich, dass alle Männer eigentlich permanent Gewalt ausüben wollen, um Sex zu haben.
22000	25000	Und das ist ja eigentlich ganz natürlich von der Natur so gewollt.
25000	27000	Dann feiern die Rechten das.
27000	29000	Das ist total bescheuert, ne?
30000	50000	So Leute, ich mache jetzt mal so ein Video, so ein Mario-Bart-Brainstorm-Video.
50000	53000	Bloß so nicht als Mario-Bart, sondern eher als Morph.
53000	58000	Ich rede noch mal ein bisschen über so Männer-, Frauen-, Jungs-, Mädchen-Kram.
58000	61000	Ich hatte ja schon mal verschiedene Videos in diese Richtung gemacht,
61000	63000	angefangen bei klassischen Geschlechterrollen,
63000	67000	hin zu diesen Sachen, dass ich irgendwie genervt war,
67000	70000	dass die Tussis hinter mir im Zug sich die ganze Zeit über irgendwelche Boys unterhalten haben,
70000	78000	was mich dazu gebracht hat, irgendwie dieses ganze Ding mit dem Grein-Set und dem sozialen Status und so mal zu überdenken und so.
78000	81000	Und dieses Video geht auch in diese Richtung, denke ich.
81000	90000	Und mir wurde jetzt gerade von einer Frau mitgeteilt, also man kannte,
90000	96000	dass sie beobachtet hat in ihrer Kindheit und in ihrer Jugend,
96000	102000	sie hat beobachtet, dass Jungs besonders gewalttätig wurden,
102000	106000	wenn es eine Prübelei zwischen Jungs und Mädchen gab.
106000	110000	Also quasi die Beobachtung der Kontrast ist, Jungs verkloppen sich gegenseitig
110000	115000	die ganze Zeit ist gar kein Problem und da ist aber auch no hard feelings.
115000	119000	Man haut sich und danach ist alles wieder gut, so nach dem Motto.
119000	123000	Und wenn jetzt aber eine Schlägerei sozusagen zwischen Jungs und Mädchen irgendwie war,
123000	126000	also am besten irgendwie nur zwei Personen oder so,
126000	129000	dann wird irgendwie mit extra harten Bandagen gekämpft
129000	131000	und der Junge hat sozusagen das Gefühl,
131000	137000	jetzt kann er mal seinen angestauten Frust gegenüber diesen Mädchen auslassen.
137000	141000	Und für mich klang das so ein bisschen wie eine Art,
141000	144000	wie eine verschrobene Art und Weise der Kommunikation.
144000	153000	Und so nach dem Motto schau hier, ich bin hier der Junge und ich bin so sozialisiert
153000	159000	und du sozusagen, du hast keine Ahnung von dieser rauen Welt, voll negativen Feedback.
159000	162000	Du bist ja völlig verschont davon wegen der ganzen Casualisierung,
162000	164000	die du in die Fresse kriegst, darum zeige ich dir jetzt mal,
164000	166000	was du für ein verwirrendes Mädchen bist.
166000	169000	So klang das für mich, also das hat sie so nicht gesagt,
169000	173000	aber das interpretiere ich jetzt sozusagen da rein.
173000	179000	Und ich finde halt im Moment ist das System halt auch wirklich nicht dazu gemacht,
179000	181000	Jungs irgendwie gerecht zu werden.
181000	187000	Wir haben ja immer noch dieses völlig veraltete Schulsystem mit Frontalunterricht und so,
187000	188000	das ist eh scheiße.
188000	192000	Ich denke bloß, dass es Jungs noch mehr schadet als Mädchen.
192000	193000	Und wie meine ich das?
193000	197000	Erstmal ist es so, zwischendurch in der Pubertät, die Jungs irgendwie,
197000	201000	sagen wir mal irgendwo zwischen siebter und zehner Klasse oder so,
201000	203000	fangen die ja alle an übelst zu wachsen.
203000	206000	Und die kommen dann erst mal mit ihren Gliedmaßen überhaupt nicht klar,
206000	210000	weil sie ja innerhalb von einem Jahr übelsten Wachstumsschub machen typischerweise.
210000	213000	Dann werden sie aber in der Schule zum still sitzen gezwungen,
213000	218000	kriegen sozusagen keinen richtigen Kontakt zu ihrem Körper,
218000	221000	der sich ja gerade verändert und gerade kognitive Entwicklungen,
221000	225000	geht immer einher mit motorischen Skills und Bewegungen und so ein Scheiß,
225000	227000	das ist bekannt aus der Hirnforschung.
227000	233000	Und ich sage es nochmal, meine Theorie zu den klassischen Geschlechterrollen
233000	235000	ist ja die Definition Jungs.
235000	238000	Die maximale Jungserziehung, also der Extremwert,
238000	242000	ist das maximale negative Feedback, die ganze Zeit zu geben,
242000	244000	wie scheiße man ist und dass man noch nichts kann,
244000	246000	wenn man scheiß kleiner Junge ist, der zu doof ist.
246000	251000	Hingegen, die maximale Mädchenerziehung ist das maximale Fernhalten von jeglichen negativen Feedback
251000	254000	und wegen jedem Piss sozusagen Fass aufzumachen, wie toll alles ist.
254000	257000	Also quasi die maximale Kasualisierung.
257000	260000	Und ja, mir ist schon klar, das sind nur Extremwerte.
260000	264000	Echte Mädchen- und Jungserfahrungen werden irgendwo auf diesem Spektrum,
264000	266000	auf dieser Achse stattfinden.
266000	268000	Aber nur so für die Orientierung.
268000	273000	Und ich denke, was unser System sozusagen im Grunde genommen,
273000	277000	ich denke, was unser System sozusagen im Moment produziert,
277000	281000	ist einfach nur 16-Jährige, die im Wesentlichen Gefährder sind.
281000	283000	Das habe ich auch schon mal so gesagt, einfach weil
283000	286000	sozusagen viele von denen haben keine Perspektive so richtig.
286000	291000	Das System liefert ihnen quasi keine richtige Idee,
291000	293000	was überhaupt mit diesem Leben anzufangen.
293000	296000	Und natürlich ist 16 auch genau das Alter,
296000	299000	wo man auf diese ganzen Biedersprüche in unserer Gesellschaft hingewiesen wird.
299000	302000	Man sieht sie einfach und kann sie nicht auflösen.
302000	305000	Mir ging es ja auch so, ich bin ja auch quasi voll im Weltschmerz eingegangen.
305000	307000	Und ich habe ja auch schon mal in einem anderen Video gesagt,
307000	309000	ich glaube in meinem Video über Weltschmerz,
309000	311000	dass ich im Prinzip so eine Art Schattenmacher geworden wäre,
311000	314000	wenn ich mich da länger darüber nachgedacht hätte.
314000	318000	Wenn ich nicht sozusagen den Notausgang gewählt hätte,
318000	321000	und irgendwie angefangen hätte zu zocken und Physik zu studieren
321000	325000	und mich davon abzulenken, dass die Gesellschaft ein Thema ist,
325000	327000	mit dem ich mich nicht auseinandersetzen darf.
327000	333000	Und was wir auch haben ist ja diese,
333000	336000	ich habe ja gerade das Video über die Kinderfilme gemacht,
336000	338000	und wie schlimm ich das finde sozusagen,
338000	344000	dass da irgendwie völlig entfremdete Darstellungen von Kindern vermittelt werden.
344000	348000	Also Kinderfilme mit Kindern über Kinder, für Kinder,
348000	350000	wo sich Kinder verhalten wie Erwachsene und so,
350000	352000	und Dialoge führen, die völlig unnatürlich sind.
352000	354000	Das finde ich richtig eklig.
354000	357000	Und wenn man das jetzt sozusagen weiterdenkt,
357000	360000	für Jugendliche und Erwachsene,
360000	364000	was da rauskommt sind diese hypermaskulinen Scheißbilder.
364000	367000	Also da wird sozusagen romantisiert,
367000	369000	da wird eine Welt der Gewalt romantisiert,
369000	371000	auf eine Art und Weise, die komplett bescheuert ist.
371000	374000	Also jedem ist klar, der so einen Film guckt wie John Wick,
374000	376000	oder sagen wir mal, irgendwann guckt Sans auf Energie,
376000	378000	da habe ich mich auch schon darüber lustig gemacht,
378000	380000	in meinem Video über fragile Männlichkeit.
380000	382000	Wie dumm das ist!
382000	385000	Niemand, der dort abgebildet wird in einem Film, ist glücklich.
385000	387000	Da gibt es überhaupt keinen Spaß in diesen Filmen.
387000	389000	Niemand in diesem Universum, was da abgebildet wird,
389000	392000	hat irgendwie ein lebenswertes Leben.
392000	394000	Trotzdem wird es so glorifiziert, das ist doch Schwachsinn.
394000	396000	Das ist doch total bescheuert.
396000	398000	Aber ja, das wird auch nicht irgendwie kritisch,
398000	401000	meiner Meinung nach, so kommuniziert in dieser Welt.
401000	404000	Das wird irgendwie, das genaue Gegenteil findet statt.
404000	406000	Die Leute finden das gut.
406000	409000	Die wollen auch gerne mal John Wick sein.
409000	411000	Und ja, das ist doch scheiße eigentlich.
413000	415000	Und jetzt nochmal zur Schule.
415000	417000	Ich finde, in der Schule ist es ja gerade so,
417000	422000	da Mädchen und Frauen sozusagen eher dazu neigen,
422000	425000	also generell, ich habe aber gestern im Stream
425000	427000	auch nochmal genau diese Eigenfetzung gemacht,
427000	430000	ich denke, Frauen und Mädchen neigen eher dazu,
430000	433000	sich einer gegebenen Machthierarchie anzubiedern
433000	436000	und sich in die einzubetten.
436000	438000	Und dann mit kleinen, feinen Wechsel,
438000	440000	also mit diesen Wechselkreisläufen
440000	443000	innerhalb der Machthierarchie sozusagen herumzumanipulieren
443000	445000	und da drin irgendwie klarzukommen.
445000	449000	Das ist das, was ich sehe, was Mädchen und Frauen eher machen.
449000	453000	Und Jungs und Männer sozusagen haben eher das Verlangen,
453000	456000	in diesen Machthierarchien nach oben zu klettern
456000	458000	und selber mal Herrscher sein zu wollen,
458000	461000	um dann Regeln sozusagen zu ändern,
461000	463000	innerhalb dieser Machthierarchie.
463000	465000	Sie können sich zum Beispiel, das ist meine Beobachtung,
465000	467000	schlechter damit abfinden,
467000	469000	wenn sie irgendwas als ungerecht empfinden
469000	471000	und neigen dann eher dazu,
471000	474000	sozusagen auch ihrem Unmut Luft zu machen
474000	476000	und das zu artikulieren und zu versuchen,
476000	478000	am besten in dieser Hierarchie sozusagen
478000	480000	mit Gewalt ihren Willen durchzudrücken
480000	482000	und irgendwie die Hierarchie ändern zu wollen.
482000	485000	Und das trifft auch wieder auf mein Video
485000	487000	zur Pseudo-Ungerechtigkeit,
487000	489000	das geht da auch so ein bisschen zurück.
489000	491000	Also entweder wirkliche Ungerechtigkeit
491000	493000	oder auch Pseudo-Ungerechtigkeit,
493000	495000	beides dann sozusagen mit drin und
495000	497000	ich habe ja auch schon mal gesagt,
497000	499000	die eine richtig gute deutsche Welle,
499000	501000	Doku zum Thema Testosteron,
501000	503000	die kann ich nur empfehlen.
503000	505000	Was Testosteron macht, ist
505000	507000	sozialer Status wird besonders wichtig.
507000	509000	Und das ist bei Jungs genau der Fall.
