start	end	text
0	17060	Eigentlich dachte ich, mich könnte nichts mehr verwundern, doch was ich jetzt zu hören
17060	19420	bekomme, finde ich echt krass.
19420	24900	Man kann mit Rezensionen nicht nur sein eigenes Ranking beeinflussen, sondern auch Mitbewerber
24900	26340	gezielt sabotieren.
26340	28700	Ach was.
29580	33860	Wir hatten ein Produkt schon länger im Markt, das hatte insgesamt gute Bewertungen.
33860	39700	Und da sind über Nacht auf einmal die wenigen schlechten, also die ein Sterne Bewertungen
39700	41340	als nützlich bewertet worden.
41340	47300	Je mehr ein Kommentar als nützlich gekennzeichnet wird, desto weiter rutscht er dann nach oben.
47300	52140	Und neue Kunden sehen dann halt die negativen Kommentare zuerst und sind abgeschreckt.
52140	56020	Wir sind von einem auf den anderen Tag im Ranking massiv gefallen.
56020	59100	Warum hast du denn die Vermutung, dass das von der Konkurrenz kommt?
59100	63460	Dieses Produkt wird von vielen verschiedenen Händlern in sehr ähnlicher Ausführung verkauft.
63460	66660	Bei einem unserer Konkurrenten haben die fünf Sterne Bewertungen.
66660	78220	So Leute, ich habe gerade ein SWR Recherche-Video gesehen und da ging es einfach nur darum,
78220	82020	dass jemand mal überprüft hat, wie es ist mit den Fake-Bewertungen auf Amazon und hat
82020	83380	halt übelst lange gequatscht.
83380	87260	Und wenn man sich den Clip anguckt, der geht halt fast eine halbe Stunde, da könnte man
87260	91620	locker 70% rausschneiden, weil es halt so trivial, aber halt für Konsumenten verpackt
91620	95300	ist, damit auch wirklich jeder Idiot das jetzt mal versteht, wie es ist.
95300	98820	Und meinetwegen sollen sie machen, es ist halt Kasualisierung, die Leute sind halt wirklich
98820	100700	zu dumm heutzutage überhaupt noch irgendwas zu raffen.
100700	109700	Aber die Art und Weise, wie naiv dieser Typ da redet und wie es auch verpackt wird, kutzt
109700	110700	mich halt auch immer an.
110940	117700	Und deswegen wollte ich jetzt mal ein bisschen klernendes Videomaterial produzieren, damit
117700	121580	ihr, wenn ihr in Zukunft sowas seht, da gar nicht erst draufklickt, weil euch das einfach
121580	122580	klar ist.
122580	129500	Also erstmal, vor ein paar Jahren habe ich das schon gesehen, da gab es immer mal so
129500	136220	Schlagzellen, hat der Hip-Hop-Artist und der und der Pop-Produzent irgendwie gekaufte
136220	141540	Klicks auf YouTube sich besorgt, um irgendwie das Video zu pushen und dann in den Trends
141540	142540	zu landen oder so.
142540	147500	Und dann wurde da sozusagen angemerkt, ob das vielleicht irgendwie unfair ist gegenüber
147500	153220	dem Wettbewerb und dieser Reine Ideologie von Wettbewerb, die halt auch völlig naiv
153220	154220	ist.
154220	158940	Na klar, das gehört dazu, ich habe ja schon in meinem ersten Video über Wettbewerb gesagt,
158940	159940	wozu das führt.
159940	162820	Das führt dazu, dass Leute halt alles ausreizen wegen Wettbewerb, ist ja klar.
162820	171780	Und natürlich, heutzutage werden die Musikindustrie, die misst sich an Spotify-Zahlen im Wesentlichen.
171780	177100	Das ist wirklich für die ein total ausschlaggebendes Ding, weil CD-Verkäufe halt heutzutage nicht
177100	179180	mehr so der Shit sind, aber Klicks.
179180	184220	Und na klar, kann man sich auch mit Sicherheit auf Spotify Klicks kaufen, das weiß ich jetzt
184220	187900	nicht, aber davon gehe ich mal aus, weil es gibt für alles andere auch Klick-Botformen,
187900	189940	warum also nicht für Spotify.
189940	196940	Und ja, ich hatte mal, als ich meinen YouTube-Account angefangen habe, vom Algorithmus wurde mir
196940	204220	angeboten, dass ich mal bitte in solche Facebook-Gruppen reingehen soll, wo Leute ihre YouTube-Links
204220	207460	posten und sich dann gegenseitig liken und subscriben und sharen.
207460	212900	Einfach nur, um sozusagen diese Stats, diese Metrik im YouTube-Algorithmus hoch zu pushen.
212900	216820	Das Ding ist natürlich halt YouTube schon vor Jahren erkannt, dass das gemacht wird
216820	220660	und deswegen haben sie ja eingeführt, dass nur noch Watchtime relevant ist.
220660	224540	Das heißt, wenn ihr einen YouTube-Account richtig kaputt machen wollt, dann nehmt ihr
224540	231100	mal 20 Euro in die Hand und kauft ihr mal so 10.000 wertlose Klicks, dann renkt der YouTube-Algorithmus
231100	234460	den Account in die Hölle runter und da kommt er nie wieder raus.
234460	240340	Weil, klar, Klicks ohne Watchtime sind sozusagen genau das, was YouTube nicht will.
240340	241580	Ist ja klar, was YouTube will.
241580	246060	YouTube will, so lange wie möglich, dass die Leute auf YouTube bleiben und am besten
246060	248500	danach weiter auf nächste Videos klicken.
248500	249500	Das ist ganz wichtig.
249500	253740	Wenn man das Video guckt, zum Nachdenken angeregt wird und dann auf Pause macht oder
253740	258060	den Rechner ausmacht oder so, das ist auch nicht so gut, am besten ist weiter Katzen-Content
258060	259060	machen.
259060	266300	Diese Fake-Bewertungen auf Amazon sind natürlich nichts anderes und Amazon sagt zwar, sie
266300	270460	wollen dagegen massiv vorgehen und sie haben schon übelste Ressourcen darauf angewendet
270460	275460	und machen und tun, aber sag euch mal was, in Wahrheit ist es gar nicht so schlimm für
