start	end	text
0	20160	Hier unten feiern gerade die, also ich habe unter mir ein italienisches Restaurant und
20160	26040	die rasten natürlich jetzt gerade total aus, weil sie halt im Elfmeterspielen das Gesetz
26040	31640	sehr kurz klein zahlen gewonnen haben und gegenüber in der straße kotzen natürlich
31640	36120	jetzt die ganzen normalen deutschen völlig ab weil jetzt haben die halt einmal ihren
36120	41600	moment der freude und machen natürlich eine massive lärmbelästigung in der straße finde
41600	46760	ich auf jeden fall schon mal richtig witzig ich wollte ein video machen über nationalstolz
46760	52640	und patriotismus und wenn der sound jetzt nicht zu räudig ist dann lasse ich es auch dabei sonst
52640	57080	muss ich tatsächlich mal schneiden irgendwann ich wollte nur ein kurzes video machen und zwar
57080	61440	eigentlich zur gruppenzugehörigkeit aber dazu muss ich erst mal das mit dem stolz und dem patriotismus
61440	69560	klären also stolz ist für mich immer eine ganz merkwürdige sache gewesen schon immer also für
69560	73400	mich hat sich das immer in der grundschule schon komisch angefühlt dass leute irgendwie stolz sind
73400	78960	auf den fußballverein aus der stadt aus diese kommen einfach weil das ist ja zufällig in welcher
78960	82760	stadt man geboren ist und dann ist man einfach zufällig zieht man da eine andere stadt und auf
82760	86600	einmal ist man auf einmal da der fußballfan oder so das hat mir alles irgendwie überhaupt ich habe
86600	90480	das nicht verstanden und was ich natürlich eigentlich damit zum ausdruck bringen würde
90480	96960	ist dass man nur stolz sein kann auf die eigenen auf die eigenen entscheidungen die man jemals
96960	103120	getroffen hat also auf sozusagen das auf die resultate die man selber erzielt hat und natürlich
103120	109200	ist irgendwo geboren werden nicht eine eigene entscheidung gewesen und ja so ein scheiß das
109200	113920	heißt irgendwie für mich hat das nie sinne geben national stolz insbesondere zu haben und
113920	118880	ja klar ich verstehe sozusagen dass man sich irgendwie mit einer gruppe identifizieren kann
118880	123280	zum beispiel wenn man italiener ist dann sich freut das wenn die italiener als europameister werden
123280	128360	und so ich lasse den löten ihren spaß ich bin da jetzt nicht so ich hatte mal eine zeit wo ich
128360	134600	super elitär war und sozusagen alles was mit fußball zu tun hat und leute tot kasspert habe
134600	139560	und fertig gemacht habe weil sie irgendwie mir zu doof waren und so aber da war ich halt auch noch
139560	149480	ein wie soll ich sagen ein arroganter teenager also jetzt noch mal stolz sozusagen kann man nur auf
149480	153240	die eigenen entscheidungen sein das ist zumindest meine meine meine empfinden und meine definition
153240	160080	von stolz schon immer gewesen und ja das video jetzt eigentlich um gruppenzugehörigkeit gehen
160080	166800	und es soll ja auch nur kurzes video sein bei gruppenzugehörigkeit würde ich sagen das fühlt
166800	171880	sich sozusagen einfach gut an in einer gruppe zu sein die einen gut findet und positive vibes
171880	177120	rüber reicht wenn man einfach teil der gruppe ist und sonst nichts machen muss dafür habe ich
177120	181840	schon mal irgendwo erwähnt aber ich brauchte noch mal modulares video dafür jetzt und witzigerweise
182000	188680	ist das auch genau das was also dieses bedürfnis von löten die sagen wir mal eher nicht diese
188680	193200	selbstbestätigung haben weil sie irgendwie was was ich fühlen dass sie nichts erreicht haben
193200	201280	im leben oder sie fühlen sich irgendwie nicht stark genug dann für die ist es besonders gut wenn
201280	206440	sie so eine gruppen vibes irgendwo fahren können und insbesondere ist das natürlich immer überall
206440	211760	da so wo zum beispiel auch so religionsgemeinschaften und sekten sind das funktioniert nur weil die
211760	216000	rumfahren und löte abfahren die genau drauf die genau diesen vibe jetzt brauchen die brauchen
216000	221480	dieses gefühl akzeptiert zu sein so wie sie sind und einfach mal teil einer gruppe zu sein die
221480	227800	einfach akzeptiert so lange man teil der gruppe ist und an sich an sich ist meiner meinung nach
227800	232200	daran erstmal nichts schlimmes natürlich wächst daraus sozusagen einen haufen scheiß die man
232200	236720	schon kennt zum beispiel bei den religionen typischerweise wachsen daraus diese großen
237320	244840	die man überall beobachten kann ja aber das ist einfach ein interessantes das ist einfach
244840	252480	ein interessantes thema und man muss sozusagen wenn man aus dem linken elfenbein form von oben
252480	256720	herab auf die leute drauf scheißen will muss man das auf jeden fall im hinterkopf behalten dass
256720	264880	das für für die normale psyche des menschen total wichtig ist sich akzeptiert zu fühlen und
264880	272680	ja deswegen deswegen muss man sozusagen das da muss man auf jeden fall verständnis haben für
272680	277400	die leute die einfach mal bock drauf haben zum fußball zu geben weil genau da ist es so man ist
277400	282400	sozusagen teilt wenn man da den schal für den vereinsfarben und so macht und dann ist man einfach
282400	286520	teil man wird einfach akzeptiert weil man fan ist sowie alle auch dann geht man zusammen mit in
286520	291320	den blog und dann zieht man sich das fußballspiel rein dann leidet man zusammen dann feiert man
291320	296240	zusammen dann dann fiebert man zusammen mit nach und das sind einfach diese gruppenweibs und das
296240	299760	wird abgefahren das spiel selbst ist natürlich hochgradig langweilig ich meine das ist immer
299760	304520	gesetzt der kleinen zahl gerade beim fußball ist ja offensichtlich also klar da gehört auch skill
304520	311520	dazu aber vor allem ist sozusagen die die dynamik das spielt so dass es eher ein problem der
311520	318640	kommunikation und ja eigentlich ist es eigentlich ein kommunikationsproblem was da was sozusagen
319120	323520	der bottleneck ist warum die meisten mannschaften nicht perfekt spielen können so wie sie es
323520	329560	eigentlich wollten zum beispiel und natürlich ist da übelst gesetzt der kleinen zahl also wenn
329560	333240	man jetzt die weiß ich nicht wenn man die die metriken der spiel zu ein bisschen verändern
333240	337320	wurde dass mehr tore geschossen werden würden wie zum beispiel basketball da sind ja typischerweise
337320	342320	so riesen punkt zahlen immer am ende des spiel oder beim handball auch größer da könnte man
342320	345480	vielleicht davon reden dass das gesetzt der großen zahl irgendwann eintritt dass dann
345480	350040	irgendwie bessere mannschaften auch tatsächlich öfter gewinnen und jetzt hier bei der bei mir im
350040	355200	finale war es ja offenbar also weil es jetzt super spät ist jetzt kurz nach null uhr offenbar
355200	359120	war das 11 meter schießen muss ja so gewesen sein weil sonst wäre das spiel schon längst zu
359120	366120	enden gewesen ich guck es mir natürlich nicht an weil fußball hält aber ja ich wollte das nur
366120	371120	noch mal machen ich wollte so ein video noch mal machen und jetzt trinke ich noch ein bisschen
371120	373120	tschüss
401120	411920	Übrigens, der Kanal ist wie eine schöne Vorlesung aufgebaut.
411920	417640	Wenn ich unten Videos verlinke, dann wäre es angebracht, sich die auch reinzuziehen,
417640	418840	weil das aufeinander aufbaut.
418840	424160	Bestimmte Begriffe werden definiert, viele Beispiele werden genannt und ich denke mir
424160	428200	schon was dabei, weil es sozusagen meinen eigenen Erkenntnisprozess abbildet, die Reihenfolge,
428200	429520	in denen ich die Videos hier hochlade.
429520	430520	Vielen Dank für's Zuschauen.
430520	431020	Bis zum nächsten Mal.
