start	end	text
0	4760	zu sagen, okay mache ich nicht, weil es ist das Ausbeutersystem und FIFA ist eh ein Drecksladen.
4760	11960	Aber das steht ja im argen Widerspruch zu der eigenen zu der eigenen Berufswahl, weil Profisportler
11960	15600	kann ja eigentlich nichts dafür, dass er jetzt Projektionsfläche für irgendwas wird, was er
15600	20680	gar nicht will. Profisportler sind ja eigentlich ganz einfache Simplons, die einfach nur das mit
20680	26640	dem Ball machen wollen. Sie befinden sich jetzt auf einmal in dieser in dieser Hyperrealität, wo
26640	30800	sie auf einmal ein Symbol darstellen, was sie gar nicht sich ausgesucht haben. Das ist ja einfach so passiert.
44800	53640	So Leute, es ist mal wieder Zeit. Ich habe kurz über etwas drüber gescrollt in Social Media und
53720	59800	sofort hat es mich getriggert und es geht heute darum, dass ich euch mal wieder ein
59800	64800	fantastisches Symptom in den Kontext des Kapitalismus einbetten möchte, weil ich
64800	69040	finde die ganze Diskussion, die da schon wieder geführt wird, geht natürlich völlig am Thema
69040	77000	vorbei, so wie sich das gehört beim Kapitalismus. Und ich habe Folgendes gelesen. Unser Captain
77000	83480	Müller hat gesagt, ich kann die Kritik nachvollziehen und akzeptieren, teile sie aber nicht. Was meinte
83480	90760	er damit? Naja, die Sache mit dem One Love Arm Binden. Und er spricht davon, von befremdlichen
90760	96360	Aktionen und Äußerungen des Weltverbandes, sowohl der Standpunkt der FIFA als auch die Art und Weise
96360	105040	der Kommunikation zum Bindenverbot seien, Zitat, für uns in keiner Weise zu verstehen. Und das hat
105040	111320	mich ein bisschen daran erinnert, was der Alex damals gesagt hat, als ich dann daraufhin, also
111320	115600	ein Jahr später oder so, das Video zum Paradeiritter gemacht habe. Und so ein bisschen wird dieses
115600	120280	Video jetzt hier auch. Weil mir geht es wieder jetzt darum, dass Menschen einfach nicht checken,
120280	128400	dass sie selbst nur ein Zahnrad im Stoffwechsel des Kapitalismus sind. Und das bedeutet Entfremdung von
128400	132760	dem, von dem sie eigentlich glauben, dass sie irgendwie einen Zweck erfüllen oder so. Sie checken
132760	137560	einfach nicht ihren eigentlichen Zweck. Und da besteht schon das ganze Missverständnis. Und da
137560	142240	besteht auch das Missverständnis der Konsumenten, die sich jetzt in einer großen Empörungswelle und
142240	148080	in einer großen Empörungskultur, die da drin aufgehen und sich daran laben wollen. Klar, es ist
148080	153480	sozusagen wieder mal so, dass hier irgendwie Inhalte mit dem eigentlichen Zweck verwechselt
153480	158800	werden bzw. vermischt werden. Und Spieler sind ja meiner Meinung nach eigentlich nur wandelnde
158800	164200	Werbetafeln zum Zwecke der Kapitalakkumulation. Das ist das, was sie machen sollen. Sie können
164200	168480	richtig gut Fußball spielen. Deswegen sind sie die Weltbesten und ein ganzes Gottverdammtes Land
168480	174520	bzw. an der ganzen Welt guckt dazu. Und das ist ein fantastischer Verteiler, um damit Profite zu
174520	181640	machen. Und das ist alles. Das ist das Business. Darum geht es der FIFA. Und PR-Aktionen, meiner
181640	188200	Meinung nach, sind fast immer ausschließlich grundsätzlich leere Gesten. Und jetzt ist es so,
188200	193520	dass Spieler ihre Dinge persönlich nehmen, die eigentlich auf sie in ihrem Zweck als Werbetafeln
193520	198080	projiziert waren. Das heißt, sie verstehen ihre eigene Position in diesem Spiel nicht. Was sie ja
198080	204640	tun ist, sie glauben an das Medien-Narrativ, was auf sie darauf projiziert wird, nämlich sie
204640	209360	sind Helden, sie spielen für die Nation, alle freuen sich, wenn sie ein Tor machen und so. Und
209360	213040	das ist ja auch Teil der Realität, weil es gibt einen Haufen Konsumenten, die gucken sich Fußball
213040	219760	an und freuen sich dann. Für die sind das dann wirklich Helden. Das heißt, diese Story, die ja
219760	223000	eigentlich eine erfundene Geschichte ist, wird zur Realität dadurch, dass alle sich tatsächlich
223000	227960	entsprechend diesem Medien-Narrativ auch so verhalten. Und es wird ihnen ja auch von ihren
227960	233800	Usern auf Instagram wahrscheinlich genauso gespiegelt. So. Und ich will halt einfach nur irgendwie klar
233800	239920	machen, na ja, was wir jetzt beobachten, kann man damit nicht erklären. Man kann es nur damit
239920	246120	erklären, dass das eine Massenpsychose ist, die da stattfindet und eigentlich Kapitalismus das
246120	252040	Problem ist. So. So. Jetzt mal erstmal die öffentliche Debatte ist natürlich verlogen
252040	257320	und inkonsequent in dem Sinne, dass erstmal jeder Staat in seiner Funktion als Machtherarchie
257320	262040	Dreck am Stecken hat. Jeder. Und das ist für euch nichts Neues. Wir sind ja hier alle mittlerweile
262040	266560	Anarchisten und deswegen brauche ich euch das jetzt nicht weiter erklären. Aber bei Katar ist
266560	271000	es nun mal so, dass man da besonders gut die Probleme der globalen Machtherarchien und wie sie
271000	274560	miteinander wechselwirken, also verschiedene Länder jetzt, da sieht man das einfach super
274560	279760	deutlich. Unsere westlichen Moralvorstellungen jetzt zum Beispiel, die sind ja meiner Meinung
279760	284040	nach auch nur eine große Werbekampagne, eine PR-Kampagne, die aufrechterhalten wird, um jetzt
284040	288440	zum Beispiel gegen so Länder wie Russland und China latente Kriegsstimmung zu betreiben. Wenn
288440	297400	die den USA untergeben wären, dann wären da halt auch Regenbogenflaggen. Aber dann bräuchte man das
297400	300880	mit den Regenbogenflaggen eh nicht, weil man da keinen Culture Wars mehr bräuchte. Das heißt,
300880	306320	ohne Culture Wars bräuchte man auch nicht queere und emanzipatorische Movements instrumentalisieren
306320	312000	und ihnen ihre Regenbogenflaggen entfremden mit irgendwelchen hohlen PR-Kampagnen. Also wenn
312000	317080	irgendwelche großen Firmen jetzt in bestimmten Ländern die Regenbogenflagge nehmen in ihr Logo
317080	322880	und den anderen nicht, dann ist ja völlig klar, was man davon halten muss. Das ist klar. Da brauche
322880	326720	ich euch nichts erzählen. So und die queeren Bewegungen, die das ernst meinen, die werden
326720	330440	halt instrumentalisiert. Und klar gibt es viele, die das wirklich ernst meinen, aber es ist schade,
330600	336840	sie werden ihrer Symbole beraubt. Ganz im Sinne von Culture Wars, im Sinne von ja, ich habe hier
336840	341040	Medien-Narrative und ich kann hier Propaganda machen. Ich kann Leute mobilisieren, die sich
341040	346840	einfach mal identifizieren. Zum Beispiel mit einer Regenbogenflagge. So und dann kommt am Ende von so
346840	351400	Böhmermann zum Beispiel. Habe ich hier ein Bild von, habe ich mir vorhin einen Screenshot besorgt aus
351400	357360	Mastodon. Da kommen dann so Leute, also das sind meistens wirklich so Leute im wohlfühl-linken
357360	365440	Mainstream-Spektrum drin. Also jetzt so Krohnwähler und Taz-Leser, die sind in diesem Narrativ drin.
365440	370200	Und natürlich kommen sie zu dem Schluss, man muss jetzt hier Authentismus betreiben. Und versteht
370200	374160	mich nicht falsch, ich kann das natürlich komplett nachvollziehen. Es ist einfach, es ist sofort,
374160	379800	es ist sozusagen im Rückenmark drin. Ich habe mich auch, als ich den passenden Witz vom Postelon
379800	384520	dazu gesehen habe, habe ich mich auch beümmelt. Und ich verstehe auch sozusagen diese Empörung,
384520	388720	die da im Rückenmark schon drinsteckt. Das ist ein Beißreflex. Aber man kann schon auch ruhig mal
388720	393800	noch ein bisschen mehr darüber nachdenken, als einfach nur diesen niederen Instinkt einfach nur
393800	401080	zu folgen. Und ich finde diese Debatte mit den, ich habe hier emanzipatorische Movements und
401080	406840	queere Bewegungen und so und ich instrumentalisiere die, da nennt man das ja Pinkwashing. Und beim
406840	411720	Klima ist es das gleiche, da nennt man Screenwashing. Daten sind offenbar nicht dazu in der Lage. Das ist
411880	416280	was jetzt sozusagen die aktuelle Schlussfolgerung wieder aus dem letzten Klimagipfel ist. Die sind
416280	422040	nicht in der Lage, etwas gegen die Geiselnahme zu tun, die jetzt die Fossilindustrie gerade mit den
422040	426360	Staaten betreibt. Ich habe ja letztens im Twitch diese schöne Doku gesehen, das System Total.
426360	432840	Übrigens, ich habe mir jetzt einen zweiten YouTube-Account gemacht, wo ich bestimmte Reactions auf
432840	439120	bestimmte Dokus upload und da wird auch dieses System Total Doku darauf verlinkt werden. Ich
439120	445560	werde das mal hier unten in der Videobeschreibung noch verlinken, den Kanal. Jedenfalls mit so
445560	449600	Screenwashingen kann man natürlich richtig gute PR machen, inhaltsleer ist es aber natürlich
449600	453160	dennoch. Und das ist genau das, was wir beobachten. Und ich meine das auch wirklich so, wie ich das
453160	462080	sage. Staaten sind nicht offenkundig, nicht dazu in der Lage, wirklich was daran zu ändern. Aber ja,
462080	466560	ich habe ja nicht umsonst Anarchismus Teil 5 schon gemacht. Staaten sind tatsächlich nicht,
466800	472800	gar nicht mal so viel in der Lage, wenn man sich mal anguckt, was Staaten so machen. Und ja,
472800	477040	die Empörung jetzt, die spiegelt eigentlich meiner Meinung nach, vor allem diese Empörung
477040	484600	im linken Mainstream-Wohlfühl-Flauschenspektrum, wo ich auch viele kenne und auch viel in den
484600	490920	Social Media so sehe. Da spiegelt diese Beobachtung meiner Meinung nach eigentlich nur da, dass sich
490920	494760	die Konsumenten natürlich bewusst sind, dass es moralisch schlecht ist, FIFA und WM und so. Das
494760	498280	ist ja schon lange bekannt, das weiß man ewig. Und immer wenn die WM ist, kommt das auch immer
498280	505160	zu sprechen. Aber jetzt, dadurch, dass es in Katar ist, geht die Aufmerksamkeit davon nicht weg. Es
505160	509240	wird einfach nicht aufhören. Es wird immer wieder überall nochmal wiederholt, wie schlimm das ist.
509240	514320	Und durch so einen Fawkes-Pax, wie wir haben hier das mit den Armbinden irgendwann mal eingeführt,
514320	517320	traurigerweise, jetzt kriegen wir es aber gerade nicht hin, jetzt steht es gerade in Niederspruch
517320	521240	mit anderen Mächterarchien. Dadurch kommt immer wieder sozusagen diese Aufmerksamkeit dahin.
521240	528000	Und davon wird jetzt nicht mehr abgelenkt, das ist ein Riesenproblem. Und dadurch entsteht diese
528000	532000	Empörung, weil natürlich eigentlich Leute, viele dann auch sich denken, ich wollte doch jetzt aber
532000	538400	eigentlich nur Fußball gucken und so. Und deswegen, weil das so ist und die Aufmerksamkeit nicht
538400	541720	weggeht, tut es natürlich auch richtig gut, sich darauf auszuruhmen zu können, dass man jetzt
541720	546720	Spieler endlich, dass man seine ganze Empörung auf die Spieler projizieren kann. Das ist nämlich
546800	552000	viel besser, wenn man da Sündenwirke hat. Und jetzt werden irgendwie zwei konkurrierende
552000	557920	Medien-Narrative gemacht, die haben wir da. Und beziehungsweise die Spieler werden aufgeregen
557920	562400	zwischen zwei konkurrierenden Medien-Narrativen. Was meine ich jetzt damit? Naja, die Tatsache,
562400	567280	dass sie eigentlich Fußball-Profis sind und die ganze Nation glaubt daran, dass sie jetzt für
