start	end	text
0	6200	Ich wiederhol's jetzt nochmal. Das Rechthaben alleine nicht reicht. Sonst hätten wir Trump nicht beobachten können.
6200	9800	Wir hätten auch Schulz nie jetzt als Kanzler.
9800	13000	Wenn Fakten irgendwas ändern würden, dann das kann einfach nicht sein.
13000	39000	Es gibt so ein klassisches Business, das sich überall durchzieht. Man nennt es Business-to-Business-Modell.
39000	52000	Das bedeutet im Prinzip, dass man als Kunden, als Endkunden der Dienstleistung oder was auch immer man mit seinem Business macht, nicht Konsumer hat, sondern andere Leute, die ein Business machen und dann auf Konsumer abzielen.
52000	59000	Was meine ich damit zum Beispiel? Werbeagenturen sind sowas. Werbeagenturen helfen anderem Business dabei, Werbung zu betreiben.
60000	67000	Es gibt dann halt was, was ich, Marketing-Experten, die genau wissen, wie man Google nutzt, um im Ranking des Algorithmus nach oben zu trenden.
67000	75000	Oder halt auch Google-Kampagnen, Google Ads zu designen und so.
75000	86000	Und dann stelle ich mir immer die Frage, naja, wenn ihr das so gut könnt, warum macht ihr das nicht selber? Wahrscheinlich machen sie es auch irgendwie selber, bloß halt für Business-to-Business.
86000	95000	Aber der Witz ist, wenn sozusagen andere Leute, anderen Business-Menschen erklären, wie sie ihr Business zu machen haben, dann hat das einen großen Vorteil für sie.
95000	105000	Sie verdienen viel mehr Kohle daran, wenn sie sozusagen auf dieser Pyramide des Business sozusagen ein Level drüber sind und mehreren Businesses erklären, wie sie ihr Business machen sollen.
105000	115000	Ihr versteht, was ich meine. Das ist sozusagen, man macht sich auch nicht die Hände damit schmutzig, weil man ja gar nicht mehr in der Praxis drin ist, sondern andere die Praxis machen lässt.
115000	128000	Und ja, was man da dann oft beobachtet, ist sozusagen, die individuelle FDP-Version davon sind irgendwelche Live-Coaches und irgendwelche Coaches oder auch Multilevel-Marketing-Leute.
128000	141000	Also Coaches, die anderen sozusagen, die erklären wollen, ich habe hier Marketing voll drauf und ich habe es einmal irgendwo gerissen, ich habe einmal irgendwo eine Firma nicht in den Sand gesetzt und bin reich geworden, deswegen kann ich jetzt euch erklären, wie es geht.
141000	158000	Und es gibt auch bei Influencern diese normale Entwicklung, dass Influencer irgendwann, wenn sie Langeweile haben, weil sie sozusagen ein fließendes Business haben, egal was für ein Video sie rausscheißen, sie kriegen eine Million Klicks und sie kriegen halt schon so viel Kohle durch Werbeeinnahmen, dass sie irgendwann aus Langeweile einen Zweitaccount machen, indem sie anderen erklären, wie man Influencer wird.
158000	170000	Also das sieht man ganz oft, das sieht man richtig, richtig oft, dass Influencer Zweitaccounts machen, wo sie dann Marketing-Manipulationsstrategien und so erklären, wie man halt irgendwie Leute um den Finger wickelt und so.
