start	end	text
0	4440	Und das hat natürlich was damit zu tun, wie viel Geld gerade überhaupt kostet, also wie
4440	10440	viel Geld gerade kostet, weil typischerweise muss man das Geld ja nicht haben.
10440	16240	Es reicht ja, eine Bonität zu haben, das heißt, wenn ich genug Credibility habe, dass
16240	20520	die Bank mir den Kredit gibt für das wenig Geld, wenn das Geld gerade günstig ist, dann
20520	27960	mache ich das, kaufe das Asset, bekomme den Mehrwert, schöpfe den ab, bezahle damit das
27960	31760	Geld, was ich von der Bank bekommen habe quasi, und das, was übrig bleibt, ist mein Gewinn.
31760	34640	So denken sozusagen die normalen Investmentbroker auch.
34640	54960	So Leute, ich habe die neue Anstaltvögel gerade gesehen gestern und dadurch, dass ich mich
54960	58480	so viel jetzt in letzter Zeit mit Wirtschaftstheorie auseinandergesetzt habe, war das für mich
58480	63600	alles nichts Neues mehr, aber irgendwie fühle ich mich jetzt genötigt, langsam mal zu beginnen,
63600	67160	das Ding weiterzumachen, mit der wir schaffen uns jetzt hier zusammen die Wirtschaftswissenschaften
67160	72080	drauf und sie bringen ja da sozusagen den Spruch, dass man nicht beobachten kann, dass
72080	76680	die Menge, die Geldmenge irgendwas mit der Inflation zu tun hat und das geht zurück
76680	78800	auf Milton Friedman, der das einfach postuliert hat.
78800	81840	Und ich greife schon mal ein bisschen vor, ich habe ein Paper von 2016 gefunden, das
81840	88720	kann ich euch auch verlinken, den Artikel, die nehmen die wichtigsten Länder, die in
88720	94920	Summe 91 Prozent des globalen BIPs ausmachen und haben die über die letzten Jahrzehnte
94920	98360	verfolgt in ihren Statistiken und folgende Beobachtungen gemacht.
98360	103440	Die Inflation ist nicht korreliert mit dem Geldwachstum und es ist eher das Gegenteil
103440	107200	sogar der Fall, nämlich immer dann, wenn das Geldwachstum nicht hoch genug war, kam es
107200	108200	zur Inflation.
108880	113880	Das wollte ich nur noch mal vorgreifen, Milton Friedman hat halt damals 1900, keine Ahnung,
113880	119360	vor 50, 60, 70 Jahren angefangen, seine Propaganda zu betreiben, die er dann als Wirtschaftswissenschaften
119360	123840	getarnt hat und da gibt es diese legendäre Gleichung M mal V ist P mal T, da komme ich
123840	124840	später darauf ein.
124840	131080	Das ist eine supergeile Zustandsgleichung und auch hier hat er sozusagen diese Zustandsgleichung
131080	134840	wie eine Buchhalteridentität verwendet, um seine eigene Theorie zu bestätigen hinterher.
134840	139920	Ich mache da später ein Video dazu, ich werde auch noch mal ein Video dann später
139920	144280	über Produktivitätstheorie machen, die ist nämlich genauso lächerlich wie die Friedman
144280	149480	monetäre Theorie, auch nur reine Propaganda und besteht auch wieder nur auf dem Taschenspielertrick.
149480	151920	Das sind sozusagen die Beispiele, die ich jetzt habe, die so ähnlich sind wie das mit
151920	157760	der Homebook Produktionsfunktion und danach, wenn ich diese Videos gemacht habe, dann fange
157760	161240	ich an mich weiter in das Buch reinzulesen, ich habe jetzt schon ein paar Seiten gelesen
161240	165280	vom Anbau, aber ich werde dann sozusagen da mehr reingehen und mir mehr daraus ziehen
165280	168760	und dann nach und nach Stück für Stück die Wirtschaftswissenschaften zerlegen.
168760	174080	Jetzt ist es erstmal so, ich muss unbedingt ein Video über den Zins machen, denn ich
174080	181200	denke der Zins ist das fundamentale Ding, was wir alle erstmal begreifen müssen, dass
181200	186200	das irgendwie die Geschicke dieser Welt maximal steuert und der Zins für so ziemlich alles
186200	187920	verantwortlich ist, was wir beobachten können.
188600	192400	Und erstmal, wo kommt das her?
192400	196680	Also ich habe keine Ahnung über diese sozusagen, ich hänge mich ja nicht so gerne auf an so
196680	199960	geschichtlichen Details und so ein Scheiß, ich kann mir einfach nur vorstellen, wieso
199960	201720	es überhaupt entstanden ist.
201720	205960	Es gibt halt einfach diese Beobachtung im Kapitalismus, ich kann Geld nehmen und wenn
205960	211040	ich es schlau investiere, dann habe ich, wie ich schon in meinem letzten Video zu dem Markt
211040	217640	erklärt habe, wenn ich das wirtschaftlich im Sinne der VWL wirtschaftlich anwende, spieltheoretisch,
217640	222200	dann habe ich Gewinne gemacht und ich kann halt Erfahrungswerte sammeln, wie viel kann
222200	228160	ich aus 100 Dollar in 2 Monaten machen und diesen Erfahrungswert, den nehme ich einfach
228160	232880	her und sage, nach 2 Monaten habe ich aus 100 Dollar 120 Dollar gemacht, deswegen möchte
232880	237400	ich gerne 20% Zinsen nach 2 Monaten von dir, wenn ich dir die 100 Dollar lege, sonst mache
237400	238400	ich es selber.
238400	242480	Dahinter, das ist sozusagen die Idee, dass ich mit Geld verleihen ein Business machen
242480	247360	kann, einfach weil das sozusagen klar ist, ich beobachte diesen Mechanismus, Geld vermehrt
247360	256120	sich durch Zauberei, klar und diese Vermehrung, die kann ich abschätzen und aus dieser Abschätzung
256120	259760	heraus berechne ich meinen Zins, den ich verlange, wenn ich jemandem das Geld einfach gebe und
259760	260760	lege.
260760	266320	So, das ist erstmal klar, viel wichtiger ist meiner Meinung nach jetzt die Bedeutung
266320	269760	vom Zinsniveau und was das jetzt eigentlich mal bedeutet.
269760	272680	Wir müssen jetzt mal alle anfangen in dieses Mindset reinzukommen.
273440	280920	Zinsniveau bedeutet Preis von Geld, weil es ja im Prinzip die Rate ist, die Gebühr,
280920	284840	die ich zahle für einen Kredit und Kredit ist ja nichts anderes, außer jemand gibt
284840	287120	mir Geld und ich muss es ihm später zurückzahlen.
287120	293480	Das heißt, ich habe hier eine Idee, wie ich aus Geld mehr Geld machen kann, wenn ich schon
293480	295120	die Zinsen noch abziehe.
295120	301000	Das heißt, ich habe hier eine Idee, die ich krasser bewerte als die Gebühren, die ich
301000	303440	dafür zahlen muss, wenn ich mir diesen Kredit besorge.
303440	310120	Und das interessante an dieser Sache mit dem Zins ist, Zins hat so einen Charakter wie
310120	311120	eine Rate.
311120	316040	Ein Zins ist ja etwas, was lebt auf einem Intervall von Zeit.
316040	318760	Es ist immer so etwas wie pro Zeiteinheit.
318760	324640	Es hat so einen Ratencharakter und das bedeutet für mich intuitiv jetzt, es ist so was ähnliches
324640	328440	wie eine Ableitung von einer Funktion, eine zeitliche Ableitung einer Funktion.
328600	331480	Und das ist ein bisschen schizophren, wenn man da länger darüber nachdenkt und ich habe
331480	333440	da jetzt in letzter Zeit länger darüber nachgedacht.
333440	336280	Deswegen kommt jetzt auch dieses Video und ich weiß nicht, wie lange es dauern wird.
336280	337280	Es wird wahrscheinlich ewig dauern.
337280	338280	Ich mache mir erstmal ein Bier auf.
338280	344640	Auf jeden Fall ist es so, der Zinssatz ist ein Maß für die Preisentwicklung von allen
344640	347880	möglichen Dingen, denn alles ist an den Zins gekoppelt.
347880	352840	Alles ist sozusagen an den Preis von Geld gekoppelt und Zins ist nichts anderes als
352840	354840	der Preis von Geld.
354840	360840	Und wenn sozusagen Geld günstiger wird, wird alles andere irgendwie teurer.
360840	363240	Das ist eigentlich erstmal so eine Intuition.
363240	370760	Ich werde das noch ein bisschen weiter ausführen, aber wir müssen sozusagen, es ist quasi an
370760	374000	der Zeit die Fluidität des Kapitals.
374000	377760	Wir müssen in dieses Mindset kommen und dieses Mindset, da macht euch mal nichts vor, das
377760	382360	ist das Mindset von allen normalen Wirtschaftskaspern und Finanzbankern und so Leuten, die halt
