start	end	text
0	4920	Ein Physiker oder jemand, der Ahnung von einem echten wissenschaftlichen Vorgehen hat, der
4920	9880	würde einfach sagen, Moment mal, diese beiden Größen, das sind überhaupt keine statistisch
9880	13920	unabhängigen Zufallsgrößen, das heißt, wenn ich da eine lineare Regression mache,
13920	15800	dann ist das eine Farce.
15800	16960	Es ist eine Farce, okay?
16960	23400	Ich erwarte schon, weil sie miteinander definiert sind, über die Buchhalteridentität, das ist
23400	28040	eine Korrelation, dass da eine Korrelation ist in den Messdaten und das ist genau das,
28040	29040	was sie tun.
29040	46520	So Leute, ich beginne das Video direkt mit einem Bild.
46520	58160	Was ihr hier seht, ist die Kurve von irgendwie über 60.000 Unternehmen in den USA von 1950
58160	66400	bis 2015 geplottet und zwar, wie viel die Arbeiter von dem Profit, den sie erwirtschaften,
66400	67400	abbekommen.
67400	72640	Und da seht ihr, das geht so ungefähr bei 10% los und endet so ungefähr bei 50%.
72640	78200	Das ist im Prinzip nichts anderes als die Mehrwerttheorie von Marx.
78200	84200	Die Arbeiter erwirtschaften Profit und kriegen davon nur einen Bruchteil ab.
84240	89480	So und dieser Bruchteil ist ungefähr, also der Mittelwert von dieser Kurve, die ihr da
89480	90480	seht, ist ungefähr 25%.
90480	95520	So und ihr alle wisst, was das Problem dann ist.
95520	103240	Wenn sich das rumspricht, dann sind die Leute unzufrieden und vor diesem Problem stand die
103240	104240	Wirtschaft.
104240	110960	Die hatten ein Problem, weil sich rumgesprochen hat, hier Moment mal, Marx und so, das Proletariat,
110960	115520	wir müssen mal eine Geschichte erfinden, damit die Leute die Fresse halten und nicht
115520	117400	irgendwie mehr vom Kuchen abhaben wollen.
117400	125920	Und es gibt diesen sogenannten John Bates Clark, einer der Godfathers of neoklassische Theorie
125920	132080	und er hat halt einfach diese Ideologie, die da lautet im Kapitalismus, jeder bekommt,
132080	136920	was er verdient, streng dich mehr an, sei produktiver, dann kriegst du auch mehr Geld.
137120	144320	Und das wollte er einfach nur irgendwie rauspelzen, um Marx, um sozusagen eine Antithese zu Marx
144320	145320	zu sein.
145320	150040	Und daraus spurte später dann auch die ganze Geschichte mit dem humanen Kapital, aber
150040	152160	das mache ich in einem anderen Video.
152160	155200	Jetzt geht es erstmal darum, zu zeigen, was von Taschenspielertrick man da schon wieder
