start	end	text
0	2500	Er kam mit seiner Annahme zu einem Widerspruch.
2500	4200	Wie nennt man das in der Mathematik?
4200	7200	Man nennt das ein Beweis durch Widerspruch.
7200	14300	Er hat damit bewiesen, dass das Gesetz der fallenden Nachfrage für den Markt nicht gilt.
14300	32500	So Leute, es hat lange gedauert, aber jetzt passiert es.
32500	38000	Es geht jetzt in diesem Video und in dem Video danach auch noch um die sogenannten Nachfragekurve
38000	43500	und das Gesetz der Nachfrage Law of Dement oder ich würde es eher nennen das Gesetz der fallenden Nachfrage.
43500	51200	Also quasi diese Idee, die man intuitiv hat, dass wenn der Preis von einem Produkt sinkt,
51200	55700	dass dann mehr Leute es kaufen bzw. wenn er steigt, dass dann weniger Leute es kaufen.
55700	62200	Und für jeden selber kann man sich das überlegen, dass das eigentlich irgendwie eine sinnvolle Annahme ist.
62200	68700	Und ich weiß noch damals zum Beispiel als ich meine Mathe Nachhilfe angeboten habe,
68700	72000	da habe ich den Preis erstmal irgendwie festgelegt, dann wurde ich zugeschissen
72000	76900	mit Leuten, die das kaufen wollten sozusagen von mir und dann habe ich halt gesagt,
76900	80800	na gut, dann gehe ich jetzt mit dem Preis so weit hoch, bis ich nur noch so ungefähr abschätzend,
80800	84800	also bis ich nur noch so viele Nachfragen kriege, die ich dann auch bedienen kann, ganz entspannt.
84800	88300	Und das hat sozusagen für mich dann quasi den Preis festgelegt.
88300	92200	Und aus dieser einfachen Idee schlussfolgern sozusagen Ökonomen,
92200	97200	na ja, es muss da eine Gesetzmäßigkeit geben und die ist hardcore, hart reingecoded
97200	99700	und die erzeugt am Ende Preise und so.
99700	105400	Und jetzt ist es so, in dem Video, was ich jetzt machen will, Ökonomen können zeigen,
105400	109900	dass ein Individuum sozusagen bei steigendem Preis, ich gebe jetzt sozusagen schon mal den Abstract,
109900	113700	bei steigendem Preis die Nachfrage für einzelnes Produkt wohl sinkt.
113700	116700	Aber was sie nicht zeigen können, ist, dass das für den gesamten Markt gilt.
116700	122100	Sprich, dass für die Gesellschaft aus vielen Teilnehmern die einzelnen Nachfragekurven sozusagen,
122100	125500	wenn man die addiert, dass dann da eine Marktkurve rauskommt,
125500	129500	die immer noch diesem Gesetz der fallenden Nachfrage folgt.
129500	133800	Und was die neoklassische Theorie unbedingt braucht, wenn sie das trotzdem zeigen will,
133800	136300	also sozusagen dieses Gesetz durchdrücken will,
136300	138600	da muss man eine Menge zusätzliche Annahmen reinstecken.
138600	142300	Und die beiden mächtigsten Annahmen sind, dass alle Teilnehmer identisch sind
142300	145700	und identische Vorleben haben und dass Teilnehmer im Wesentlichen
