start	end	text
0	16000	Die sagen, die kommen nicht klar mit meiner Art oder mit meinem Duktus und so und dann sagen sie mir das und hoffen dann irgendwie, dass ich mich anpasse oder so und dass ich dann daraufhin, wegen diesem korrektiven Feedback, mich ändern sollte.
16000	21000	Aber genau das ist ja genau der Luxus, den ich mir hier leiste, dass ich das eben nicht mache.
21000	29000	Ich finde, gerade im linken Spektrum ist es ja so, es gibt so viele linke Creator und jeder hat so seine eigene Perspektive.
29000	32000	Das ist auch super und das ist wichtig, dass man die nicht ändert.
32000	38000	Sonst landet man ja genau da, wo die rechten sind. Die sind alle des einen Einheitsbrei, die erzählen alle immer dasselbe.
38000	49000	Und gerade dadurch, dass es sozusagen so viele verschiedene linke Creator gibt, bildet sich auch wie bei dem Creator auch so eine Art Fingerabdruck der eigenen Community.
49000	56000	Leute, die auf eine bestimmte Art und Weise mit bestimmten Sachen besser umgehen können, bessere Coping-Mechanismen haben als andere.
56000	60000	Und ich habe überhaupt kein Problem damit, wenn es Leute gibt, die mit mir nicht klarkommen.
60000	64000	Das ist überhaupt gar kein Problem. Das offentet mich auch überhaupt nicht.
64000	71000	Und ich zum Beispiel kann mir vom Parabel-Ritter jetzt seinen Twitch-Stream überhaupt nicht gönnen.
71000	76000	Ich kann mir das nicht angucken. Ich bin nicht die Zielgruppe und das ist auch nicht schlimm.
76000	82000	Das heißt nicht, dass ich Alex irgendwie scheiße finde. Ich kann es mir bloß einfach nicht gönnen. Das ist einfach nicht mein Style.
82000	88000	Und auch bei Erwin kann ich bei manchen Sachen einfach nicht zuhören. Und dann mute ich ihn oder gehe wieder raus oder mache irgendwas anderes.
88000	92000	Das ist überhaupt nicht schlimm. Jeder macht, wie er Bock hat.
92000	110000	Und ich finde, dann wächst von alleine eine ganz ehrliche Struktur aus Wechselwirkungen zwischen Individuen, die irgendwie besser dazu in der Lage ist, mit Daten zu verarbeiten und besser irgendwie mit bestimmten Sachen umzugehen.
110000	112000	Ja, auch neue Ideen zu entwickeln.
117000	127000	Es gibt ja auch Leute, die irgendwie so krass gebildet sind, kommen auf meinen Kanal und scheißen mich irgendwie voll mit irgendwelchen Fachworten oder wollen wir sagen, dass ich ein Idiot bin und ein Plepp und so.
127000	140000	Und was soll ich dazu sagen? Wenn Leute schon dediziert links sind und irgendwie irgendwelchen Krämerscheiß studiert haben und den ganzen Tag Bücher lesen über Scheiß, der keine Relevanz hat für mich,
140000	148000	sozusagen tote Philosophie, die einfach mal irgendwo abgehoben, irgendeinen Elfenbeinturm Scheiß macht, die nichts bringt, dann ist das doch auch okay.
148000	158000	Also die sind dann offensichtlich gar nicht meine Zielgruppe. Meine Zielgruppe sind ja Leute, die nicht die eigenen mentalen Kapazitäten hatten, um irgendwie die kognitive Entwicklung durchzumachen,
158000	172000	die ich durchgemacht habe und deswegen gebe ich davon was ab. Ich gebe euch ja allen was ab von mir. Ich setze mich hier hin und erzähle einfach mal, wie das für mich aussieht und ich habe den Eindruck, dass das von Wert ist für Leute.
172000	184000	Und natürlich sind das dann nicht die Leute, die selber schon übelst krass viel in ihre eigene Bildung investiert haben und irgendwie acht Jahre lang nur irgendwelche Bücher von irgendwelchen toten Adorno-Typen lesen oder so.
184000	194000	Das ist gar nicht schlimm, dass es Leute gibt, die das machen und die sind dann auch nicht meine Zielgruppe und dann sollen sie mich halt nicht nerven mit ihrem Gehabe.
194000	203000	Dass sie gelenkt und manipuliert werden von einer kleinen Bubble von Leuten, die reich sind und die noch mehr Geld haben wollen, das ist bekannt.
203000	217000	Dahinter stehen auch Profitinteressen und die haben entdeckt, man kann den Cashflow umleiten von Leuten, die so in Angst aufgehen, dass man die manipulieren kann.
217000	229000	Das ist ja gar kein Offendismus dahinter, das ist einfach nur eine Tatsache, dass Leute Angst haben und natürlich ist es auch eine Tatsache, dass andere Leute daraus Kapital schlagen wollen.
229000	242000	Irgendwie checken es die Leute. Es gibt Leute, die sagen, wir werden manipuliert von den Medien, wir werden manipuliert von irgendwelchen großen Eliten und diese Talking Points sind ja erstmal nicht unbedingt falsch,
242000	253000	aber dahinter steckt immer noch derselbe Widerspruch. Sie denken immer noch in Hierarchien und deswegen biedern sie sich dann einer anderen Gruppe an, die nochmal genau dasselbe macht.
253000	262000	Nämlich sie nutzt aus, dass es da einen Filterprozess gibt, Leute, die in einer Echo-Kammer sitzen und sobald man eine Menge von Leuten manipulieren kann, kann man daraus Kapital schlagen.
262000	272000	So einfach ist das. Sich eingestehen zu müssen, dass man lange falsch lag in irgendwas, das ist besonders schlimm und das geht wieder zu meinem Video zurück zu Rationalität,
