start	end	text
0	19680	Tja, Valulis guck ich mir immer mal an, weil er irgendwie Entertainment-Infotainment-Videos
19680	20680	macht, klar.
20680	25680	Und er berichtet ja auch über Dinge, die mir gar nicht auffallen, irgendeinen Schwachsinn,
25680	29000	irgendwelche witzigen Sachen, die im TV passieren oder so.
29480	34240	Ja, und diesmal habe ich auf ein Thumbnail draufgeklickt, wo ich sofort instant mir gedacht
34240	37480	habe, Valulis ist ein gottverdammter Antisemit.
37480	43240	Dort wird Jeff Bezos gezeigt und er hat die Hörner und er ist das pure Böse.
43240	48640	Und es geht in dem ganzen Beitrag natürlich auch nur darum, dass er, er ist ja der Chef
48640	54600	von Amazon, das pure Böse ist und wie er jetzt sozusagen Ravkirich sich alles einverleibt,
54600	57480	so als wäre es jetzt seine Entscheidung, böse zu sein.
57800	64080	Und da muss ich tatsächlich mal meinen ganzen anti-deutschen Freunden Recht geben, echte
64080	69960	Kapitalismuskritik muss auch immer betonen, dass das System das Problem ist.
69960	75280	Es würde einen anderen Jeff Bezos geben, der genau das gleiche an seiner Stelle tun würde.
75280	79680	So wie Nicolas Cage, das bei Lord of War auch schon sagt, es würde immer jemanden geben,
79680	80680	der den Job macht.
80680	83800	Deswegen macht er es, damit er die Profits kriegt.
83880	88160	Und in dem Beitrag von Valulis quatschen sie halt auch so ein bisschen Zeug und so, aber
88160	91000	es geht halt immer darum, Jeff Bezos ist jetzt mal wirklich richtig böse.
91000	96760	Und ihr müsst euch klarmachen, wenn der jetzt zufällig Jude wäre, dann wäre das Antisemitismus
96760	97760	und sonst nicht.
97760	101200	Da seht ihr schon wie ungefähr, wie labidant und lächerlich diese Anschuldigungen eigentlich
101200	106000	sind heutzutage, wenn es um strukturellen Antisemitismus geht und ihr müsst euch klarmachen, wo der
106000	107000	Unterschied ist.
107000	111400	Antisemitismus, das ist das, wenn man sagt, hier die Juden, das sind die Bösen oder die
111400	114360	Juden, das sind die mit der Verschwörung oder die Juden, die Juden, die Juden.
114360	116360	Das ist sozusagen der klassische Antisemitismus.
116360	122160	Was man aber mit strukturellem Antisemitismus meint, das ist eigentlich typischerweise,
122160	126720	wenn man sich jetzt einen Wall Street Banker raussucht und den fertig macht und demonisiert.
126720	132080	Und damit meint man eigentlich, wenn man das Symptom demonisiert.
132080	135920	Weil der Kapitalismus ist ja eigentlich die Ursache.
