start	end	text
0	7880	Niemals kann man da erwarten, dass dahinten ein perfektes gutes Urteil oder ein gutes Weltmodell über die Gesellschaft rauskommt, wenn die Gesellschaft
8080	12200	für die Bürokratie so aussieht, als wäre sie ein Haufen oberflächliche Zahlentupel.
12920	20320	Und das ist ja der Punkt. Man kann also gar nicht erwarten, dass eine Bürokratie sinnvolle Entscheidungen treffen kann, wenn sie so ein unterkomplexes Weltmodell hat.
20840	28160	Insbesondere, weil sich die Außenwelt permanent ändert und in einer Bürokratie, das ja überhaupt nicht so angelegt ist. Die Bürokratien sind ja gar nicht darauf
28720	33880	angelegt, dass da eine Dynamik irgendwo stattfindet. Und eine Dynamik abbilden und Emergenz abbilden schon mal gar nicht.
46440	53320	So Leute, ich mach nochmal so ein Video über Bewusstsein und Nachdenken und so ein Weltmodell, ihr wisst Bescheid.
53720	57720	Was macht jetzt das Weltmodell und was macht das Bewusstsein?
57920	66720	Ich habe ja schon erklärt, unser Hirn löst das inverse Problem, was hat unsere Inputdaten verursacht, mit dem Zweck, die Vorhersagen, um bessere Entscheidungen treffen zu können
67720	77120	und sozusagen die evolutionäre Fitness zu maximieren. Und ich habe ja auch erklärt, wir konstruieren sozusagen uns dabei ein Weltmodell und erzählen uns eine Geschichte darüber.
78120	83120	Und wir sind Protagonisten in dieser Geschichte und mit diesen Protagonisten identifizieren wir uns selber.
84120	92120	Und daraus folgt zum Beispiel auch, wenn wir andere bewerten wollen, dass die energiesparendste Möglichkeit wahrscheinlich die mit der bösen Absicht ist, dazu habe ich schon Videos gemacht.
93120	104120	Und ich habe jetzt hier nochmal folgendes Statement, was man immer hört, wenn man so Experten zuhört, die sich viel mit Deep Learning und Machine Learning und KI und so beschäftigen.
105120	110120	Und zwar die sagen, wir verstehen nicht im Detail, wie KI funktioniert, wie diese Netzwerke funktionieren.
111120	119120	Also was passiert ist, wir geben eine Architektur vor, Trainingsdaten und dann trainiert das Netzwerk, wir verstehen, wieso es das tut.
120120	126120	Aber dann intern, wenn wir fertig trainiert sind und wir wollen die Frage an das Netzwerk stellen, wieso hast du diese und diese Entscheidung getroffen?
127120	128120	Zum Beispiel beim autonomen Fahren oder so.
129120	144120	Können wir natürlich zurückverfolgen, wie das Signal sich da drinnen verausbreitet und im Prinzip besteht es aus einer unfassbaren Menge an Multiplikationen, Additionen und so und Softmax und hin und her und richtig viele Kombinationen von Rechenschritten.
145120	155120	Und wir verstehen halt einfach nur nicht, wie das passiert. Warum? Weil wir im Prinzip es geschafft haben, durch Mathematik den Trick mit der Emergenz abzubilden auf diese Zahlenkolonnen.
156120	162120	Und wenn wir sagen, wir verstehen es nicht, meinen wir damit, wir verstehen diesen Prozess innen drinnen nicht mehr.
163120	169120	Und daraus emergiert aber sozusagen das, was hinterher diese Netzwerke tun, zum Beispiel Entscheidung treffen und klassifizieren und so.
170120	173120	Wobei die Image-Klassifikator noch ungefähr klar sind, weil wir da noch eine Intuition haben.
173120	194120	Und ich hatte ja auch schon ein Video gemacht darüber, dass wir ja durch diese Sprachmodelle jetzt eine relativ gute Schnittstelle zu KI haben, weil wir die KI fragen können oder ein Sprachmodell fragen können, was es gerade tut.
195120	200120	Und wir können einer KI auch Geschichten geben und diese KI kann mit diesen Geschichten weiterarbeiten.
200120	205120	Das heißt, was Geschichten eigentlich sind, ist so eine Art Schnittstelle.
206120	218120	Und das ist interessant, denn ich habe ja auch schon das Video gemacht, dass wir als Gesellschaft Geschichten brauchen, um miteinander zu kommunizieren und dass die Geschichte selbst notwendig ist für den performativen Akt der Gesellschaft.
219120	227120	Und das reiht sich jetzt alles irgendwie ein in diese Idee, die ich jetzt sozusagen hatte, als ich nochmal darüber nachgedacht habe, dass wir ja KI eigentlich gar nicht verstehen.
227120	232120	Und jetzt nochmal zurück auf der Ebene des Zahlensalats verstehen wir nicht, wie diese Entscheidung funktioniert.
233120	242120	Und dann dachte ich kurz danach und habe festgestellt, na ja, wenn ich jetzt zum Beispiel ich programmiere ja viele numerische Verfahren, die so Lösungen finden für so schlecht gestellte Probleme und so.
243120	247120	Und wenn ich mir den Zahlensalat angucken würde, dann würde ich den auch nicht verstehen.
247120	254120	Dann würde ich den auch nicht verstehen, schon allein weil so ein, sagen wir mal, so ein Datensatz aus richtig vielen Zahlen besteht.
