start	end	text
0	15280	Das kann doch nicht euer Ernst sein, dass ihr jetzt was fleckt, was ich vor Jahren hochgeladen
15280	16280	habe.
16280	20040	Nein, bei YouTube kann vieles nicht sein, aber es ist so.
20040	24600	Es bleibt nur zu hoffen, dass dieses riesige Unternehmen endlich merkt, dass es durch diese
24600	30200	Säuberungsaktionen sein Image nicht verbessert, sondern im Gegenteil immer schlimmer macht.
30200	41840	Also ich habe ja mal dieses Video vom Holger vom MassengeschmackTV mir angeguckt und da
41840	46240	habe ich dann auch darauf reagiert, wo ich euch erkläre, wie das mit den YouTube Strikes
46240	51680	funktioniert und all dem und im Wesentlichen nenne ich es Kasualisierung und das geht dann
51680	54040	zurück auf die anderen Videos, die ich schon gemacht habe.
54040	57720	Und jetzt habe ich dieses Video gesehen und denke mir, das kann ja wohl nicht wahr sein.
57720	65520	Der Typ von Sempervideos sagt es ja selber, es sind die Hater, die reporten und es sind
65520	69120	die Dows, die zu dumm sind und es sind die Leute, die bei YouTube arbeiten und am Ende
69120	72640	einfach nachgeben und sagen, ja stimmt es wird schon gegen die Richtlinien sein, mich
72640	73640	doch egal.
73640	79200	Und dann kommt dieser Spruch von Holger am Ende, der es scheinbar immer noch nicht verstanden
79200	80200	hat.
80320	83240	YouTube riskiert damit nicht seinen guten Ruf.
83240	86000	Holger hat es einfach nicht verstanden.
86000	94520	Leute wie wir, die an guten Inhalten interessiert sind, sind nicht die Zielgruppe von YouTube.
94520	101800	YouTubes Zielgruppe sind die mit den Katzenvideos und irgendwelche Pop-Sternchen und irgendwelche
101800	106360	Hip-Hop-Videos und irgendwelche Werbeträler und irgendeinen Schrott.
106360	113240	Videos, die Millionenfach, 10fach, 100 Millionenfach geklickt werden, das ist der Shit, wo YouTube
113240	114240	drauf abfährt.
114240	119600	YouTube gibt einen Fick auf solche Leute, die Inhalte machen, die vielleicht sogar aufklären
119600	120600	wollen.
120600	121600	Das interessiert YouTube überhaupt nicht.
121600	125360	Im schlimmsten Fall ist es kritisch für YouTube, weil es zu viel negatives Feedback gibt.
125360	128760	Weil da gibt es ja Meinungsverschiedenheiten und so und wenn dann zu viele Leute reporten,
128760	129760	ja dann machen sie es halt einfach.
129760	135600	Holger versteht einfach nicht, dass das gut ist.
135600	141080	Das Vorgehen von YouTube ist im Sinne ihres Business Modells absolut korrekt.
141080	148560	Wenn ein Video zu viel negatives Feedback kriegt, müssen sie so handeln, um diese negative
148560	149840	User Experience zu minimieren.
