start	end	text
0	16960	So Leute, ich habe ja schon gesagt, ich habe wirklich nicht viel Zeit im Moment, ich habe
16960	21360	übelst viel Stress auf Arbeit und so, aber wenn ich mal im Zug sitze, was oft passiert
21360	27680	im Moment, dann schreibe ich an meinem Buch und es ist nicht das Handbuch, was ich eigentlich
27680	31440	vorhatte noch zu schreiben, wo ich die ganzen Kapitalisten-Talking-Points wegklatsche. Das
31440	35480	ist einfach zu viel Quellenarbeit. Ich will eine Art Zusammenfassung schreiben über das,
35480	39840	was ich in den letzten Jahren an Erkenntnissen so hatte. Das heißt, vieles davon, ihr kennt es
39840	44480	schon auf dem YouTube-Kanal. Aber ja, das Buch soll eine Art Zusammenfassung sein und ich versuche
44480	51720	da alles mehr oder weniger aus Evolutionsdruck herzuleiten, alles was wir beobachten können.
51720	58720	Und das wesentliche Tool, was man dazu verstehen muss, ist der Mechanismus der Kontrolle und wie
58720	62360	Machthierarchien funktionieren. Und daraus versuche ich sozusagen die komplette Gesellschaft zu
62360	67600	erklären. Und für euch ist das nichts Neues, aber ich hatte jetzt, während ich das so schrieb,
67600	72160	also ich habe jetzt schon irgendwie so 40 Seiten oder so zusammengeschrieben, ein paar Erkenntnisse,
72160	78480	die neu waren für mich, die mal explizit so runterzuschreiben. Und eine von den Fragen,
78720	84280	die ich mir gestellt habe, ist, ist es in Machthierarchien eigentlich fest eingebacken,
84280	89360	dass sie sich im Wettbewerb befinden müssen miteinander? Weil ich das erstmal anzweifle,
89360	96000	dass das so ist. Ich denke, das ist etwas, was emergiert, das Gefangenelemer quasi. Aber das
96000	103760	ist in denen nicht drin, intrinsisch. Und ich habe dann mir also überlegt, okay, kann ich es
103760	108560	irgendwie einfacher mir überlegen, woher es kommt? Und ich denke, noch einfacher ist sozusagen die
108560	112320	einfachst anzunehmende Kontrollhierarchie, Machthierarchie, die wir finden können,
112320	117280	unser eigenes Bewusstsein. Wir Menschen stehen ja auch schon im Wettbewerb zueinander oft.
117280	121560	Kooperation ist ja nicht immer die Lösung bzw. nicht das, was wir beobachten können. Wir haben
121560	128600	oft eine Wettbewerbssituation. Und da habe ich sozusagen mir überlegt, okay, und ich habe ja
128600	132480	das Video zum Bewusstsein ganz am Anfang schon gemacht, was Bewusstsein eigentlich, also woher
132480	138040	es kommt, ist, dass wir, dass unser Gehirn diese Datenverarbeitung macht, die projizieren will,
138040	143480	was als nächstes passiert. Und wir interagieren halt mit unserer, mit unserer Welt, haben ein
143480	148280	Weltmodell, da stecken wir selber drin und so. Dazu habe ich schon Videos gemacht. Klar ist
148280	153000	nur, dass unsere Vorhersagemechanismen besser werden, wenn wir eingreifen in unsere Messwerte.
153000	159360	Wenn wir Entscheidungen treffen zum Beispiel. Und ich denke, was passiert, wenn zwei solche
159360	163960	Kontrollagents aufeinandertreffen, zum Beispiel zwei Menschen, die beide ein Bewusstsein haben.
163960	169320	Projizieren wir ja wegen Theory of Mind dem anderen auch so was da rein. Und ich habe ja
