start	end	text
0	17720	Ich habe es ja schon mal gesagt, der Grund für den deutschen Kanal hier ist im Wesentlichen
17720	25320	ein einziger User, der mich mehr oder weniger mit meine Wikiveld, also mit Wetzold, verknüpft
25320	26320	hat.
26520	35520	Ich habe in der letzten Zeit, seitdem der Account da ist, immer mal wieder interessante Wechselwirkungen
35520	36520	jetzt beobachtet.
36520	42680	Zum Beispiel habe ich ja das Rahn-Video über Entropie gemacht, da hat sich der Typ gemeldet,
42680	49120	weil ich in seiner Kommentarspalte Werbung gemacht habe für mein Video und habe da auch
49120	53360	scheinbar ein paar von seinen Fanboys gleich mitgetriggert und so.
53800	58640	Ich habe das Video über den Parabelritter gemacht und dem habe ich eine E-Mail geschrieben
58640	64600	und er hat sich schon mal angeguckt und er hat es scheinbar auch verstanden und das ist
64600	73320	sehr gut, weil mir liegt der Alex wirklich am Herzen, ich mag den Typen und den Clip
73320	75960	zeige ich euch von ihm, worauf ich genau anspielen will.
75960	84960	Dann wurde ich jetzt gefragt, ob ich die Gruppe 42 kenne, nee, kenne ich nicht, also
84960	92200	ich habe von dem Account schon mal gehört, den gibt es wohl schon ziemlich lange, aber
92200	99320	ich habe wirklich diese ganze Internetbubble-Kultur, die ist im Prinzip noch Neuland für mich,
99320	103640	die kenne ich erst seit ein paar Jahren, ich habe im Wesentlichen mein halbes Leben lang
103640	112640	gezockt und ich war nicht Teil dieser Sache, ich bin da noch ganz neu und was ich sagen
112640	119000	wollte ist, Sharing is Caring und das meine ich wirklich so, wenn ihr Connections habt
119000	125080	zu irgendjemanden und vernetzen könnt und ihr meint, dass das was bringt, dann macht
125080	132960	das ruhig, weil wenn Thomas Gabrieles das kann, dann kann es jeder, weil der ist im
132960	141640	Prinzip ein konservativer Opa und hat irgend so ein masochistischer Arter, sich permanent
141640	149360	meine Videos reinziehen zu müssen, wahrscheinlich weil, also ich gehe davon aus, dass er denkt,
149360	152760	oder vielleicht ist es auch so, dass es einfach keinen vergleichbaren linken Content gibt
152760	158560	auf YouTube oder nicht genug und deswegen will er diesen Ausgleich schaffen und deswegen
158560	161800	muss er sich dieser Qual unterziehen, sich permanent meinen Gesager reinzuziehen, was
161800	165400	ich auf jeden Fall an ihm schätze und habe ich ja auch in meinem Livestream schon ein
165400	171800	paar Mal gesagt, das ist tatsächlich interessant, weil das ist ein einziges Individuum und es
171800	175680	hat eine Entscheidung getroffen und das hat sozusagen an ein anderes Individuum beeinflusst
175680	184640	und so weiter und so fort und ja ich meine dadurch im Prinzip mehr oder weniger hatte
184640	190720	ich dann ja das in den Torken mit Detail verliebt und ich glaube das Video ist ein gutes
190720	196280	Video geworden, insbesondere weil ich ja da völlig klar mache, was ich als eins der
196280	202840	größten Probleme ansehe unserer Gesellschaft, dass wir durch die Automatisierung und durch
202920	211760	die maximale Entfremdung sozusagen die Mechanismen, die unsere Probleme verursachen, jetzt outsourcen
211760	215280	und automatisieren, sodass wir sie später nicht mehr kontrollieren können und alles
215280	220640	nur noch schlimmer werden kann dadurch. Diese Feedback Loops, die wir selber entstehen lassen
220640	226520	haben und unsere ganzen Probleme verursachen, dass die jetzt sozusagen immer heftiger reingehen
226520	231600	und durch High Frequency Training und vollständige Entfremdung auf Finanzmärkten irgendwann
231600	236760	auch wieder Einflüsse auf unser echtes Leben hier haben und klar ist das alles ein bisschen
