start	end	text
0	21880	Dinge kritisch zu hinterfragen, so einfach immer mal so als Routine, ist keine schlechte
21880	27080	Angewohnheit und ich mache das schon mein ganzes Leben lang und mir ist aufgefallen,
27080	32880	dass es eine Sache gibt, die überhaupt nicht thematisiert wird und zwar immer wenn man so
32880	38200	ein Interview mit so einem Wirtschaftsexperten sieht oder mit einem FDP Politiker zum Beispiel,
38200	48920	die alle erzählen diese Lüge, dass Wettbewerb die Ursache ist für Innovation und menschlichen
48920	54720	Fortschritt und da muss man doch nur mal ganz kurz darüber nachdenken, ob man das irgendwo
54720	61400	beobachten kann und meiner Meinung nach kann man das nirgendwo beobachten. Die Leute verwechseln
61400	69880	da was. Echter Fortschritt und echter Innovation entsteht immer dann, wenn Leute die Kapazitäten
69880	74680	haben es zu tun und die dann auch Bock drauf haben und es dann machen aus freien Stücken,
74680	79600	nicht weil sie irgendwie greedy sind, Geld wollen oder in einem Wettbewerb mit anderen stehen.
79600	84080	Bestes Beispiel ist Corona Impfstoff. Ich könnte mir vorstellen, wenn der Wettbewerb
84080	89480	zwischen den einzelnen Research Groups nicht wäre, dann würden die wahrscheinlich mit ihrer
89480	94480	Daten besser miteinander abgleichen und mal kommunizieren, aber sie stehen im Wettbewerb,
94480	101480	deswegen können sie das nicht machen. Oder die Relativitätstheorie oder das Penicillin,
101480	105320	solche Sachen, die wurden doch nicht wegen Wettbewerb erfunden, die wurden erfunden,
105320	114280	weil jemand davon überzeugt war, dass es richtig ist. Und alles was aus Wettbewerb folgt und das
114280	120560	ist das was die FDP-Spieler immer meinen, was sie eigentlich meinen ist Marketing. Leute werden
120560	128040	innovativ im Marketing, das heißt Leute besser was andrehen, Leute besser verarschen und wenn
128040	133000	man länger darüber nachdenkt, was Wettbewerb eigentlich macht, es erzeugt einen riesen Druck
133000	141120	und die Leute werden gezwungen nicht nachhaltige Methoden anzuwenden, um einen kleinen Tempovorteil
141120	148720	gegenüber ihren Mitbewerbern zu haben. Zum Beispiel mehr die Natur ausbeuten oder kurz mal ein bisschen
148720	156760	Lügen, Clickbaits, kleine Sachen, große Sachen. Alles hat mit Wettbewerb zu tun und natürlich
156760	161960	das absolut große Resultat von Wettbewerb ist auch Fake News und Verschwörungstheorien.
161960	170040	Sie sind sozusagen die Weiterführung von der Idee, dass man mit Skandalen gute PR machen kann. Man
170040	174840	kann sich einfach mal einen Skandal ausdenken. Spielt ja hinterher auch keine Rolle. Wenn man
174840	180080	dann eine Million Follower hat, dann kann man immer noch was anderes mit dieser Reichweite machen.
180080	188720	Das ist sozusagen die Ressource, um die gekämpft wird und ich habe auf meinem Hauptkanal ein 40
188720	195240	Minuten Video, wo ich genau erkläre, wie der YouTube Algorithmus dazu führt, dass kleine
195240	199680	Kinder, also auch drei, vier Jahre alt, schon traumatisiert werden durch die ganzen Spinner,
199680	207040	die ihre Kinder vor Smartphone setzen und das nicht mitbekommen und all das nur das direkte
207040	216520	Resultat von Competition ist, also von Wettbewerb. Für mich ist das offensichtlich. Darüber sollte
216520	222440	man definitiv mal nachdenken und ich weiß auch nicht. Irgendwie kommt das im Mainstream diese
222440	226760	Idee, dass das vielleicht eine falsche Aussage ist und was für weitreichende Konsequenzen das
226760	232280	haben kann. Das kommt einfach nicht vor. Das habe ich noch nie irgendwo gehört und deswegen sage
232280	236440	ich es euch jetzt hier einfach so. Ich habe da mehrere Videos auf meinem Kanal schon zugemacht,
236440	239000	ein kurzes, ein langes und dann noch ein bisschen mehr.
239000	260200	Schaut immer unten in der Videobeschreibung nach, da werde ich meine ganzen Referenzen
260200	266240	anbringen und insbesondere Verweise auf meinen englischen Kanal, wo dann sozusagen in Detail
266240	268280	die meisten Sachen besprochen sind.
